"var","categoria","A Pedro Rosemblat por el Frente de Todos","A María Eugenia Vidal por Juntos por el Cambio","A Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.755,0.056,0.126,0.318,0.322,0.311,0.353
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.083,0.649,0.129,0.007,0.022,0.078,0.124
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.074,0.253,0.079,0.097,0.183,0.299,0.213
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.024,0.025,0.622,0.115,0.05,0.051,0.019
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.018,0.001,0.009,0.451,0.048,0.01,0.018
"P16","A Luis Zamora por Autodeterminación y Libertad",0.008,0.003,0.006,0,0.302,0.016,0
"P16","En blanco",0.012,0.003,0.005,0.005,0.062,0.193,0.038
"P16","No sabe",0.026,0.01,0.024,0.007,0.011,0.042,0.235
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.085,0.458,0.168,0.06,0.072,0.157,0.127
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.072,0.257,0.058,0.158,0.144,0.216,0.201
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.05,0.186,0.158,0.06,0.038,0.17,0.173
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.419,0.042,0.11,0.259,0.255,0.24,0.258
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.343,0.027,0.036,0.087,0.075,0.084,0.047
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.006,0.006,0.461,0,0.101,0.033,0.018
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.009,0.001,0.001,0.376,0.03,0.035,0.022
"P17","A Luis Zamora por Autodeterminación y Libertad",0.012,0.009,0.005,0,0.253,0.01,0.043
"P17","En blanco",0.001,0.011,0.002,0,0.004,0.035,0.015
"P17","No sabe",0.003,0.003,0.001,0,0.028,0.02,0.096
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.406,0.05,0.123,0.261,0.253,0.287,0.287
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.362,0.04,0.05,0.129,0.046,0.059,0.054
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.095,0.631,0.104,0.05,0.022,0.07,0.105
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.069,0.244,0.085,0.071,0.14,0.274,0.228
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.03,0.021,0.571,0.009,0.027,0.042,0.05
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.002,0.003,0.037,0.337,0.12,0.026,0.009
"P18","A Luis Zamora por Autodeterminación y Libertad",0.013,0,0.006,0.085,0.315,0.015,0.018
"P18","En blanco",0.019,0.003,0.007,0.011,0.029,0.186,0.055
"P18","No sabe",0.004,0.008,0.017,0.047,0.048,0.041,0.194
"P19","A Martín Lousteau por Juntos por el Cambio",0.093,0.655,0.119,0.104,0.253,0.312,0.258
"P19","A Ramiro Marra por La Libertad Avanza",0.048,0.063,0.661,0,0,0.07,0.025
"P19","A Leandro Santoro por el Frente de Todos",0.752,0.068,0.124,0.259,0.365,0.27,0.299
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.015,0.003,0.005,0.551,0,0,0.019
"P19","A Luis Zamora por Autodeterminación y Libertad",0.016,0.009,0.011,0.032,0.327,0.015,0.008
"P19","En blanco",0.036,0.09,0.031,0.007,0.012,0.301,0.027
"P19","No sabe",0.04,0.112,0.049,0.047,0.043,0.032,0.364
"P22","A Leandro Santoro por el Frente de Todos",0.761,0.081,0.109,0.251,0.332,0.277,0.318
"P22","A Jorge Macri por Juntos por el Cambio",0.076,0.726,0.229,0.035,0.096,0.282,0.185
"P22","A Ramiro Marra por La Libertad Avanza",0.067,0.066,0.619,0,0.031,0.074,0.042
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.02,0.006,0.005,0.614,0.058,0,0.014
"P22","A Luis Zamora por Autodeterminación y Libertad",0.017,0.004,0.002,0.028,0.361,0.019,0.02
"P22","En blanco",0.027,0.047,0.011,0.008,0.005,0.308,0.019
"P22","No sabe",0.032,0.07,0.025,0.064,0.117,0.04,0.402
"P25","A Leandro Santoro por el Frente de Todos",0.757,0.097,0.14,0.228,0.348,0.284,0.304
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.122,0.805,0.159,0.028,0.042,0.07,0.063
"P25","A Ramiro Marra por La Libertad Avanza",0.057,0.053,0.654,0.011,0.025,0.032,0.026
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.012,0.001,0.001,0.637,0.016,0,0.011
"P25","A Luis Zamora por Autodeterminación y Libertad",0.014,0,0.016,0.028,0.477,0.019,0.01
"P25","En blanco",0.024,0.014,0.014,0.011,0.039,0.564,0.034
"P25","No sabe",0.014,0.03,0.016,0.057,0.053,0.031,0.552
"P31","Lo votaría",0.653,0.083,0.141,0.235,0.289,0.271,0.335
"P31","Puede que lo vote",0.199,0.072,0.074,0.173,0.265,0.05,0.074
"P31","Nunca lo votaría",0.135,0.794,0.758,0.338,0.357,0.616,0.471
"P31","No sabe",0.013,0.051,0.027,0.254,0.089,0.063,0.12
"P32","Lo votaría",0.5,0.047,0.124,0.041,0.005,0.027,0.053
"P32","Puede que lo vote",0.288,0.044,0.057,0.298,0.182,0.125,0.105
"P32","Nunca lo votaría",0.163,0.812,0.782,0.505,0.597,0.746,0.623
"P32","No sabe",0.049,0.097,0.037,0.156,0.216,0.102,0.219
"P33","Lo votaría",0.362,0.033,0.076,0.076,0.093,0.104,0.102
"P33","Puede que lo vote",0.333,0.078,0.084,0.18,0.203,0.164,0.156
"P33","Nunca lo votaría",0.246,0.806,0.796,0.592,0.591,0.652,0.561
"P33","No sabe",0.059,0.083,0.044,0.152,0.113,0.08,0.181
"P34","Lo votaría",0.084,0.506,0.201,0.011,0.066,0.22,0.14
"P34","Puede que lo vote",0.073,0.279,0.237,0.04,0.139,0.098,0.22
"P34","Nunca lo votaría",0.815,0.189,0.528,0.857,0.723,0.645,0.519
"P34","No sabe",0.028,0.026,0.034,0.092,0.072,0.037,0.121
"P35","Lo votaría",0.083,0.369,0.103,0.072,0.159,0.235,0.207
"P35","Puede que lo vote",0.153,0.344,0.16,0.122,0.138,0.199,0.194
"P35","Nunca lo votaría",0.736,0.257,0.711,0.718,0.67,0.545,0.496
"P35","No sabe",0.028,0.03,0.026,0.088,0.033,0.021,0.103
"P36","Lo votaría",0.081,0.421,0.243,0,0.128,0.216,0.221
"P36","Puede que lo vote",0.083,0.341,0.322,0.043,0.179,0.204,0.179
"P36","Nunca lo votaría",0.813,0.198,0.405,0.897,0.661,0.567,0.472
"P36","No sabe",0.023,0.04,0.03,0.06,0.032,0.013,0.128
"P37","Lo votaría",0.111,0.063,0.057,0.112,0.541,0.07,0.059
"P37","Puede que lo vote",0.355,0.097,0.103,0.462,0.297,0.168,0.18
"P37","Nunca lo votaría",0.476,0.79,0.791,0.341,0.162,0.702,0.601
"P37","No sabe",0.058,0.05,0.049,0.085,0,0.06,0.16
"P38","Lo votaría",0.094,0.559,0.084,0.045,0.131,0.037,0.054
"P38","Puede que lo vote",0.061,0.283,0.157,0.113,0.144,0.16,0.22
"P38","Nunca lo votaría",0.834,0.14,0.71,0.792,0.692,0.727,0.599
"P38","No sabe",0.011,0.018,0.049,0.05,0.033,0.076,0.127
"P39","Si",0.579,0.574,0.533,0.657,0.501,0.478,0.509
"P39","No",0.421,0.426,0.467,0.343,0.499,0.522,0.491
