"var","categoria","A Daniel Scioli","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P14","A Pedro Rosemblat por el Frente de Todos",0.126,0.116,0.036,0.208
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.093,0.037,0.109,0.021
"P14","A Martín Lousteau por Juntos por el Cambio",0.088,0.15,0.097,0.028
"P14","A Ramiro Marra por La Libertad Avanza",0.045,0.039,0.125,0.006
"P14","Al candidato del Frente de Izquierda",0.006,0.006,0.016,0.008
"P14","A Luis Zamora por Autodeterminación y Libertad",0.008,0.041,0.04,0.034
"P14","En blanco",0.024,0.02,0,0.013
"P14","No sabe",0.014,0.032,0.038,0.023
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.726,0.712,0.534,0.888
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.119,0.021,0.137,0.01
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.048,0.178,0.1,0.012
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.057,0.013,0.029,0.014
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.012,0.013,0.109,0.009
"P15","A Luis Zamora por Autodeterminación y Libertad",0.006,0.01,0.035,0.033
"P15","En blanco",0.012,0.023,0.041,0.006
"P15","No sabe",0.02,0.03,0.015,0.028
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.738,0.791,0.555,0.891
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.059,0.006,0.166,0.005
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.118,0.153,0.083,0.014
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.042,0.003,0.1,0.01
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.024,0.011,0.017,0.021
"P16","A Luis Zamora por Autodeterminación y Libertad",0,0.011,0.021,0.03
"P16","En blanco",0,0.005,0.05,0.008
"P16","No sabe",0.019,0.02,0.008,0.021
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.27,0.113,0.128,0.036
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.031,0.093,0.103,0.006
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.059,0.08,0.143,0.026
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.436,0.433,0.481,0.549
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.142,0.226,0.061,0.323
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.023,0.006,0.008,0.003
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.004,0.005,0.053,0.01
"P17","A Luis Zamora por Autodeterminación y Libertad",0.005,0.014,0.017,0.036
"P17","En blanco",0,0.004,0,0.001
"P17","No sabe",0.03,0.026,0.006,0.01
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.481,0.543,0.489,0.501
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.198,0.267,0.073,0.335
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.163,0.033,0.166,0.024
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.075,0.095,0.089,0.048
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.043,0.013,0.135,0.019
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.02,0.002,0.012,0.011
"P18","A Luis Zamora por Autodeterminación y Libertad",0,0.007,0.036,0.039
"P18","En blanco",0,0,0,0.017
"P18","No sabe",0.02,0.04,0,0.006
"P19","A Martín Lousteau por Juntos por el Cambio",0.139,0.15,0.174,0.014
"P19","A Ramiro Marra por La Libertad Avanza",0.067,0.006,0.16,0.016
"P19","A Leandro Santoro por el Frente de Todos",0.69,0.731,0.543,0.874
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.031,0.007,0.025,0.012
"P19","A Luis Zamora por Autodeterminación y Libertad",0.006,0.03,0.022,0.036
"P19","En blanco",0.01,0.036,0.036,0.009
"P19","No sabe",0.057,0.04,0.04,0.039
"P22","A Leandro Santoro por el Frente de Todos",0.565,0.685,0.502,0.835
"P22","A Jorge Macri por Juntos por el Cambio",0.177,0.107,0.217,0.018
"P22","A Ramiro Marra por La Libertad Avanza",0.152,0.077,0.15,0.05
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.044,0.076,0.034,0.024
"P22","A Luis Zamora por Autodeterminación y Libertad",0.006,0.009,0.024,0.037
"P22","En blanco",0.01,0.011,0.021,0.011
"P22","No sabe",0.046,0.035,0.052,0.025
"P25","A Leandro Santoro por el Frente de Todos",0.624,0.765,0.488,0.843
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.173,0.099,0.19,0.028
"P25","A Ramiro Marra por La Libertad Avanza",0.122,0.022,0.212,0.026
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.039,0.045,0.008,0.011
"P25","A Luis Zamora por Autodeterminación y Libertad",0,0.016,0.025,0.045
"P25","En blanco",0.013,0.012,0.024,0.026
"P25","No sabe",0.029,0.041,0.053,0.021
"P28","A Pedro Rosemblat por el Frente de Todos",0.464,0.432,0.364,0.689
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.183,0.083,0.229,0.044
"P28","A Ramiro Marra por La Libertad Avanza",0.128,0.141,0.074,0.027
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.044,0.06,0.017,0.026
"P28","A Luis Zamora por Autodeterminación y Libertad",0.028,0.048,0.043,0.059
"P28","En blanco",0.08,0.064,0.078,0.055
"P28","No sabe",0.073,0.172,0.195,0.1
"P31","Lo votaría",0.612,0.622,0.562,0.769
"P31","Puede que lo vote",0.197,0.244,0.088,0.165
"P31","Nunca lo votaría",0.155,0.086,0.333,0.039
"P31","No sabe",0.036,0.048,0.017,0.027
"P32","Lo votaría",0.495,0.389,0.109,0.439
"P32","Puede que lo vote",0.237,0.262,0.23,0.304
"P32","Nunca lo votaría",0.202,0.239,0.58,0.142
"P32","No sabe",0.066,0.11,0.081,0.115
"P33","Lo votaría",0.379,0.433,0.255,0.319
"P33","Puede que lo vote",0.261,0.27,0.256,0.392
"P33","Nunca lo votaría",0.295,0.21,0.437,0.204
"P33","No sabe",0.065,0.087,0.052,0.085
"P34","Lo votaría",0.25,0.147,0.182,0.01
"P34","Puede que lo vote",0.138,0.086,0.11,0.027
"P34","Nunca lo votaría",0.585,0.715,0.689,0.934
"P34","No sabe",0.027,0.052,0.019,0.029
"P35","Lo votaría",0.106,0.11,0.155,0.006
"P35","Puede que lo vote",0.23,0.251,0.158,0.06
"P35","Nunca lo votaría",0.639,0.607,0.671,0.907
"P35","No sabe",0.025,0.032,0.016,0.027
"P36","Lo votaría",0.082,0.015,0.178,0.019
"P36","Puede que lo vote",0.183,0.131,0.166,0.008
"P36","Nunca lo votaría",0.724,0.817,0.647,0.956
"P36","No sabe",0.011,0.037,0.009,0.017
"P37","Lo votaría",0.14,0.103,0.17,0.099
"P37","Puede que lo vote",0.237,0.318,0.161,0.416
"P37","Nunca lo votaría",0.529,0.524,0.626,0.422
"P37","No sabe",0.094,0.055,0.043,0.063
"P38","Lo votaría",0.097,0.056,0.111,0.026
"P38","Puede que lo vote",0.148,0.118,0.077,0.049
"P38","Nunca lo votaría",0.705,0.817,0.791,0.909
"P38","No sabe",0.05,0.009,0.021,0.016
"P39","Si",0.563,0.518,0.576,0.575
"P39","No",0.437,0.482,0.424,0.425
