"var","categoria","A Jorge Macri por Juntos por el Cambio","A Martín Lousteau por Juntos por el Cambio","A Ricardo López Murphy por Juntos por el Cambio","A Leandro Santoro por el Frente de Todos","A Matías Lammens por el Frente de Todos","A Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P10","Martín Lousteau por Juntos por el Cambio",0.068,0.784,0.203,0.018,0.194,0.013,0.046,0.014,0.043,0.046
"P10","Ramiro Marra por La Libertad Avanza",0.028,0.018,0.117,0.017,0.023,0.836,0.01,0.016,0.06,0.064
"P10","Al candidato del Frente de Izquierda",0.002,0.004,0.021,0.007,0.07,0.002,0.704,0.072,0.009,0.006
"P10","A Luis Zamora por Autodeterminación y Libertad",0.004,0.003,0.012,0.011,0.029,0.037,0.017,0.359,0.009,0.011
"P10","En blanco",0.004,0.018,0.035,0.01,0.016,0.028,0.077,0.088,0.562,0.04
"P10","No sabe",0.019,0.032,0.15,0.022,0.06,0.028,0.122,0.373,0.185,0.73
"P11","María Eugenia Vidal por Juntos por el Cambio",0.552,0.189,0.324,0.054,0.18,0.051,0,0.033,0.088,0.112
"P11","Martín Lousteau por Juntos por el Cambio",0.187,0.693,0.18,0.044,0.205,0.02,0.054,0.011,0.04,0.053
"P11","Leandro Santoro por el Frente de Todos",0.043,0.072,0.141,0.863,0.478,0,0.01,0.044,0.076,0.058
"P11","Ramiro Marra por La Libertad Avanza",0.064,0.019,0.147,0.017,0.007,0.849,0.056,0.01,0.064,0.05
"P11","Al candidato del Frente de Izquierda",0.004,0.005,0.022,0.006,0.071,0.003,0.7,0.024,0.023,0.012
"P11","A Luis Zamora por Autodeterminación y Libertad",0.004,0.001,0.011,0.006,0.02,0.039,0.03,0.402,0.009,0.004
"P11","En blanco",0.048,0.006,0.031,0.002,0.007,0.012,0.12,0.051,0.593,0.034
"P11","No sabe",0.098,0.015,0.144,0.008,0.032,0.026,0.03,0.425,0.107,0.677
"P13","A Martín Lousteau por Juntos por el Cambio",0.12,0.671,0.097,0.009,0.173,0.024,0,0.007,0.029,0.051
"P13","A Jorge Macri por Juntos por el Cambio",0.719,0.155,0.041,0.064,0.064,0.014,0.006,0.036,0.078,0.018
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.081,0.033,0.705,0.002,0.032,0.029,0.027,0.013,0.014,0.015
"P13","A Leandro Santoro por el Frente de Todos",0.007,0.078,0.076,0.783,0.278,0.005,0.026,0.084,0.069,0.036
"P13","A Pedro Rosemblat por el Frente de Todos",0.047,0.022,0.028,0.101,0.357,0.016,0.056,0.041,0.033,0.094
"P13","A Ramiro Marra por La Libertad Avanza",0.016,0.006,0.016,0.014,0.018,0.837,0.059,0,0.028,0.064
"P13","Al candidato del Frente de Izquierda",0.002,0.003,0.023,0.006,0.056,0.003,0.76,0.04,0.016,0
"P13","A Luis Zamora por Autodeterminación y Libertad",0.002,0,0.006,0.006,0.002,0.052,0.038,0.644,0.024,0.036
"P13","En blanco",0.001,0.008,0.005,0.004,0.007,0.003,0.023,0.006,0.562,0.028
"P13","No sabe",0.005,0.024,0.003,0.011,0.013,0.017,0.005,0.129,0.147,0.658
"P14","A Leandro Santoro por el Frente de Todos",0.049,0.057,0.087,0.77,0.331,0.007,0.022,0.018,0.093,0.073
"P14","A Pedro Rosemblat por el Frente de Todos",0.06,0.046,0.015,0.119,0.292,0.003,0.046,0.018,0.041,0.113
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.515,0.18,0.338,0.049,0.124,0.053,0.025,0.038,0.098,0.162
"P14","A Martín Lousteau por Juntos por el Cambio",0.16,0.664,0.174,0.026,0.097,0.017,0.032,0.114,0.017,0.067
"P14","A Ramiro Marra por La Libertad Avanza",0.073,0.015,0.166,0.01,0.07,0.722,0.017,0.05,0.093,0.037
"P14","Al candidato del Frente de Izquierda",0.004,0.005,0.001,0.013,0.015,0.102,0.616,0.006,0.016,0.041
"P14","A Luis Zamora por Autodeterminación y Libertad",0.005,0.002,0.036,0.007,0.048,0.056,0.096,0.299,0.023,0.026
"P14","En blanco",0.046,0.01,0.085,0,0.008,0.007,0.063,0.288,0.377,0.046
"P14","No sabe",0.088,0.021,0.098,0.006,0.015,0.033,0.083,0.169,0.242,0.435
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.023,0.04,0.122,0.903,0.544,0.012,0.08,0.2,0.216,0.229
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.829,0.171,0.442,0.021,0.12,0.034,0.016,0.046,0.093,0.11
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.075,0.689,0.158,0.017,0.194,0.012,0.039,0.033,0.142,0.043
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.057,0.071,0.097,0.022,0.014,0.768,0.069,0.013,0.118,0.138
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.004,0.005,0.038,0.013,0.071,0.102,0.536,0.059,0.07,0.003
"P15","A Luis Zamora por Autodeterminación y Libertad",0.003,0.001,0.005,0.013,0.014,0.058,0.139,0.235,0.039,0.009
"P15","En blanco",0,0.006,0.05,0.002,0.03,0.005,0.087,0.057,0.202,0.024
"P15","No sabe",0.009,0.017,0.088,0.009,0.013,0.009,0.034,0.357,0.12,0.444
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.033,0.045,0.091,0.927,0.593,0.009,0.078,0.247,0.217,0.204
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.714,0.252,0.426,0.018,0.104,0.03,0.016,0.025,0.074,0.229
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.105,0.652,0.155,0.016,0.18,0.011,0.057,0.066,0.088,0.086
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.076,0.025,0.147,0.014,0.004,0.87,0.071,0.028,0.212,0.11
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.003,0.002,0.017,0.008,0.095,0.012,0.648,0.04,0.067,0.026
"P16","A Luis Zamora por Autodeterminación y Libertad",0.003,0.012,0.003,0.008,0.014,0.056,0.022,0.257,0.005,0.004
"P16","En blanco",0.027,0.005,0.039,0.003,0.006,0.007,0.053,0.044,0.27,0.019
"P16","No sabe",0.039,0.007,0.122,0.006,0.004,0.005,0.055,0.293,0.067,0.322
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.723,0.092,0.142,0.093,0.087,0.029,0.006,0.042,0.029,0.124
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.113,0.673,0.12,0.003,0.125,0.076,0.015,0.007,0.047,0.048
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.093,0.082,0.559,0.037,0.025,0.023,0.091,0.063,0.132,0.084
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.01,0.035,0.074,0.621,0.249,0.076,0.055,0.066,0.153,0.135
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.004,0.05,0.019,0.21,0.469,0.016,0.175,0.112,0.117,0.146
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.039,0.028,0.026,0.009,0.011,0.739,0.084,0.135,0.144,0.074
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.004,0.004,0.013,0.007,0.021,0,0.545,0.083,0.19,0
"P17","A Luis Zamora por Autodeterminación y Libertad",0.006,0.007,0.029,0.017,0.009,0.037,0.029,0.419,0.026,0.039
"P17","En blanco",0.001,0.015,0.006,0.002,0,0.004,0,0.008,0.162,0.024
"P17","No sabe",0.007,0.014,0.012,0.001,0.004,0,0,0.065,0,0.326
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.047,0.034,0.084,0.62,0.236,0.013,0.08,0.071,0.139,0.089
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.028,0.045,0.044,0.258,0.383,0.032,0.049,0.126,0.109,0.201
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.662,0.217,0.417,0.047,0.176,0.04,0.032,0.042,0.074,0.252
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.104,0.641,0.151,0.035,0.081,0.017,0.009,0.039,0.078,0.04
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.071,0.018,0.141,0.019,0.017,0.776,0.107,0.048,0.256,0.104
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.015,0.023,0.006,0.006,0.015,0.062,0.51,0.172,0.013,0
"P18","A Luis Zamora por Autodeterminación y Libertad",0.004,0.004,0.018,0.008,0.051,0.047,0.135,0.26,0.08,0.004
"P18","En blanco",0.033,0.006,0.061,0.001,0.038,0.011,0.016,0.209,0.117,0.04
"P18","No sabe",0.036,0.012,0.078,0.006,0.003,0.002,0.062,0.033,0.134,0.27
"P19","A Martín Lousteau por Juntos por el Cambio",0.491,0.844,0.356,0.023,0.26,0.038,0.051,0.051,0.113,0.096
"P19","A Ramiro Marra por La Libertad Avanza",0.126,0.029,0.202,0.023,0.065,0.826,0.12,0.023,0.226,0.086
"P19","A Leandro Santoro por el Frente de Todos",0.029,0.031,0.103,0.923,0.522,0.014,0.058,0.171,0.089,0.197
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.012,0.006,0.016,0.011,0.022,0.024,0.687,0.041,0.043,0.003
"P19","A Luis Zamora por Autodeterminación y Libertad",0.02,0.019,0.027,0.009,0.012,0.047,0.017,0.393,0.011,0.008
"P19","En blanco",0.138,0.019,0.158,0.002,0.056,0.004,0.03,0.071,0.356,0.064
"P19","No sabe",0.184,0.052,0.138,0.009,0.063,0.047,0.037,0.25,0.162,0.546
"P22","A Leandro Santoro por el Frente de Todos",0.045,0.126,0.093,0.84,0.639,0.033,0.098,0.086,0.146,0.191
"P22","A Jorge Macri por Juntos por el Cambio",0.791,0.421,0.512,0.063,0.105,0.06,0.034,0.044,0.086,0.158
"P22","A Ramiro Marra por La Libertad Avanza",0.07,0.088,0.151,0.069,0.079,0.796,0.071,0,0.181,0.099
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.012,0.026,0.02,0.009,0.081,0.029,0.747,0.127,0.024,0.005
"P22","A Luis Zamora por Autodeterminación y Libertad",0.021,0.03,0.011,0.005,0.018,0.043,0,0.437,0.044,0
"P22","En blanco",0.026,0.105,0.079,0.005,0.014,0.016,0.008,0.076,0.444,0.072
"P22","No sabe",0.035,0.204,0.134,0.009,0.064,0.023,0.042,0.23,0.075,0.475
"P25","A Leandro Santoro por el Frente de Todos",0.045,0.095,0.136,0.884,0.499,0.062,0.092,0.18,0.166,0.227
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.72,0.536,0.436,0.057,0.236,0.079,0,0.036,0.12,0.114
"P25","A Ramiro Marra por La Libertad Avanza",0.09,0.07,0.201,0.035,0.071,0.761,0,0,0.167,0.106
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.015,0.031,0.014,0.007,0.015,0.019,0.726,0.029,0.031,0
"P25","A Luis Zamora por Autodeterminación y Libertad",0.011,0.029,0.008,0.011,0.067,0.053,0.042,0.444,0.109,0.013
"P25","En blanco",0.059,0.09,0.091,0.002,0.088,0.011,0,0.121,0.353,0.047
"P25","No sabe",0.06,0.149,0.114,0.004,0.024,0.015,0.14,0.19,0.054,0.493
"P28","A Pedro Rosemblat por el Frente de Todos",0.058,0.078,0.104,0.58,0.508,0.024,0.09,0.079,0.246,0.166
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.668,0.554,0.482,0.068,0.173,0.029,0.057,0.046,0.12,0.258
"P28","A Ramiro Marra por La Libertad Avanza",0.123,0.067,0.191,0.066,0.116,0.815,0.074,0,0.239,0.042
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.013,0.03,0.017,0.047,0.026,0.029,0.687,0.036,0.021,0
"P28","A Luis Zamora por Autodeterminación y Libertad",0.019,0.047,0.012,0.052,0.069,0.055,0.027,0.517,0,0.021
"P28","En blanco",0.051,0.092,0.072,0.072,0.075,0.021,0,0.136,0.265,0.063
"P28","No sabe",0.068,0.132,0.122,0.115,0.033,0.027,0.065,0.186,0.109,0.45
"P31","Lo votaría",0.056,0.059,0.1,0.85,0.358,0.035,0.025,0.104,0.148,0.124
"P31","Puede que lo vote",0.052,0.14,0.067,0.11,0.337,0.062,0.252,0.327,0.024,0.205
"P31","Nunca lo votaría",0.854,0.714,0.786,0.029,0.25,0.872,0.471,0.473,0.716,0.383
"P31","No sabe",0.038,0.087,0.047,0.011,0.055,0.031,0.252,0.096,0.112,0.288
"P32","Lo votaría",0.013,0.036,0.059,0.442,0.37,0.045,0.085,0.061,0.106,0.152
"P32","Puede que lo vote",0.033,0.061,0.049,0.292,0.243,0.042,0.309,0.308,0.034,0.135
"P32","Nunca lo votaría",0.864,0.775,0.85,0.185,0.251,0.844,0.486,0.502,0.766,0.381
"P32","No sabe",0.09,0.128,0.042,0.081,0.136,0.069,0.12,0.129,0.094,0.332
"P33","Lo votaría",0.01,0.044,0.038,0.343,0.465,0.034,0.025,0.064,0.1,0.01
"P33","Puede que lo vote",0.048,0.078,0.065,0.395,0.173,0.063,0.22,0.23,0.026,0.199
"P33","Nunca lo votaría",0.846,0.777,0.855,0.182,0.275,0.866,0.681,0.652,0.84,0.442
"P33","No sabe",0.096,0.101,0.042,0.08,0.087,0.037,0.074,0.054,0.034,0.349
"P34","Lo votaría",0.725,0.18,0.283,0.058,0.156,0.041,0,0.05,0.12,0.07
"P34","Puede que lo vote",0.109,0.376,0.366,0.052,0.125,0.283,0.118,0.108,0.045,0.209
"P34","Nunca lo votaría",0.146,0.368,0.319,0.87,0.665,0.65,0.846,0.744,0.708,0.499
"P34","No sabe",0.02,0.076,0.032,0.02,0.054,0.026,0.036,0.098,0.127,0.222
"P35","Lo votaría",0.234,0.688,0.215,0.028,0.154,0.061,0.044,0.022,0.034,0.064
"P35","Puede que lo vote",0.392,0.219,0.276,0.111,0.224,0.101,0.146,0.182,0.14,0.259
"P35","Nunca lo votaría",0.328,0.073,0.476,0.837,0.595,0.807,0.748,0.743,0.752,0.485
"P35","No sabe",0.046,0.02,0.033,0.024,0.027,0.031,0.062,0.053,0.074,0.192
"P36","Lo votaría",0.359,0.28,0.706,0.022,0.142,0.084,0,0.037,0.141,0.046
"P36","Puede que lo vote",0.403,0.39,0.139,0.035,0.148,0.422,0.079,0.121,0.106,0.173
"P36","Nunca lo votaría",0.187,0.261,0.149,0.927,0.678,0.442,0.884,0.77,0.699,0.594
"P36","No sabe",0.051,0.069,0.006,0.016,0.032,0.052,0.037,0.072,0.054,0.187
"P37","Lo votaría",0.065,0.067,0.131,0.104,0.058,0.078,0.176,0.666,0.008,0.013
"P37","Puede que lo vote",0.084,0.176,0.133,0.388,0.29,0.026,0.376,0.088,0.086,0.131
"P37","Nunca lo votaría",0.789,0.674,0.704,0.446,0.598,0.871,0.402,0.231,0.856,0.57
"P37","No sabe",0.062,0.083,0.032,0.062,0.054,0.025,0.046,0.015,0.05,0.286
"P38","Lo votaría",0.483,0.375,0.293,0.045,0.145,0.07,0.103,0.105,0.108,0.212
"P38","Puede que lo vote",0.273,0.258,0.317,0.049,0.121,0.127,0.11,0.096,0.038,0.096
"P38","Nunca lo votaría",0.207,0.317,0.351,0.89,0.704,0.762,0.744,0.769,0.79,0.522
"P38","No sabe",0.037,0.05,0.039,0.016,0.03,0.041,0.043,0.03,0.064,0.17
"P39","Si",0.544,0.576,0.587,0.553,0.531,0.575,0.537,0.453,0.42,0.57
"P39","No",0.456,0.424,0.413,0.447,0.469,0.425,0.463,0.547,0.58,0.43
