"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P30","A Martín Lousteau como Jefe de Gobierno",0.171,0.029,0.102,0.063,0.441
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.012,0.719,0.005,0.095,0.059
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.011,0.174,0.024,0.091,0.107
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.03,0.019,0.55,0.041,0.061
"P30","A los candidatos de la izquierda",0.006,0.014,0.086,0.541,0.014
"P30","No sabe",0.028,0.024,0.1,0.117,0.087
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.21,0.012,0.011,0.064,0.099
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.579,0.005,0.112,0.008,0.122
"P31","A Martín Lousteau como Jefe de Gobierno",0.146,0.026,0.076,0.063,0.415
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.008,0.698,0.008,0.093,0.059
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.181,0.046,0.044,0.105
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.021,0.015,0.58,0.053,0.069
"P31","A los candidatos de la izquierda",0.005,0.043,0.061,0.535,0.017
"P31","No sabe",0.024,0.02,0.106,0.14,0.114
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.943,0.01,0.036,0.023,0.13
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.004,0.883,0.028,0.126,0.115
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.016,0.017,0.887,0.086,0.051
"P33","A los candidatos de la izquierda",0.01,0.04,0.02,0.726,0.038
"P33","No sabe",0.027,0.05,0.029,0.039,0.666
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.759,0.012,0.041,0.101,0.258
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.007,0.941,0.029,0.115,0.077
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.12,0.01,0.886,0.049,0.073
"P34","A los candidatos de la izquierda",0.003,0.016,0.009,0.679,0.024
"P34","No sabe",0.111,0.021,0.035,0.056,0.568
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.75,0.019,0.055,0.07,0.255
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.009,0.892,0.035,0.06,0.091
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.14,0.012,0.877,0.063,0.091
"P35","A los candidatos de la izquierda",0.004,0.04,0.012,0.747,0.058
"P35","No sabe",0.097,0.037,0.021,0.06,0.505
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.754,0.019,0.06,0.096,0.419
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.007,0.943,0.034,0.085,0.078
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.14,0.005,0.87,0.056,0.08
"P36","A los candidatos de la izquierda",0.004,0.019,0.016,0.705,0.023
"P36","No sabe",0.095,0.014,0.02,0.058,0.4
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.76,0.019,0.087,0.132,0.439
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.012,0.907,0.008,0.13,0.101
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.125,0.01,0.879,0.049,0.104
"P37","A los candidatos de la izquierda",0.005,0.029,0.003,0.627,0.029
"P37","No sabe",0.098,0.035,0.023,0.062,0.327
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.737,0.086,0.052,0.014,0.21
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.053,0.863,0.005,0.105,0.108
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.13,0.009,0.919,0.05,0.106
"P38","A los candidatos de la izquierda",0.006,0.02,0.004,0.737,0.047
"P38","No sabe",0.074,0.022,0.02,0.094,0.529
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.683,0.136,0.025,0.019,0.209
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.106,0.777,0.018,0.105,0.1
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.133,0.009,0.936,0.06,0.076
"P40","A los candidatos de la izquierda",0.005,0.037,0.003,0.738,0.033
"P40","No sabe",0.073,0.041,0.018,0.078,0.582
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.706,0.09,0.048,0.084,0.295
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.052,0.869,0.012,0.098,0.119
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.148,0.009,0.914,0.056,0.115
"P42","A los candidatos de la izquierda",0.005,0.006,0.005,0.706,0.018
"P42","No sabe",0.089,0.026,0.021,0.056,0.453
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.688,0.122,0.029,0.041,0.265
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.077,0.79,0.009,0.141,0.131
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.147,0.014,0.937,0.063,0.074
"P44","A los candidatos de la izquierda",0.003,0.032,0,0.697,0.056
"P44","No sabe",0.085,0.042,0.025,0.058,0.474
"P46","Jorge Macri por Juntos por el Cambio",0.93,0.012,0.528,0.133,0.307
"P46","Leandro Santoro por el Frente de Todos",0.011,0.961,0.048,0.468,0.138
"P46","No sabe",0.059,0.027,0.424,0.399,0.555
"P47","Soledad Acuña por Juntos por el Cambio",0.798,0.011,0.462,0.147,0.277
"P47","Leandro Santoro por el Frente de Todos",0.012,0.971,0.068,0.428,0.169
"P47","No sabe",0.19,0.018,0.47,0.425,0.554
"P48","Fernán Quirós por Juntos por el Cambio",0.884,0.037,0.457,0.105,0.432
"P48","Leandro Santoro por el Frente de Todos",0.01,0.941,0.064,0.428,0.138
"P48","No sabe",0.106,0.022,0.479,0.467,0.43
"P49","Martín Lousteau por Juntos por el Cambio",0.801,0.03,0.454,0.161,0.587
"P49","Leandro Santoro por el Frente de Todos",0.01,0.95,0.057,0.402,0.142
"P49","No sabe",0.189,0.02,0.489,0.437,0.271
"P50","María Eugenia Vidal por Juntos por el Cambio",0.843,0.014,0.415,0.076,0.349
"P50","Leandro Santoro por el Frente de Todos",0.01,0.974,0.067,0.466,0.155
"P50","No sabe",0.147,0.012,0.518,0.458,0.496
"P51","Muy buena",0.373,0.079,0.084,0.112,0.118
"P51","Buena",0.404,0.092,0.258,0.056,0.309
"P51","Ni buena ni mala",0.133,0.107,0.268,0.152,0.361
"P51","Mala",0.054,0.265,0.186,0.274,0.129
"P51","Muy mala",0.025,0.453,0.195,0.406,0.061
"P51","No sabe",0.011,0.004,0.009,0,0.022
"P52","Muy buena",0.428,0.027,0.075,0.045,0.093
"P52","Buena",0.346,0.026,0.184,0,0.16
"P52","Ni buena ni mala",0.174,0.128,0.434,0.048,0.422
"P52","Mala",0.028,0.257,0.163,0.291,0.173
"P52","Muy mala",0.011,0.533,0.109,0.549,0.101
"P52","No sabe",0.013,0.029,0.035,0.067,0.051
"P53","Muy buena",0.045,0.62,0.022,0.161,0.045
"P53","Buena",0.061,0.215,0.061,0.1,0.131
"P53","Ni buena ni mala",0.234,0.041,0.222,0.183,0.284
"P53","Mala",0.276,0.031,0.276,0.215,0.204
"P53","Muy mala",0.34,0.08,0.399,0.292,0.195
"P53","No sabe",0.044,0.013,0.02,0.049,0.141
"P54","Muy buena",0.346,0.073,0.067,0.093,0.142
"P54","Buena",0.342,0.017,0.163,0.038,0.207
"P54","Ni buena ni mala",0.172,0.03,0.257,0.049,0.287
"P54","Mala",0.086,0.127,0.223,0.19,0.189
"P54","Muy mala",0.054,0.746,0.286,0.63,0.124
"P54","No sabe",0,0.007,0.004,0,0.051
"P55","Muy buena",0.263,0.01,0.07,0.096,0.066
"P55","Buena",0.369,0.015,0.152,0.012,0.122
"P55","Ni buena ni mala",0.252,0.06,0.338,0.113,0.36
"P55","Mala",0.068,0.107,0.172,0.178,0.172
"P55","Muy mala",0.019,0.792,0.14,0.563,0.123
"P55","No sabe",0.029,0.016,0.128,0.038,0.157
"P56","Muy buena",0.266,0.021,0.116,0.116,0.302
"P56","Buena",0.296,0.043,0.107,0.069,0.202
"P56","Ni buena ni mala",0.235,0.145,0.277,0.082,0.219
"P56","Mala",0.131,0.315,0.199,0.319,0.132
"P56","Muy mala",0.062,0.472,0.287,0.376,0.061
"P56","No sabe",0.01,0.004,0.014,0.038,0.084
"P57","Muy buena",0.042,0.208,0.037,0.137,0.097
"P57","Buena",0.054,0.391,0.033,0.046,0.045
"P57","Ni buena ni mala",0.201,0.231,0.196,0.215,0.239
"P57","Mala",0.288,0.053,0.267,0.254,0.272
"P57","Muy mala",0.384,0.107,0.393,0.311,0.185
"P57","No sabe",0.031,0.01,0.074,0.037,0.162
"P58","Muy buena",0.499,0.012,0.267,0.105,0.151
"P58","Buena",0.251,0.052,0.256,0.068,0.149
"P58","Ni buena ni mala",0.166,0.083,0.281,0.049,0.384
"P58","Mala",0.037,0.121,0.078,0.121,0.125
"P58","Muy mala",0.035,0.731,0.114,0.657,0.075
"P58","No sabe",0.012,0.001,0.004,0,0.116
"P59","Muy buena",0.604,0.042,0.165,0.13,0.298
"P59","Buena",0.234,0.136,0.211,0.031,0.159
"P59","Ni buena ni mala",0.123,0.275,0.349,0.173,0.313
"P59","Mala",0.016,0.188,0.106,0.277,0.088
"P59","Muy mala",0.006,0.342,0.122,0.383,0.016
"P59","No sabe",0.017,0.017,0.047,0.006,0.126
"P60","Muy buena",0.049,0.348,0.013,0.139,0.078
"P60","Buena",0.03,0.328,0.03,0.107,0.059
"P60","Ni buena ni mala",0.135,0.156,0.214,0.267,0.138
"P60","Mala",0.255,0.044,0.186,0.123,0.234
"P60","Muy mala",0.478,0.081,0.452,0.259,0.344
"P60","No sabe",0.053,0.043,0.105,0.105,0.147
"P61","Muy buena",0.01,0.191,0.004,0.136,0
"P61","Buena",0.015,0.137,0.002,0.071,0.015
"P61","Ni buena ni mala",0.162,0.32,0.211,0.262,0.265
"P61","Mala",0.169,0.033,0.159,0.142,0.108
"P61","Muy mala",0.329,0.075,0.38,0.202,0.188
"P61","No sabe",0.315,0.244,0.244,0.187,0.424
"P62","Muy buena",0.007,0.158,0,0.087,0
"P62","Buena",0.007,0.454,0,0.063,0.061
"P62","Ni buena ni mala",0.029,0.278,0.061,0.154,0.117
"P62","Mala",0.122,0.069,0.136,0.412,0.17
"P62","Muy mala",0.817,0.026,0.782,0.284,0.568
"P62","No sabe",0.018,0.015,0.021,0,0.084
"P63","Muy buena",0.007,0.134,0,0.108,0.004
"P63","Buena",0.004,0.419,0.009,0.06,0.076
"P63","Ni buena ni mala",0.018,0.297,0.03,0.189,0.101
"P63","Mala",0.114,0.113,0.154,0.301,0.166
"P63","Muy mala",0.856,0.032,0.797,0.342,0.62
"P63","No sabe",0.001,0.005,0.01,0,0.033
"P64","Muy buena",0.002,0.749,0.009,0.227,0.059
"P64","Buena",0.002,0.151,0.015,0.188,0.075
"P64","Ni buena ni mala",0.012,0.062,0.011,0.087,0.042
"P64","Mala",0.07,0.012,0.122,0.249,0.1
"P64","Muy mala",0.911,0.026,0.83,0.249,0.707
"P64","No sabe",0.003,0,0.013,0,0.017
"P65","Muy buena",0.444,0.096,0.085,0.087,0.115
"P65","Buena",0.284,0.023,0.216,0,0.156
"P65","Ni buena ni mala",0.136,0.02,0.241,0.034,0.177
"P65","Mala",0.041,0.08,0.242,0.072,0.264
"P65","Muy mala",0.095,0.78,0.212,0.807,0.28
"P65","No sabe",0,0.001,0.004,0,0.008
"P66","Muy buena",0.265,0.035,0.036,0.107,0.141
"P66","Buena",0.382,0.017,0.133,0.044,0.235
"P66","Ni buena ni mala",0.186,0.065,0.215,0.028,0.296
"P66","Mala",0.089,0.167,0.271,0.055,0.219
"P66","Muy mala",0.076,0.716,0.341,0.766,0.102
"P66","No sabe",0.002,0,0.004,0,0.007
"P67","Muy buena",0.022,0.158,0.017,0.087,0.023
"P67","Buena",0.038,0.46,0.033,0.081,0.05
"P67","Ni buena ni mala",0.065,0.215,0.074,0.12,0.25
"P67","Mala",0.192,0.051,0.258,0.426,0.232
"P67","Muy mala",0.677,0.113,0.614,0.28,0.383
"P67","No sabe",0.006,0.003,0.004,0.006,0.062
"P68","Muy buena",0.653,0.027,0.274,0.093,0.13
"P68","Buena",0.195,0.061,0.343,0.006,0.168
"P68","Ni buena ni mala",0.06,0.035,0.152,0.068,0.26
"P68","Mala",0.021,0.079,0.085,0.095,0.151
"P68","Muy mala",0.067,0.795,0.14,0.738,0.239
"P68","No sabe",0.004,0.003,0.006,0,0.052
"P69","Muy buena",0.12,0.012,0.695,0.112,0.082
"P69","Buena",0.18,0.01,0.207,0.062,0.052
"P69","Ni buena ni mala",0.364,0.036,0.081,0.016,0.249
"P69","Mala",0.197,0.057,0.011,0.029,0.205
"P69","Muy mala",0.117,0.879,0.006,0.781,0.347
"P69","No sabe",0.022,0.006,0,0,0.065
"P70","Muy buena",0.065,0.034,0.113,0.087,0.19
"P70","Buena",0.165,0.097,0.109,0.031,0.18
"P70","Ni buena ni mala",0.384,0.347,0.349,0.113,0.358
"P70","Mala",0.201,0.172,0.159,0.197,0.101
"P70","Muy mala",0.16,0.321,0.21,0.504,0.059
"P70","No sabe",0.025,0.029,0.06,0.068,0.112
"P71","Siempre",0.345,0.295,0.276,0.336,0.226
"P71","Casi siempre",0.445,0.423,0.391,0.355,0.346
"P71","Casi nunca",0.15,0.193,0.232,0.099,0.296
"P71","Nunca, pero esta es una excepción",0.06,0.089,0.101,0.21,0.132
"P72","Si",0.613,0.551,0.558,0.613,0.48
"P72","No",0.387,0.449,0.442,0.387,0.52
