"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario","A los candidatos de la izquierda","No sabe"
"P08","6",0.028,0.063,0.03,0.05,0.028,0.004,0.013,0.037,0.003,0.015
"P08","7",0.065,0.066,0.01,0.047,0.041,0.007,0.019,0.046,0.003,0.037
"P08","8",0.043,0.074,0.005,0.046,0.035,0.01,0.004,0.044,0.003,0.038
"P08","9",0.39,0.307,0.45,0.259,0.233,0.059,0.133,0.394,0.038,0.231
"P10","Del Frente de Todos y el peronismo",0.043,0.02,0.099,0.108,0.076,0.885,0.829,0.022,0.262,0.311
"P10","De Cambiemos",0.791,0.705,0.643,0.675,0.722,0.042,0.038,0.026,0.024,0.348
"P10","De los Liberales libertarios",0.119,0.193,0.097,0.098,0.062,0.012,0.024,0.849,0.042,0.117
"P10","De la Izquierda",0.006,0.008,0.028,0.006,0.013,0.017,0.025,0.006,0.542,0.046
"P10","No sabe",0.041,0.074,0.133,0.113,0.127,0.044,0.084,0.097,0.13,0.178
"P11","A Alberto Fernández",0.233,0.055,0.325,0.079,0.134,0.094,0.13,0.071,0.053,0.14
"P11","A Sergio Massa",0.349,0.209,0.266,0.154,0.451,0.175,0.21,0.519,0.089,0.33
"P11","A algún candidato del peronismo",0.383,0.736,0.177,0.237,0.305,0.106,0.14,0,0.098,0.171
"P11","A algún candidato del kirchnerismo",0.035,0,0.232,0.53,0.11,0.625,0.52,0.41,0.76,0.359
"P12","A Alberto Fernández",0.195,0.055,0.165,0.079,0.058,0.049,0.086,0,0.016,0.115
"P12","A Sergio Massa",0.292,0.209,0.443,0.172,0.31,0.082,0.134,0.416,0.085,0.203
"P12","A algún candidato del peronismo",0.393,0.736,0,0.165,0.406,0.067,0.095,0.071,0.08,0.121
"P12","A Cristina Fernández de Kirchner",0.12,0,0.392,0.584,0.226,0.802,0.685,0.513,0.819,0.561
"P13","A Horacio Rodriguez Larreta",0.071,0.057,0.355,0.519,0.507,0.294,0.562,0.404,0.082,0.415
"P13","A Mauricio Macri",0.393,0.375,0.335,0.278,0.176,0.078,0.104,0.122,0,0.227
"P13","A Patricia Bullrich",0.532,0.555,0.19,0.134,0.156,0.105,0.104,0.352,0,0.245
"P13","A Facundo Manes",0.003,0.007,0.023,0.042,0.084,0.479,0.157,0.122,0.918,0.056
"P13","A Gerardo Morales",0.001,0.006,0.097,0.027,0.077,0.044,0.073,0,0,0.057
"P14","Del Frente de Todos y el peronismo",0.024,0.012,0.115,0.087,0.046,0.829,0.819,0.016,0.294,0.242
"P14","A Juntos por el Cambio",0.825,0.742,0.725,0.784,0.821,0.028,0.046,0.089,0.02,0.308
"P14","De los Liberales libertarios",0.111,0.181,0.061,0.05,0.034,0.021,0.022,0.806,0.016,0.152
"P14","De la Izquierda",0.01,0.004,0.05,0.006,0.012,0.077,0.064,0.007,0.565,0.102
"P14","No sabe",0.03,0.061,0.049,0.073,0.087,0.045,0.049,0.082,0.105,0.196
"P16","A Leandro Santoro",0.408,0.403,0.681,0.662,0.737,0.777,0.376,0.721,0.464,0.624
"P16","A Matias Lammens",0.506,0.597,0.067,0.053,0.213,0.052,0.373,0.279,0.26,0.218
"P16","A Mariano Recalde",0.086,0,0.252,0.285,0.05,0.171,0.251,0,0.276,0.158
"P17","A Soledad Acuña",0.019,0.044,0.214,0.014,0.023,0.112,0,0.126,0,0.061
"P17","A Jorge Macri",0.602,0.184,0.356,0.186,0.097,0.126,0.048,0.271,0,0.247
"P17","A Martín Lousteau",0.139,0.135,0.188,0.074,0.727,0.287,0.109,0.243,1,0.211
"P17","A Fernan Quirós",0.149,0.153,0.161,0.638,0.106,0.388,0.544,0.229,0,0.278
