"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Martín Lousteau","Positiva",0.357,0.326,0.382,0.156,0.284,0.42,0.488,0.347,0.359,0.357,0.095,0.506,0.49
"Martín Lousteau","Neutra",0.207,0.232,0.186,0.178,0.211,0.207,0.213,0.284,0.188,0.201,0.166,0.228,0.23
"Martín Lousteau","Negativa",0.421,0.431,0.414,0.644,0.484,0.364,0.29,0.324,0.44,0.432,0.719,0.259,0.28
"Martín Lousteau","No sabe",0.015,0.011,0.018,0.022,0.021,0.009,0.009,0.045,0.013,0.01,0.02,0.007,0
"María Eugenia Vidal","Positiva",0.41,0.379,0.435,0.261,0.33,0.459,0.555,0.477,0.414,0.391,0.12,0.6,0.34
"María Eugenia Vidal","Neutra",0.145,0.163,0.13,0.109,0.152,0.171,0.125,0.158,0.142,0.143,0.031,0.184,0.178
"María Eugenia Vidal","Negativa",0.439,0.452,0.428,0.63,0.505,0.366,0.319,0.332,0.442,0.463,0.831,0.216,0.482
"María Eugenia Vidal","No sabe",0.006,0.006,0.007,0,0.013,0.004,0.001,0.033,0.002,0.003,0.018,0,0
"Mauricio Macri","Positiva",0.44,0.391,0.482,0.289,0.366,0.51,0.555,0.473,0.43,0.438,0.116,0.673,0.212
"Mauricio Macri","Neutra",0.114,0.132,0.099,0.111,0.117,0.11,0.115,0.122,0.106,0.118,0.042,0.139,0.136
"Mauricio Macri","Negativa",0.444,0.474,0.418,0.6,0.514,0.378,0.329,0.405,0.464,0.441,0.841,0.188,0.652
"Mauricio Macri","No sabe",0.002,0.003,0.001,0,0.003,0.002,0.001,0,0,0.003,0.001,0,0
"Leandro Santoro","Positiva",0.326,0.319,0.333,0.34,0.372,0.283,0.294,0.342,0.322,0.325,0.754,0.134,0.289
"Leandro Santoro","Neutra",0.178,0.165,0.189,0.106,0.16,0.188,0.231,0.166,0.219,0.156,0.083,0.217,0.243
"Leandro Santoro","Negativa",0.457,0.478,0.438,0.511,0.44,0.505,0.404,0.394,0.419,0.493,0.145,0.607,0.438
"Leandro Santoro","No sabe",0.039,0.038,0.04,0.043,0.028,0.024,0.071,0.098,0.04,0.026,0.018,0.042,0.03
"Horacio Rodriguez Larreta","Positiva",0.376,0.327,0.416,0.2,0.304,0.428,0.519,0.385,0.371,0.376,0.066,0.579,0.363
"Horacio Rodriguez Larreta","Neutra",0.156,0.174,0.141,0.156,0.132,0.179,0.17,0.226,0.157,0.14,0.086,0.174,0.285
"Horacio Rodriguez Larreta","Negativa",0.466,0.496,0.442,0.644,0.561,0.393,0.307,0.389,0.47,0.481,0.848,0.245,0.352
"Horacio Rodriguez Larreta","No sabe",0.002,0.003,0.001,0,0.003,0,0.004,0,0.002,0.003,0,0.002,0
"Javier Milei","Positiva",0.278,0.369,0.201,0.377,0.29,0.279,0.21,0.37,0.277,0.258,0.057,0.335,0.299
"Javier Milei","Neutra",0.211,0.184,0.233,0.089,0.178,0.227,0.305,0.177,0.24,0.201,0.06,0.303,0.224
"Javier Milei","Negativa",0.494,0.441,0.54,0.534,0.521,0.484,0.445,0.407,0.462,0.534,0.868,0.342,0.477
"Javier Milei","No sabe",0.017,0.006,0.026,0,0.011,0.01,0.04,0.046,0.021,0.007,0.015,0.02,0
"Matías Lammens","Positiva",0.244,0.21,0.272,0.244,0.261,0.221,0.241,0.244,0.258,0.235,0.538,0.108,0.317
"Matías Lammens","Neutra",0.212,0.216,0.21,0.067,0.235,0.205,0.256,0.197,0.202,0.222,0.249,0.194,0.257
"Matías Lammens","Negativa",0.504,0.534,0.478,0.622,0.482,0.547,0.434,0.493,0.478,0.522,0.189,0.657,0.406
"Matías Lammens","No sabe",0.04,0.04,0.04,0.067,0.022,0.027,0.069,0.066,0.062,0.021,0.024,0.041,0.02
"Mariano Recalde","Positiva",0.257,0.234,0.277,0.244,0.281,0.243,0.243,0.176,0.268,0.27,0.631,0.101,0.14
"Mariano Recalde","Neutra",0.157,0.163,0.152,0.156,0.174,0.131,0.159,0.232,0.169,0.133,0.141,0.146,0.183
"Mariano Recalde","Negativa",0.521,0.533,0.51,0.422,0.49,0.6,0.531,0.509,0.452,0.564,0.174,0.701,0.649
"Mariano Recalde","No sabe",0.065,0.07,0.061,0.178,0.055,0.026,0.067,0.083,0.111,0.033,0.054,0.052,0.028
"Sergio Massa","Positiva",0.225,0.229,0.222,0.223,0.246,0.212,0.209,0.245,0.234,0.215,0.533,0.088,0.217
"Sergio Massa","Neutra",0.125,0.127,0.123,0.111,0.129,0.124,0.124,0.177,0.122,0.114,0.221,0.073,0.245
"Sergio Massa","Negativa",0.641,0.633,0.648,0.644,0.619,0.661,0.654,0.556,0.635,0.665,0.241,0.833,0.538
"Sergio Massa","No sabe",0.009,0.011,0.007,0.022,0.006,0.003,0.013,0.022,0.009,0.006,0.005,0.006,0
"CFK","Positiva",0.291,0.271,0.307,0.311,0.342,0.242,0.252,0.314,0.285,0.289,0.821,0.065,0.085
"CFK","Neutra",0.032,0.037,0.027,0.022,0.039,0.035,0.022,0.034,0.042,0.025,0.056,0.015,0.024
"CFK","Negativa",0.673,0.686,0.663,0.667,0.613,0.722,0.718,0.652,0.671,0.679,0.123,0.916,0.891
"CFK","No sabe",0.004,0.006,0.003,0,0.006,0.001,0.008,0,0.002,0.007,0,0.004,0
"Alberto Fernandez","Positiva",0.178,0.148,0.203,0.133,0.21,0.164,0.164,0.234,0.177,0.167,0.485,0.047,0.081
"Alberto Fernandez","Neutra",0.113,0.127,0.101,0.178,0.115,0.098,0.093,0.123,0.119,0.107,0.258,0.039,0.197
"Alberto Fernandez","Negativa",0.704,0.717,0.693,0.689,0.668,0.733,0.737,0.643,0.696,0.722,0.253,0.914,0.722
"Alberto Fernandez","No sabe",0.005,0.008,0.003,0,0.007,0.005,0.006,0,0.008,0.004,0.004,0,0
