"var","categoria","Fernán Quirós por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","No sabe"
"P26","No sabe",0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.296,0.004,0.141
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.298,0.018,0.215
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.038,0.008,0.021
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.131,0.008,0.011
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.147,0.006,0.107
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.628,0.048
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.221,0.027
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.075,0.021,0.323
"P27","A los candidatos de la izquierda",0.001,0.086,0.107
"P27","No sabe",0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.368,0.02,0.179
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.102,0.003,0.032
"P28","A Martín Lousteau como Jefe de Gobierno",0.214,0.041,0.157
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.186,0.024,0.115
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.017,0.698,0.039
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.011,0.117,0.022
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.068,0.035,0.297
"P28","A los candidatos de izquierda",0.018,0.042,0.111
"P28","No sabe",0.016,0.02,0.048
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.355,0.012,0.182
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.142,0.014,0.069
"P29","A Martín Lousteau como Jefe de Gobierno",0.198,0.033,0.133
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.123,0.169,0.093
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.015,0.544,0.02
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.067,0.11,0.046
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.071,0.024,0.326
"P29","A los candidatos de izquierda",0.017,0.054,0.07
"P29","No sabe",0.012,0.04,0.061
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.186,0.011,0.052
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.474,0.021,0.232
"P30","A Martín Lousteau como Jefe de Gobierno",0.184,0.032,0.159
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.026,0.663,0.048
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.154,0.029
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.081,0.032,0.291
"P30","A los candidatos de la izquierda",0.007,0.051,0.129
"P30","No sabe",0.033,0.036,0.06
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.188,0.01,0.038
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.509,0.027,0.253
"P31","A Martín Lousteau como Jefe de Gobierno",0.166,0.024,0.128
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.016,0.668,0.019
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.009,0.158,0.059
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.076,0.013,0.31
"P31","A los candidatos de la izquierda",0.002,0.073,0.128
"P31","No sabe",0.034,0.027,0.065
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.798,0.015,0.296
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.021,0.87,0.037
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.113,0.026,0.367
"P32","A los candidatos de la izquierda",0.008,0.057,0.116
"P32","No sabe",0.06,0.032,0.184
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.785,0.026,0.291
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.016,0.823,0.057
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.113,0.044,0.404
"P33","A los candidatos de la izquierda",0.013,0.064,0.117
"P33","No sabe",0.073,0.043,0.131
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.678,0.026,0.169
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.016,0.865,0.031
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.203,0.033,0.465
"P34","A los candidatos de la izquierda",0.003,0.052,0.116
"P34","No sabe",0.1,0.024,0.219
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.676,0.013,0.179
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.019,0.838,0.027
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.209,0.037,0.497
"P35","A los candidatos de la izquierda",0.008,0.07,0.119
"P35","No sabe",0.088,0.042,0.178
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.693,0.015,0.176
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.02,0.87,0.045
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.203,0.036,0.514
"P36","A los candidatos de la izquierda",0.008,0.058,0.094
"P36","No sabe",0.076,0.021,0.171
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.7,0.026,0.212
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.015,0.838,0.054
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.198,0.037,0.477
"P37","A los candidatos de la izquierda",0.005,0.058,0.104
"P37","No sabe",0.082,0.041,0.153
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.644,0.076,0.149
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.062,0.801,0.047
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.202,0.035,0.507
"P38","A los candidatos de la izquierda",0.011,0.057,0.117
"P38","No sabe",0.081,0.031,0.18
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.61,0.1,0.15
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.098,0.748,0.034
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.204,0.036,0.501
"P40","A los candidatos de la izquierda",0.009,0.068,0.108
"P40","No sabe",0.079,0.048,0.207
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.65,0.101,0.159
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.053,0.786,0.05
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.211,0.038,0.494
"P42","A los candidatos de la izquierda",0.003,0.05,0.108
"P42","No sabe",0.083,0.025,0.189
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.625,0.114,0.136
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.076,0.738,0.044
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.209,0.037,0.509
"P44","A los candidatos de la izquierda",0.01,0.072,0.099
"P44","No sabe",0.08,0.039,0.212
"P46","Jorge Macri por Juntos por el Cambio",0.894,0.016,0.371
"P46","Leandro Santoro por el Frente de Todos",0.029,0.96,0.02
"P46","No sabe",0.077,0.024,0.609
"P47","Soledad Acuña por Juntos por el Cambio",0.837,0.015,0.124
"P47","Leandro Santoro por el Frente de Todos",0.026,0.977,0.034
"P47","No sabe",0.137,0.008,0.842
"P49","Martín Lousteau por Juntos por el Cambio",0.834,0.035,0.283
"P49","Leandro Santoro por el Frente de Todos",0.019,0.956,0.026
"P49","No sabe",0.147,0.009,0.691
"P50","María Eugenia Vidal por Juntos por el Cambio",0.84,0.012,0.247
"P50","Leandro Santoro por el Frente de Todos",0.028,0.978,0.03
"P50","No sabe",0.132,0.01,0.723
"P51","Muy buena",0.35,0.082,0.089
"P51","Buena",0.411,0.085,0.2
"P51","Ni buena ni mala",0.15,0.09,0.322
"P51","Mala",0.046,0.267,0.23
"P51","Muy mala",0.031,0.469,0.153
"P51","No sabe",0.012,0.007,0.006
"P52","Muy buena",0.372,0.027,0.153
"P52","Buena",0.331,0.029,0.143
"P52","Ni buena ni mala",0.215,0.141,0.301
"P52","Mala",0.049,0.243,0.186
"P52","Muy mala",0.021,0.532,0.157
"P52","No sabe",0.012,0.028,0.06
"P53","Muy buena",0.046,0.592,0.027
"P53","Buena",0.069,0.211,0.062
"P53","Ni buena ni mala",0.234,0.065,0.216
"P53","Mala",0.284,0.039,0.221
"P53","Muy mala",0.325,0.081,0.393
"P53","No sabe",0.042,0.012,0.081
"P54","Muy buena",0.32,0.075,0.099
"P54","Buena",0.323,0.026,0.163
"P54","Ni buena ni mala",0.194,0.035,0.197
"P54","Mala",0.096,0.141,0.196
"P54","Muy mala",0.067,0.722,0.311
"P54","No sabe",0,0.001,0.034
"P55","Muy buena",0.254,0.017,0.044
"P55","Buena",0.347,0.023,0.115
"P55","Ni buena ni mala",0.264,0.069,0.298
"P55","Mala",0.077,0.116,0.167
"P55","Muy mala",0.029,0.763,0.207
"P55","No sabe",0.029,0.012,0.169
"P56","Muy buena",0.265,0.04,0.132
"P56","Buena",0.289,0.038,0.126
"P56","Ni buena ni mala",0.235,0.141,0.239
"P56","Mala",0.136,0.317,0.186
"P56","Muy mala",0.065,0.461,0.266
"P56","No sabe",0.01,0.003,0.051
"P57","Muy buena",0.056,0.209,0.017
"P57","Buena",0.044,0.372,0.053
"P57","Ni buena ni mala",0.207,0.231,0.194
"P57","Mala",0.293,0.067,0.247
"P57","Muy mala",0.366,0.108,0.378
"P57","No sabe",0.034,0.013,0.111
"P58","Muy buena",0.468,0.031,0.207
"P58","Buena",0.24,0.058,0.215
"P58","Ni buena ni mala",0.176,0.098,0.268
"P58","Mala",0.054,0.105,0.087
"P58","Muy mala",0.049,0.707,0.177
"P58","No sabe",0.013,0.001,0.046
"P59","Muy buena",0.611,0.04,0.084
"P59","Buena",0.226,0.124,0.196
"P59","Ni buena ni mala",0.122,0.287,0.347
"P59","Mala",0.02,0.199,0.122
"P59","Muy mala",0.003,0.334,0.168
"P59","No sabe",0.018,0.016,0.083
"P60","Muy buena",0.052,0.342,0.016
"P60","Buena",0.034,0.309,0.044
"P60","Ni buena ni mala",0.14,0.157,0.212
"P60","Mala",0.254,0.064,0.156
"P60","Muy mala",0.464,0.094,0.419
"P60","No sabe",0.056,0.034,0.153
"P61","Muy buena",0.012,0.189,0.006
"P61","Buena",0.007,0.137,0.026
"P61","Ni buena ni mala",0.176,0.326,0.19
"P61","Mala",0.168,0.037,0.144
"P61","Muy mala",0.315,0.076,0.353
"P61","No sabe",0.322,0.235,0.281
"P62","Muy buena",0.01,0.148,0.008
"P62","Buena",0.007,0.427,0.026
"P62","Ni buena ni mala",0.034,0.281,0.066
"P62","Mala",0.138,0.084,0.157
"P62","Muy mala",0.79,0.051,0.696
"P62","No sabe",0.021,0.009,0.047
"P63","Muy buena",0.012,0.129,0.002
"P63","Buena",0.005,0.395,0.037
"P63","Ni buena ni mala",0.028,0.288,0.053
"P63","Mala",0.129,0.127,0.143
"P63","Muy mala",0.823,0.057,0.751
"P63","No sabe",0.003,0.004,0.014
"P64","Muy buena",0.01,0.709,0.036
"P64","Buena",0.008,0.159,0.038
"P64","Ni buena ni mala",0.014,0.062,0.029
"P64","Mala",0.077,0.029,0.122
"P64","Muy mala",0.886,0.041,0.763
"P64","No sabe",0.005,0,0.012
"P65","Muy buena",0.386,0.094,0.179
"P65","Buena",0.27,0.032,0.169
"P65","Ni buena ni mala",0.152,0.031,0.15
"P65","Mala",0.079,0.071,0.184
"P65","Muy mala",0.112,0.771,0.312
"P65","No sabe",0.001,0.001,0.006
"P66","Muy buena",0.253,0.039,0.064
"P66","Buena",0.36,0.019,0.162
"P66","Ni buena ni mala",0.209,0.048,0.191
"P66","Mala",0.103,0.173,0.205
"P66","Muy mala",0.074,0.721,0.368
"P66","No sabe",0.001,0,0.01
"P67","Muy buena",0.028,0.147,0.019
"P67","Buena",0.039,0.429,0.052
"P67","Ni buena ni mala",0.078,0.222,0.09
"P67","Mala",0.215,0.069,0.23
"P67","Muy mala",0.637,0.13,0.57
"P67","No sabe",0.003,0.003,0.039
"P68","Muy buena",0.57,0.041,0.32
"P68","Buena",0.216,0.062,0.196
"P68","Ni buena ni mala",0.077,0.043,0.149
"P68","Mala",0.044,0.068,0.083
"P68","Muy mala",0.089,0.783,0.225
"P68","No sabe",0.004,0.003,0.027
"P69","Muy buena",0.157,0.036,0.384
"P69","Buena",0.171,0.009,0.166
"P69","Ni buena ni mala",0.326,0.048,0.155
"P69","Mala",0.189,0.048,0.081
"P69","Muy mala",0.137,0.854,0.187
"P69","No sabe",0.02,0.005,0.027
"P70","Muy buena",0.09,0.039,0.074
"P70","Buena",0.173,0.092,0.091
"P70","Ni buena ni mala",0.375,0.346,0.314
"P70","Mala",0.192,0.174,0.155
"P70","Muy mala",0.15,0.322,0.249
"P70","No sabe",0.02,0.027,0.117
"P71","Siempre",0.33,0.294,0.295
"P71","Casi siempre",0.451,0.428,0.317
"P71","Casi nunca",0.159,0.187,0.236
"P71","Nunca, pero esta es una excepción",0.06,0.091,0.152
"P72","Si",0.598,0.551,0.571
"P72","No",0.402,0.449,0.429
