"var","categoria","Soledad Acuña por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","No sabe"
"P29","No sabe",0.008,0.042,0.054
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.186,0.01,0.09
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.484,0.015,0.287
"P30","A Martín Lousteau como Jefe de Gobierno",0.171,0.038,0.191
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.015,0.664,0.026
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.005,0.158,0.025
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.09,0.039,0.227
"P30","A los candidatos de la izquierda",0.022,0.04,0.089
"P30","No sabe",0.027,0.036,0.065
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.192,0.005,0.078
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.52,0.025,0.303
"P31","A Martín Lousteau como Jefe de Gobierno",0.147,0.028,0.179
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.657,0.015
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.011,0.16,0.036
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.091,0.025,0.227
"P31","A los candidatos de la izquierda",0.007,0.07,0.089
"P31","No sabe",0.025,0.03,0.073
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.806,0.017,0.416
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.007,0.864,0.024
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.131,0.027,0.289
"P32","A los candidatos de la izquierda",0.013,0.054,0.082
"P32","No sabe",0.043,0.038,0.189
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.799,0.027,0.397
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.009,0.809,0.04
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.132,0.043,0.316
"P33","A los candidatos de la izquierda",0.01,0.063,0.098
"P33","No sabe",0.05,0.058,0.149
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.71,0.018,0.245
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.006,0.856,0.017
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.209,0.045,0.397
"P34","A los candidatos de la izquierda",0.002,0.05,0.094
"P34","No sabe",0.073,0.031,0.247
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.705,0.015,0.249
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.829,0.021
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.211,0.049,0.434
"P35","A los candidatos de la izquierda",0.011,0.061,0.097
"P35","No sabe",0.066,0.046,0.199
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.689,0.018,0.317
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.007,0.863,0.032
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.218,0.048,0.416
"P36","A los candidatos de la izquierda",0.012,0.05,0.075
"P36","No sabe",0.074,0.021,0.16
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.708,0.027,0.327
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.006,0.824,0.042
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.208,0.046,0.402
"P37","A los candidatos de la izquierda",0.004,0.057,0.079
"P37","No sabe",0.074,0.046,0.15
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.663,0.078,0.236
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.052,0.797,0.038
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.214,0.039,0.429
"P38","A los candidatos de la izquierda",0.006,0.053,0.107
"P38","No sabe",0.065,0.033,0.19
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.621,0.107,0.234
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.097,0.729,0.036
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.217,0.042,0.422
"P40","A los candidatos de la izquierda",0.005,0.064,0.096
"P40","No sabe",0.06,0.058,0.212
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.674,0.094,0.242
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.045,0.782,0.034
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.214,0.044,0.438
"P42","A los candidatos de la izquierda",0.002,0.047,0.088
"P42","No sabe",0.065,0.033,0.198
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.636,0.108,0.247
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.074,0.734,0.025
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.222,0.042,0.427
"P44","A los candidatos de la izquierda",0.01,0.067,0.083
"P44","No sabe",0.058,0.049,0.218
"P46","Jorge Macri por Juntos por el Cambio",0.948,0.019,0.418
"P46","Leandro Santoro por el Frente de Todos",0.013,0.955,0.01
"P46","No sabe",0.039,0.026,0.572
"P48","Fernán Quirós por Juntos por el Cambio",0.945,0.041,0.331
"P48","Leandro Santoro por el Frente de Todos",0.01,0.941,0.012
"P48","No sabe",0.045,0.018,0.657
"P49","Martín Lousteau por Juntos por el Cambio",0.844,0.04,0.42
"P49","Leandro Santoro por el Frente de Todos",0.006,0.942,0.021
"P49","No sabe",0.15,0.018,0.559
"P50","María Eugenia Vidal por Juntos por el Cambio",0.888,0.008,0.326
"P50","Leandro Santoro por el Frente de Todos",0.01,0.97,0.026
"P50","No sabe",0.102,0.022,0.648
"P51","Muy buena",0.373,0.076,0.121
"P51","Buena",0.405,0.09,0.271
"P51","Ni buena ni mala",0.14,0.107,0.285
"P51","Mala",0.036,0.269,0.196
"P51","Muy mala",0.036,0.453,0.115
"P51","No sabe",0.01,0.005,0.012
"P52","Muy buena",0.391,0.028,0.179
"P52","Buena",0.33,0.033,0.199
"P52","Ni buena ni mala",0.207,0.142,0.302
"P52","Mala",0.039,0.253,0.151
"P52","Muy mala",0.018,0.512,0.132
"P52","No sabe",0.015,0.032,0.037
"P53","Muy buena",0.046,0.575,0.026
"P53","Buena",0.047,0.228,0.077
"P53","Ni buena ni mala",0.223,0.066,0.249
"P53","Mala",0.293,0.036,0.235
"P53","Muy mala",0.351,0.083,0.333
"P53","No sabe",0.04,0.012,0.08
"P54","Muy buena",0.339,0.069,0.13
"P54","Buena",0.337,0.02,0.191
"P54","Ni buena ni mala",0.182,0.043,0.219
"P54","Mala",0.077,0.153,0.194
"P54","Muy mala",0.064,0.714,0.239
"P54","No sabe",0.001,0.001,0.027
"P55","Muy buena",0.298,0.005,0.024
"P55","Buena",0.37,0.025,0.13
"P55","Ni buena ni mala",0.249,0.07,0.334
"P55","Mala",0.045,0.14,0.179
"P55","Muy mala",0.015,0.748,0.179
"P55","No sabe",0.023,0.012,0.154
"P56","Muy buena",0.273,0.03,0.172
"P56","Buena",0.29,0.054,0.148
"P56","Ni buena ni mala",0.232,0.14,0.252
"P56","Mala",0.13,0.325,0.166
"P56","Muy mala",0.066,0.448,0.217
"P56","No sabe",0.009,0.003,0.045
"P57","Muy buena",0.05,0.206,0.035
"P57","Buena",0.04,0.363,0.052
"P57","Ni buena ni mala",0.201,0.241,0.192
"P57","Mala",0.291,0.067,0.275
"P57","Muy mala",0.38,0.111,0.357
"P57","No sabe",0.038,0.012,0.089
"P58","Muy buena",0.496,0.022,0.237
"P58","Buena",0.237,0.063,0.231
"P58","Ni buena ni mala",0.191,0.096,0.224
"P58","Mala",0.031,0.125,0.097
"P58","Muy mala",0.037,0.693,0.159
"P58","No sabe",0.008,0.001,0.052
"P59","Muy buena",0.591,0.056,0.244
"P59","Buena",0.222,0.127,0.21
"P59","Ni buena ni mala",0.136,0.278,0.275
"P59","Mala",0.021,0.203,0.083
"P59","Muy mala",0.008,0.32,0.126
"P59","No sabe",0.022,0.016,0.062
"P60","Muy buena",0.048,0.326,0.04
"P60","Buena",0.027,0.309,0.042
"P60","Ni buena ni mala",0.124,0.163,0.219
"P60","Mala",0.259,0.063,0.178
"P60","Muy mala",0.491,0.095,0.391
"P60","No sabe",0.051,0.044,0.13
"P61","Muy buena",0.019,0.172,0.005
"P61","Buena",0.007,0.135,0.018
"P61","Ni buena ni mala",0.152,0.335,0.218
"P61","Mala",0.171,0.039,0.148
"P61","Muy mala",0.338,0.069,0.32
"P61","No sabe",0.313,0.25,0.291
"P62","Muy buena",0.016,0.135,0.006
"P62","Buena",0.005,0.413,0.022
"P62","Ni buena ni mala",0.027,0.282,0.06
"P62","Mala",0.113,0.102,0.183
"P62","Muy mala",0.82,0.054,0.688
"P62","No sabe",0.019,0.014,0.041
"P63","Muy buena",0.019,0.114,0.005
"P63","Buena",0,0.384,0.035
"P63","Ni buena ni mala",0.016,0.298,0.042
"P63","Mala",0.115,0.136,0.158
"P63","Muy mala",0.848,0.064,0.747
"P63","No sabe",0.002,0.004,0.013
"P64","Muy buena",0.012,0.68,0.03
"P64","Buena",0.001,0.163,0.032
"P64","Ni buena ni mala",0.011,0.069,0.021
"P64","Mala",0.066,0.033,0.134
"P64","Muy mala",0.907,0.053,0.771
"P64","No sabe",0.003,0.002,0.012
"P65","Muy buena",0.403,0.084,0.215
"P65","Buena",0.287,0.025,0.176
"P65","Ni buena ni mala",0.14,0.035,0.179
"P65","Mala",0.058,0.087,0.185
"P65","Muy mala",0.111,0.768,0.24
"P65","No sabe",0.001,0.001,0.005
"P66","Muy buena",0.269,0.034,0.086
"P66","Buena",0.365,0.025,0.203
"P66","Ni buena ni mala",0.2,0.06,0.205
"P66","Mala",0.094,0.176,0.195
"P66","Muy mala",0.071,0.705,0.303
"P66","No sabe",0.001,0,0.008
"P67","Muy buena",0.03,0.143,0.016
"P67","Buena",0.036,0.425,0.039
"P67","Ni buena ni mala",0.057,0.221,0.125
"P67","Mala",0.2,0.084,0.246
"P67","Muy mala",0.676,0.124,0.538
"P67","No sabe",0.001,0.003,0.036
"P68","Muy buena",0.581,0.032,0.393
"P68","Buena",0.222,0.069,0.186
"P68","Ni buena ni mala",0.079,0.048,0.125
"P68","Mala",0.028,0.08,0.091
"P68","Muy mala",0.087,0.768,0.182
"P68","No sabe",0.003,0.003,0.023
"P69","Muy buena",0.194,0.025,0.28
"P69","Buena",0.169,0.021,0.165
"P69","Ni buena ni mala",0.327,0.038,0.219
"P69","Mala",0.186,0.056,0.103
"P69","Muy mala",0.112,0.855,0.189
"P69","No sabe",0.012,0.005,0.044
"P70","Muy buena",0.093,0.038,0.077
"P70","Buena",0.17,0.094,0.114
"P70","Ni buena ni mala",0.387,0.345,0.303
"P70","Mala",0.188,0.18,0.164
"P70","Muy mala",0.141,0.315,0.25
"P70","No sabe",0.021,0.028,0.092
"P71","Siempre",0.34,0.282,0.303
"P71","Casi siempre",0.44,0.43,0.367
"P71","Casi nunca",0.164,0.189,0.202
"P71","Nunca, pero esta es una excepción",0.056,0.099,0.128
"P72","Si",0.599,0.55,0.578
"P72","No",0.401,0.45,0.422
