"var","categoria","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.236,0.02,0.008,0.015,0.074
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.013,0.671,0.018,0.192,0.101
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.252,0.004,0.063,0.067
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.009,0.006,0.521,0.017,0.043
"P26","A los candidatos de la izquierda",0.002,0.01,0.001,0.611,0.016
"P26","No sabe",0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.301,0.001,0.164,0.012,0.324
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.257,0.011,0.261,0.034,0.285
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.043,0.014,0.007,0.02,0.024
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.137,0.017,0.008,0.015,0.083
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.234,0.013,0.021,0.013,0.054
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.015,0.635,0.009,0.156,0.088
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.009,0.259,0,0.037,0.037
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.003,0.003,0.527,0.021,0.065
"P27","A los candidatos de la izquierda",0.001,0.047,0.003,0.692,0.04
"P27","No sabe",0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.363,0.012,0.23,0.042,0.339
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.121,0.007,0.014,0.027,0.027
"P28","A Martín Lousteau como Jefe de Gobierno",0.313,0.034,0.032,0.021,0.14
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.163,0.022,0.128,0.014,0.233
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.005,0.741,0.017,0.221,0.147
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.139,0.001,0.036,0.029
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.012,0.013,0.468,0,0.034
"P28","A los candidatos de izquierda",0.002,0.013,0.101,0.432,0.01
"P28","No sabe",0.012,0.019,0.009,0.207,0.041
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.353,0.003,0.198,0.028,0.327
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.197,0.014,0.019,0.033,0.045
"P29","A Martín Lousteau como Jefe de Gobierno",0.231,0.028,0.069,0.063,0.16
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.11,0.21,0.095,0,0.14
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.012,0.566,0.002,0.065,0.093
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.074,0.125,0.039,0.017,0.066
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.008,0.007,0.488,0.01,0.033
"P29","A los candidatos de izquierda",0.002,0.022,0.083,0.509,0.018
"P29","No sabe",0.013,0.025,0.007,0.275,0.118
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.228,0.01,0.021,0.007,0.081
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.429,0.012,0.336,0.035,0.423
"P30","A Martín Lousteau como Jefe de Gobierno",0.257,0.027,0.049,0.033,0.171
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.019,0.715,0.009,0.133,0.111
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.01,0.186,0.003,0.034,0.071
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.025,0.017,0.431,0.007,0.056
"P30","A los candidatos de la izquierda",0.007,0.017,0.069,0.54,0.015
"P30","No sabe",0.025,0.016,0.082,0.211,0.072
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.245,0.008,0.013,0.007,0.098
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.478,0.007,0.333,0.025,0.429
"P31","A Martín Lousteau como Jefe de Gobierno",0.228,0.015,0.037,0.031,0.152
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.729,0.003,0.087,0.076
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.014,0.187,0.009,0.009,0.058
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.011,0.007,0.468,0.007,0.045
"P31","A los candidatos de la izquierda",0.001,0.037,0.051,0.723,0.007
"P31","No sabe",0.016,0.01,0.086,0.111,0.135
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.863,0.019,0.295,0.05,0.532
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.014,0.932,0.016,0.212,0.121
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.031,0.004,0.64,0.01,0.038
"P32","A los candidatos de la izquierda",0.014,0.02,0.011,0.677,0.032
"P32","No sabe",0.078,0.025,0.038,0.051,0.277
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.862,0.013,0.291,0.036,0.543
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.013,0.92,0.002,0.062,0.063
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.039,0.008,0.657,0.009,0.008
"P33","A los candidatos de la izquierda",0.008,0.029,0.021,0.864,0.02
"P33","No sabe",0.078,0.03,0.029,0.029,0.366
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.854,0.012,0.067,0.049,0.251
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.946,0.016,0.155,0.087
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.044,0.01,0.874,0.016,0.032
"P34","A los candidatos de la izquierda",0.007,0.011,0.005,0.741,0.006
"P34","No sabe",0.086,0.021,0.038,0.039,0.624
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.864,0.012,0.046,0.049,0.219
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.005,0.942,0.012,0.041,0.041
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.046,0.014,0.917,0.007,0.029
"P35","A los candidatos de la izquierda",0.011,0.021,0.015,0.898,0.018
"P35","No sabe",0.074,0.011,0.01,0.005,0.693
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.932,0.023,0.019,0.028,0.114
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.008,0.947,0.016,0.148,0.095
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.027,0.007,0.944,0.021,0.013
"P36","A los candidatos de la izquierda",0.006,0.015,0.01,0.803,0.01
"P36","No sabe",0.027,0.008,0.011,0,0.768
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.834,0.094,0.037,0.037,0.158
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.073,0.851,0.022,0.134,0.092
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.024,0.013,0.934,0.023,0.064
"P38","A los candidatos de la izquierda",0.01,0.021,0.004,0.798,0.019
"P38","No sabe",0.059,0.021,0.003,0.008,0.667
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.778,0.134,0.04,0.053,0.171
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.126,0.816,0.008,0.031,0.049
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.028,0.003,0.944,0.01,0.035
"P40","A los candidatos de la izquierda",0.01,0.025,0,0.874,0.019
"P40","No sabe",0.058,0.022,0.008,0.032,0.726
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.832,0.095,0.037,0.057,0.181
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.07,0.861,0.016,0.147,0.1
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.031,0.009,0.938,0,0.09
"P42","A los candidatos de la izquierda",0.004,0.014,0.001,0.753,0.01
"P42","No sabe",0.063,0.021,0.008,0.043,0.619
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.797,0.122,0.026,0.046,0.216
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.097,0.822,0.011,0.079,0.044
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.038,0.008,0.943,0.013,0.057
"P44","A los candidatos de la izquierda",0.004,0.026,0.002,0.806,0.036
"P44","No sabe",0.064,0.022,0.018,0.056,0.647
"P46","Jorge Macri por Juntos por el Cambio",0.867,0.012,0.65,0.096,0.596
"P46","Leandro Santoro por el Frente de Todos",0.032,0.951,0.034,0.527,0.162
"P46","No sabe",0.101,0.037,0.316,0.377,0.242
"P47","Soledad Acuña por Juntos por el Cambio",0.807,0.01,0.488,0.056,0.419
"P47","Leandro Santoro por el Frente de Todos",0.021,0.958,0.076,0.496,0.186
"P47","No sabe",0.172,0.032,0.436,0.448,0.395
"P48","Fernán Quirós por Juntos por el Cambio",0.892,0.028,0.53,0.062,0.524
"P48","Leandro Santoro por el Frente de Todos",0.021,0.94,0.059,0.479,0.16
"P48","No sabe",0.087,0.032,0.411,0.459,0.316
"P49","Martín Lousteau por Juntos por el Cambio",0.909,0.02,0.419,0.064,0.387
"P49","Leandro Santoro por el Frente de Todos",0.014,0.948,0.056,0.516,0.16
"P49","No sabe",0.077,0.032,0.525,0.42,0.453
"P50","María Eugenia Vidal por Juntos por el Cambio",0.869,0.014,0.436,0.057,0.445
"P50","Leandro Santoro por el Frente de Todos",0.032,0.956,0.054,0.536,0.185
"P50","No sabe",0.099,0.03,0.51,0.407,0.37
"P51","Muy buena",0.406,0.081,0.108,0.027,0.151
"P51","Buena",0.433,0.072,0.244,0.069,0.332
"P51","Ni buena ni mala",0.109,0.112,0.281,0.124,0.308
"P51","Mala",0.021,0.262,0.208,0.291,0.16
"P51","Muy mala",0.024,0.468,0.137,0.489,0.039
"P51","No sabe",0.007,0.005,0.022,0,0.01
"P52","Muy buena",0.383,0.026,0.217,0,0.272
"P52","Buena",0.332,0.024,0.22,0.055,0.23
"P52","Ni buena ni mala",0.2,0.132,0.33,0.087,0.249
"P52","Mala",0.039,0.26,0.11,0.315,0.135
"P52","Muy mala",0.021,0.528,0.094,0.536,0.104
"P52","No sabe",0.025,0.03,0.029,0.007,0.01
"P53","Muy buena",0.043,0.626,0.043,0.111,0.103
"P53","Buena",0.071,0.194,0.062,0.181,0.124
"P53","Ni buena ni mala",0.25,0.047,0.209,0.155,0.203
"P53","Mala",0.3,0.039,0.228,0.169,0.17
"P53","Muy mala",0.283,0.081,0.44,0.321,0.303
"P53","No sabe",0.053,0.013,0.018,0.063,0.097
"P54","Muy buena",0.388,0.072,0.071,0.048,0.166
"P54","Buena",0.337,0.013,0.21,0.034,0.252
"P54","Ni buena ni mala",0.154,0.029,0.28,0.076,0.204
"P54","Mala",0.071,0.145,0.193,0.186,0.154
"P54","Muy mala",0.049,0.732,0.24,0.656,0.194
"P54","No sabe",0.001,0.009,0.006,0,0.03
"P55","Muy buena",0.283,0.008,0.094,0.043,0.094
"P55","Buena",0.363,0.017,0.193,0.007,0.211
"P55","Ni buena ni mala",0.234,0.06,0.374,0.13,0.239
"P55","Mala",0.054,0.115,0.157,0.159,0.169
"P55","Muy mala",0.032,0.782,0.096,0.61,0.171
"P55","No sabe",0.034,0.018,0.086,0.051,0.116
"P56","Muy buena",0.349,0.021,0.073,0.049,0.11
"P56","Buena",0.343,0.033,0.105,0.073,0.142
"P56","Ni buena ni mala",0.209,0.136,0.299,0.138,0.251
"P56","Mala",0.07,0.339,0.245,0.274,0.237
"P56","Muy mala",0.018,0.465,0.269,0.425,0.197
"P56","No sabe",0.011,0.006,0.009,0.041,0.063
"P57","Muy buena",0.061,0.216,0.024,0.053,0.065
"P57","Buena",0.061,0.387,0.028,0.047,0.079
"P57","Ni buena ni mala",0.224,0.218,0.178,0.336,0.158
"P57","Mala",0.292,0.06,0.248,0.243,0.279
"P57","Muy mala",0.325,0.107,0.465,0.271,0.308
"P57","No sabe",0.037,0.012,0.057,0.05,0.111
"P58","Muy buena",0.431,0.016,0.399,0.024,0.37
"P58","Buena",0.255,0.05,0.245,0.036,0.157
"P58","Ni buena ni mala",0.193,0.089,0.223,0.116,0.201
"P58","Mala",0.056,0.122,0.048,0.152,0.046
"P58","Muy mala",0.052,0.719,0.078,0.662,0.137
"P58","No sabe",0.013,0.004,0.007,0.01,0.089
"P59","Muy buena",0.648,0.036,0.238,0.048,0.294
"P59","Buena",0.205,0.122,0.228,0.066,0.309
"P59","Ni buena ni mala",0.104,0.292,0.322,0.207,0.206
"P59","Mala",0.013,0.179,0.096,0.286,0.092
"P59","Muy mala",0.009,0.351,0.081,0.365,0.017
"P59","No sabe",0.021,0.02,0.035,0.028,0.082
"P60","Muy buena",0.058,0.344,0.034,0.06,0.089
"P60","Buena",0.034,0.33,0.033,0.162,0.025
"P60","Ni buena ni mala",0.142,0.148,0.178,0.334,0.127
"P60","Mala",0.278,0.041,0.167,0.139,0.204
"P60","Muy mala",0.439,0.097,0.474,0.226,0.445
"P60","No sabe",0.049,0.04,0.114,0.079,0.11
"P61","Muy buena",0.019,0.183,0.003,0.061,0.046
"P61","Buena",0.014,0.144,0.003,0.083,0.01
"P61","Ni buena ni mala",0.162,0.32,0.219,0.334,0.171
"P61","Mala",0.179,0.042,0.119,0.117,0.139
"P61","Muy mala",0.307,0.077,0.371,0.189,0.265
"P61","No sabe",0.319,0.234,0.285,0.216,0.369
"P62","Muy buena",0.012,0.161,0,0,0.024
"P62","Buena",0.014,0.457,0.009,0.061,0.026
"P62","Ni buena ni mala",0.035,0.269,0.048,0.252,0.092
"P62","Mala",0.137,0.075,0.1,0.409,0.158
"P62","Muy mala",0.78,0.025,0.827,0.278,0.625
"P62","No sabe",0.022,0.013,0.016,0,0.075
"P63","Muy buena",0.017,0.136,0,0.01,0.013
"P63","Buena",0.008,0.435,0,0.068,0.038
"P63","Ni buena ni mala",0.025,0.309,0.022,0.199,0.046
"P63","Mala",0.124,0.09,0.126,0.353,0.216
"P63","Muy mala",0.824,0.023,0.843,0.37,0.678
"P63","No sabe",0.002,0.007,0.009,0,0.009
"P64","Muy buena",0.01,0.747,0.011,0.182,0.092
"P64","Buena",0.006,0.142,0.016,0.268,0.046
"P64","Ni buena ni mala",0.011,0.062,0.02,0.102,0.024
"P64","Mala",0.08,0.023,0.081,0.219,0.083
"P64","Muy mala",0.889,0.026,0.86,0.229,0.748
"P64","No sabe",0.004,0,0.012,0,0.007
"P65","Muy buena",0.393,0.096,0.248,0.016,0.314
"P65","Buena",0.273,0.024,0.224,0.04,0.207
"P65","Ni buena ni mala",0.157,0.023,0.181,0.024,0.102
"P65","Mala",0.066,0.076,0.168,0.148,0.099
"P65","Muy mala",0.11,0.78,0.173,0.772,0.278
"P65","No sabe",0.001,0.001,0.006,0,0
"P66","Muy buena",0.316,0.037,0.047,0,0.086
"P66","Buena",0.428,0.012,0.125,0.045,0.225
"P66","Ni buena ni mala",0.187,0.054,0.21,0.08,0.264
"P66","Mala",0.04,0.17,0.274,0.127,0.251
"P66","Muy mala",0.029,0.727,0.335,0.748,0.174
"P66","No sabe",0,0,0.009,0,0
"P67","Muy buena",0.029,0.154,0.013,0.03,0.058
"P67","Buena",0.048,0.432,0.033,0.14,0.11
"P67","Ni buena ni mala",0.087,0.229,0.048,0.16,0.114
"P67","Mala",0.211,0.065,0.232,0.315,0.138
"P67","Muy mala",0.617,0.115,0.665,0.355,0.547
"P67","No sabe",0.008,0.005,0.009,0,0.033
"P68","Muy buena",0.563,0.025,0.449,0.079,0.487
"P68","Buena",0.211,0.055,0.272,0.023,0.133
"P68","Ni buena ni mala",0.098,0.033,0.107,0.016,0.102
"P68","Mala",0.038,0.09,0.046,0.067,0.07
"P68","Muy mala",0.085,0.794,0.118,0.815,0.175
"P68","No sabe",0.005,0.003,0.008,0,0.033
"P69","Muy buena",0.09,0.014,0.543,0.046,0.123
"P69","Buena",0.131,0.007,0.297,0.01,0.093
"P69","Ni buena ni mala",0.397,0.036,0.113,0.018,0.217
"P69","Mala",0.208,0.058,0.019,0.096,0.237
"P69","Muy mala",0.151,0.879,0.027,0.83,0.262
"P69","No sabe",0.023,0.006,0.001,0,0.068
"P70","Muy buena",0.088,0.032,0.094,0.032,0.094
"P70","Buena",0.201,0.095,0.07,0.084,0.109
"P70","Ni buena ni mala",0.392,0.346,0.358,0.18,0.285
"P70","Mala",0.18,0.176,0.191,0.2,0.159
"P70","Muy mala",0.109,0.322,0.243,0.429,0.266
"P70","No sabe",0.03,0.029,0.044,0.075,0.087
"P71","Siempre",0.339,0.296,0.3,0.287,0.289
"P71","Casi siempre",0.454,0.416,0.365,0.424,0.404
"P71","Casi nunca",0.145,0.192,0.217,0.133,0.253
"P71","Nunca, pero esta es una excepción",0.062,0.096,0.118,0.156,0.054
"P72","Si",0.573,0.549,0.644,0.616,0.537
"P72","No",0.427,0.451,0.356,0.384,0.463
