"var","categoria","Del Frente de Todos y el peronismo","A Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P20","Nunca lo votaría",0.789,0.359,0.647,0.75,0.525
"P20","No sabe",0.08,0.146,0.146,0.087,0.351
"P21","Lo votaría",0.249,0.028,0.031,0.12,0.072
"P21","Puede que lo vote",0.45,0.096,0.079,0.257,0.104
"P21","Nunca lo votaría",0.213,0.761,0.734,0.552,0.486
"P21","No sabe",0.088,0.115,0.156,0.071,0.338
"P22","Lo votaría",0.046,0.333,0.119,0.101,0.09
"P22","Puede que lo vote",0.155,0.373,0.214,0.203,0.179
"P22","Nunca lo votaría",0.684,0.202,0.547,0.555,0.367
"P22","No sabe",0.115,0.092,0.12,0.141,0.364
"P23","Lo votaría",0.026,0.467,0.14,0.058,0.066
"P23","Puede que lo vote",0.038,0.322,0.268,0.05,0.182
"P23","Nunca lo votaría",0.909,0.153,0.476,0.834,0.509
"P23","No sabe",0.027,0.058,0.116,0.058,0.243
"P24","Lo votaría",0.019,0.381,0.114,0.051,0.054
"P24","Puede que lo vote",0.028,0.348,0.191,0.028,0.153
"P24","Nunca lo votaría",0.923,0.216,0.6,0.895,0.579
"P24","No sabe",0.03,0.055,0.095,0.026,0.214
"P25","Lo votaría",0.016,0.357,0.301,0.052,0.065
"P25","Puede que lo vote",0.033,0.347,0.299,0.015,0.162
"P25","Nunca lo votaría",0.913,0.221,0.299,0.892,0.488
"P25","No sabe",0.038,0.075,0.101,0.041,0.285
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.025,0.294,0.092,0.01,0.037
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.009,0.231,0.163,0.014,0.081
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.009,0.051,0.012,0.015,0.025
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.018,0.107,0.017,0.011,0.03
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.02,0.191,0.023,0.026,0.093
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.571,0.017,0.034,0.264,0.091
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.247,0.013,0.01,0.098,0.068
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0,0.013,0.526,0.031,0.111
"P26","A los candidatos de la izquierda",0.018,0.001,0.004,0.403,0.038
"P26","No sabe",0.083,0.082,0.119,0.128,0.426
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.013,0.283,0.105,0.023,0.057
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.007,0.256,0.173,0.009,0.115
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.01,0.041,0.01,0.019,0.015
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.018,0.105,0.019,0.005,0.054
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.015,0.175,0.02,0.017,0.102
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.524,0.012,0.024,0.206,0.101
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.238,0.009,0.011,0.079,0.051
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.006,0.02,0.5,0.01,0.101
"P27","A los candidatos de la izquierda",0.052,0.002,0.005,0.423,0.066
"P27","No sabe",0.117,0.097,0.133,0.209,0.338
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.024,0.368,0.133,0.014,0.114
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.007,0.11,0.03,0.015,0.027
"P28","A Martín Lousteau como Jefe de Gobierno",0.038,0.257,0.067,0.053,0.239
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.025,0.179,0.1,0.034,0.079
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.697,0.023,0.027,0.347,0.164
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.147,0.012,0.014,0.064,0.075
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.015,0.025,0.473,0.002,0.143
"P28","A los candidatos de izquierda",0.018,0.002,0.148,0.322,0.042
"P28","No sabe",0.029,0.024,0.008,0.149,0.117
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.019,0.362,0.134,0.01,0.118
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.024,0.171,0.031,0.037,0.077
"P29","A Martín Lousteau como Jefe de Gobierno",0.024,0.211,0.065,0.051,0.18
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.196,0.109,0.077,0.069,0.117
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.507,0.012,0.035,0.297,0.118
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.127,0.087,0.022,0.035,0.062
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.007,0.019,0.505,0.002,0.148
"P29","A los candidatos de izquierda",0.043,0.004,0.125,0.344,0.038
"P29","No sabe",0.053,0.025,0.006,0.155,0.142
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.021,0.208,0.029,0.018,0.078
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.013,0.456,0.194,0.011,0.16
"P30","A Martín Lousteau como Jefe de Gobierno",0.025,0.22,0.082,0.06,0.19
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.634,0.032,0.031,0.305,0.148
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.211,0.009,0.012,0.084,0.077
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.025,0.042,0.409,0.007,0.179
"P30","A los candidatos de la izquierda",0.026,0.002,0.094,0.392,0.087
"P30","No sabe",0.045,0.031,0.149,0.123,0.081
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.014,0.213,0.007,0.039,0.049
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.012,0.49,0.219,0.018,0.158
"P31","A Martín Lousteau como Jefe de Gobierno",0.028,0.199,0.057,0.057,0.171
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.651,0.023,0.024,0.289,0.133
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.208,0.01,0.035,0.072,0.105
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.013,0.031,0.44,0.015,0.196
"P31","A los candidatos de la izquierda",0.039,0.004,0.082,0.406,0.081
"P31","No sabe",0.035,0.03,0.136,0.104,0.107
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.035,0.831,0.214,0.021,0.19
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.882,0.032,0.04,0.418,0.226
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.017,0.046,0.68,0.016,0.163
"P32","A los candidatos de la izquierda",0.036,0.007,0.022,0.487,0.087
"P32","No sabe",0.03,0.084,0.044,0.058,0.334
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.039,0.817,0.222,0.022,0.178
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.857,0.028,0.034,0.357,0.22
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.02,0.043,0.699,0.043,0.17
"P33","A los candidatos de la izquierda",0.044,0.021,0.005,0.501,0.088
"P33","No sabe",0.04,0.091,0.04,0.077,0.344
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.031,0.717,0.112,0.071,0.105
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.907,0.028,0.036,0.412,0.208
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.013,0.114,0.783,0.012,0.186
"P34","A los candidatos de la izquierda",0.027,0.006,0.005,0.447,0.087
"P34","No sabe",0.022,0.135,0.064,0.058,0.414
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.039,0.708,0.115,0.041,0.134
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.874,0.029,0.043,0.346,0.16
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.017,0.13,0.775,0.007,0.245
"P35","A los candidatos de la izquierda",0.043,0.009,0.016,0.545,0.088
"P35","No sabe",0.027,0.124,0.051,0.061,0.373
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.033,0.737,0.134,0.027,0.161
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.911,0.028,0.041,0.405,0.184
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.011,0.119,0.789,0.033,0.229
"P36","A los candidatos de la izquierda",0.031,0.01,0.002,0.489,0.064
"P36","No sabe",0.014,0.106,0.034,0.046,0.362
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.031,0.746,0.136,0.077,0.21
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.895,0.036,0.04,0.333,0.175
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.017,0.106,0.786,0.015,0.242
"P37","A los candidatos de la izquierda",0.035,0.006,0.002,0.482,0.049
"P37","No sabe",0.022,0.106,0.036,0.093,0.324
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.093,0.711,0.083,0.032,0.108
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.846,0.059,0.058,0.42,0.158
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.006,0.116,0.807,0.02,0.236
"P38","A los candidatos de la izquierda",0.036,0.01,0.008,0.48,0.084
"P38","No sabe",0.019,0.104,0.044,0.048,0.414
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.145,0.661,0.094,0.049,0.051
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.783,0.111,0.044,0.298,0.152
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.01,0.114,0.812,0.012,0.229
"P40","A los candidatos de la izquierda",0.04,0.012,0,0.533,0.078
"P40","No sabe",0.022,0.102,0.05,0.108,0.49
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.101,0.684,0.124,0.158,0.063
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.854,0.068,0.037,0.333,0.207
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.004,0.133,0.802,0.004,0.245
"P42","A los candidatos de la izquierda",0.017,0.006,0.006,0.468,0.064
"P42","No sabe",0.024,0.109,0.031,0.037,0.421
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.131,0.666,0.098,0.03,0.184
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.795,0.082,0.051,0.388,0.104
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.008,0.133,0.803,0,0.237
"P44","A los candidatos de la izquierda",0.041,0.009,0,0.474,0.082
"P44","No sabe",0.025,0.11,0.048,0.108,0.393
"P46","Jorge Macri por Juntos por el Cambio",0.04,0.872,0.579,0.034,0.244
"P46","Leandro Santoro por el Frente de Todos",0.937,0.028,0.083,0.668,0.301
"P46","No sabe",0.023,0.1,0.338,0.298,0.455
"P47","Soledad Acuña por Juntos por el Cambio",0.041,0.772,0.441,0.062,0.162
"P47","Leandro Santoro por el Frente de Todos",0.95,0.028,0.111,0.621,0.324
"P47","No sabe",0.009,0.2,0.448,0.317,0.514
"P48","Fernán Quirós por Juntos por el Cambio",0.062,0.857,0.469,0.021,0.322
"P48","Leandro Santoro por el Frente de Todos",0.921,0.024,0.094,0.659,0.291
"P48","No sabe",0.017,0.119,0.437,0.32,0.387
"P49","Martín Lousteau por Juntos por el Cambio",0.047,0.797,0.46,0.088,0.374
"P49","Leandro Santoro por el Frente de Todos",0.935,0.024,0.081,0.609,0.322
"P49","No sabe",0.018,0.179,0.459,0.303,0.304
"P50","María Eugenia Vidal por Juntos por el Cambio",0.038,0.818,0.44,0.022,0.154
"P50","Leandro Santoro por el Frente de Todos",0.947,0.03,0.094,0.678,0.332
"P50","No sabe",0.015,0.152,0.466,0.3,0.514
"P51","Muy buena",0.075,0.369,0.117,0.111,0.032
"P51","Buena",0.078,0.419,0.218,0.118,0.227
"P51","Ni buena ni mala",0.094,0.129,0.314,0.104,0.366
"P51","Mala",0.255,0.049,0.174,0.3,0.261
"P51","Muy mala",0.493,0.028,0.154,0.359,0.091
"P51","No sabe",0.005,0.006,0.023,0.008,0.023
"P52","Muy buena",0.035,0.399,0.147,0.021,0.045
"P52","Buena",0.028,0.328,0.193,0.033,0.16
"P52","Ni buena ni mala",0.131,0.211,0.328,0.106,0.268
"P52","Mala",0.255,0.036,0.145,0.247,0.268
"P52","Muy mala",0.535,0.014,0.124,0.58,0.165
"P52","No sabe",0.016,0.012,0.063,0.013,0.094
"P53","Muy buena",0.622,0.042,0.063,0.326,0.119
"P53","Buena",0.193,0.066,0.087,0.217,0.106
"P53","Ni buena ni mala",0.048,0.236,0.229,0.109,0.21
"P53","Mala",0.042,0.276,0.236,0.158,0.157
"P53","Muy mala",0.093,0.334,0.339,0.177,0.241
"P53","No sabe",0.002,0.046,0.046,0.013,0.167
"P54","Muy buena",0.071,0.34,0.09,0.132,0.078
"P54","Buena",0.021,0.333,0.201,0.03,0.091
"P54","Ni buena ni mala",0.027,0.182,0.232,0.085,0.186
"P54","Mala",0.139,0.087,0.178,0.122,0.294
"P54","Muy mala",0.741,0.054,0.292,0.631,0.288
"P54","No sabe",0.001,0.004,0.007,0,0.063
"P55","Muy buena",0.03,0.247,0.083,0.077,0.028
"P55","Buena",0.024,0.348,0.167,0.034,0.104
"P55","Ni buena ni mala",0.052,0.275,0.304,0.103,0.206
"P55","Mala",0.097,0.068,0.208,0.121,0.147
"P55","Muy mala",0.788,0.03,0.116,0.657,0.314
"P55","No sabe",0.009,0.032,0.122,0.008,0.201
"P56","Muy buena",0.015,0.279,0.143,0.086,0.152
"P56","Buena",0.054,0.286,0.116,0.095,0.174
"P56","Ni buena ni mala",0.129,0.245,0.235,0.14,0.218
"P56","Mala",0.332,0.117,0.215,0.326,0.14
"P56","Muy mala",0.468,0.063,0.263,0.353,0.209
"P56","No sabe",0.002,0.01,0.028,0,0.107
"P57","Muy buena",0.229,0.038,0.06,0.129,0.057
"P57","Buena",0.397,0.054,0.028,0.21,0.057
"P57","Ni buena ni mala",0.234,0.207,0.196,0.221,0.196
"P57","Mala",0.053,0.29,0.231,0.251,0.245
"P57","Muy mala",0.083,0.372,0.404,0.175,0.297
"P57","No sabe",0.004,0.039,0.081,0.014,0.148
"P58","Muy buena",0.047,0.447,0.31,0.072,0.164
"P58","Buena",0.034,0.254,0.215,0.056,0.241
"P58","Ni buena ni mala",0.082,0.191,0.224,0.142,0.228
"P58","Mala",0.109,0.054,0.062,0.089,0.144
"P58","Muy mala",0.726,0.043,0.153,0.641,0.145
"P58","No sabe",0.002,0.011,0.036,0,0.078
"P59","Muy buena",0.064,0.579,0.226,0.085,0.197
"P59","Buena",0.124,0.223,0.204,0.106,0.242
"P59","Ni buena ni mala",0.29,0.142,0.289,0.219,0.21
"P59","Mala",0.186,0.019,0.105,0.244,0.126
"P59","Muy mala",0.336,0.016,0.093,0.338,0.125
"P59","No sabe",0,0.021,0.083,0.008,0.1
"P60","Muy buena",0.372,0.044,0.032,0.202,0.05
"P60","Buena",0.331,0.025,0.056,0.231,0.038
"P60","Ni buena ni mala",0.158,0.142,0.179,0.224,0.152
"P60","Mala",0.049,0.248,0.189,0.118,0.222
"P60","Muy mala",0.073,0.483,0.391,0.21,0.361
"P60","No sabe",0.017,0.058,0.153,0.015,0.177
"P61","Muy buena",0.193,0.006,0.01,0.203,0
"P61","Buena",0.146,0.012,0.004,0.072,0.052
"P61","Ni buena ni mala",0.337,0.158,0.235,0.299,0.171
"P61","Mala",0.02,0.165,0.171,0.147,0.074
"P61","Muy mala",0.048,0.341,0.305,0.143,0.319
"P61","No sabe",0.256,0.318,0.275,0.136,0.384
"P62","Muy buena",0.152,0.01,0.018,0.095,0
"P62","Buena",0.473,0.008,0.017,0.178,0.04
"P62","Ni buena ni mala",0.258,0.035,0.092,0.25,0.091
"P62","Mala",0.072,0.13,0.128,0.305,0.125
"P62","Muy mala",0.029,0.798,0.728,0.164,0.623
"P62","No sabe",0.016,0.019,0.017,0.008,0.121
"P63","Muy buena",0.138,0.003,0.015,0.113,0.018
"P63","Buena",0.425,0.01,0.015,0.166,0.111
"P63","Ni buena ni mala",0.284,0.031,0.058,0.213,0.075
"P63","Mala",0.112,0.131,0.12,0.293,0.082
"P63","Muy mala",0.04,0.825,0.779,0.207,0.66
"P63","No sabe",0.001,0,0.013,0.008,0.054
"P64","Muy buena",0.75,0.011,0.05,0.36,0.071
"P64","Buena",0.139,0.008,0.019,0.181,0.152
"P64","Ni buena ni mala",0.049,0.017,0.011,0.077,0.11
"P64","Mala",0.009,0.076,0.106,0.223,0.034
"P64","Muy mala",0.053,0.885,0.801,0.159,0.607
"P64","No sabe",0,0.003,0.013,0,0.026
"P65","Muy buena",0.083,0.431,0.134,0.155,0.033
"P65","Buena",0.012,0.28,0.204,0.029,0.167
"P65","Ni buena ni mala",0.024,0.134,0.207,0.059,0.169
"P65","Mala",0.068,0.057,0.191,0.124,0.27
"P65","Muy mala",0.812,0.098,0.261,0.633,0.35
"P65","No sabe",0.001,0,0.003,0,0.011
"P66","Muy buena",0.032,0.27,0.073,0.075,0.014
"P66","Buena",0.017,0.394,0.122,0.042,0.108
"P66","Ni buena ni mala",0.056,0.2,0.195,0.054,0.245
"P66","Mala",0.162,0.089,0.236,0.137,0.271
"P66","Muy mala",0.733,0.046,0.366,0.692,0.35
"P66","No sabe",0,0.001,0.008,0,0.012
"P67","Muy buena",0.165,0.023,0.017,0.085,0.04
"P67","Buena",0.446,0.047,0.054,0.197,0.082
"P67","Ni buena ni mala",0.209,0.084,0.076,0.169,0.181
"P67","Mala",0.066,0.194,0.225,0.277,0.248
"P67","Muy mala",0.111,0.646,0.597,0.272,0.438
"P67","No sabe",0.003,0.006,0.031,0,0.011
"P68","Muy buena",0.039,0.589,0.377,0.082,0.147
"P68","Buena",0.065,0.195,0.266,0.051,0.21
"P68","Ni buena ni mala",0.029,0.091,0.118,0.04,0.147
"P68","Mala",0.063,0.039,0.055,0.097,0.186
"P68","Muy mala",0.801,0.081,0.162,0.73,0.298
"P68","No sabe",0.003,0.005,0.022,0,0.012
"P69","Muy buena",0.023,0.083,0.647,0.096,0.104
"P69","Buena",0.015,0.165,0.18,0.012,0.177
"P69","Ni buena ni mala",0.022,0.369,0.11,0.02,0.198
"P69","Mala",0.048,0.215,0.026,0.044,0.088
"P69","Muy mala",0.886,0.144,0.037,0.821,0.363
"P69","No sabe",0.006,0.024,0,0.007,0.07
"P70","Muy buena",0.036,0.07,0.12,0.075,0.129
"P70","Buena",0.101,0.165,0.12,0.037,0.153
"P70","Ni buena ni mala",0.335,0.387,0.362,0.244,0.251
"P70","Mala",0.183,0.195,0.142,0.178,0.143
"P70","Muy mala",0.323,0.153,0.182,0.412,0.242
"P70","No sabe",0.022,0.03,0.074,0.054,0.082
"P71","Siempre",0.307,0.336,0.245,0.394,0.247
"P71","Casi siempre",0.435,0.437,0.405,0.359,0.307
"P71","Casi nunca",0.174,0.164,0.237,0.141,0.241
"P71","Nunca, pero esta es una excepción",0.084,0.063,0.113,0.106,0.205
"P72","Si",0.585,0.6,0.541,0.535,0.508
"P72","No",0.415,0.4,0.459,0.465,0.492
