"var","categoria","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.196,0.02,0.019,0.053,0.236
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.008,0.679,0.017,0.122,0.076
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.008,0.255,0.007,0.05,0.045
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.009,0,0.499,0.029,0.06
"P26","A los candidatos de la izquierda",0.002,0.005,0.004,0.683,0.014
"P26","No sabe",0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.315,0.005,0.166,0.013,0.293
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.286,0.003,0.245,0.028,0.241
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.052,0.007,0.015,0,0.005
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.134,0.023,0.021,0.013,0.044
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.191,0.018,0.029,0.045,0.214
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.012,0.629,0.01,0.106,0.056
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.006,0.265,0.005,0.038,0.046
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.003,0.002,0.502,0.029,0.069
"P27","A los candidatos de la izquierda",0.001,0.048,0.007,0.728,0.032
"P27","No sabe",0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.391,0.01,0.211,0.031,0.296
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.133,0.001,0.025,0,0.017
"P28","A Martín Lousteau como Jefe de Gobierno",0.248,0.038,0.077,0.072,0.314
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.191,0.021,0.126,0.004,0.145
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.003,0.76,0.004,0.118,0.088
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.012,0.139,0.008,0.031,0.028
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.012,0.01,0.443,0.016,0.042
"P28","A los candidatos de izquierda",0.001,0.005,0.098,0.518,0.017
"P28","No sabe",0.009,0.016,0.008,0.21,0.053
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.378,0.003,0.186,0.025,0.259
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.186,0.015,0.03,0.013,0.144
"P29","A Martín Lousteau como Jefe de Gobierno",0.195,0.03,0.112,0.082,0.234
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.124,0.208,0.091,0,0.091
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.011,0.555,0.003,0.061,0.058
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.08,0.127,0.034,0.035,0.08
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.008,0.006,0.462,0.016,0.042
"P29","A los candidatos de izquierda",0.004,0.027,0.075,0.493,0.018
"P29","No sabe",0.014,0.029,0.007,0.275,0.074
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.236,0.013,0.027,0.011,0.089
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.472,0.011,0.312,0.036,0.339
"P30","A Martín Lousteau como Jefe de Gobierno",0.207,0.022,0.094,0.072,0.299
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.016,0.711,0.005,0.056,0.068
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.193,0.005,0.032,0.056
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.028,0.021,0.412,0.016,0.052
"P30","A los candidatos de la izquierda",0.01,0.012,0.068,0.589,0.009
"P30","No sabe",0.022,0.017,0.077,0.188,0.088
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.255,0.01,0.016,0.011,0.081
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.514,0.006,0.314,0.029,0.355
"P31","A Martín Lousteau como Jefe de Gobierno",0.179,0.025,0.061,0.05,0.296
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.011,0.694,0.013,0.036,0.046
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.004,0.199,0.022,0.032,0.062
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.013,0.015,0.45,0.016,0.048
"P31","A los candidatos de la izquierda",0.004,0.036,0.046,0.712,0.006
"P31","No sabe",0.02,0.015,0.078,0.114,0.106
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.913,0.011,0.287,0.028,0.478
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.01,0.939,0.016,0.121,0.058
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.015,0.014,0.658,0.033,0.047
"P32","A los candidatos de la izquierda",0.012,0.017,0.011,0.773,0.024
"P32","No sabe",0.05,0.019,0.028,0.045,0.393
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.909,0.011,0.276,0.028,0.468
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.899,0.017,0.043,0.058
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.025,0.013,0.675,0.013,0.032
"P33","A los candidatos de la izquierda",0.008,0.036,0.015,0.907,0.021
"P33","No sabe",0.051,0.041,0.017,0.009,0.421
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.917,0.008,0.044,0.024,0.17
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.929,0.005,0.037,0.025
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.03,0.007,0.932,0.03,0.066
"P35","A los candidatos de la izquierda",0.006,0.029,0.013,0.898,0.04
"P35","No sabe",0.04,0.027,0.006,0.011,0.699
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.891,0.006,0.079,0.071,0.321
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.005,0.964,0.001,0.102,0.056
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.042,0.003,0.894,0.039,0.059
"P36","A los candidatos de la izquierda",0.008,0.018,0.012,0.783,0.02
"P36","No sabe",0.054,0.009,0.014,0.005,0.544
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.897,0.012,0.092,0.076,0.34
