"var","categoria","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P21","Puede que lo vote",0.108,0.384,0.06,0.173,0.139
"P21","Nunca lo votaría",0.765,0.284,0.795,0.648,0.717
"P21","No sabe",0.089,0.065,0.131,0.135,0.093
"P22","Lo votaría",0.389,0.125,0.132,0.045,0.171
"P22","Puede que lo vote",0.347,0.189,0.261,0.114,0.285
"P22","Nunca lo votaría",0.2,0.597,0.501,0.743,0.399
"P22","No sabe",0.064,0.089,0.106,0.098,0.145
"P23","Lo votaría",0.465,0.108,0.211,0.015,0.235
"P23","Puede que lo vote",0.304,0.093,0.348,0.047,0.228
"P23","Nunca lo votaría",0.19,0.777,0.35,0.888,0.461
"P23","No sabe",0.041,0.022,0.091,0.05,0.076
"P24","Lo votaría",0.404,0.094,0.114,0.053,0.175
"P24","Puede que lo vote",0.328,0.078,0.219,0.054,0.29
"P24","Nunca lo votaría",0.236,0.819,0.6,0.844,0.477
"P24","No sabe",0.032,0.009,0.067,0.049,0.058
"P25","Lo votaría",0.372,0.072,0.392,0.078,0.233
"P25","Puede que lo vote",0.323,0.102,0.328,0.004,0.234
"P25","Nunca lo votaría",0.257,0.809,0.205,0.869,0.438
"P25","No sabe",0.048,0.017,0.075,0.049,0.095
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.289,0.06,0.154,0.011,0.231
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.24,0.044,0.259,0.051,0.184
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.059,0.01,0.017,0.033,0.019
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.139,0.039,0.025,0.031,0.083
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.17,0.05,0.014,0.054,0.231
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.06,0.579,0.02,0.209,0.115
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.041,0.203,0.006,0.031,0.077
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.001,0.012,0.505,0.004,0.044
"P26","A los candidatos de la izquierda",0.001,0.003,0,0.576,0.016
"P26","No sabe",0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.297,0.052,0.149,0.011,0.201
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.247,0.044,0.28,0.066,0.233
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.052,0.019,0.003,0.018,0.013
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.131,0.036,0.017,0.038,0.095
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.174,0.047,0.018,0.044,0.196
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.051,0.575,0.014,0.105,0.091
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.043,0.202,0,0.011,0.071
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.001,0.002,0.519,0.009,0.06
"P27","A los candidatos de la izquierda",0.004,0.023,0,0.698,0.04
"P27","No sabe",0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.356,0.067,0.23,0.015,0.205
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.115,0.035,0.019,0.018,0.025
"P28","A Martín Lousteau como Jefe de Gobierno",0.22,0.085,0.06,0.111,0.292
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.185,0.04,0.13,0.022,0.175
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.075,0.614,0.009,0.227,0.161
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.023,0.127,0.001,0,0.024
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.017,0.01,0.448,0,0.026
"P28","A los candidatos de izquierda",0,0.005,0.098,0.454,0.006
"P28","No sabe",0.009,0.017,0.005,0.153,0.086
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.36,0.055,0.203,0.006,0.207
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.148,0.054,0.035,0.038,0.124
"P29","A Martín Lousteau como Jefe de Gobierno",0.191,0.059,0.083,0.128,0.246
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.127,0.197,0.092,0.02,0.111
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.063,0.488,0.002,0.066,0.097
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.082,0.118,0.025,0.014,0.063
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.009,0.004,0.481,0,0.024
"P29","A los candidatos de izquierda",0.004,0.006,0.075,0.465,0.024
"P29","No sabe",0.016,0.019,0.004,0.263,0.104
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.207,0.072,0.017,0,0.049
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.442,0.062,0.342,0.024,0.325
"P30","A Martín Lousteau como Jefe de Gobierno",0.193,0.056,0.069,0.088,0.294
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.09,0.603,0.007,0.162,0.119
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.022,0.152,0.006,0.004,0.086
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.015,0.026,0.414,0.02,0.039
"P30","A los candidatos de la izquierda",0.007,0.013,0.069,0.519,0.014
"P30","No sabe",0.024,0.016,0.076,0.183,0.074
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.218,0.071,0.017,0,0.051
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.485,0.066,0.341,0.033,0.311
"P31","A Martín Lousteau como Jefe de Gobierno",0.171,0.046,0.047,0.075,0.273
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.072,0.625,0,0.101,0.076
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.025,0.155,0.014,0.013,0.094
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.003,0.012,0.452,0.009,0.036
"P31","A los candidatos de la izquierda",0.007,0.016,0.052,0.671,0.017
"P31","No sabe",0.019,0.009,0.077,0.098,0.142
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.842,0.168,0.302,0.053,0.36
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.107,0.783,0.013,0.218,0.13
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.009,0.009,0.645,0.009,0.028
"P32","A los candidatos de la izquierda",0.002,0.016,0.013,0.672,0.037
"P32","No sabe",0.04,0.024,0.027,0.048,0.445
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.834,0.168,0.298,0.039,0.358
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.102,0.772,0.005,0.072,0.104
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.018,0.019,0.657,0.022,0.009
"P33","A los candidatos de la izquierda",0.006,0.009,0.022,0.844,0.018
"P33","No sabe",0.04,0.032,0.018,0.023,0.511
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.815,0.167,0.053,0.078,0.175
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.101,0.789,0.01,0.161,0.118
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.027,0.017,0.893,0.005,0.025
"P34","A los candidatos de la izquierda",0.003,0.006,0.008,0.705,0.007
"P34","No sabe",0.054,0.021,0.036,0.051,0.675
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.814,0.161,0.045,0.083,0.157
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.102,0.789,0.002,0.102,0.056
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.035,0.023,0.922,0.004,0.027
"P35","A los candidatos de la izquierda",0.006,0.014,0.02,0.807,0.026
"P35","No sabe",0.043,0.013,0.011,0.004,0.734
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.812,0.176,0.044,0.091,0.238
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.102,0.794,0.009,0.178,0.128
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.037,0.006,0.919,0.004,0.019
"P36","A los candidatos de la izquierda",0.004,0.014,0.013,0.7,0.009
"P36","No sabe",0.045,0.01,0.015,0.027,0.606
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.832,0.173,0.056,0.077,0.249
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.103,0.803,0.004,0.143,0.067
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.021,0.005,0.923,0,0.018
"P37","A los candidatos de la izquierda",0.006,0.005,0.002,0.747,0.014
"P37","No sabe",0.038,0.014,0.015,0.033,0.652
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.821,0.221,0.021,0.013,0.068
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.142,0.746,0.015,0.16,0.117
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.009,0.012,0.955,0,0.045
"P38","A los candidatos de la izquierda",0.004,0.009,0.005,0.805,0.012
"P38","No sabe",0.024,0.012,0.004,0.022,0.758
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.805,0.229,0.031,0.028,0.127
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.14,0.74,0.007,0.182,0.127
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.02,0.009,0.95,0.027,0.034
"P42","A los candidatos de la izquierda",0.001,0.003,0.003,0.72,0.021
"P42","No sabe",0.034,0.019,0.009,0.043,0.691
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.813,0.195,0.018,0.051,0.163
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.128,0.776,0.003,0.057,0.035
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.021,0.01,0.966,0,0.01
"P44","A los candidatos de la izquierda",0.004,0.008,0,0.822,0.036
"P44","No sabe",0.034,0.011,0.013,0.07,0.756
"P46","Jorge Macri por Juntos por el Cambio",0.847,0.158,0.643,0.091,0.435
"P46","Leandro Santoro por el Frente de Todos",0.092,0.827,0.032,0.473,0.187
"P46","No sabe",0.061,0.015,0.325,0.436,0.378
"P47","Soledad Acuña por Juntos por el Cambio",0.773,0.155,0.491,0.054,0.302
"P47","Leandro Santoro por el Frente de Todos",0.093,0.819,0.068,0.479,0.205
"P47","No sabe",0.134,0.026,0.441,0.467,0.493
"P48","Fernán Quirós por Juntos por el Cambio",0.849,0.174,0.527,0.103,0.453
"P48","Leandro Santoro por el Frente de Todos",0.084,0.807,0.057,0.486,0.166
"P48","No sabe",0.067,0.019,0.416,0.411,0.381
"P49","Martín Lousteau por Juntos por el Cambio",0.807,0.166,0.442,0.105,0.529
"P49","Leandro Santoro por el Frente de Todos",0.087,0.803,0.048,0.525,0.17
"P49","No sabe",0.106,0.031,0.51,0.37,0.301
"P50","María Eugenia Vidal por Juntos por el Cambio",0.84,0.146,0.437,0.064,0.375
"P50","Leandro Santoro por el Frente de Todos",0.089,0.823,0.058,0.528,0.207
"P50","No sabe",0.071,0.031,0.505,0.408,0.418
"P51","Muy buena",0.412,0.127,0.1,0.006,0.118
"P51","Buena",0.408,0.125,0.258,0.109,0.306
"P51","Ni buena ni mala",0.089,0.115,0.273,0.158,0.346
"P51","Mala",0.034,0.222,0.21,0.304,0.151
"P51","Muy mala",0.052,0.407,0.138,0.423,0.057
"P51","No sabe",0.005,0.004,0.021,0,0.022
"P52","Muy buena",0.387,0.098,0.191,0.018,0.165
"P52","Buena",0.334,0.065,0.225,0.022,0.17
"P52","Ni buena ni mala",0.171,0.141,0.335,0.086,0.331
"P52","Mala",0.042,0.217,0.122,0.317,0.168
"P52","Muy mala",0.057,0.445,0.088,0.551,0.122
"P52","No sabe",0.009,0.034,0.039,0.006,0.044
"P53","Muy buena",0.066,0.574,0.045,0.12,0.089
"P53","Buena",0.078,0.19,0.051,0.133,0.129
"P53","Ni buena ni mala",0.227,0.085,0.212,0.129,0.223
"P53","Mala",0.288,0.051,0.245,0.218,0.176
"P53","Muy mala",0.295,0.081,0.43,0.354,0.26
"P53","No sabe",0.046,0.019,0.017,0.046,0.123
"P54","Muy buena",0.384,0.122,0.077,0.043,0.114
"P54","Buena",0.322,0.062,0.198,0.05,0.25
"P54","Ni buena ni mala",0.129,0.063,0.261,0.078,0.245
"P54","Mala",0.053,0.147,0.209,0.158,0.166
"P54","Muy mala",0.107,0.605,0.25,0.671,0.19
"P54","No sabe",0.005,0.001,0.005,0,0.035
"P55","Muy buena",0.261,0.08,0.086,0.029,0.058
"P55","Buena",0.369,0.055,0.187,0.036,0.149
"P55","Ni buena ni mala",0.205,0.082,0.369,0.108,0.329
"P55","Mala",0.044,0.118,0.167,0.139,0.151
"P55","Muy mala",0.083,0.652,0.108,0.652,0.192
"P55","No sabe",0.038,0.013,0.083,0.036,0.121
"P56","Muy buena",0.292,0.076,0.087,0.071,0.226
"P56","Buena",0.33,0.066,0.103,0.034,0.202
"P56","Ni buena ni mala",0.207,0.154,0.286,0.181,0.208
"P56","Mala",0.097,0.311,0.241,0.27,0.154
"P56","Muy mala",0.067,0.381,0.274,0.408,0.15
"P56","No sabe",0.007,0.012,0.009,0.036,0.06
"P57","Muy buena",0.05,0.22,0.028,0.047,0.074
"P57","Buena",0.077,0.354,0.024,0.094,0.076
"P57","Ni buena ni mala",0.22,0.206,0.181,0.332,0.214
"P57","Mala",0.274,0.096,0.246,0.249,0.27
"P57","Muy mala",0.348,0.104,0.466,0.243,0.251
"P57","No sabe",0.031,0.02,0.055,0.035,0.115
"P58","Muy buena",0.442,0.078,0.389,0.017,0.234
"P58","Buena",0.228,0.088,0.245,0.061,0.185
"P58","Ni buena ni mala",0.172,0.111,0.216,0.1,0.251
"P58","Mala",0.051,0.113,0.052,0.131,0.087
"P58","Muy mala",0.095,0.609,0.092,0.691,0.144
"P58","No sabe",0.012,0.001,0.006,0,0.099
"P59","Muy buena",0.632,0.126,0.236,0.051,0.248
"P59","Buena",0.174,0.173,0.222,0.057,0.297
"P59","Ni buena ni mala",0.107,0.268,0.315,0.187,0.238
"P59","Mala",0.034,0.139,0.102,0.245,0.094
"P59","Muy mala",0.04,0.271,0.091,0.436,0.024
"P59","No sabe",0.013,0.023,0.034,0.024,0.099
"P60","Muy buena",0.082,0.307,0.031,0.057,0.088
"P60","Buena",0.053,0.288,0.034,0.109,0.065
"P60","Ni buena ni mala",0.121,0.164,0.167,0.371,0.155
"P60","Mala",0.248,0.084,0.176,0.157,0.21
"P60","Muy mala",0.442,0.119,0.483,0.247,0.375
"P60","No sabe",0.054,0.038,0.109,0.059,0.107
"P61","Muy buena",0.025,0.163,0.01,0.058,0.049
"P61","Buena",0.033,0.119,0,0.083,0.004
"P61","Ni buena ni mala",0.161,0.315,0.21,0.272,0.208
"P61","Mala",0.174,0.053,0.117,0.171,0.129
"P61","Muy mala",0.285,0.101,0.383,0.241,0.258
"P61","No sabe",0.322,0.249,0.28,0.175,0.352
"P62","Muy buena",0.019,0.148,0.003,0.017,0.013
"P62","Buena",0.05,0.403,0.005,0.022,0.027
"P62","Ni buena ni mala",0.046,0.238,0.046,0.219,0.119
"P62","Mala",0.128,0.068,0.092,0.501,0.177
"P62","Muy mala",0.736,0.126,0.84,0.241,0.596
"P62","No sabe",0.021,0.017,0.014,0,0.068
"P63","Muy buena",0.029,0.114,0.003,0.032,0.009
"P63","Buena",0.038,0.385,0,0.028,0.042
"P63","Ni buena ni mala",0.027,0.277,0.016,0.223,0.099
"P63","Mala",0.129,0.081,0.122,0.392,0.188
"P63","Muy mala",0.777,0.138,0.85,0.325,0.639
"P63","No sabe",0,0.005,0.009,0,0.023
"P64","Muy buena",0.066,0.631,0.013,0.223,0.109
"P64","Buena",0.02,0.124,0.008,0.215,0.053
"P64","Ni buena ni mala",0.018,0.048,0.012,0.088,0.055
"P64","Mala",0.062,0.033,0.086,0.248,0.095
"P64","Muy mala",0.832,0.164,0.869,0.214,0.68
"P64","No sabe",0.002,0,0.012,0.012,0.008
"P65","Muy buena",0.417,0.137,0.223,0.019,0.213
"P65","Buena",0.265,0.068,0.222,0.044,0.156
"P65","Ni buena ni mala",0.134,0.032,0.194,0.04,0.16
"P65","Mala",0.04,0.077,0.175,0.111,0.191
"P65","Muy mala",0.143,0.685,0.181,0.786,0.28
"P65","No sabe",0.001,0.001,0.005,0,0
"P66","Muy buena",0.307,0.083,0.044,0.026,0.066
"P66","Buena",0.398,0.088,0.126,0.059,0.215
"P66","Ni buena ni mala",0.176,0.066,0.209,0.05,0.3
"P66","Mala",0.038,0.148,0.282,0.107,0.26
"P66","Muy mala",0.078,0.615,0.334,0.758,0.159
"P66","No sabe",0.003,0,0.005,0,0
"P67","Muy buena",0.03,0.155,0.011,0.049,0.03
"P67","Buena",0.08,0.375,0.03,0.109,0.131
"P67","Ni buena ni mala",0.087,0.191,0.06,0.186,0.18
"P67","Mala",0.193,0.082,0.22,0.373,0.172
"P67","Muy mala",0.602,0.194,0.674,0.283,0.441
"P67","No sabe",0.008,0.003,0.005,0,0.046
"P68","Muy buena",0.564,0.111,0.439,0.057,0.341
"P68","Buena",0.209,0.067,0.26,0.029,0.154
"P68","Ni buena ni mala",0.075,0.044,0.121,0.031,0.14
"P68","Mala",0.03,0.072,0.053,0.121,0.11
"P68","Muy mala",0.12,0.7,0.119,0.762,0.219
"P68","No sabe",0.002,0.006,0.008,0,0.036
"P69","Muy buena",0.078,0.046,0.54,0.006,0.076
"P69","Buena",0.132,0.019,0.304,0,0.047
"P69","Ni buena ni mala",0.355,0.092,0.124,0.033,0.284
"P69","Mala",0.204,0.079,0.017,0.087,0.227
"P69","Muy mala",0.208,0.759,0.014,0.866,0.298
"P69","No sabe",0.023,0.005,0.001,0.008,0.068
"P70","Muy buena",0.071,0.055,0.088,0.017,0.12
"P70","Buena",0.181,0.104,0.099,0.043,0.16
"P70","Ni buena ni mala",0.389,0.364,0.359,0.167,0.275
"P70","Mala",0.188,0.181,0.182,0.152,0.156
"P70","Muy mala",0.151,0.263,0.23,0.545,0.182
"P70","No sabe",0.02,0.033,0.042,0.076,0.107
"P71","Siempre",0.352,0.297,0.302,0.329,0.22
"P71","Casi siempre",0.462,0.427,0.36,0.413,0.377
"P71","Casi nunca",0.126,0.203,0.226,0.106,0.272
"P71","Nunca, pero esta es una excepción",0.06,0.073,0.112,0.152,0.131
"P72","Si",0.589,0.568,0.621,0.59,0.473
"P72","No",0.411,0.432,0.379,0.41,0.527
