"var","categoria","A Soledad Acuña","A Jorge Macri","A Martín Lousteau","A Fernan Quirós","A Ricardo López Murphy"
"P13","A Gerardo Morales",0.007,0.015,0.053,0.035,0.002
"P18","Lo votaría",0.292,0.155,0.767,0.292,0.134
"P18","Puede que lo vote",0.326,0.393,0.107,0.371,0.393
"P18","Nunca lo votaría",0.262,0.338,0.095,0.221,0.397
"P18","No sabe",0.12,0.114,0.031,0.116,0.076
"P19","Lo votaría",0.111,0.04,0.078,0.097,0.043
"P19","Puede que lo vote",0.16,0.089,0.125,0.125,0.131
"P19","Nunca lo votaría",0.577,0.779,0.672,0.638,0.765
"P19","No sabe",0.152,0.092,0.125,0.14,0.061
"P20","Lo votaría",0.377,0.127,0.094,0.175,0.068
"P20","Puede que lo vote",0.199,0.399,0.312,0.372,0.425
"P20","Nunca lo votaría",0.225,0.356,0.445,0.324,0.373
"P20","No sabe",0.199,0.118,0.149,0.129,0.134
"P21","Lo votaría",0.085,0.007,0.036,0.028,0.033
"P21","Puede que lo vote",0.108,0.091,0.117,0.125,0.064
"P21","Nunca lo votaría",0.607,0.815,0.742,0.711,0.829
"P21","No sabe",0.2,0.087,0.105,0.136,0.074
"P22","Lo votaría",0.328,0.248,0.223,0.705,0.209
"P22","Puede que lo vote",0.35,0.444,0.448,0.184,0.439
"P22","Nunca lo votaría",0.174,0.221,0.232,0.068,0.243
"P22","No sabe",0.148,0.087,0.097,0.043,0.109
"P23","Lo votaría",0.314,0.858,0.216,0.316,0.345
"P23","Puede que lo vote",0.419,0.109,0.403,0.422,0.445
"P23","Nunca lo votaría",0.155,0.02,0.301,0.199,0.143
"P23","No sabe",0.112,0.013,0.08,0.063,0.067
"P24","Lo votaría",0.518,0.444,0.365,0.346,0.311
"P24","Puede que lo vote",0.215,0.35,0.309,0.378,0.394
"P24","Nunca lo votaría",0.181,0.159,0.284,0.208,0.244
"P24","No sabe",0.086,0.047,0.042,0.068,0.051
"P25","Lo votaría",0.294,0.303,0.227,0.217,0.768
"P25","Puede que lo vote",0.345,0.422,0.362,0.433,0.158
"P25","Nunca lo votaría",0.241,0.196,0.323,0.264,0.062
"P25","No sabe",0.12,0.079,0.088,0.086,0.012
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.187,0.561,0.167,0.183,0.168
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.289,0.155,0.126,0.178,0.577
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.2,0.067,0.052,0.047,0.016
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.072,0.053,0.049,0.311,0.04
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.074,0.076,0.483,0.113,0.055
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.026,0.011,0.016,0.012,0.013
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.012,0.003,0.022,0.023,0.019
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.01,0.015,0.014,0.011,0.024
"P26","A los candidatos de la izquierda",0.006,0,0.005,0,0
"P26","No sabe",0.124,0.059,0.066,0.122,0.088
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.127,0.556,0.154,0.188,0.126
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.274,0.16,0.139,0.182,0.632
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.23,0.053,0.034,0.033,0.018
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.036,0.068,0.032,0.321,0.049
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.099,0.057,0.51,0.085,0.041
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.029,0.004,0.012,0.019,0.005
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0,0.002,0.004,0.024,0.015
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.059,0.018,0.019,0.021,0.013
"P27","A los candidatos de la izquierda",0,0,0.012,0,0
"P27","No sabe",0.146,0.082,0.084,0.127,0.101
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.278,0.639,0.135,0.264,0.313
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.274,0.102,0.078,0.217,0.04
"P28","A Martín Lousteau como Jefe de Gobierno",0.076,0.088,0.672,0.237,0.044
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.107,0.113,0.047,0.157,0.527
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.035,0.008,0.032,0.033,0.012
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.07,0.009,0.006,0.01,0.011
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.127,0.021,0.013,0.029,0.027
"P28","A los candidatos de izquierda",0,0.003,0.002,0.004,0.006
"P28","No sabe",0.033,0.017,0.015,0.049,0.02
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.394,0.572,0.169,0.271,0.328
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.218,0.129,0.232,0.248,0.074
"P29","A Martín Lousteau como Jefe de Gobierno",0.126,0.055,0.461,0.175,0.206
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.062,0.044,0.066,0.097,0.298
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.079,0.004,0.003,0.025,0.002
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.044,0.159,0.034,0.091,0.051
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.059,0.016,0.012,0.034,0.015
"P29","A los candidatos de izquierda",0,0.001,0.005,0.004,0.01
"P29","No sabe",0.018,0.02,0.018,0.055,0.016
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.189,0.284,0.151,0.288,0.073
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.501,0.538,0.203,0.334,0.783
"P30","A Martín Lousteau como Jefe de Gobierno",0.088,0.096,0.549,0.196,0.047
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.032,0.016,0.034,0.066,0.027
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0,0.008,0.007,0.015,0.005
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.102,0.032,0.031,0.052,0.042
"P30","A los candidatos de la izquierda",0.009,0,0.003,0.003,0.004
"P30","No sabe",0.079,0.026,0.022,0.046,0.019
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.205,0.267,0.19,0.288,0.064
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.475,0.586,0.22,0.379,0.799
"P31","A Martín Lousteau como Jefe de Gobierno",0.092,0.08,0.516,0.17,0.044
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.016,0.01,0.027,0.042,0.016
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0,0.003,0.008,0.028,0.016
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.086,0.03,0.01,0.047,0.041
"P31","A los candidatos de la izquierda",0,0.002,0.016,0,0
"P31","No sabe",0.126,0.022,0.013,0.046,0.02
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.771,0.923,0.713,0.802,0.881
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.042,0.012,0.044,0.05,0.028
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.128,0.022,0.065,0.04,0.036
"P32","A los candidatos de la izquierda",0.029,0.004,0.013,0.006,0.002
"P32","No sabe",0.03,0.039,0.165,0.102,0.053
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.776,0.914,0.679,0.784,0.891
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.035,0.014,0.027,0.057,0.019
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.04,0.036,0.047,0.044,0.047
"P33","A los candidatos de la izquierda",0.114,0,0.032,0.034,0.006
"P33","No sabe",0.035,0.036,0.215,0.081,0.037
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.755,0.758,0.687,0.746,0.662
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.026,0.016,0.04,0.05,0.012
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.135,0.121,0.068,0.094,0.183
"P34","A los candidatos de la izquierda",0,0.002,0.016,0.007,0.004
"P34","No sabe",0.084,0.103,0.189,0.103,0.139
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.743,0.752,0.676,0.752,0.619
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.036,0.017,0.036,0.045,0.023
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.138,0.14,0.08,0.108,0.215
"P35","A los candidatos de la izquierda",0,0.003,0.017,0.02,0
"P35","No sabe",0.083,0.088,0.191,0.075,0.143
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.76,0.717,0.854,0.763,0.57
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.046,0.013,0.045,0.044,0.019
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.045,0.151,0.024,0.101,0.25
"P36","A los candidatos de la izquierda",0.067,0.002,0.011,0.007,0.005
"P36","No sabe",0.082,0.117,0.066,0.085,0.156
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.753,0.742,0.86,0.765,0.565
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.037,0.014,0.044,0.084,0.013
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.105,0.123,0.027,0.074,0.238
"P37","A los candidatos de la izquierda",0,0.002,0.012,0.014,0
"P37","No sabe",0.105,0.119,0.057,0.063,0.184
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.707,0.77,0.722,0.758,0.54
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.051,0.055,0.061,0.058,0.075
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.137,0.101,0.051,0.1,0.244
"P38","A los candidatos de la izquierda",0,0.006,0.027,0.013,0
"P38","No sabe",0.105,0.068,0.139,0.071,0.141
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.585,0.731,0.633,0.655,0.569
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.207,0.092,0.134,0.164,0.057
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.106,0.107,0.048,0.106,0.24
"P40","A los candidatos de la izquierda",0,0.002,0.031,0.014,0.013
"P40","No sabe",0.102,0.068,0.154,0.061,0.121
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.711,0.74,0.66,0.715,0.563
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.072,0.054,0.093,0.082,0.053
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.093,0.121,0.068,0.132,0.263
"P42","A los candidatos de la izquierda",0,0.002,0.017,0.012,0
"P42","No sabe",0.124,0.083,0.162,0.059,0.121
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.683,0.713,0.636,0.715,0.556
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.108,0.083,0.101,0.085,0.053
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.122,0.135,0.064,0.096,0.261
"P44","A los candidatos de la izquierda",0,0.012,0.01,0.01,0
"P44","No sabe",0.087,0.057,0.189,0.094,0.13
"P46","Jorge Macri por Juntos por el Cambio",0.829,0.965,0.723,0.818,0.93
"P46","Leandro Santoro por el Frente de Todos",0.071,0.002,0.077,0.028,0.006
"P46","No sabe",0.1,0.033,0.2,0.154,0.064
"P47","Soledad Acuña por Juntos por el Cambio",0.917,0.818,0.649,0.813,0.751
"P47","Leandro Santoro por el Frente de Todos",0.049,0,0.064,0.033,0.021
"P47","No sabe",0.034,0.182,0.287,0.154,0.228
"P48","Fernán Quirós por Juntos por el Cambio",0.899,0.86,0.766,0.926,0.848
"P48","Leandro Santoro por el Frente de Todos",0.077,0.002,0.058,0.01,0.014
"P48","No sabe",0.024,0.138,0.176,0.064,0.138
"P49","Martín Lousteau por Juntos por el Cambio",0.883,0.781,0.915,0.775,0.677
"P49","Leandro Santoro por el Frente de Todos",0.064,0.004,0.047,0.021,0.021
"P49","No sabe",0.053,0.215,0.038,0.204,0.302
"P50","María Eugenia Vidal por Juntos por el Cambio",0.939,0.87,0.72,0.813,0.8
"P50","Leandro Santoro por el Frente de Todos",0.049,0.002,0.072,0.037,0.015
"P50","No sabe",0.012,0.128,0.208,0.15,0.185
"P51","Muy buena",0.323,0.457,0.352,0.447,0.197
"P51","Buena",0.401,0.347,0.432,0.41,0.516
"P51","Ni buena ni mala",0.142,0.117,0.157,0.102,0.154
"P51","Mala",0.012,0.066,0.017,0.027,0.091
"P51","Muy mala",0.107,0.004,0.035,0.014,0.042
"P51","No sabe",0.015,0.009,0.007,0,0
"P52","Muy buena",0.167,0.711,0.246,0.26,0.248
"P52","Buena",0.462,0.234,0.29,0.391,0.373
"P52","Ni buena ni mala",0.356,0.038,0.336,0.233,0.33
"P52","Mala",0,0.004,0.074,0.069,0.041
"P52","Muy mala",0,0.002,0.034,0.034,0.005
"P52","No sabe",0.015,0.011,0.02,0.013,0.003
"P53","Muy buena",0.034,0.05,0.05,0.016,0.027
"P53","Buena",0.033,0.058,0.078,0.055,0.087
"P53","Ni buena ni mala",0.364,0.228,0.279,0.251,0.139
"P53","Mala",0.15,0.29,0.297,0.292,0.261
"P53","Muy mala",0.374,0.331,0.248,0.333,0.449
"P53","No sabe",0.045,0.043,0.048,0.053,0.037
"P54","Muy buena",0.35,0.411,0.277,0.362,0.219
"P54","Buena",0.274,0.348,0.335,0.318,0.348
"P54","Ni buena ni mala",0.246,0.136,0.152,0.212,0.272
"P54","Mala",0.118,0.064,0.102,0.081,0.119
"P54","Muy mala",0.012,0.028,0.134,0.027,0.042
"P54","No sabe",0,0.013,0,0,0
"P55","Muy buena",0.382,0.291,0.152,0.248,0.193
"P55","Buena",0.367,0.343,0.285,0.391,0.387
"P55","Ni buena ni mala",0.139,0.261,0.371,0.244,0.28
"P55","Mala",0.064,0.044,0.093,0.058,0.11
"P55","Muy mala",0.013,0.019,0.067,0.047,0.003
"P55","No sabe",0.035,0.042,0.032,0.012,0.027
"P56","Muy buena",0.182,0.184,0.698,0.204,0.079
"P56","Buena",0.368,0.3,0.196,0.328,0.287
"P56","Ni buena ni mala",0.247,0.323,0.076,0.304,0.256
"P56","Mala",0.162,0.149,0.006,0.081,0.209
"P56","Muy mala",0.041,0.036,0.019,0.068,0.152
"P56","No sabe",0,0.008,0.005,0.015,0.017
"P57","Muy buena",0.048,0.021,0.084,0.045,0.009
"P57","Buena",0.108,0.056,0.058,0.018,0.069
"P57","Ni buena ni mala",0.169,0.212,0.277,0.229,0.121
"P57","Mala",0.142,0.301,0.326,0.324,0.246
"P57","Muy mala",0.478,0.369,0.211,0.36,0.527
"P57","No sabe",0.055,0.041,0.044,0.024,0.028
"P58","Muy buena",0.375,0.42,0.258,0.314,0.765
"P58","Buena",0.196,0.279,0.284,0.318,0.168
"P58","Ni buena ni mala",0.29,0.195,0.262,0.263,0.028
"P58","Mala",0.024,0.042,0.117,0.081,0.006
"P58","Muy mala",0.067,0.05,0.065,0.024,0.028
"P58","No sabe",0.048,0.014,0.014,0,0.005
"P59","Muy buena",0.559,0.554,0.472,0.819,0.477
"P59","Buena",0.241,0.273,0.25,0.11,0.255
"P59","Ni buena ni mala",0.152,0.135,0.185,0.041,0.194
"P59","Mala",0.024,0.006,0.031,0.009,0.042
"P59","Muy mala",0,0.012,0.019,0.007,0.023
"P59","No sabe",0.024,0.02,0.043,0.014,0.009
"P60","Muy buena",0.068,0.032,0.044,0.073,0.02
"P60","Buena",0.038,0.024,0.04,0.011,0.023
"P60","Ni buena ni mala",0.287,0.128,0.16,0.129,0.108
"P60","Mala",0.22,0.255,0.305,0.241,0.17
"P60","Muy mala",0.336,0.504,0.37,0.479,0.667
"P60","No sabe",0.051,0.057,0.081,0.067,0.012
"P61","Muy buena",0,0.004,0.003,0.021,0
"P61","Buena",0.024,0.019,0.005,0,0.016
"P61","Ni buena ni mala",0.268,0.128,0.2,0.169,0.13
"P61","Mala",0.082,0.19,0.189,0.149,0.126
"P61","Muy mala",0.296,0.363,0.326,0.351,0.339
"P61","No sabe",0.33,0.296,0.277,0.31,0.389
"P62","Muy buena",0,0.004,0.025,0,0.007
"P62","Buena",0.036,0,0.009,0.007,0.012
"P62","Ni buena ni mala",0.015,0.012,0.068,0.045,0.047
"P62","Mala",0.129,0.13,0.174,0.125,0.076
"P62","Muy mala",0.805,0.84,0.699,0.809,0.835
"P62","No sabe",0.015,0.014,0.025,0.014,0.023
"P63","Muy buena",0,0.011,0,0,0
"P63","Buena",0.036,0,0.019,0.01,0.006
"P63","Ni buena ni mala",0.015,0.014,0.064,0.034,0.02
"P63","Mala",0.179,0.111,0.17,0.144,0.094
"P63","Muy mala",0.77,0.864,0.747,0.812,0.88
"P63","No sabe",0,0,0,0,0
"P64","Muy buena",0.036,0.011,0.019,0.009,0
"P64","Buena",0,0,0.02,0,0.006
"P64","Ni buena ni mala",0.015,0.006,0.023,0.042,0.007
"P64","Mala",0.043,0.073,0.125,0.074,0.043
"P64","Muy mala",0.906,0.91,0.813,0.868,0.937
"P64","No sabe",0,0,0,0.007,0.007
"P65","Muy buena",0.41,0.561,0.199,0.351,0.498
"P65","Buena",0.217,0.262,0.278,0.316,0.305
"P65","Ni buena ni mala",0.069,0.071,0.246,0.157,0.1
"P65","Mala",0.083,0.027,0.126,0.085,0.031
"P65","Muy mala",0.221,0.077,0.151,0.091,0.066
"P65","No sabe",0,0.002,0,0,0
"P66","Muy buena",0.365,0.286,0.259,0.349,0.13
"P66","Buena",0.232,0.418,0.464,0.376,0.348
"P66","Ni buena ni mala",0.266,0.179,0.178,0.174,0.249
"P66","Mala",0.111,0.067,0.051,0.074,0.191
"P66","Muy mala",0.026,0.05,0.048,0.027,0.079
"P66","No sabe",0,0,0,0,0.003
"P67","Muy buena",0,0.018,0.039,0.029,0.018
"P67","Buena",0.036,0.048,0.071,0.028,0.045
"P67","Ni buena ni mala",0.067,0.032,0.148,0.125,0.056
"P67","Mala",0.209,0.196,0.25,0.231,0.107
"P67","Muy mala",0.688,0.703,0.485,0.584,0.764
"P67","No sabe",0,0.003,0.007,0.003,0.01
"P68","Muy buena",0.587,0.693,0.417,0.488,0.659
"P68","Buena",0.108,0.151,0.247,0.211,0.233
"P68","Ni buena ni mala",0.138,0.043,0.184,0.112,0.046
"P68","Mala",0.037,0.034,0.039,0.101,0.002
"P68","Muy mala",0.13,0.076,0.106,0.075,0.057
"P68","No sabe",0,0.003,0.007,0.013,0.003
"P69","Muy buena",0.03,0.128,0.047,0.072,0.106
"P69","Buena",0.138,0.206,0.071,0.19,0.188
"P69","Ni buena ni mala",0.393,0.385,0.382,0.346,0.343
"P69","Mala",0.287,0.189,0.251,0.217,0.214
"P69","Muy mala",0.152,0.07,0.206,0.165,0.136
"P69","No sabe",0,0.022,0.043,0.01,0.013
"P70","Muy buena",0.015,0.073,0.125,0.09,0.014
"P70","Buena",0.185,0.116,0.243,0.214,0.106
"P70","Ni buena ni mala",0.325,0.448,0.368,0.356,0.329
"P70","Mala",0.252,0.188,0.16,0.199,0.235
"P70","Muy mala",0.187,0.132,0.06,0.129,0.305
"P70","No sabe",0.036,0.043,0.044,0.012,0.011
"P71","Siempre",0.269,0.434,0.25,0.292,0.351
"P71","Casi siempre",0.339,0.388,0.476,0.5,0.411
"P71","Casi nunca",0.249,0.122,0.198,0.171,0.186
"P71","Nunca, pero esta es una excepción",0.143,0.056,0.076,0.037,0.052
"P72","Si",0.633,0.67,0.511,0.614,0.62
"P72","No",0.367,0.33,0.489,0.386,0.38
