"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.02,0.109,0.116,0.234
"P29","A los candidatos de izquierda",0.028,0.095,0.023,0.052
"P29","No sabe",0.029,0.035,0.023,0.044
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.061,0.144,0.126,0.098
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.084,0.168,0.451,0.155
"P30","A Martín Lousteau como Jefe de Gobierno",0.037,0.157,0.17,0.151
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.594,0.181,0.065,0.19
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.138,0.064,0.019,0.054
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.029,0.138,0.109,0.189
"P30","A los candidatos de la izquierda",0.031,0.085,0.032,0.075
"P30","No sabe",0.026,0.063,0.028,0.088
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.063,0.156,0.115,0.116
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.088,0.173,0.496,0.169
"P31","A Martín Lousteau como Jefe de Gobierno",0.032,0.15,0.137,0.142
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.588,0.193,0.058,0.115
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.132,0.06,0.028,0.1
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.021,0.133,0.106,0.198
"P31","A los candidatos de la izquierda",0.054,0.078,0.03,0.078
"P31","No sabe",0.022,0.057,0.03,0.082
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.145,0.406,0.666,0.379
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.755,0.286,0.069,0.189
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.021,0.172,0.155,0.203
"P32","A los candidatos de la izquierda",0.041,0.073,0.031,0.069
"P32","No sabe",0.038,0.063,0.079,0.16
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.139,0.369,0.667,0.362
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.712,0.26,0.076,0.176
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.052,0.177,0.154,0.259
"P33","A los candidatos de la izquierda",0.041,0.097,0.038,0.041
"P33","No sabe",0.056,0.097,0.065,0.162
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.128,0.357,0.541,0.28
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.75,0.265,0.07,0.176
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.051,0.224,0.238,0.326
"P34","A los candidatos de la izquierda",0.03,0.075,0.032,0.028
"P34","No sabe",0.041,0.079,0.119,0.19
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.117,0.366,0.535,0.3
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.736,0.258,0.071,0.172
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.058,0.241,0.247,0.342
"P35","A los candidatos de la izquierda",0.048,0.075,0.041,0.028
"P35","No sabe",0.041,0.06,0.106,0.158
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.123,0.404,0.537,0.278
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.759,0.272,0.08,0.176
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.061,0.198,0.255,0.357
"P36","A los candidatos de la izquierda",0.039,0.083,0.026,0.041
"P36","No sabe",0.018,0.043,0.102,0.148
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.144,0.367,0.559,0.307
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.737,0.265,0.075,0.172
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.051,0.221,0.24,0.34
"P37","A los candidatos de la izquierda",0.033,0.083,0.027,0.047
"P37","No sabe",0.035,0.064,0.099,0.134
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.146,0.352,0.518,0.281
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.744,0.266,0.089,0.195
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.047,0.219,0.255,0.352
"P38","A los candidatos de la izquierda",0.032,0.085,0.037,0.055
"P38","No sabe",0.031,0.078,0.101,0.117
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.195,0.286,0.495,0.309
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.672,0.305,0.114,0.169
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.051,0.215,0.256,0.336
"P40","A los candidatos de la izquierda",0.029,0.107,0.035,0.041
"P40","No sabe",0.053,0.087,0.1,0.145
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.163,0.383,0.526,0.327
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.722,0.249,0.081,0.166
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.051,0.236,0.25,0.381
"P42","A los candidatos de la izquierda",0.025,0.065,0.033,0.041
"P42","No sabe",0.039,0.067,0.11,0.085
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.176,0.34,0.501,0.293
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.691,0.232,0.103,0.189
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.055,0.23,0.254,0.36
"P44","A los candidatos de la izquierda",0.03,0.119,0.035,0.029
"P44","No sabe",0.048,0.079,0.107,0.129
"P46","Jorge Macri por Juntos por el Cambio",0.154,0.462,0.742,0.553
"P46","Leandro Santoro por el Frente de Todos",0.797,0.344,0.091,0.164
"P46","No sabe",0.049,0.194,0.167,0.283
"P47","Soledad Acuña por Juntos por el Cambio",0.135,0.368,0.67,0.362
"P47","Leandro Santoro por el Frente de Todos",0.798,0.336,0.098,0.217
"P47","No sabe",0.067,0.296,0.232,0.421
"P48","Fernán Quirós por Juntos por el Cambio",0.174,0.463,0.719,0.443
"P48","Leandro Santoro por el Frente de Todos",0.787,0.31,0.094,0.16
"P48","No sabe",0.039,0.227,0.187,0.397
"P49","Martín Lousteau por Juntos por el Cambio",0.165,0.468,0.664,0.466
"P49","Leandro Santoro por el Frente de Todos",0.788,0.339,0.087,0.154
"P49","No sabe",0.047,0.193,0.249,0.38
"P50","María Eugenia Vidal por Juntos por el Cambio",0.142,0.433,0.662,0.487
"P50","Leandro Santoro por el Frente de Todos",0.806,0.351,0.097,0.166
"P50","No sabe",0.052,0.216,0.241,0.347
"P51","Positiva",0.247,0.447,0.647,0.399
"P51","Neutra",0.092,0.201,0.163,0.277
"P51","Negativa",0.641,0.344,0.187,0.307
"P51","No sabe",0.02,0.008,0.003,0.017
"P52","Positiva",0.165,0.396,0.589,0.313
"P52","Neutra",0.125,0.27,0.218,0.252
"P52","Negativa",0.693,0.316,0.179,0.308
"P52","No sabe",0.017,0.018,0.014,0.127
"P53","Positiva",0.758,0.325,0.127,0.193
"P53","Neutra",0.074,0.354,0.173,0.194
"P53","Negativa",0.16,0.279,0.679,0.365
"P53","No sabe",0.008,0.042,0.021,0.248
"P54","Positiva",0.194,0.367,0.522,0.396
"P54","Neutra",0.044,0.19,0.181,0.176
