"var","categoria","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P21","Nunca lo votaría",0.797,0.206,0.8,0.54,0.778
"P21","No sabe",0.092,0.063,0.128,0.19,0.101
"P22","Lo votaría",0.386,0.059,0.132,0.073,0.212
"P22","Puede que lo vote",0.358,0.159,0.28,0.137,0.284
"P22","Nunca lo votaría",0.18,0.701,0.494,0.681,0.359
"P22","No sabe",0.076,0.081,0.094,0.109,0.145
"P23","Lo votaría",0.473,0.011,0.239,0.075,0.378
"P23","Puede que lo vote",0.322,0.038,0.348,0.027,0.25
"P23","Nunca lo votaría",0.154,0.928,0.336,0.834,0.3
"P23","No sabe",0.051,0.023,0.077,0.064,0.072
"P24","Lo votaría",0.423,0.002,0.124,0.084,0.217
"P24","Puede que lo vote",0.35,0.021,0.222,0.025,0.32
"P24","Nunca lo votaría",0.192,0.967,0.583,0.799,0.401
"P24","No sabe",0.035,0.01,0.071,0.092,0.062
"P25","Lo votaría",0.368,0.011,0.394,0.098,0.302
"P25","Puede que lo vote",0.355,0.034,0.331,0,0.28
"P25","Nunca lo votaría",0.22,0.942,0.206,0.785,0.341
"P25","No sabe",0.057,0.013,0.069,0.117,0.077
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.302,0.007,0.164,0.045,0.342
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.247,0.001,0.25,0.019,0.306
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.053,0.009,0.025,0.02,0.031
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.139,0.022,0.016,0.045,0.051
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.231,0.023,0.009,0.012,0.103
