"var","categoria","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P10","No sabe",0.036,0.05,0.058,0.109,0.215
"P11","A Alberto Fernández",0.178,0.114,0,0,0
"P11","A Sergio Massa",0.25,0.202,0.375,0,0.266
"P11","A algún candidato del peronismo",0.175,0.1,0.534,0.072,0.242
"P11","A algún candidato del kirchnerismo",0.397,0.584,0.091,0.928,0.492
"P12","A Alberto Fernández",0.075,0.054,0.172,0,0
"P12","A Sergio Massa",0.095,0.119,0.203,0,0.172
"P12","A algún candidato del peronismo",0.268,0.056,0.444,0.072,0.242
"P12","A Cristina Fernández de Kirchner",0.562,0.771,0.181,0.928,0.586
"P13","A Horacio Rodriguez Larreta",0.226,0.183,0.08,0.155,0.147
"P13","A Mauricio Macri",0.345,0.212,0.323,0,0.262
"P13","A Patricia Bullrich",0.381,0.365,0.571,0.387,0.495
"P13","A Facundo Manes",0.03,0.224,0.026,0.16,0.081
"P13","A Gerardo Morales",0.018,0.016,0,0.298,0.015
"P14","Del Frente de Todos y el peronismo",0.069,0.772,0.005,0.125,0.072
"P14","A Juntos por el Cambio",0.849,0.113,0.302,0.089,0.603
"P14","De los Liberales libertarios",0.053,0.021,0.634,0.026,0.059
"P14","De la Izquierda",0.021,0.058,0.001,0.669,0.022
"P14","No sabe",0.008,0.036,0.058,0.091,0.244
"P16","A Leandro Santoro",0.763,0.67,0.288,0.918,0.737
"P16","A Matias Lammens",0.173,0.152,0.712,0,0.135
"P16","A Mariano Recalde",0.064,0.178,0,0.082,0.128
"P17","A Soledad Acuña",0.046,0.045,0.029,0,0.051
"P17","A Jorge Macri",0.325,0.233,0.256,0.089,0.233
"P17","A Martín Lousteau",0.224,0.306,0.111,0.546,0.35
"P17","A Fernan Quirós",0.226,0.252,0.202,0.365,0.12
"P17","A Ricardo López Murphy",0.179,0.164,0.402,0,0.246
"P18","Lo votaría",0.333,0.083,0.063,0.065,0.339
"P18","Puede que lo vote",0.361,0.117,0.216,0.042,0.17
"P18","Nunca lo votaría",0.232,0.716,0.633,0.877,0.332
"P18","No sabe",0.074,0.084,0.088,0.016,0.159
"P19","Lo votaría",0.092,0.659,0.02,0.107,0.063
"P19","Puede que lo vote",0.104,0.164,0.068,0.313,0.107
"P19","Nunca lo votaría",0.708,0.133,0.843,0.535,0.709
"P19","No sabe",0.096,0.044,0.069,0.045,0.121
"P20","Lo votaría",0.164,0.052,0.052,0.042,0.055
"P20","Puede que lo vote",0.406,0.086,0.197,0.152,0.192
"P20","Nunca lo votaría",0.324,0.776,0.607,0.74,0.626
"P20","No sabe",0.106,0.086,0.144,0.066,0.127
"P21","Lo votaría",0.041,0.264,0.017,0.015,0.056
"P21","Puede que lo vote",0.094,0.41,0.063,0.107,0.099
"P21","Nunca lo votaría",0.787,0.245,0.786,0.727,0.796
"P21","No sabe",0.078,0.081,0.134,0.151,0.049
"P22","Lo votaría",0.406,0.086,0.12,0.044,0.213
"P22","Puede que lo vote",0.344,0.171,0.268,0.13,0.308
"P22","Nunca lo votaría",0.181,0.656,0.501,0.705,0.407
"P22","No sabe",0.069,0.087,0.111,0.121,0.072
"P23","Lo votaría",0.474,0.055,0.225,0.031,0.309
"P23","Puede que lo vote",0.312,0.066,0.36,0.039,0.245
"P23","Nunca lo votaría",0.17,0.86,0.335,0.857,0.375
"P23","No sabe",0.044,0.019,0.08,0.073,0.071
"P24","Lo votaría",0.436,0.037,0.113,0.059,0.173
"P24","Puede que lo vote",0.337,0.062,0.237,0.049,0.257
"P24","Nunca lo votaría",0.203,0.886,0.578,0.833,0.517
"P24","No sabe",0.024,0.015,0.072,0.059,0.053
"P25","Lo votaría",0.385,0.043,0.375,0.061,0.287
"P25","Puede que lo vote",0.332,0.07,0.339,0.016,0.245
"P25","Nunca lo votaría",0.233,0.872,0.204,0.864,0.411
"P25","No sabe",0.05,0.015,0.082,0.059,0.057
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.304,0.025,0.16,0.039,0.261
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.232,0.032,0.268,0.036,0.255
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.057,0.01,0.015,0.039,0.018
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.149,0.026,0.028,0.013,0.053
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.168,0.045,0.023,0.032,0.237
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.061,0.615,0.006,0.078,0.078
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.019,0.244,0.006,0,0.052
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.008,0.001,0.494,0.026,0.033
"P26","A los candidatos de la izquierda",0.002,0.002,0,0.737,0.013
"P26","No sabe",0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.302,0.027,0.153,0.009,0.244
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.251,0.032,0.286,0.036,0.271
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.054,0.009,0.002,0.017,0.011
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.134,0.033,0.019,0.055,0.072
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.17,0.043,0.025,0.019,0.198
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.066,0.573,0.006,0.082,0.092
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.02,0.234,0.003,0.006,0.039
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.001,0.003,0.506,0.026,0.051
"P27","A los candidatos de la izquierda",0.002,0.046,0,0.75,0.022
"P27","No sabe",0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.357,0.042,0.243,0.009,0.28
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.124,0.009,0.024,0.009,0.021
"P28","A Martín Lousteau como Jefe de Gobierno",0.239,0.069,0.053,0.072,0.292
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.173,0.048,0.132,0.028,0.178
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.056,0.669,0.002,0.05,0.127
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.024,0.13,0.004,0,0.02
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.012,0.016,0.441,0.013,0.003
"P28","A los candidatos de izquierda",0.004,0.002,0.095,0.572,0.02
"P28","No sabe",0.011,0.015,0.006,0.247,0.059
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.359,0.028,0.216,0.009,0.281
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.176,0.033,0.015,0.025,0.112
"P29","A Martín Lousteau como Jefe de Gobierno",0.192,0.054,0.085,0.1,0.244
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.119,0.187,0.098,0.015,0.141
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.056,0.512,0,0.055,0.069
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.076,0.124,0.035,0,0.064
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.006,0.012,0.465,0.019,0.003
"P29","A los candidatos de izquierda",0.001,0.014,0.081,0.548,0.016
"P29","No sabe",0.015,0.036,0.005,0.229,0.07
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.221,0.039,0.024,0.026,0.064
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.43,0.045,0.349,0.039,0.384
"P30","A Martín Lousteau como Jefe de Gobierno",0.204,0.04,0.058,0.051,0.319
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.058,0.666,0.004,0.054,0.09
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.027,0.16,0.004,0.019,0.063
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.025,0.018,0.422,0,0.002
"P30","A los candidatos de la izquierda",0.009,0.018,0.061,0.632,0
"P30","No sabe",0.026,0.014,0.078,0.179,0.078
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.233,0.03,0.026,0.018,0.064
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.47,0.048,0.358,0.022,0.378
"P31","A Martín Lousteau como Jefe de Gobierno",0.181,0.043,0.037,0.022,0.298
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.067,0.631,0,0.052,0.079
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.013,0.189,0.011,0.019,0.074
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.011,0.007,0.448,0.023,0
"P31","A los candidatos de la izquierda",0.004,0.035,0.042,0.731,0
"P31","No sabe",0.021,0.017,0.078,0.113,0.107
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.851,0.084,0.327,0.063,0.478
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.068,0.866,0.013,0.048,0.085
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.017,0.006,0.61,0.019,0.034
"P32","A los candidatos de la izquierda",0.009,0.014,0.011,0.833,0.027
"P32","No sabe",0.055,0.03,0.039,0.037,0.376
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.847,0.082,0.324,0.043,0.476
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.067,0.83,0.008,0.036,0.08
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.034,0.014,0.617,0.019,0.006
"P33","A los candidatos de la izquierda",0.007,0.025,0.019,0.865,0.034
"P33","No sabe",0.045,0.049,0.032,0.037,0.404
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.842,0.083,0.078,0.056,0.216
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.065,0.878,0.003,0.036,0.069
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.033,0.008,0.862,0.032,0.018
"P34","A los candidatos de la izquierda",0.005,0.007,0.007,0.841,0.011
"P34","No sabe",0.055,0.024,0.05,0.035,0.686
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.843,0.088,0.052,0.045,0.212
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.068,0.844,0.009,0.013,0.061
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.033,0.015,0.9,0.013,0.037
"P35","A los candidatos de la izquierda",0.011,0.016,0.018,0.906,0.035
"P35","No sabe",0.045,0.037,0.021,0.023,0.655
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.85,0.09,0.058,0.035,0.267
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.068,0.878,0.003,0.088,0.09
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.036,0.011,0.895,0.013,0.021
"P36","A los candidatos de la izquierda",0.008,0.006,0.012,0.847,0.017
"P36","No sabe",0.038,0.015,0.032,0.017,0.605
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.866,0.097,0.058,0.048,0.294
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.07,0.844,0.013,0.116,0.068
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.019,0.011,0.893,0.006,0.017
"P37","A los candidatos de la izquierda",0.006,0.019,0,0.806,0.019
"P37","No sabe",0.039,0.029,0.036,0.024,0.602
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.825,0.134,0.053,0.018,0.175
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.11,0.823,0.009,0.022,0.08
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.024,0.007,0.915,0.006,0.024
"P38","A los candidatos de la izquierda",0.007,0.01,0.005,0.907,0.043
"P38","No sabe",0.034,0.026,0.018,0.047,0.678
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.776,0.178,0.036,0.009,0.147
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.174,0.748,0.012,0.027,0.066
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.016,0.005,0.932,0.019,0.021
"P40","A los candidatos de la izquierda",0.003,0.028,0.005,0.889,0.022
"P40","No sabe",0.031,0.041,0.015,0.056,0.744
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.819,0.17,0.016,0.03,0.098
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.149,0.749,0.007,0.077,0.042
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.016,0.012,0.946,0.027,0.011
"P44","A los candidatos de la izquierda",0.002,0.033,0.003,0.846,0.032
"P44","No sabe",0.014,0.036,0.028,0.02,0.817
"P46","Jorge Macri por Juntos por el Cambio",0.853,0.079,0.64,0.112,0.504
"P46","Leandro Santoro por el Frente de Todos",0.085,0.896,0.033,0.425,0.109
"P46","No sabe",0.062,0.025,0.327,0.463,0.387
"P47","Soledad Acuña por Juntos por el Cambio",0.792,0.074,0.479,0.034,0.362
"P47","Leandro Santoro por el Frente de Todos",0.077,0.9,0.069,0.435,0.129
"P47","No sabe",0.131,0.026,0.452,0.531,0.509
"P48","Fernán Quirós por Juntos por el Cambio",0.853,0.098,0.536,0.049,0.521
"P48","Leandro Santoro por el Frente de Todos",0.08,0.873,0.059,0.441,0.095
"P48","No sabe",0.067,0.029,0.405,0.51,0.384
"P49","Martín Lousteau por Juntos por el Cambio",0.836,0.079,0.423,0.086,0.595
"P49","Leandro Santoro por el Frente de Todos",0.071,0.886,0.055,0.455,0.1
"P49","No sabe",0.093,0.035,0.522,0.459,0.305
"P50","María Eugenia Vidal por Juntos por el Cambio",0.865,0.074,0.421,0.047,0.359
"P50","Leandro Santoro por el Frente de Todos",0.08,0.903,0.057,0.458,0.147
"P50","No sabe",0.055,0.023,0.522,0.495,0.494
"P51","Muy buena",0.423,0.077,0.098,0.024,0.145
"P51","Buena",0.415,0.108,0.256,0.066,0.291
"P51","Ni buena ni mala",0.086,0.119,0.292,0.176,0.323
"P51","Mala",0.029,0.238,0.205,0.277,0.192
"P51","Muy mala",0.041,0.456,0.126,0.457,0.029
"P51","No sabe",0.006,0.002,0.023,0,0.02
"P52","Muy buena",0.386,0.048,0.21,0.007,0.21
"P52","Buena",0.328,0.038,0.214,0.048,0.231
"P52","Ni buena ni mala",0.17,0.143,0.334,0.081,0.335
"P52","Mala",0.045,0.242,0.129,0.321,0.106
"P52","Muy mala",0.046,0.504,0.087,0.536,0.084
"P52","No sabe",0.025,0.025,0.026,0.007,0.034
"P53","Muy buena",0.076,0.583,0.048,0.117,0.07
"P53","Buena",0.078,0.214,0.049,0.125,0.079
"P53","Ni buena ni mala",0.234,0.065,0.219,0.12,0.219
"P53","Mala",0.282,0.038,0.235,0.237,0.218
"P53","Muy mala",0.282,0.083,0.419,0.343,0.327
"P53","No sabe",0.048,0.017,0.03,0.058,0.087
"P54","Muy buena",0.392,0.089,0.077,0.036,0.109
"P54","Buena",0.344,0.023,0.198,0.043,0.216
"P54","Ni buena ni mala",0.136,0.034,0.274,0.096,0.262
"P54","Mala",0.043,0.15,0.219,0.174,0.204
"P54","Muy mala",0.084,0.695,0.227,0.651,0.179
"P54","No sabe",0.001,0.009,0.005,0,0.03
"P55","Muy buena",0.281,0.032,0.08,0.018,0.085
"P55","Buena",0.361,0.037,0.19,0.015,0.167
"P55","Ni buena ni mala",0.204,0.07,0.369,0.115,0.353
"P55","Mala",0.051,0.112,0.174,0.111,0.156
"P55","Muy mala",0.068,0.73,0.094,0.679,0.158
"P55","No sabe",0.035,0.019,0.093,0.062,0.081
"P56","Muy buena",0.299,0.052,0.085,0.066,0.239
"P56","Buena",0.319,0.061,0.101,0.035,0.211
"P56","Ni buena ni mala",0.212,0.136,0.298,0.105,0.237
"P56","Mala",0.101,0.3,0.246,0.354,0.161
"P56","Muy mala",0.057,0.445,0.249,0.396,0.119
"P56","No sabe",0.012,0.006,0.021,0.044,0.033
"P57","Muy buena",0.043,0.231,0.027,0.069,0.09
"P57","Buena",0.089,0.363,0.029,0.04,0.041
"P57","Ni buena ni mala",0.21,0.234,0.181,0.273,0.203
"P57","Mala",0.287,0.06,0.25,0.289,0.276
"P57","Muy mala",0.334,0.098,0.445,0.286,0.314
"P57","No sabe",0.037,0.014,0.068,0.043,0.076
"P58","Muy buena",0.434,0.044,0.381,0.014,0.294
"P58","Buena",0.233,0.057,0.25,0.038,0.22
"P58","Ni buena ni mala",0.179,0.097,0.219,0.068,0.261
"P58","Mala",0.052,0.117,0.056,0.132,0.076
"P58","Muy mala",0.09,0.681,0.075,0.73,0.091
"P58","No sabe",0.012,0.004,0.019,0.018,0.058
"P59","Muy buena",0.624,0.076,0.24,0.031,0.302
"P59","Buena",0.2,0.137,0.212,0.052,0.309
"P59","Ni buena ni mala",0.105,0.284,0.317,0.17,0.236
"P59","Mala",0.018,0.174,0.104,0.257,0.08
"P59","Muy mala",0.035,0.312,0.077,0.443,0.019
"P59","No sabe",0.018,0.017,0.05,0.047,0.054
"P60","Muy buena",0.065,0.349,0.033,0.054,0.057
"P60","Buena",0.041,0.32,0.032,0.122,0.062
"P60","Ni buena ni mala",0.152,0.14,0.181,0.28,0.126
"P60","Mala",0.258,0.062,0.17,0.164,0.214
"P60","Muy mala",0.43,0.09,0.463,0.307,0.474
"P60","No sabe",0.054,0.039,0.121,0.073,0.067
"P61","Muy buena",0.02,0.193,0.002,0.065,0.016
"P61","Buena",0.015,0.14,0.004,0.091,0.024
"P61","Ni buena ni mala",0.18,0.312,0.208,0.267,0.174
"P61","Mala",0.168,0.037,0.131,0.167,0.157
"P61","Muy mala",0.287,0.077,0.377,0.231,0.311
"P61","No sabe",0.33,0.241,0.278,0.179,0.318
"P62","Muy buena",0.023,0.148,0.003,0.007,0.02
"P62","Buena",0.037,0.434,0.005,0.046,0.031
"P62","Ni buena ni mala",0.043,0.28,0.057,0.165,0.046
"P62","Mala",0.135,0.069,0.102,0.474,0.159
"P62","Muy mala",0.74,0.055,0.819,0.29,0.679
"P62","No sabe",0.022,0.014,0.014,0.018,0.065
"P63","Muy buena",0.016,0.134,0.004,0.017,0.019
"P63","Buena",0.032,0.403,0.004,0.041,0.053
"P63","Ni buena ni mala",0.044,0.273,0.02,0.223,0.087
"P63","Mala",0.127,0.115,0.134,0.314,0.117
"P63","Muy mala",0.781,0.068,0.829,0.405,0.708
"P63","No sabe",0,0.007,0.009,0,0.016
"P64","Muy buena",0.047,0.719,0.008,0.168,0.056
"P64","Buena",0.028,0.127,0.012,0.207,0.037
"P64","Ni buena ni mala",0.013,0.056,0.016,0.081,0.058
"P64","Mala",0.061,0.021,0.091,0.279,0.13
"P64","Muy mala",0.849,0.077,0.858,0.265,0.711
"P64","No sabe",0.002,0,0.015,0,0.008
"P65","Muy buena",0.411,0.112,0.222,0.031,0.237
"P65","Buena",0.273,0.031,0.224,0.05,0.176
"P65","Ni buena ni mala",0.133,0.027,0.193,0.025,0.162
"P65","Mala",0.041,0.079,0.179,0.093,0.193
"P65","Muy mala",0.141,0.75,0.177,0.801,0.232
"P65","No sabe",0.001,0.001,0.005,0,0
"P66","Muy buena",0.317,0.05,0.049,0.025,0.049
"P66","Buena",0.405,0.035,0.134,0.054,0.257
"P66","Ni buena ni mala",0.171,0.068,0.221,0.033,0.275
"P66","Mala",0.036,0.168,0.272,0.075,0.269
"P66","Muy mala",0.069,0.678,0.319,0.813,0.15
"P66","No sabe",0.002,0.001,0.005,0,0
"P67","Muy buena",0.032,0.159,0.019,0.007,0.027
"P67","Buena",0.061,0.435,0.027,0.086,0.087
"P67","Ni buena ni mala",0.093,0.207,0.057,0.125,0.163
"P67","Mala",0.198,0.063,0.223,0.396,0.193
"P67","Muy mala",0.609,0.13,0.656,0.379,0.523
"P67","No sabe",0.007,0.006,0.018,0.007,0.007
"P68","Muy buena",0.56,0.06,0.439,0.071,0.399
"P68","Buena",0.213,0.052,0.252,0.014,0.17
"P68","Ni buena ni mala",0.08,0.033,0.116,0.042,0.153
"P68","Mala",0.033,0.074,0.067,0.098,0.084
"P68","Muy mala",0.11,0.778,0.105,0.775,0.188
"P68","No sabe",0.004,0.003,0.021,0,0.006
"P69","Muy buena",0.092,0.026,0.536,0.029,0.043
"P69","Buena",0.119,0.015,0.307,0,0.077
"P69","Ni buena ni mala",0.364,0.054,0.126,0.007,0.309
"P69","Mala",0.211,0.07,0.018,0.086,0.203
"P69","Muy mala",0.189,0.83,0.012,0.878,0.308
"P69","No sabe",0.025,0.005,0.001,0,0.06
"P70","Muy buena",0.084,0.04,0.084,0.021,0.112
"P70","Buena",0.187,0.102,0.079,0.083,0.146
"P70","Ni buena ni mala",0.382,0.359,0.365,0.16,0.282
"P70","Mala",0.183,0.172,0.186,0.152,0.194
"P70","Muy mala",0.135,0.301,0.229,0.505,0.204
"P70","No sabe",0.029,0.026,0.057,0.079,0.062
"P71","Siempre",0.349,0.289,0.295,0.312,0.266
"P71","Casi siempre",0.46,0.434,0.353,0.408,0.368
"P71","Casi nunca",0.149,0.173,0.235,0.144,0.238
"P71","Nunca, pero esta es una excepción",0.042,0.104,0.117,0.136,0.128
"P72","Si",0.577,0.562,0.623,0.659,0.505
"P72","No",0.423,0.438,0.377,0.341,0.495
