"var","categoria","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.302,0.51,0.145,0.002,0.065,0.107,0.016,0.115
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.242,0.055,0.069,0.001,0.003,0.033,0.015,0.042
"P28","A Martín Lousteau como Jefe de Gobierno",0.27,0.077,0.663,0.034,0.032,0.038,0.035,0.068
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.104,0.297,0.04,0.04,0.006,0.06,0.041,0.04
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.006,0.004,0.022,0.85,0.482,0.028,0.031,0.134
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.038,0.009,0.007,0.054,0.35,0.05,0.045,0.059
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.012,0.03,0.02,0.001,0.011,0.638,0.312,0.062
"P28","A los candidatos de izquierda",0,0.003,0.01,0.003,0.022,0.039,0.359,0.387
"P28","No sabe",0.026,0.015,0.024,0.015,0.029,0.007,0.146,0.093
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.333,0.473,0.139,0.004,0.006,0.117,0.038,0.135
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.255,0.067,0.29,0.012,0.02,0.043,0.025,0.03
"P29","A Martín Lousteau como Jefe de Gobierno",0.208,0.13,0.428,0.032,0.03,0.024,0.028,0.038
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.054,0.184,0.037,0.248,0.108,0.039,0.046,0.052
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.033,0.007,0.016,0.605,0.41,0.012,0.036,0.062
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.086,0.097,0.038,0.039,0.335,0.073,0.015,0.076
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.008,0.025,0.018,0.002,0.011,0.683,0.317,0.052
"P29","A los candidatos de izquierda",0.005,0.002,0.008,0.02,0.046,0.008,0.357,0.417
"P29","No sabe",0.018,0.015,0.026,0.038,0.034,0.001,0.138,0.138
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.741,0.033,0.068,0.007,0.02,0.028,0.033,0.052
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.123,0.886,0.103,0.015,0.022,0.052,0.015,0.09
"P31","A Martín Lousteau como Jefe de Gobierno",0.066,0.032,0.721,0.016,0.015,0.027,0.015,0.014
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.012,0.006,0.025,0.847,0.217,0.009,0.039,0.031
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.006,0.008,0.04,0.069,0.65,0.037,0,0.025
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.012,0.022,0.015,0.003,0.01,0.827,0.079,0.029
