"var","categoria","Ricardo López Murphy por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","En blanco","No sabe"
"P30","Lo votaría",0.342,0.063,0.157,0.245
"P30","Puede que lo vote",0.293,0.211,0.117,0.145
"P30","Nunca lo votaría",0.302,0.677,0.635,0.336
"P30","No sabe",0.063,0.049,0.091,0.274
"P31","Lo votaría",0.571,0.032,0.066,0.085
"P31","Puede que lo vote",0.308,0.06,0.145,0.169
"P31","Nunca lo votaría",0.084,0.887,0.68,0.401
"P31","No sabe",0.037,0.021,0.109,0.345
"P32","Lo votaría",0.072,0.742,0.027,0.061
"P32","Puede que lo vote",0.056,0.148,0.092,0.115
"P32","Nunca lo votaría",0.822,0.096,0.767,0.612
"P32","No sabe",0.05,0.014,0.114,0.212
"P33","Lo votaría",0.023,0.512,0.026,0.051
"P33","Puede que lo vote",0.04,0.312,0.04,0.099
"P33","Nunca lo votaría",0.895,0.137,0.809,0.598
"P33","No sabe",0.042,0.039,0.125,0.252
"P34","Lo votaría",0.031,0.343,0.027,0.059
"P34","Puede que lo vote",0.023,0.236,0.043,0.048
"P34","Nunca lo votaría",0.789,0.304,0.762,0.544
"P34","No sabe",0.157,0.117,0.168,0.349
"P35","Lo votaría",0.123,0.06,0.292,0.133
"P35","Puede que lo vote",0.204,0.054,0.056,0.049
"P35","Nunca lo votaría",0.578,0.816,0.546,0.523
"P35","No sabe",0.095,0.07,0.106,0.295
"P36","Si",0.625,0.621,0.593,0.494
"P36","No",0.375,0.379,0.407,0.506
