"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.058,0.727,0.09,0.162
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.023,0.181,0.343,0.241
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.039,0.006,0.161,0.058
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.018,0.052,0.096
"P30","Otros",0.013,0.015,0.044,0.105
"P30","En blanco",0.03,0.02,0.154,0.05
"P30","No sabe",0.027,0.025,0.021,0.199
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.784,0.015,0.141,0.063
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.08,0.593,0.162,0.318
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.03,0.256,0.325,0.241
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.044,0.009,0.172,0.059
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.006,0.019,0.013,0.124
"P31","Otros",0.01,0.029,0.085,0.013
"P31","En blanco",0.01,0.03,0.058,0.016
"P31","No sabe",0.036,0.049,0.044,0.166
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.795,0.021,0.215,0.119
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.076,0.728,0.165,0.241
"P32","Ramiro Marra por la Libertad Avanza",0.036,0.163,0.238,0.162
"P32","Vanina Biasi por el Frente de Izquierda",0.032,0.012,0.101,0.048
"P32","Otros",0.026,0.023,0.064,0.122
"P32","En blanco",0.015,0.015,0.15,0.043
"P32","No sabe",0.02,0.038,0.067,0.265
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.801,0.013,0.231,0.126
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.125,0.553,0.199,0.384
"P33","Ramiro Marra por la Libertad Avanza",0.022,0.229,0.222,0.209
"P33","Vanina Biasi por el Frente de Izquierda",0.015,0.011,0.101,0.036
"P33","Otros",0.016,0.063,0.095,0.033
"P33","En blanco",0.013,0.059,0.121,0.027
"P33","No sabe",0.008,0.072,0.031,0.185
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.155,0.74,0.067,0.148
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.073,0.202,0.278,0.269
"P37","En blanco",0.603,0.034,0.645,0.131
"P37","No sabe",0.169,0.024,0.01,0.452
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.86,0.056,0.144,0.092
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.085,0.718,0.16,0.306
"P38","En blanco",0.045,0.154,0.601,0.105
"P38","No sabe",0.01,0.072,0.095,0.497
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.239,0.559,0.142,0.237
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.074,0.323,0.3,0.274
"P39","En blanco",0.486,0.046,0.538,0.091
"P39","No sabe",0.201,0.072,0.02,0.398
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.887,0.04,0.181,0.089
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.043,0.515,0.3,0.242
"P40","En blanco",0.06,0.24,0.482,0.042
"P40","No sabe",0.01,0.205,0.037,0.627
"P41","Leandro Santoro por Unión por la Patria",0.9,0.058,0.211,0.142
"P41","Jorge Macri por Juntos por el Cambio",0.041,0.859,0.218,0.192
"P41","En blanco",0.05,0.061,0.571,0.15
"P41","No sabe",0.009,0.022,0,0.516
"P42","Leandro Santoro por Unión por la Patria",0.886,0.051,0.264,0.106
"P42","Martin Lousteau por Juntos por el Cambio",0.085,0.616,0.261,0.37
"P42","En blanco",0.019,0.23,0.47,0.135
"P42","No sabe",0.01,0.103,0.005,0.389
"P43","Lo votaría",0.833,0.015,0.113,0.047
"P43","Puede que lo vote",0.107,0.085,0.121,0.155
"P43","Nunca lo votaría",0.044,0.881,0.672,0.59
"P43","No sabe",0.016,0.019,0.094,0.208
"P44","Lo votaría",0.606,0.02,0.225,0.082
"P44","Puede que lo vote",0.213,0.039,0.163,0.074
"P44","Nunca lo votaría",0.134,0.926,0.559,0.676
"P44","No sabe",0.047,0.015,0.053,0.168
"P45","Lo votaría",0.115,0.715,0.086,0.031
"P45","Puede que lo vote",0.037,0.154,0.129,0.277
"P45","Nunca lo votaría",0.827,0.111,0.725,0.448
"P45","No sabe",0.021,0.02,0.06,0.244
"P46","Lo votaría",0.099,0.485,0.117,0.327
"P46","Puede que lo vote",0.102,0.267,0.096,0.087
"P46","Nunca lo votaría",0.778,0.224,0.725,0.422
"P46","No sabe",0.021,0.024,0.062,0.164
"P47","Lo votaría",0.076,0.261,0.297,0.317
"P47","Puede que lo vote",0.049,0.299,0.055,0.068
"P47","Nunca lo votaría",0.87,0.406,0.635,0.417
"P47","No sabe",0.005,0.034,0.013,0.198
"P48","Lo votaría",0.145,0.031,0.158,0.026
"P48","Puede que lo vote",0.346,0.059,0.167,0.095
"P48","Nunca lo votaría",0.463,0.895,0.657,0.682
"P48","No sabe",0.046,0.015,0.018,0.197
"P49","Lo votaría",0.08,0.026,0.033,0.116
"P49","Puede que lo vote",0.206,0.158,0.286,0.135
"P49","Nunca lo votaría",0.676,0.77,0.622,0.541
"P49","No sabe",0.038,0.046,0.059,0.208
"P57","Lo votaría",0.734,0.008,0.164,0.086
"P57","Puede que lo vote",0.103,0.08,0.189,0.103
"P57","Nunca lo votaría",0.148,0.877,0.536,0.674
"P57","No sabe",0.015,0.035,0.111,0.137
"P58","Lo votaría",0.134,0.605,0.108,0.135
"P58","Puede que lo vote",0.035,0.202,0.127,0.13
"P58","Nunca lo votaría",0.821,0.172,0.717,0.543
"P58","No sabe",0.01,0.021,0.048,0.192
"P59","Lo votaría",0.096,0.352,0.219,0.398
"P59","Puede que lo vote",0.17,0.28,0.188,0.125
"P59","Nunca lo votaría",0.686,0.321,0.546,0.35
"P59","No sabe",0.048,0.047,0.047,0.127
"P60","Si",0.435,0.496,0.449,0.527
"P60","No",0.565,0.504,0.551,0.473
