"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.069,0.051,0.381,0.338,0.78,0.045,0.101,0.146,0.525,0.287
"P40","En blanco",0.061,0.114,0.276,0.285,0.08,0.337,0.505,0.344,0.329,0.142
"P40","No sabe",0.017,0.029,0.253,0.239,0.036,0.045,0.26,0.099,0.018,0.43
"P41","Leandro Santoro por Unión por la Patria",0.833,0.797,0.136,0.192,0.143,0.652,0.099,0.241,0.086,0.137
"P41","Jorge Macri por Juntos por el Cambio",0.094,0.072,0.781,0.719,0.66,0.019,0.356,0.232,0.38,0.415
"P41","En blanco",0.055,0.12,0.046,0.044,0.157,0.304,0.445,0.527,0.52,0.142
"P41","No sabe",0.018,0.011,0.037,0.045,0.04,0.025,0.1,0,0.014,0.306
"P42","Leandro Santoro por Unión por la Patria",0.841,0.792,0.095,0.154,0.131,0.706,0.384,0.502,0.118,0.128
"P42","Martin Lousteau por Juntos por el Cambio",0.093,0.141,0.573,0.662,0.449,0.076,0.381,0.268,0.207,0.4
"P42","En blanco",0.048,0.032,0.209,0.122,0.326,0.191,0.176,0.194,0.675,0.177
"P42","No sabe",0.018,0.035,0.123,0.062,0.094,0.027,0.059,0.036,0,0.295
"P43","Lo votaría",0.802,0.729,0.081,0.078,0.09,0.468,0.114,0.396,0.073,0.107
"P43","Puede que lo vote",0.109,0.093,0.082,0.119,0.086,0.184,0.034,0.076,0.127,0.094
"P43","Nunca lo votaría",0.074,0.166,0.814,0.774,0.772,0.303,0.682,0.496,0.758,0.569
"P43","No sabe",0.015,0.012,0.023,0.029,0.052,0.045,0.17,0.032,0.042,0.23
"P44","Lo votaría",0.543,0.694,0.06,0.042,0.08,0.469,0.278,0.448,0.088,0.141
"P44","Puede que lo vote",0.23,0.195,0.028,0.053,0.13,0.277,0.141,0,0.061,0.011
"P44","Nunca lo votaría",0.198,0.081,0.891,0.863,0.744,0.228,0.377,0.475,0.825,0.683
"P44","No sabe",0.029,0.03,0.021,0.042,0.046,0.026,0.204,0.077,0.026,0.165
"P45","Lo votaría",0.15,0.142,0.685,0.593,0.483,0.036,0.15,0.053,0.228,0.137
"P45","Puede que lo vote",0.016,0.041,0.148,0.11,0.245,0.059,0.105,0.121,0.091,0.357
"P45","Nunca lo votaría",0.813,0.811,0.15,0.258,0.226,0.88,0.621,0.794,0.537,0.331
"P45","No sabe",0.021,0.006,0.017,0.039,0.046,0.025,0.124,0.032,0.144,0.175
"P46","Lo votaría",0.122,0.076,0.488,0.632,0.173,0,0.23,0.084,0.059,0.213
"P46","Puede que lo vote",0.048,0.085,0.246,0.248,0.308,0.029,0.156,0.194,0.152,0.276
"P46","Nunca lo votaría",0.813,0.793,0.252,0.085,0.477,0.955,0.444,0.722,0.738,0.335
"P46","No sabe",0.017,0.046,0.014,0.035,0.042,0.016,0.17,0,0.051,0.176
"P47","Lo votaría",0.107,0.047,0.233,0.102,0.555,0.049,0.026,0.12,0.425,0.117
"P47","Puede que lo vote",0.043,0.065,0.228,0.285,0.295,0.175,0.075,0.031,0.079,0.238
"P47","Nunca lo votaría",0.849,0.885,0.498,0.559,0.143,0.761,0.726,0.824,0.496,0.485
"P47","No sabe",0.001,0.003,0.041,0.054,0.007,0.015,0.173,0.025,0,0.16
"P48","Lo votaría",0.119,0.184,0.045,0.037,0.048,0.28,0.033,0,0.155,0.041
"P48","Puede que lo vote",0.303,0.421,0.063,0.119,0.056,0.375,0.169,0.107,0.059,0.155
"P48","Nunca lo votaría",0.559,0.297,0.88,0.811,0.857,0.33,0.756,0.861,0.786,0.639
"P48","No sabe",0.019,0.098,0.012,0.033,0.039,0.015,0.042,0.032,0,0.165
"P49","Lo votaría",0.057,0.055,0.043,0.061,0.026,0.051,0.42,0,0.044,0
"P49","Puede que lo vote",0.184,0.262,0.144,0.211,0.147,0.345,0.547,0.154,0.142,0.157
"P49","Nunca lo votaría",0.73,0.656,0.758,0.656,0.754,0.588,0.033,0.815,0.789,0.652
"P49","No sabe",0.029,0.027,0.055,0.072,0.073,0.016,0,0.031,0.025,0.191
"P57","Lo votaría",0.681,0.657,0.055,0.032,0.08,0.58,0.44,0.454,0.089,0.102
"P57","Puede que lo vote",0.086,0.111,0.077,0.185,0.073,0.283,0,0.062,0.059,0.028
"P57","Nunca lo votaría",0.219,0.186,0.825,0.741,0.805,0.108,0.5,0.484,0.812,0.716
