"var","categoria","Leandro Santoro por Unión por la Patria","Martin Lousteau por Juntos por el Cambio","En blanco","No sabe"
"P46","Lo votaría",0.078,0.589,0.185,0.275
"P46","Puede que lo vote",0.087,0.256,0.231,0.24
"P46","Nunca lo votaría",0.809,0.132,0.577,0.324
"P46","No sabe",0.026,0.023,0.007,0.161
"P47","Lo votaría",0.084,0.219,0.373,0.156
"P47","Puede que lo vote",0.055,0.284,0.236,0.151
"P47","Nunca lo votaría",0.854,0.472,0.379,0.519
"P47","No sabe",0.007,0.025,0.012,0.174
"P48","Lo votaría",0.17,0.042,0.06,0
"P48","Puede que lo vote",0.321,0.091,0.055,0.086
"P48","Nunca lo votaría",0.457,0.852,0.861,0.802
"P48","No sabe",0.052,0.015,0.024,0.112
"P49","Lo votaría",0.066,0.044,0.02,0.014
"P49","Puede que lo vote",0.23,0.217,0.114,0.074
"P49","Nunca lo votaría",0.671,0.68,0.85,0.727
"P49","No sabe",0.033,0.059,0.016,0.185
"P57","Lo votaría",0.743,0.021,0.009,0
"P57","Puede que lo vote",0.121,0.098,0.066,0.073
"P57","Nunca lo votaría",0.127,0.831,0.909,0.741
"P57","No sabe",0.009,0.05,0.016,0.186
"P58","Lo votaría",0.135,0.552,0.431,0.48
"P58","Puede que lo vote",0.023,0.229,0.156,0.123
"P58","Nunca lo votaría",0.834,0.194,0.402,0.231
"P58","No sabe",0.008,0.025,0.011,0.166
"P59","Lo votaría",0.049,0.575,0.036,0.05
"P59","Puede que lo vote",0.171,0.32,0.13,0.228
"P59","Nunca lo votaría",0.737,0.064,0.806,0.523
"P59","No sabe",0.043,0.041,0.028,0.199
"P60","Si",0.447,0.484,0.548,0.394
"P60","No",0.553,0.516,0.452,0.606
