"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.023,0.019,0.052
"P31","Otros",0.023,0.006,0.046,0.051
"P31","En blanco",0.01,0.014,0.064,0.01
"P31","No sabe",0.018,0.019,0.042,0.215
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.19,0.08,0.666,0.539
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.681,0.319,0.105,0.276
"P32","Ramiro Marra por la Libertad Avanza",0.024,0.496,0.026,0.017
"P32","Vanina Biasi por el Frente de Izquierda",0.011,0.04,0.058,0.016
"P32","Otros",0.027,0.017,0.046,0.05
"P32","En blanco",0.019,0.011,0.061,0.013
"P32","No sabe",0.048,0.037,0.038,0.089
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.141,0.097,0.693,0.547
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.663,0.25,0.088,0.127
"P33","Ramiro Marra por la Libertad Avanza",0.05,0.555,0.025,0.03
"P33","Vanina Biasi por el Frente de Izquierda",0.016,0.007,0.046,0.004
"P33","Otros",0.043,0.034,0.062,0.063
"P33","En blanco",0.04,0.037,0.072,0.021
"P33","No sabe",0.047,0.02,0.014,0.208
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.222,0.117,0.696,0.562
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.715,0.705,0.091,0.277
"P36","En blanco",0.034,0.121,0.196,0.014
"P36","No sabe",0.029,0.057,0.017,0.147
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.73,0.346,0.125,0.351
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.076,0.558,0.022,0.012
"P37","En blanco",0.132,0.076,0.805,0.203
"P37","No sabe",0.062,0.02,0.048,0.434
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.212,0.115,0.693,0.557
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.754,0.435,0.033,0.087
"P38","En blanco",0.022,0.351,0.243,0.056
"P38","No sabe",0.012,0.099,0.031,0.3
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.23,0.115,0.698,0.543
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.284,0.808,0.01,0.072
"P40","En blanco",0.279,0.03,0.259,0.073
"P40","No sabe",0.207,0.047,0.033,0.312
"P41","Leandro Santoro por Unión por la Patria",0.245,0.162,0.722,0.542
"P41","Jorge Macri por Juntos por el Cambio",0.689,0.645,0.086,0.274
"P41","En blanco",0.034,0.156,0.19,0.058
"P41","No sabe",0.032,0.037,0.002,0.126
"P42","Leandro Santoro por Unión por la Patria",0.194,0.162,0.752,0.599
"P42","Martin Lousteau por Juntos por el Cambio",0.653,0.384,0.091,0.101
"P42","En blanco",0.099,0.386,0.153,0.023
"P42","No sabe",0.054,0.068,0.004,0.277
"P43","Lo votaría",0.182,0.076,0.667,0.552
"P43","Puede que lo vote",0.097,0.136,0.087,0.059
"P43","Nunca lo votaría",0.698,0.746,0.225,0.319
"P43","No sabe",0.023,0.042,0.021,0.07
"P44","Lo votaría",0.131,0.1,0.565,0.315
"P44","Puede que lo vote",0.058,0.066,0.22,0.171
"P44","Nunca lo votaría",0.779,0.79,0.206,0.418
"P44","No sabe",0.032,0.044,0.009,0.096
"P45","Lo votaría",0.592,0.43,0.167,0.285
"P45","Puede que lo vote",0.129,0.202,0.036,0.06
"P45","Nunca lo votaría",0.255,0.317,0.783,0.587
"P45","No sabe",0.024,0.051,0.014,0.068
"P46","Lo votaría",0.627,0.184,0.03,0.064
"P46","Puede que lo vote",0.243,0.232,0.068,0.134
"P46","Nunca lo votaría",0.117,0.559,0.883,0.673
"P46","No sabe",0.013,0.025,0.019,0.129
"P47","Lo votaría",0.123,0.622,0.009,0.019
"P47","Puede que lo vote",0.259,0.232,0.044,0.065
"P47","Nunca lo votaría",0.584,0.132,0.939,0.843
"P47","No sabe",0.034,0.014,0.008,0.073
"P48","Lo votaría",0.049,0.103,0.144,0.043
"P48","Puede que lo vote",0.131,0.094,0.318,0.184
"P48","Nunca lo votaría",0.8,0.779,0.509,0.664
"P48","No sabe",0.02,0.024,0.029,0.109
"P49","Lo votaría",0.049,0.044,0.052,0.066
"P49","Puede que lo vote",0.213,0.162,0.212,0.098
"P49","Nunca lo votaría",0.681,0.738,0.705,0.773
"P49","No sabe",0.057,0.056,0.031,0.063
"P57","Lo votaría",0.111,0.079,0.646,0.545
"P57","Puede que lo vote",0.103,0.135,0.097,0.03
"P57","Nunca lo votaría",0.746,0.758,0.218,0.374
"P57","No sabe",0.04,0.028,0.039,0.051
"P58","Lo votaría",0.548,0.335,0.158,0.278
"P58","Puede que lo vote",0.163,0.245,0.034,0.018
"P58","Nunca lo votaría",0.268,0.386,0.803,0.634
"P58","No sabe",0.021,0.034,0.005,0.07
"P59","Lo votaría",0.468,0.17,0.06,0.073
"P59","Puede que lo vote",0.296,0.222,0.151,0.155
"P59","Nunca lo votaría",0.201,0.539,0.764,0.652
"P59","No sabe",0.035,0.069,0.025,0.12
"P60","Si",0.509,0.466,0.506,0.292
"P60","No",0.491,0.534,0.494,0.708
