"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P43","Nunca lo votaría",0.148,0.81,0.761,0.424,0.782,0.41
"P43","No sabe",0.012,0.02,0.035,0.101,0.106,0.248
"P44","Lo votaría",0.559,0.063,0.081,0.354,0.07,0.21
"P44","Puede que lo vote",0.201,0.044,0.061,0.429,0.071,0.068
"P44","Nunca lo votaría",0.208,0.867,0.809,0.175,0.79,0.594
"P44","No sabe",0.032,0.026,0.049,0.042,0.069,0.128
"P45","Lo votaría",0.158,0.712,0.28,0.123,0.279,0.174
"P45","Puede que lo vote",0.053,0.103,0.303,0.036,0.161,0.162
"P45","Nunca lo votaría",0.782,0.158,0.357,0.724,0.517,0.498
"P45","No sabe",0.007,0.027,0.06,0.117,0.043,0.166
"P46","Lo votaría",0.122,0.548,0.157,0.146,0.135,0.083
"P46","Puede que lo vote",0.131,0.225,0.213,0.041,0.117,0.245
"P46","Nunca lo votaría",0.733,0.197,0.602,0.731,0.681,0.506
"P46","No sabe",0.014,0.03,0.028,0.082,0.067,0.166
"P47","Lo votaría",0.068,0.127,0.782,0.188,0.174,0.106
"P47","Puede que lo vote",0.093,0.283,0.107,0.012,0.103,0.184
"P47","Nunca lo votaría",0.833,0.549,0.111,0.772,0.656,0.551
"P47","No sabe",0.006,0.041,0,0.028,0.067,0.159
"P48","Lo votaría",0.118,0.015,0.094,0.718,0,0.039
"P48","Puede que lo vote",0.355,0.062,0.034,0.098,0.04,0.344
"P48","Nunca lo votaría",0.491,0.901,0.84,0.172,0.833,0.494
"P48","No sabe",0.036,0.022,0.032,0.012,0.127,0.123
"P49","Lo votaría",0.038,0.039,0.07,0.207,0.096,0.092
"P49","Puede que lo vote",0.231,0.157,0.129,0.354,0.098,0.197
"P49","Nunca lo votaría",0.698,0.754,0.728,0.411,0.703,0.562
"P49","No sabe",0.033,0.05,0.073,0.028,0.103,0.149
"P57","Lo votaría",0.694,0.04,0.057,0.269,0.046,0.121
"P57","Puede que lo vote",0.081,0.095,0.084,0.245,0.09,0.26
"P57","Nunca lo votaría",0.21,0.823,0.826,0.333,0.837,0.469
"P57","No sabe",0.015,0.042,0.033,0.153,0.027,0.15
"P58","Lo votaría",0.167,0.641,0.238,0.073,0.182,0.116
"P58","Puede que lo vote",0.034,0.168,0.249,0.133,0.147,0.248
"P58","Nunca lo votaría",0.795,0.17,0.446,0.773,0.555,0.51
"P58","No sabe",0.004,0.021,0.067,0.021,0.116,0.126
"P59","Lo votaría",0.098,0.397,0.226,0.235,0.361,0.1
"P59","Puede que lo vote",0.152,0.283,0.179,0.334,0.095,0.415
"P59","Nunca lo votaría",0.696,0.288,0.501,0.411,0.518,0.368
"P59","No sabe",0.054,0.032,0.094,0.02,0.026,0.117
"P60","Si",0.451,0.506,0.501,0.599,0.278,0.177
"P60","No",0.549,0.494,0.499,0.401,0.722,0.823
