"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P57","Lo votaría",0.775,0.014,0.053,0.251,0.154,0.247,0.088,0.221
"P57","Puede que lo vote",0.081,0.102,0.076,0.276,0.173,0.205,0.016,0.102
"P57","Nunca lo votaría",0.13,0.835,0.843,0.351,0.604,0.548,0.823,0.598
"P57","No sabe",0.014,0.049,0.028,0.122,0.069,0,0.073,0.079
"P58","Lo votaría",0.123,0.655,0.349,0.035,0.024,0.35,0.592,0.285
"P58","Puede que lo vote",0.013,0.167,0.222,0.119,0.592,0.157,0.069,0.194
"P58","Nunca lo votaría",0.86,0.156,0.38,0.83,0.252,0.472,0.32,0.431
"P58","No sabe",0.004,0.022,0.049,0.016,0.132,0.021,0.019,0.09
"P59","Lo votaría",0.036,0.513,0.192,0.152,0.388,0.318,0.101,0.064
"P59","Puede que lo vote",0.178,0.27,0.213,0.308,0.073,0.175,0.147,0.291
"P59","Nunca lo votaría",0.731,0.184,0.54,0.524,0.234,0.507,0.718,0.524
"P59","No sabe",0.055,0.033,0.055,0.016,0.305,0,0.034,0.121
"P60","Si",0.464,0.489,0.518,0.455,0.226,0.612,0.366,0.289
"P60","No",0.536,0.511,0.482,0.545,0.774,0.388,0.634,0.711
