"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Patricia Bullrich","Neutra",0.061,0.049,0.071,0.092,0.037,0.055,0.113,0.043,0.046,0.082,0.078,0.102,0.091,0.016,0.093,0,0,0
"Patricia Bullrich","Negativa",0.523,0.518,0.528,0.441,0.511,0.572,0.528,0.496,0.496,0.561,0.642,0.068,0.897,0.946,0.105,0,0,0
"Patricia Bullrich","No sabe",0.02,0.02,0.02,0,0.028,0.008,0.036,0.125,0.005,0.003,0.009,0,0,0.008,0.024,0,0,0
"Sergio Massa","Positiva",0.245,0.245,0.246,0.29,0.218,0.279,0.227,0.349,0.216,0.244,0.355,0.036,0.333,0.501,0.009,0,0,0
"Sergio Massa","Neutra",0.167,0.159,0.173,0.145,0.176,0.137,0.209,0.044,0.187,0.184,0.186,0.007,0.623,0.337,0.023,0,0,0
"Sergio Massa","Negativa",0.581,0.581,0.581,0.565,0.606,0.581,0.528,0.563,0.597,0.57,0.457,0.957,0.044,0.162,0.966,0,0,0
"Sergio Massa","No sabe",0.007,0.015,0,0,0,0.003,0.036,0.044,0,0.002,0.002,0,0,0,0.002,0,0,0
"Gustavo Gennuso","Positiva",0.173,0.179,0.168,0.13,0.148,0.212,0.203,0.238,0.182,0.142,0.247,0.178,0.021,0.182,0.178,0,0,0
"Gustavo Gennuso","Neutra",0.237,0.263,0.215,0.255,0.165,0.288,0.328,0.347,0.188,0.248,0.306,0.328,0.106,0.243,0.248,0,0,0
"Gustavo Gennuso","Negativa",0.582,0.543,0.615,0.615,0.687,0.5,0.42,0.374,0.63,0.606,0.445,0.489,0.873,0.575,0.57,0,0,0
"Gustavo Gennuso","No sabe",0.008,0.015,0.002,0,0,0,0.049,0.041,0,0.004,0.002,0.005,0,0,0.004,0,0,0
"Mauricio Macri","Positiva",0.262,0.22,0.298,0.418,0.188,0.281,0.311,0.304,0.296,0.213,0.182,0.628,0,0.022,0.536,0,0,0
"Mauricio Macri","Neutra",0.093,0.138,0.054,0.049,0.129,0.063,0.082,0.126,0.076,0.1,0.11,0.167,0.028,0.046,0.148,0,0,0
"Mauricio Macri","Negativa",0.636,0.628,0.644,0.533,0.683,0.652,0.56,0.526,0.628,0.68,0.706,0.205,0.944,0.926,0.316,0,0,0
"Mauricio Macri","No sabe",0.009,0.014,0.004,0,0,0.004,0.047,0.044,0,0.007,0.002,0,0.028,0.006,0,0,0,0
