"var","categoria","Sergio Massa por Unión por la Patria","Diego Santilli por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.757,0.033,0.035,0.308,0.397,0.298
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.078,0.041,0.039,0.059,0.077,0.063
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.022,0.604,0.181,0.008,0.256,0.202
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.033,0.239,0.013,0.031,0.011,0.076
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.045,0.064,0.702,0.023,0.07,0.078
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.001,0.003,0.493,0.006,0.025
"P18","En blanco",0.007,0.002,0.01,0.057,0.099,0.024
"P18","No sabe",0.044,0.016,0.017,0.021,0.084,0.234
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.778,0.046,0.059,0.153,0.188,0.2
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.038,0.602,0.178,0.014,0.257,0.234
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.043,0.235,0.027,0.012,0.028,0.071
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.034,0.08,0.679,0.053,0.065,0.067
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.015,0.021,0.651,0.014,0.016
"P21","En blanco",0.028,0.004,0.004,0.069,0.258,0.051
"P21","No sabe",0.06,0.018,0.032,0.048,0.19,0.361
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.615,0.095,0.028,0.256,0.326,0.246
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.038,0.444,0.334,0.027,0.221,0.156
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.247,0.192,0.041,0.136,0.096,0.127
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.022,0.251,0.57,0.009,0.101,0.169
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.002,0.015,0.468,0.01,0.003
"P24","En blanco",0.015,0.003,0.003,0.074,0.174,0.021
"P24","No sabe",0.056,0.013,0.009,0.03,0.072,0.278
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.659,0.095,0.018,0.234,0.28,0.202
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.012,0.462,0.325,0.023,0.211,0.136
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.253,0.182,0.025,0.11,0.045,0.103
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.236,0.621,0.009,0.127,0.143
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.003,0.001,0.537,0.011,0.014
"P25","En blanco",0.012,0.003,0.003,0.052,0.241,0.024
"P25","No sabe",0.037,0.019,0.007,0.035,0.085,0.378
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.876,0.022,0.015,0.161,0.097,0.239
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.023,0.813,0.162,0.007,0.275,0.227
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.017,0.069,0.797,0.027,0.064,0.067
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.008,0.007,0.712,0.004,0.006
"P26","En blanco",0.017,0.029,0.002,0.03,0.383,0.015
"P26","No sabe",0.049,0.059,0.017,0.063,0.177,0.446
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.883,0.012,0.018,0.133,0.152,0.227
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.02,0.71,0.058,0.033,0.089,0.092
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.022,0.125,0.88,0.002,0.099,0.09
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.024,0.005,0.01,0.726,0.004,0.005
"P27","En blanco",0.011,0.034,0.019,0.054,0.534,0.037
"P27","No sabe",0.04,0.114,0.015,0.052,0.122,0.549
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.89,0.016,0.027,0.318,0.4,0.339
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.023,0.837,0.17,0.031,0.269,0.205
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.018,0.069,0.781,0.006,0.061,0.09
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.004,0.01,0.575,0.014,0.002
"P28","En blanco",0.02,0.028,0.006,0.016,0.219,0.012
"P28","No sabe",0.042,0.046,0.006,0.054,0.037,0.352
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.892,0.017,0.017,0.348,0.402,0.35
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.035,0.719,0.035,0.041,0.105,0.079
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.131,0.903,0.009,0.072,0.09
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.004,0.004,0.013,0.531,0.002,0
"P29","En blanco",0.013,0.037,0.013,0.049,0.362,0.031
"P29","No sabe",0.036,0.092,0.019,0.022,0.057,0.45
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.925,0.015,0.019,0.279,0.299,0.274
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.012,0.817,0.158,0.023,0.274,0.216
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.015,0.073,0.807,0.013,0.063,0.056
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.002,0.01,0.001,0.593,0.008,0.01
"P30","En blanco",0.012,0.034,0.002,0.013,0.296,0.025
"P30","No sabe",0.034,0.051,0.013,0.079,0.06,0.419
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.909,0.012,0.021,0.232,0.285,0.26
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.015,0.738,0.028,0.045,0.047,0.08
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.021,0.137,0.903,0.009,0.072,0.095
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.005,0.001,0.639,0.002,0.008
"P31","En blanco",0.01,0.037,0.026,0.044,0.497,0.031
"P31","No sabe",0.031,0.071,0.021,0.031,0.097,0.526
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.642,0.016,0.02,0.139,0.174,0.145
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.014,0.823,0.152,0.033,0.239,0.204
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.012,0.063,0.809,0.009,0.068,0.084
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.059,0.005,0.01,0.774,0.002,0.011
"P32","En blanco",0.109,0.038,0.002,0.026,0.427,0.04
"P32","No sabe",0.164,0.055,0.007,0.019,0.09,0.516
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.625,0.02,0.02,0.127,0.126,0.129
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.026,0.753,0.024,0.047,0.062,0.069
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.016,0.121,0.935,0.009,0.075,0.109
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.056,0.004,0.01,0.721,0.002,0.018
"P33","En blanco",0.109,0.033,0.002,0.084,0.674,0.049
"P33","No sabe",0.168,0.069,0.009,0.012,0.061,0.626
"P34","Axel Kicillof por Unión por la Patria",0.941,0.024,0.021,0.441,0.419,0.372
"P34","Nestor Grindetti por Juntos por el Cambio",0.017,0.848,0.167,0.004,0.239,0.166
"P34","Guillermo Britos por la Libertad Avanza",0.007,0.035,0.771,0.007,0.002,0.011
"P34","Al candidato del Frente de Izquierda",0.005,0.003,0,0.532,0.015,0.011
"P34","En blanco",0.009,0.028,0.012,0.007,0.283,0.057
"P34","No sabe",0.021,0.062,0.029,0.009,0.042,0.383
"P35","Axel Kicillof por Unión por la Patria",0.943,0.017,0.023,0.432,0.415,0.387
"P35","Diego Santilli por Juntos por el Cambio",0.029,0.919,0.049,0.028,0.034,0.084
"P35","Guillermo Britos por la Libertad Avanza",0.003,0.022,0.908,0,0.003,0.017
"P35","Al candidato del Frente de Izquierda",0.006,0.001,0,0.533,0,0.011
"P35","En blanco",0.007,0.013,0.014,0.007,0.506,0.044
"P35","No sabe",0.012,0.028,0.006,0,0.042,0.457
"P36","Sergio Massa por Unión por la Patria",0.948,0.016,0.01,0.041,0.141,0.079
"P36","Nestor Grindetti por Juntos por el Cambio",0.011,0.874,0.138,0.06,0.196,0.178
"P36","Guillermo Britos por la Libertad Avanza",0.003,0.03,0.832,0.007,0.015,0.049
"P36","Al candidato del Frente de Izquierda",0.002,0.002,0,0.89,0,0.003
"P36","En blanco",0.004,0.027,0.018,0,0.622,0.009
"P36","No sabe",0.032,0.051,0.002,0.002,0.026,0.682
"P38","Victoria Tolosa Paz por Unión por la Patria",0.668,0.013,0.02,0.148,0.143,0.085
"P38","Nestor Grindetti por Juntos por el Cambio",0.017,0.862,0.126,0.015,0.228,0.17
"P38","Guillermo Britos por la Libertad Avanza",0.014,0.032,0.842,0.007,0.03,0.016
"P38","Al candidato del Frente de Izquierda",0.053,0.011,0.002,0.826,0,0.029
"P38","En blanco",0.124,0.033,0.002,0,0.597,0.045
"P38","No sabe",0.124,0.049,0.008,0.004,0.002,0.655
"P39","Victoria Tolosa Paz por Unión por la Patria",0.656,0.014,0.021,0.153,0.15,0.114
"P39","Diego Santilli por Juntos por el Cambio",0.02,0.943,0.031,0.058,0.035,0.086
"P39","Guillermo Britos por la Libertad Avanza",0.009,0.014,0.924,0.016,0.033,0.012
"P39","Al candidato del Frente de Izquierda",0.059,0.001,0.013,0.688,0.011,0.005
"P39","En blanco",0.125,0.012,0.01,0.075,0.744,0.05
"P39","No sabe",0.131,0.016,0.001,0.01,0.027,0.733
"P40","Lo votaría",0.879,0.051,0.061,0.415,0.392,0.406
"P40","Puede que lo vote",0.058,0.062,0.095,0.077,0.042,0.042
"P40","Nunca lo votaría",0.051,0.87,0.834,0.385,0.489,0.426
"P40","No sabe",0.012,0.017,0.01,0.123,0.077,0.126
"P41","La votaría",0.392,0.015,0.033,0.2,0.114,0.148
"P41","Puede que la vote",0.359,0.058,0.063,0.164,0.177,0.128
"P41","Nunca la votaría",0.165,0.904,0.88,0.583,0.672,0.538
"P41","No sabe",0.084,0.023,0.024,0.053,0.037,0.186
"P42","Lo votaría",0.048,0.592,0.207,0.007,0.25,0.174
"P42","Puede que lo vote",0.072,0.208,0.297,0.04,0.095,0.062
"P42","Nunca lo votaría",0.815,0.153,0.422,0.918,0.626,0.523
"P42","No sabe",0.065,0.047,0.074,0.035,0.029,0.241
"P43","Lo votaría",0.029,0.707,0.07,0.036,0.03,0.089
"P43","Puede que lo vote",0.059,0.232,0.361,0.021,0.189,0.207
"P43","Nunca lo votaría",0.871,0.031,0.527,0.921,0.724,0.554
"P43","No sabe",0.041,0.03,0.042,0.022,0.057,0.15
"P44","Lo votaría",0.016,0.136,0.573,0.054,0.01,0.013
"P44","Puede que lo vote",0.04,0.26,0.255,0.012,0.077,0.052
"P44","Nunca lo votaría",0.896,0.5,0.168,0.881,0.84,0.681
"P44","No sabe",0.048,0.104,0.004,0.053,0.073,0.254
"P45","Muy buena",0.726,0.025,0.096,0.346,0.358,0.301
"P45","Buena",0.108,0.046,0.058,0.107,0.054,0.065
"P45","Ni buena ni mala",0.141,0.114,0.064,0.218,0.109,0.204
"P45","Mala",0.014,0.127,0.115,0.063,0.098,0.119
"P45","Muy mala",0.011,0.682,0.66,0.253,0.345,0.253
"P45","No sabe",0,0.006,0.007,0.013,0.036,0.058
"P46","Muy buena",0.239,0.006,0.012,0.131,0.106,0.074
"P46","Buena",0.288,0.022,0.052,0.137,0.091,0.108
"P46","Ni buena ni mala",0.3,0.127,0.059,0.237,0.165,0.301
"P46","Mala",0.116,0.192,0.163,0.118,0.179,0.128
"P46","Muy mala",0.036,0.639,0.684,0.322,0.413,0.276
"P46","No sabe",0.021,0.014,0.03,0.055,0.046,0.113
"P47","Muy buena",0.024,0.298,0.11,0.069,0.126,0.099
"P47","Buena",0.047,0.331,0.2,0.017,0.147,0.108
"P47","Ni buena ni mala",0.244,0.181,0.292,0.162,0.204,0.239
"P47","Mala",0.298,0.042,0.066,0.175,0.109,0.144
"P47","Muy mala",0.308,0.096,0.237,0.548,0.344,0.185
"P47","No sabe",0.079,0.052,0.095,0.029,0.07,0.225
"P48","Muy buena",0.018,0.435,0.071,0.01,0.031,0.086
"P48","Buena",0.038,0.401,0.223,0.057,0.113,0.093
"P48","Ni buena ni mala",0.195,0.146,0.296,0.175,0.256,0.233
"P48","Mala",0.346,0.009,0.147,0.15,0.193,0.173
"P48","Muy mala",0.361,0.005,0.23,0.556,0.359,0.25
"P48","No sabe",0.042,0.004,0.033,0.052,0.048,0.165
"P49","Muy buena",0.021,0.081,0.285,0.002,0.013,0.015
"P49","Buena",0.028,0.129,0.338,0.018,0.012,0.032
"P49","Ni buena ni mala",0.183,0.418,0.274,0.129,0.317,0.227
"P49","Mala",0.232,0.08,0.024,0.123,0.161,0.176
"P49","Muy mala",0.421,0.111,0.049,0.566,0.426,0.206
"P49","No sabe",0.115,0.181,0.03,0.162,0.071,0.344
"P50","Siempre",0.33,0.384,0.336,0.328,0.263,0.274
"P50","Casi siempre",0.427,0.368,0.365,0.398,0.451,0.406
"P50","Casi nunca",0.156,0.194,0.256,0.101,0.207,0.173
"P50","Nunca, pero esta es una excepción",0.087,0.054,0.043,0.173,0.079,0.147
"P51","Si",0.567,0.529,0.554,0.513,0.588,0.508
"P51","No",0.433,0.471,0.446,0.487,0.412,0.492
