"var","categoria","Axel Kicillof por Unión por la Patria","Nestor Grindetti por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.015,0.052,0.598,0.012,0.049
"P12","En blanco",0.009,0.003,0.012,0.116,0.212,0.023
"P12","No sabe",0.017,0.009,0.008,0.053,0.249,0.285
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.642,0.027,0.012,0.128,0.064,0.083
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.124,0.037,0.034,0.024,0.085,0.058
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.028,0.693,0.077,0.024,0.088,0.155
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.032,0.168,0.029,0.018,0.18,0.193
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.019,0.064,0.829,0.052,0.258,0.159
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.036,0.004,0.011,0.726,0.031,0.025
"P15","En blanco",0.034,0.003,0.004,0.007,0.193,0.048
"P15","No sabe",0.085,0.004,0.004,0.021,0.101,0.279
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.765,0.03,0.027,0.115,0.015,0.087
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.071,0.044,0.031,0.024,0.215,0.052
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.017,0.687,0.08,0.04,0.072,0.16
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.032,0.176,0.03,0.088,0.155,0.179
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.032,0.056,0.804,0.005,0.231,0.181
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.001,0.004,0.694,0.034,0.034
"P18","En blanco",0.012,0.001,0.012,0,0.17,0.03
"P18","No sabe",0.053,0.005,0.012,0.034,0.108,0.277
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.712,0.036,0.055,0.137,0.075,0.074
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.023,0.692,0.079,0.032,0.133,0.182
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.043,0.171,0.032,0.031,0.159,0.213
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.037,0.076,0.769,0.017,0.148,0.146
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.043,0.013,0.025,0.69,0.024,0.017
"P21","En blanco",0.04,0.004,0.001,0.072,0.317,0.053
"P21","No sabe",0.102,0.008,0.039,0.021,0.144,0.315
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.616,0.074,0.033,0.136,0.057,0.112
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.027,0.511,0.267,0.058,0.122,0.127
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.238,0.147,0.051,0.06,0.111,0.205
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.03,0.255,0.641,0.011,0.192,0.209
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.004,0.002,0.685,0.045,0.011
"P24","En blanco",0.02,0.002,0.001,0.043,0.285,0.048
"P24","No sabe",0.059,0.007,0.005,0.007,0.188,0.288
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.632,0.081,0.012,0.095,0.16,0.069
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.015,0.517,0.259,0.032,0.071,0.136
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.227,0.129,0.034,0.082,0.142,0.208
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.015,0.261,0.693,0.004,0.174,0.195
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.002,0,0.694,0.005,0.009
"P25","En blanco",0.026,0.003,0.001,0.04,0.276,0.046
"P25","No sabe",0.065,0.007,0.001,0.053,0.172,0.337
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.794,0.01,0.011,0.085,0.072,0.081
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.01,0.882,0.054,0.04,0.143,0.229
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.015,0.058,0.909,0.02,0.21,0.175
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.036,0.009,0.008,0.808,0,0.029
"P26","En blanco",0.045,0.013,0.005,0.042,0.398,0.019
"P26","No sabe",0.1,0.028,0.013,0.005,0.177,0.467
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.798,0.005,0.01,0.085,0.072,0.084
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.016,0.653,0.025,0.04,0.208,0.26
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.147,0.938,0.003,0.223,0.178
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.04,0.006,0.011,0.83,0,0.028
"P27","En blanco",0.043,0.059,0.009,0.029,0.367,0.039
"P27","No sabe",0.083,0.13,0.007,0.013,0.13,0.411
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.892,0.003,0.021,0.086,0.062,0.066
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.011,0.903,0.063,0.058,0.094,0.233
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.013,0.061,0.899,0.01,0.212,0.17
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.004,0.012,0.815,0.004,0.012
"P28","En blanco",0.022,0.012,0.005,0.003,0.493,0.029
"P28","No sabe",0.048,0.017,0,0.028,0.135,0.49
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.896,0.005,0.022,0.107,0.017,0.056
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.029,0.649,0.026,0.04,0.209,0.273
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.164,0.934,0.004,0.263,0.169
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.01,0.004,0.776,0,0.005
"P29","En blanco",0.019,0.058,0,0.049,0.396,0.045
"P29","No sabe",0.033,0.114,0.014,0.024,0.115,0.452
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.872,0.016,0.017,0.107,0.01,0.085
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.015,0.871,0.052,0.039,0.109,0.237
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.011,0.058,0.929,0.01,0.195,0.172
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.008,0.001,0.767,0,0.014
"P30","En blanco",0.026,0.016,0,0.034,0.535,0.026
"P30","No sabe",0.059,0.031,0.001,0.043,0.151,0.466
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.852,0.022,0.02,0.084,0.012,0.047
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.018,0.638,0.027,0.092,0.235,0.259
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.018,0.169,0.944,0.004,0.217,0.168
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.027,0.003,0.001,0.774,0.003,0.022
"P31","En blanco",0.029,0.076,0,0.022,0.434,0.036
"P31","No sabe",0.056,0.092,0.008,0.024,0.099,0.468
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.559,0.024,0.023,0.074,0.162,0.072
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.01,0.867,0.057,0.076,0.077,0.24
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.017,0.053,0.913,0.004,0.223,0.175
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.08,0.002,0,0.805,0.045,0.026
"P32","En blanco",0.135,0.024,0.002,0.03,0.43,0.022
"P32","No sabe",0.199,0.03,0.005,0.011,0.063,0.465
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.54,0.025,0.01,0.041,0.155,0.081
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.024,0.654,0.036,0.082,0.195,0.262
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.011,0.168,0.946,0.003,0.229,0.217
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.074,0.004,0,0.757,0.045,0.025
"P33","En blanco",0.152,0.061,0.001,0.078,0.33,0.015
"P33","No sabe",0.199,0.088,0.007,0.039,0.046,0.4
"P35","Axel Kicillof por Unión por la Patria",0.967,0.009,0.011,0.038,0.056,0.057
"P35","Diego Santilli por Juntos por el Cambio",0.012,0.816,0.059,0.051,0.235,0.315
"P35","Guillermo Britos por la Libertad Avanza",0.004,0.08,0.899,0,0.009,0.074
"P35","Al candidato del Frente de Izquierda",0.001,0,0.001,0.903,0,0.014
"P35","En blanco",0.003,0.045,0.011,0.008,0.647,0.034
"P35","No sabe",0.013,0.05,0.019,0,0.053,0.506
"P36","Sergio Massa por Unión por la Patria",0.789,0.022,0.011,0.074,0.086,0.081
"P36","Nestor Grindetti por Juntos por el Cambio",0.015,0.92,0.039,0.025,0.097,0.162
"P36","Guillermo Britos por la Libertad Avanza",0.008,0.03,0.936,0,0.057,0.104
"P36","Al candidato del Frente de Izquierda",0.043,0,0.001,0.85,0.01,0.006
"P36","En blanco",0.048,0.016,0.009,0.016,0.636,0.033
"P36","No sabe",0.097,0.012,0.004,0.035,0.114,0.614
"P37","Sergio Massa por Unión por la Patria",0.77,0.017,0.015,0.051,0.081,0.1
"P37","Diego Santilli por Juntos por el Cambio",0.018,0.8,0.07,0.032,0.236,0.274
"P37","Guillermo Britos por la Libertad Avanza",0.009,0.091,0.905,0,0.061,0.075
"P37","Al candidato del Frente de Izquierda",0.052,0.001,0.002,0.852,0.01,0.006
"P37","En blanco",0.064,0.044,0.001,0.03,0.467,0.037
"P37","No sabe",0.087,0.047,0.007,0.035,0.145,0.508
"P38","Victoria Tolosa Paz por Unión por la Patria",0.577,0.026,0.006,0.033,0.203,0.03
"P38","Nestor Grindetti por Juntos por el Cambio",0.015,0.898,0.035,0.037,0.059,0.197
"P38","Guillermo Britos por la Libertad Avanza",0.012,0.038,0.951,0,0.112,0.048
"P38","Al candidato del Frente de Izquierda",0.077,0.01,0,0.865,0,0.046
"P38","En blanco",0.161,0.014,0,0.023,0.509,0.059
"P38","No sabe",0.158,0.014,0.008,0.042,0.117,0.62
"P39","Victoria Tolosa Paz por Unión por la Patria",0.568,0.021,0.005,0.013,0.211,0.112
"P39","Diego Santilli por Juntos por el Cambio",0.023,0.79,0.08,0.098,0.236,0.327
"P39","Guillermo Britos por la Libertad Avanza",0.011,0.088,0.896,0,0.058,0.071
"P39","Al candidato del Frente de Izquierda",0.074,0.001,0.003,0.779,0.051,0.007
"P39","En blanco",0.162,0.052,0.016,0.075,0.348,0.025
"P39","No sabe",0.162,0.048,0,0.035,0.096,0.458
"P40","Lo votaría",0.902,0.044,0.033,0.217,0.08,0.095
"P40","Puede que lo vote",0.052,0.05,0.091,0.116,0.041,0.132
"P40","Nunca lo votaría",0.02,0.895,0.867,0.607,0.756,0.601
"P40","No sabe",0.026,0.011,0.009,0.06,0.123,0.172
"P41","La votaría",0.379,0.014,0.014,0.126,0.107,0.051
"P41","Puede que la vote",0.326,0.071,0.048,0.145,0.107,0.119
"P41","Nunca la votaría",0.202,0.906,0.92,0.693,0.725,0.622
"P41","No sabe",0.093,0.009,0.018,0.036,0.061,0.208
"P42","Lo votaría",0.047,0.68,0.114,0.043,0.014,0.07
"P42","Puede que lo vote",0.05,0.177,0.348,0.056,0.207,0.202
"P42","Nunca lo votaría",0.837,0.114,0.464,0.878,0.743,0.362
"P42","No sabe",0.066,0.029,0.074,0.023,0.036,0.366
"P43","Lo votaría",0.016,0.59,0.135,0.097,0.188,0.302
"P43","Puede que lo vote",0.049,0.289,0.317,0.017,0.23,0.216
"P43","Nunca lo votaría",0.892,0.086,0.51,0.851,0.516,0.333
"P43","No sabe",0.043,0.035,0.038,0.035,0.066,0.149
"P44","Lo votaría",0.016,0.134,0.645,0.047,0.038,0.035
"P44","Puede que lo vote",0.035,0.279,0.193,0.005,0.146,0.112
"P44","Nunca lo votaría",0.908,0.496,0.155,0.883,0.623,0.521
"P44","No sabe",0.041,0.091,0.007,0.065,0.193,0.332
"P45","Muy buena",0.74,0.025,0.094,0.136,0.063,0.069
"P45","Buena",0.113,0.044,0.049,0.049,0.035,0.068
"P45","Ni buena ni mala",0.135,0.096,0.054,0.308,0.173,0.288
"P45","Mala",0.004,0.113,0.133,0.126,0.26,0.168
"P45","Muy mala",0.006,0.718,0.662,0.381,0.408,0.323
"P45","No sabe",0.002,0.004,0.008,0,0.061,0.084
"P46","Muy buena",0.225,0.014,0.014,0.057,0.018,0.049
"P46","Buena",0.277,0.026,0.022,0.078,0.117,0.052
"P46","Ni buena ni mala",0.305,0.105,0.048,0.282,0.21,0.25
"P46","Mala",0.115,0.187,0.185,0.125,0.2,0.122
"P46","Muy mala",0.052,0.663,0.713,0.447,0.324,0.351
"P46","No sabe",0.026,0.005,0.018,0.011,0.131,0.176
"P47","Muy buena",0.023,0.346,0.073,0.065,0.013,0.036
"P47","Buena",0.043,0.374,0.16,0.012,0.071,0.074
"P47","Ni buena ni mala",0.221,0.142,0.308,0.232,0.493,0.34
"P47","Mala",0.297,0.026,0.068,0.127,0.14,0.066
"P47","Muy mala",0.346,0.085,0.279,0.534,0.103,0.128
"P47","No sabe",0.07,0.027,0.112,0.03,0.18,0.356
"P48","Muy buena",0.014,0.361,0.126,0.03,0.145,0.184
"P48","Buena",0.032,0.4,0.189,0.087,0.127,0.188
"P48","Ni buena ni mala",0.173,0.186,0.277,0.193,0.302,0.271
"P48","Mala",0.328,0.029,0.127,0.12,0.225,0.091
"P48","Muy mala",0.408,0.019,0.252,0.547,0.069,0.086
"P48","No sabe",0.045,0.005,0.029,0.023,0.132,0.18
"P49","Muy buena",0.015,0.077,0.323,0.023,0.032,0.03
"P49","Buena",0.028,0.119,0.382,0.005,0.031,0.055
"P49","Ni buena ni mala",0.165,0.447,0.198,0.138,0.491,0.287
"P49","Mala",0.225,0.092,0.024,0.146,0.132,0.064
"P49","Muy mala",0.448,0.106,0.05,0.572,0.153,0.129
"P49","No sabe",0.119,0.159,0.023,0.116,0.161,0.435
"P50","Siempre",0.325,0.381,0.341,0.309,0.232,0.272
"P50","Casi siempre",0.44,0.368,0.351,0.387,0.382,0.398
"P50","Casi nunca",0.143,0.204,0.25,0.137,0.303,0.184
"P50","Nunca, pero esta es una excepción",0.092,0.047,0.058,0.167,0.083,0.146
"P51","Si",0.57,0.542,0.547,0.549,0.487,0.465
"P51","No",0.43,0.458,0.453,0.451,0.513,0.535
