"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.024,0.019,0.013
"P18","En blanco",0.017,0,0.011,0.013
"P18","No sabe",0.068,0.05,0.143,0.034
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.767,0.587,0.438,0.677
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.061,0.12,0.112,0.024
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.036,0.069,0.14,0.016
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.063,0.035,0.044,0.026
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.031,0.039,0.048
"P21","En blanco",0.02,0.051,0.057,0.05
"P21","No sabe",0.038,0.107,0.17,0.159
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.535,0.49,0.49,0.681
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.073,0.111,0.134,0.013
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.228,0.195,0.157,0.219
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.05,0.036,0.076,0.019
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.018,0.037,0.012
"P24","En blanco",0.012,0.037,0.03,0.015
"P24","No sabe",0.096,0.113,0.076,0.041
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.56,0.533,0.479,0.662
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.051,0.034,0.125,0.009
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.226,0.194,0.151,0.196
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.045,0.053,0.07,0.01
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.022,0.027,0.019
"P25","En blanco",0.01,0.035,0.051,0.03
"P25","No sabe",0.09,0.129,0.097,0.074
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.833,0.697,0.574,0.749
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.055,0.102,0.151,0.013
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.013,0.018,0.023,0.004
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.035,0.063,0.044
"P26","En blanco",0.017,0.073,0.054,0.075
"P26","No sabe",0.063,0.075,0.135,0.115
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.852,0.629,0.58,0.764
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.053,0.117,0.111,0.006
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.011,0.03,0.068,0.02
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.064,0.062,0.046
"P27","En blanco",0.015,0.084,0.086,0.056
"P27","No sabe",0.041,0.076,0.093,0.108
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.805,0.723,0.585,0.92
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.046,0.089,0.163,0.006
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.009,0.053,0.006
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.028,0.057,0.016
"P28","En blanco",0.013,0.074,0.054,0.012
"P28","No sabe",0.102,0.077,0.088,0.04
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.812,0.692,0.594,0.93
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.062,0.105,0.126,0.012
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.01,0.013,0.058,0.006
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.066,0.051,0.011
"P29","En blanco",0.027,0.065,0.054,0.005
"P29","No sabe",0.081,0.059,0.117,0.036
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.829,0.696,0.54,0.898
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.062,0.118,0.15,0
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.004,0.044,0.004
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.025,0.07,0.02
"P30","En blanco",0.024,0.08,0.066,0.026
"P30","No sabe",0.065,0.077,0.13,0.052
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.801,0.67,0.547,0.889
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.06,0.098,0.091,0.002
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.004,0.045,0.003
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.027,0.071,0.068,0.023
"P31","En blanco",0.021,0.073,0.116,0.028
"P31","No sabe",0.077,0.084,0.133,0.055
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.584,0.879,0.315,0.518
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.056,0.046,0.125,0.012
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.017,0.005,0.056,0.003
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.046,0.007,0.079,0.098
"P32","En blanco",0.09,0.033,0.17,0.156
"P32","No sabe",0.207,0.03,0.255,0.213
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.582,0.865,0.322,0.498
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.065,0.064,0.118,0.005
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.008,0.05,0.001
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.044,0.009,0.049,0.096
"P33","En blanco",0.079,0.016,0.195,0.192
"P33","No sabe",0.203,0.038,0.266,0.208
"P34","Axel Kicillof por Unión por la Patria",0.914,0.768,0.606,0.969
"P34","Nestor Grindetti por Juntos por el Cambio",0.038,0.127,0.198,0.01
"P34","Guillermo Britos por la Libertad Avanza",0.014,0.009,0.028,0
"P34","Al candidato del Frente de Izquierda",0,0.003,0.051,0.007
"P34","En blanco",0.004,0.029,0.031,0.001
"P34","No sabe",0.03,0.064,0.086,0.013
"P35","Axel Kicillof por Unión por la Patria",0.904,0.763,0.608,0.965
"P35","Diego Santilli por Juntos por el Cambio",0.065,0.126,0.125,0.015
"P35","Guillermo Britos por la Libertad Avanza",0.011,0.009,0.04,0.001
"P35","Al candidato del Frente de Izquierda",0.001,0,0.048,0
"P35","En blanco",0.003,0.041,0.078,0.001
"P35","No sabe",0.016,0.061,0.101,0.018
"P36","Sergio Massa por Unión por la Patria",0.837,0.685,0.444,0.77
"P36","Nestor Grindetti por Juntos por el Cambio",0.06,0.085,0.143,0.006
"P36","Guillermo Britos por la Libertad Avanza",0.009,0.009,0.044,0
"P36","Al candidato del Frente de Izquierda",0.011,0.065,0.077,0.048
"P36","En blanco",0.017,0.044,0.103,0.058
"P36","No sabe",0.066,0.112,0.189,0.118
"P37","Sergio Massa por Unión por la Patria",0.867,0.725,0.457,0.742
"P37","Diego Santilli por Juntos por el Cambio",0.038,0.058,0.138,0.002
"P37","Guillermo Britos por la Libertad Avanza",0.011,0.019,0.032,0
"P37","Al candidato del Frente de Izquierda",0.018,0.067,0.075,0.051
"P37","En blanco",0.011,0.033,0.113,0.095
"P37","No sabe",0.055,0.098,0.185,0.11
"P38","Victoria Tolosa Paz por Unión por la Patria",0.609,0.811,0.35,0.535
"P38","Nestor Grindetti por Juntos por el Cambio",0.07,0.037,0.151,0.001
"P38","Guillermo Britos por la Libertad Avanza",0.023,0.01,0.05,0.004
"P38","Al candidato del Frente de Izquierda",0.032,0.021,0.106,0.088
"P38","En blanco",0.115,0.059,0.159,0.197
"P38","No sabe",0.151,0.062,0.184,0.175
"P39","Victoria Tolosa Paz por Unión por la Patria",0.621,0.866,0.369,0.515
"P39","Diego Santilli por Juntos por el Cambio",0.057,0.044,0.148,0.011
"P39","Guillermo Britos por la Libertad Avanza",0.016,0.01,0.038,0.006
"P39","Al candidato del Frente de Izquierda",0.033,0.008,0.057,0.096
"P39","En blanco",0.105,0.037,0.195,0.208
"P39","No sabe",0.168,0.035,0.193,0.164
"P40","Lo votaría",0.871,0.664,0.583,0.922
"P40","Puede que lo vote",0.059,0.092,0.045,0.039
"P40","Nunca lo votaría",0.062,0.181,0.343,0.015
"P40","No sabe",0.008,0.063,0.029,0.024
"P41","La votaría",0.46,0.556,0.316,0.296
"P41","Puede que la vote",0.328,0.364,0.169,0.353
"P41","Nunca la votaría",0.137,0.075,0.439,0.237
"P41","No sabe",0.075,0.005,0.076,0.114
"P42","Lo votaría",0.111,0.042,0.188,0.026
"P42","Puede que lo vote",0.041,0.159,0.041,0.06
"P42","Nunca lo votaría",0.754,0.66,0.685,0.86
"P42","No sabe",0.094,0.139,0.086,0.054
"P43","Lo votaría",0.079,0.073,0.149,0.003
"P43","Puede que lo vote",0.032,0.115,0.076,0.031
"P43","Nunca lo votaría",0.843,0.749,0.706,0.928
"P43","No sabe",0.046,0.063,0.069,0.038
"P44","Lo votaría",0.054,0.018,0.071,0
"P44","Puede que lo vote",0.019,0.088,0.068,0.023
"P44","Nunca lo votaría",0.887,0.814,0.75,0.942
"P44","No sabe",0.04,0.08,0.111,0.035
"P45","Muy buena",0.647,0.582,0.476,0.834
"P45","Buena",0.096,0.201,0.097,0.078
"P45","Ni buena ni mala",0.219,0.127,0.175,0.077
"P45","Mala",0.003,0.025,0.05,0.007
"P45","Muy mala",0.03,0.03,0.202,0.004
"P45","No sabe",0.005,0.035,0,0
"P46","Muy buena",0.294,0.427,0.185,0.192
"P46","Buena",0.259,0.322,0.149,0.261
"P46","Ni buena ni mala",0.298,0.189,0.285,0.328
"P46","Mala",0.087,0.03,0.089,0.15
"P46","Muy mala",0.055,0.026,0.261,0.05
"P46","No sabe",0.007,0.006,0.031,0.019
"P47","Muy buena",0.067,0.065,0.131,0.005
"P47","Buena",0.062,0.133,0.093,0.042
"P47","Ni buena ni mala",0.275,0.228,0.164,0.167
"P47","Mala",0.313,0.301,0.223,0.272
"P47","Muy mala",0.213,0.17,0.208,0.452
"P47","No sabe",0.07,0.103,0.181,0.062
"P48","Muy buena",0.052,0.044,0.088,0.001
"P48","Buena",0.054,0.107,0.092,0.022
"P48","Ni buena ni mala",0.227,0.165,0.254,0.115
"P48","Mala",0.399,0.305,0.214,0.3
"P48","Muy mala",0.249,0.314,0.249,0.516
"P48","No sabe",0.019,0.065,0.103,0.046
"P49","Muy buena",0.04,0.019,0.018,0.001
"P49","Buena",0.031,0.008,0.043,0.022
"P49","Ni buena ni mala",0.213,0.261,0.271,0.124
"P49","Mala",0.286,0.267,0.18,0.202
"P49","Muy mala",0.328,0.315,0.293,0.545
"P49","No sabe",0.102,0.13,0.195,0.106
"P50","Siempre",0.336,0.326,0.402,0.303
"P50","Casi siempre",0.395,0.47,0.41,0.445
"P50","Casi nunca",0.178,0.153,0.117,0.137
"P50","Nunca, pero esta es una excepción",0.091,0.051,0.071,0.115
"P51","Si",0.635,0.706,0.619,0.519
"P51","No",0.365,0.294,0.381,0.481
