"var","categoria","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.007,0.018,0.695,0.01,0.008
"P26","En blanco",0.047,0.009,0.004,0.035,0.525,0.029
"P26","No sabe",0.088,0.017,0.016,0.045,0.197,0.616
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.815,0.011,0.013,0.114,0.2,0.187
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.017,0.638,0.056,0.043,0.22,0.215
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.017,0.123,0.904,0.042,0.066,0.02
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.039,0.005,0.01,0.757,0,0.022
"P27","En blanco",0.039,0.062,0.009,0.018,0.465,0.032
"P27","No sabe",0.073,0.161,0.008,0.026,0.049,0.524
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.952,0.006,0.008,0.161,0.068,0.073
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.015,0.655,0.045,0.039,0.266,0.212
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.007,0.135,0.922,0.022,0.035,0.007
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.008,0.003,0.741,0.002,0.002
"P29","En blanco",0.01,0.058,0.005,0.003,0.568,0.047
"P29","No sabe",0.009,0.138,0.017,0.034,0.061,0.659
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.899,0.018,0.013,0.143,0.179,0.162
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.01,0.918,0.037,0.04,0.029,0.1
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.009,0.029,0.901,0.069,0.024,0.011
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.004,0.009,0.71,0.002,0.015
"P30","En blanco",0.025,0.006,0.011,0.016,0.741,0.021
"P30","No sabe",0.044,0.025,0.029,0.022,0.025,0.691
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.881,0.016,0.021,0.098,0.184,0.164
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.012,0.641,0.051,0.071,0.296,0.219
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.011,0.148,0.905,0.068,0.034,0.017
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.024,0.006,0.003,0.72,0.003,0.001
"P31","En blanco",0.028,0.078,0.003,0.022,0.465,0.035
"P31","No sabe",0.044,0.111,0.017,0.021,0.018,0.564
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.581,0.024,0.032,0.062,0.226,0.139
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.011,0.903,0.048,0.086,0.037,0.058
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.024,0.908,0.02,0.042,0.014
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.075,0.003,0.002,0.772,0.003,0.06
"P32","En blanco",0.133,0.024,0.001,0.004,0.585,0.036
"P32","No sabe",0.186,0.022,0.009,0.056,0.107,0.693
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.565,0.028,0.019,0.059,0.231,0.144
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.015,0.652,0.075,0.089,0.255,0.219
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.016,0.151,0.902,0.025,0.042,0.033
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.071,0.004,0.001,0.737,0.006,0.039
"P33","En blanco",0.145,0.063,0.001,0.056,0.395,0.045
"P33","No sabe",0.188,0.102,0.002,0.034,0.071,0.52
"P34","Axel Kicillof por Unión por la Patria",0.962,0.013,0.028,0.166,0.253,0.283
"P34","Nestor Grindetti por Juntos por el Cambio",0.003,0.888,0.106,0.042,0.116,0.08
"P34","Guillermo Britos por la Libertad Avanza",0.009,0.03,0.752,0.055,0.023,0
"P34","Al candidato del Frente de Izquierda",0.007,0.005,0.002,0.706,0.003,0.012
"P34","En blanco",0.006,0.011,0.043,0.004,0.542,0.076
"P34","No sabe",0.013,0.053,0.069,0.027,0.063,0.549
"P35","Axel Kicillof por Unión por la Patria",0.955,0.006,0.045,0.202,0.255,0.284
"P35","Diego Santilli por Juntos por el Cambio",0.013,0.79,0.103,0.047,0.291,0.25
"P35","Guillermo Britos por la Libertad Avanza",0.009,0.081,0.761,0.023,0.025,0.002
"P35","Al candidato del Frente de Izquierda",0.004,0.003,0.002,0.693,0,0.027
"P35","En blanco",0.007,0.055,0.033,0.035,0.42,0.043
"P35","No sabe",0.012,0.065,0.056,0,0.009,0.394
"P36","Sergio Massa por Unión por la Patria",0.8,0.02,0.04,0.083,0.243,0.207
"P36","Nestor Grindetti por Juntos por el Cambio",0.011,0.883,0.089,0.035,0.165,0.123
"P36","Guillermo Britos por la Libertad Avanza",0.007,0.046,0.796,0.04,0,0.045
"P36","Al candidato del Frente de Izquierda",0.038,0.001,0.003,0.798,0.011,0.012
"P36","En blanco",0.053,0.018,0.028,0.017,0.554,0.049
"P36","No sabe",0.091,0.032,0.044,0.027,0.027,0.564
"P37","Sergio Massa por Unión por la Patria",0.783,0.022,0.033,0.073,0.209,0.206
"P37","Diego Santilli por Juntos por el Cambio",0.014,0.776,0.119,0.034,0.273,0.214
"P37","Guillermo Britos por la Libertad Avanza",0.013,0.091,0.779,0.053,0.037,0.015
"P37","Al candidato del Frente de Izquierda",0.04,0.005,0.002,0.809,0.024,0.038
"P37","En blanco",0.065,0.049,0.02,0.025,0.422,0.034
"P37","No sabe",0.085,0.057,0.047,0.006,0.035,0.493
"P38","Victoria Tolosa Paz por Unión por la Patria",0.599,0.02,0.028,0.069,0.203,0.097
"P38","Nestor Grindetti por Juntos por el Cambio",0.015,0.885,0.071,0.024,0.068,0.105
"P38","Guillermo Britos por la Libertad Avanza",0.017,0.038,0.819,0.048,0.026,0.032
"P38","Al candidato del Frente de Izquierda",0.063,0.007,0.016,0.834,0.023,0.082
"P38","En blanco",0.16,0.018,0.015,0.022,0.589,0.074
"P38","No sabe",0.146,0.032,0.051,0.003,0.091,0.61
"P39","Victoria Tolosa Paz por Unión por la Patria",0.592,0.02,0.029,0.047,0.185,0.141
"P39","Diego Santilli por Juntos por el Cambio",0.016,0.778,0.114,0.074,0.271,0.284
"P39","Guillermo Britos por la Libertad Avanza",0.012,0.086,0.789,0.029,0.026,0.023
"P39","Al candidato del Frente de Izquierda",0.072,0.002,0.002,0.755,0.025,0.024
"P39","En blanco",0.156,0.057,0.024,0.074,0.379,0.083
"P39","No sabe",0.152,0.057,0.042,0.021,0.114,0.445
"P40","Lo votaría",0.908,0.044,0.055,0.241,0.189,0.26
"P40","Puede que lo vote",0.045,0.049,0.114,0.094,0.061,0.106
"P40","Nunca lo votaría",0.027,0.894,0.811,0.543,0.641,0.474
"P40","No sabe",0.02,0.013,0.02,0.122,0.109,0.16
"P41","La votaría",0.386,0.018,0.022,0.117,0.116,0.115
"P41","Puede que la vote",0.331,0.064,0.068,0.183,0.191,0.114
"P41","Nunca la votaría",0.198,0.906,0.885,0.68,0.536,0.539
"P41","No sabe",0.085,0.012,0.025,0.02,0.157,0.232
"P42","Lo votaría",0.054,0.661,0.124,0.028,0.02,0.032
"P42","Puede que lo vote",0.049,0.196,0.294,0.043,0.249,0.142
"P42","Nunca lo votaría",0.832,0.113,0.501,0.899,0.673,0.472
"P42","No sabe",0.065,0.03,0.081,0.03,0.058,0.354
"P43","Lo votaría",0.022,0.58,0.138,0.08,0.19,0.255
"P43","Puede que lo vote",0.036,0.296,0.323,0.023,0.222,0.141
"P43","Nunca lo votaría",0.909,0.087,0.498,0.868,0.502,0.401
"P43","No sabe",0.033,0.037,0.041,0.029,0.086,0.203
"P44","Lo votaría",0.013,0.141,0.552,0.057,0.025,0.008
"P44","Puede que lo vote",0.036,0.261,0.227,0.033,0.091,0.048
"P44","Nunca lo votaría",0.916,0.5,0.182,0.859,0.8,0.602
"P44","No sabe",0.035,0.098,0.039,0.051,0.084,0.342
"P45","Muy buena",0.745,0.028,0.109,0.223,0.116,0.155
"P45","Buena",0.1,0.04,0.065,0.089,0.094,0.093
"P45","Ni buena ni mala",0.136,0.099,0.059,0.223,0.217,0.316
"P45","Mala",0.013,0.126,0.123,0.07,0.155,0.128
"P45","Muy mala",0.006,0.702,0.637,0.373,0.355,0.221
"P45","No sabe",0,0.005,0.007,0.022,0.063,0.087
"P46","Muy buena",0.23,0.014,0.01,0.13,0.032,0.062
"P46","Buena",0.284,0.025,0.045,0.067,0.112,0.067
"P46","Ni buena ni mala",0.301,0.098,0.067,0.239,0.27,0.363
"P46","Mala",0.124,0.184,0.163,0.098,0.207,0.127
"P46","Muy mala",0.049,0.663,0.671,0.456,0.253,0.212
"P46","No sabe",0.012,0.016,0.044,0.01,0.126,0.169
"P47","Muy buena",0.022,0.329,0.077,0.061,0.024,0.061
"P47","Buena",0.046,0.348,0.171,0.018,0.138,0.058
"P47","Ni buena ni mala",0.226,0.174,0.285,0.178,0.396,0.293
"P47","Mala",0.293,0.031,0.061,0.218,0.123,0.133
"P47","Muy mala",0.358,0.086,0.267,0.499,0.11,0.101
"P47","No sabe",0.055,0.032,0.139,0.026,0.209,0.354
"P48","Muy buena",0.014,0.345,0.136,0.013,0.131,0.202
"P48","Buena",0.027,0.407,0.182,0.081,0.193,0.097
"P48","Ni buena ni mala",0.169,0.199,0.254,0.183,0.345,0.253
"P48","Mala",0.338,0.027,0.129,0.105,0.221,0.143
"P48","Muy mala",0.414,0.017,0.242,0.598,0.047,0.105
"P48","No sabe",0.038,0.005,0.057,0.02,0.063,0.2
"P49","Muy buena",0.014,0.079,0.287,0.022,0,0.023
"P49","Buena",0.023,0.119,0.334,0.027,0.026,0.057
"P49","Ni buena ni mala",0.16,0.438,0.226,0.144,0.451,0.304
"P49","Mala",0.226,0.093,0.02,0.154,0.099,0.148
"P49","Muy mala",0.469,0.104,0.068,0.556,0.183,0.09
"P49","No sabe",0.108,0.167,0.065,0.097,0.241,0.378
"P50","Siempre",0.324,0.377,0.332,0.298,0.198,0.323
"P50","Casi siempre",0.445,0.365,0.352,0.378,0.492,0.371
"P50","Casi nunca",0.15,0.204,0.255,0.103,0.24,0.151
"P50","Nunca, pero esta es una excepción",0.081,0.054,0.061,0.221,0.07,0.155
"P51","Si",0.581,0.546,0.556,0.48,0.432,0.419
"P51","No",0.419,0.454,0.444,0.52,0.568,0.581
