"var","categoria","Victoria Tolosa Paz por Unión por la Patria","Nestor Grindetti por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.039,0.861,0.045,0.029,0.077
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.002,0.009,0.444,0.008,0.001
"P28","En blanco",0.025,0.007,0.005,0.012,0.197,0.024
"P28","No sabe",0.026,0.022,0.013,0.086,0.054,0.343
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.888,0.015,0.027,0.427,0.643,0.491
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.037,0.645,0.034,0.064,0.126,0.125
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.14,0.915,0.041,0.029,0.085
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.009,0.002,0.378,0.004,0.005
"P29","En blanco",0.02,0.067,0.006,0.035,0.141,0.02
"P29","No sabe",0.021,0.124,0.016,0.055,0.057,0.274
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.889,0.02,0.024,0.397,0.616,0.456
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.02,0.891,0.068,0.028,0.059,0.086
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.016,0.048,0.892,0.011,0.028,0.062
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.001,0.001,0.458,0.008,0.004
"P30","En blanco",0.031,0.009,0,0.004,0.232,0.024
"P30","No sabe",0.035,0.031,0.015,0.102,0.057,0.368
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.887,0.007,0.027,0.362,0.592,0.442
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.03,0.647,0.024,0.05,0.103,0.126
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.021,0.159,0.911,0.013,0.034,0.085
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.01,0.005,0.479,0.004,0.003
"P31","En blanco",0.021,0.073,0.014,0.035,0.203,0.021
"P31","No sabe",0.031,0.104,0.019,0.061,0.064,0.323
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.837,0.006,0.023,0.114,0.125,0.128
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.017,0.888,0.061,0.069,0.052,0.085
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.043,0.887,0.014,0.027,0.077
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.041,0.001,0.012,0.684,0.017,0.03
"P32","En blanco",0.037,0.017,0.001,0.02,0.619,0.04
"P32","No sabe",0.054,0.045,0.016,0.099,0.16,0.64
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.824,0.014,0.017,0.092,0.086,0.104
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.026,0.666,0.032,0.067,0.114,0.12
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.154,0.929,0.039,0.028,0.083
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.03,0.004,0.011,0.669,0.006,0.035
"P33","En blanco",0.043,0.056,0,0.064,0.631,0.038
"P33","No sabe",0.063,0.106,0.011,0.069,0.135,0.62
"P34","Axel Kicillof por Unión por la Patria",0.922,0.019,0.029,0.49,0.701,0.539
"P34","Nestor Grindetti por Juntos por el Cambio",0.033,0.912,0.073,0.053,0.051,0.04
"P34","Guillermo Britos por la Libertad Avanza",0.004,0.017,0.855,0,0,0.01
"P34","Al candidato del Frente de Izquierda",0.004,0.003,0,0.406,0.007,0.011
"P34","En blanco",0.029,0.007,0.024,0,0.197,0.035
"P34","No sabe",0.008,0.042,0.019,0.051,0.044,0.365
"P35","Axel Kicillof por Unión por la Patria",0.919,0.015,0.025,0.506,0.697,0.561
"P35","Diego Santilli por Juntos por el Cambio",0.032,0.816,0.081,0.03,0.116,0.135
"P35","Guillermo Britos por la Libertad Avanza",0.006,0.068,0.868,0.006,0.001,0.014
"P35","Al candidato del Frente de Izquierda",0.003,0.002,0,0.409,0,0.012
"P35","En blanco",0.02,0.048,0.022,0.034,0.158,0.015
"P35","No sabe",0.02,0.051,0.004,0.015,0.028,0.263
"P36","Sergio Massa por Unión por la Patria",0.865,0.016,0.025,0.302,0.525,0.367
"P36","Nestor Grindetti por Juntos por el Cambio",0.022,0.935,0.054,0.055,0.034,0.054
"P36","Guillermo Britos por la Libertad Avanza",0.004,0.024,0.891,0.032,0.003,0.03
"P36","Al candidato del Frente de Izquierda",0.03,0.001,0,0.572,0,0.002
"P36","En blanco",0.035,0.008,0.028,0,0.371,0.011
"P36","No sabe",0.044,0.016,0.002,0.039,0.067,0.536
"P37","Sergio Massa por Unión por la Patria",0.876,0.018,0.028,0.277,0.442,0.345
"P37","Diego Santilli por Juntos por el Cambio",0.016,0.818,0.058,0.053,0.11,0.127
"P37","Guillermo Britos por la Libertad Avanza",0.014,0.07,0.892,0.005,0.004,0.012
"P37","Al candidato del Frente de Izquierda",0.028,0.002,0.002,0.622,0,0.002
"P37","En blanco",0.035,0.043,0.011,0,0.399,0.001
"P37","No sabe",0.031,0.049,0.009,0.043,0.045,0.513
"P39","Victoria Tolosa Paz por Unión por la Patria",0.92,0.014,0.011,0.019,0.052,0.068
"P39","Diego Santilli por Juntos por el Cambio",0.023,0.816,0.062,0.105,0.115,0.146
"P39","Guillermo Britos por la Libertad Avanza",0.004,0.067,0.902,0.012,0.004,0.006
"P39","Al candidato del Frente de Izquierda",0.009,0.001,0.011,0.774,0.009,0.011
"P39","En blanco",0.025,0.05,0.014,0.062,0.767,0.012
"P39","No sabe",0.019,0.052,0,0.028,0.053,0.757
"P40","Lo votaría",0.839,0.055,0.066,0.472,0.67,0.56
"P40","Puede que lo vote",0.066,0.048,0.094,0.135,0.041,0.043
"P40","Nunca lo votaría",0.084,0.887,0.83,0.287,0.221,0.294
"P40","No sabe",0.011,0.01,0.01,0.106,0.068,0.103
"P41","La votaría",0.546,0.018,0.012,0.075,0.084,0.107
"P41","Puede que la vote",0.372,0.049,0.065,0.238,0.198,0.205
"P41","Nunca la votaría",0.043,0.921,0.906,0.586,0.647,0.425
"P41","No sabe",0.039,0.012,0.017,0.101,0.071,0.263
"P42","Lo votaría",0.069,0.687,0.108,0.039,0.031,0.025
"P42","Puede que lo vote",0.088,0.169,0.329,0.033,0.094,0.096
"P42","Nunca lo votaría",0.779,0.11,0.49,0.858,0.844,0.645
"P42","No sabe",0.064,0.034,0.073,0.07,0.031,0.234
"P43","Lo votaría",0.031,0.613,0.112,0.031,0.08,0.142
"P43","Puede que lo vote",0.074,0.275,0.322,0.075,0.087,0.102
