"var","categoria","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.844,0.016,0.023,0.484,0.577,0.523
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.047,0.643,0.043,0.028,0.172,0.15
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.023,0.139,0.919,0.028,0.001,0
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.014,0.001,0.372,0,0.006
"P29","En blanco",0.037,0.055,0,0.044,0.205,0.014
"P29","No sabe",0.033,0.133,0.014,0.044,0.045,0.307
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.874,0.01,0.02,0.435,0.552,0.516
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.03,0.925,0.03,0.009,0.102,0.036
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.015,0.029,0.918,0.04,0.006,0
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.01,0.001,0.422,0.004,0.007
"P30","En blanco",0.04,0.01,0.009,0.004,0.301,0.02
"P30","No sabe",0.032,0.016,0.022,0.09,0.035,0.421
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.875,0.018,0.014,0.405,0.535,0.473
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.033,0.666,0.03,0.024,0.118,0.121
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.017,0.144,0.932,0.006,0,0.011
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.004,0.003,0.458,0.001,0.025
"P31","En blanco",0.028,0.063,0.002,0.057,0.312,0.007
"P31","No sabe",0.028,0.105,0.019,0.05,0.034,0.363
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.884,0.012,0.02,0.042,0.039,0.056
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.024,0.693,0.033,0.031,0.12,0.126
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.008,0.141,0.942,0.023,0.02,0.029
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.004,0.001,0.817,0.008,0.007
"P33","En blanco",0.032,0.053,0,0.05,0.76,0.038
"P33","No sabe",0.037,0.097,0.004,0.037,0.053,0.744
"P34","Axel Kicillof por Unión por la Patria",0.898,0.012,0.036,0.536,0.667,0.621
"P34","Nestor Grindetti por Juntos por el Cambio",0.032,0.887,0.092,0.007,0.097,0.077
"P34","Guillermo Britos por la Libertad Avanza",0.015,0.028,0.757,0,0.003,0.007
"P34","Al candidato del Frente de Izquierda",0.009,0.007,0.001,0.394,0.011,0.003
"P34","En blanco",0.024,0.009,0.044,0.029,0.201,0.018
"P34","No sabe",0.022,0.057,0.07,0.034,0.021,0.274
"P35","Axel Kicillof por Unión por la Patria",0.892,0.017,0.038,0.557,0.658,0.624
"P35","Diego Santilli por Juntos por el Cambio",0.046,0.785,0.094,0.029,0.14,0.16
"P35","Guillermo Britos por la Libertad Avanza",0.009,0.08,0.778,0,0.004,0.001
"P35","Al candidato del Frente de Izquierda",0.011,0.005,0.001,0.38,0.002,0.006
"P35","En blanco",0.017,0.047,0.031,0.029,0.174,0.027
"P35","No sabe",0.025,0.066,0.058,0.005,0.022,0.182
"P36","Sergio Massa por Unión por la Patria",0.842,0.02,0.028,0.321,0.512,0.427
"P36","Nestor Grindetti por Juntos por el Cambio",0.021,0.89,0.087,0.033,0.099,0.098
"P36","Guillermo Britos por la Libertad Avanza",0.013,0.037,0.813,0,0.007,0.023
"P36","Al candidato del Frente de Izquierda",0.02,0.004,0.002,0.584,0.015,0.004
"P36","En blanco",0.039,0.015,0.03,0.05,0.332,0.02
"P36","No sabe",0.065,0.034,0.04,0.012,0.035,0.428
"P37","Sergio Massa por Unión por la Patria",0.843,0.014,0.022,0.323,0.454,0.425
"P37","Diego Santilli por Juntos por el Cambio",0.02,0.792,0.108,0.025,0.148,0.135
"P37","Guillermo Britos por la Libertad Avanza",0.015,0.085,0.802,0.029,0.004,0.01
"P37","Al candidato del Frente de Izquierda",0.026,0.005,0.002,0.604,0.016,0.007
"P37","En blanco",0.042,0.045,0.023,0.002,0.33,0.043
"P37","No sabe",0.054,0.059,0.043,0.017,0.048,0.38
"P38","Victoria Tolosa Paz por Unión por la Patria",0.841,0.013,0.019,0.168,0.119,0.107
"P38","Nestor Grindetti por Juntos por el Cambio",0.008,0.895,0.076,0.007,0.069,0.114
"P38","Guillermo Britos por la Libertad Avanza",0.016,0.033,0.836,0.033,0.001,0.022
"P38","Al candidato del Frente de Izquierda",0.029,0.013,0.005,0.708,0.016,0.049
"P38","En blanco",0.046,0.015,0.014,0.026,0.734,0.116
"P38","No sabe",0.06,0.031,0.05,0.058,0.061,0.592
"P39","Victoria Tolosa Paz por Unión por la Patria",0.817,0.01,0.038,0.149,0.155,0.124
"P39","Diego Santilli por Juntos por el Cambio",0.035,0.792,0.091,0.03,0.138,0.183
"P39","Guillermo Britos por la Libertad Avanza",0.014,0.084,0.808,0.003,0,0.01
"P39","Al candidato del Frente de Izquierda",0.022,0.002,0.002,0.709,0.023,0.03
"P39","En blanco",0.056,0.051,0.023,0.095,0.615,0.096
"P39","No sabe",0.056,0.061,0.038,0.014,0.069,0.557
"P40","Lo votaría",0.82,0.05,0.061,0.552,0.664,0.627
"P40","Puede que lo vote",0.069,0.056,0.1,0.101,0.018,0.037
"P40","Nunca lo votaría",0.091,0.88,0.817,0.268,0.26,0.256
"P40","No sabe",0.02,0.014,0.022,0.079,0.058,0.08
"P41","La votaría",0.537,0.015,0.03,0.115,0.055,0.116
"P41","Puede que la vote",0.344,0.061,0.052,0.238,0.219,0.247
"P41","Nunca la votaría",0.076,0.91,0.894,0.569,0.62,0.417
"P41","No sabe",0.043,0.014,0.024,0.078,0.106,0.22
"P42","Lo votaría",0.076,0.663,0.13,0.009,0.077,0.039
"P42","Puede que lo vote",0.08,0.189,0.281,0.053,0.119,0.085
"P42","Nunca lo votaría",0.768,0.12,0.498,0.909,0.769,0.676
"P42","No sabe",0.076,0.028,0.091,0.029,0.035,0.2
"P43","Lo votaría",0.039,0.597,0.127,0.009,0.11,0.144
"P43","Puede que lo vote",0.067,0.279,0.323,0.026,0.103,0.097
"P43","Nunca lo votaría",0.845,0.087,0.51,0.949,0.738,0.662
"P43","No sabe",0.049,0.037,0.04,0.016,0.049,0.097
"P44","Lo votaría",0.025,0.131,0.567,0.002,0.033,0.006
"P44","Puede que lo vote",0.052,0.276,0.193,0.041,0.057,0.041
"P44","Nunca lo votaría",0.871,0.499,0.201,0.923,0.87,0.77
"P44","No sabe",0.052,0.094,0.039,0.034,0.04,0.183
"P45","Muy buena",0.671,0.02,0.108,0.429,0.616,0.495
"P45","Buena",0.121,0.038,0.059,0.136,0.077,0.058
"P45","Ni buena ni mala",0.152,0.099,0.064,0.226,0.059,0.229
"P45","Mala",0.02,0.129,0.132,0.039,0.068,0.048
"P45","Muy mala",0.031,0.708,0.63,0.16,0.156,0.137
"P45","No sabe",0.005,0.006,0.007,0.01,0.024,0.033
"P46","Muy buena",0.298,0.007,0.008,0.088,0.085,0.105
"P46","Buena",0.346,0.025,0.054,0.123,0.081,0.129
"P46","Ni buena ni mala",0.246,0.095,0.063,0.374,0.304,0.37
"P46","Mala",0.078,0.194,0.158,0.151,0.219,0.139
"P46","Muy mala",0.025,0.665,0.672,0.228,0.279,0.153
"P46","No sabe",0.007,0.014,0.045,0.036,0.032,0.104
"P47","Muy buena",0.037,0.335,0.067,0.032,0.048,0.035
"P47","Buena",0.069,0.347,0.179,0.009,0.045,0.061
"P47","Ni buena ni mala",0.255,0.18,0.287,0.195,0.235,0.216
"P47","Mala",0.291,0.03,0.072,0.213,0.204,0.217
"P47","Muy mala",0.287,0.084,0.258,0.486,0.377,0.265
"P47","No sabe",0.061,0.024,0.137,0.065,0.091,0.206
"P48","Muy buena",0.031,0.354,0.121,0.005,0.078,0.097
"P48","Buena",0.045,0.404,0.197,0.058,0.062,0.067
"P48","Ni buena ni mala",0.181,0.187,0.286,0.15,0.164,0.231
"P48","Mala",0.345,0.032,0.117,0.217,0.312,0.185
"P48","Muy mala",0.357,0.021,0.224,0.529,0.346,0.301
"P48","No sabe",0.041,0.002,0.055,0.041,0.038,0.119
"P49","Muy buena",0.027,0.074,0.284,0.002,0.025,0.01
"P49","Buena",0.038,0.132,0.31,0.003,0.018,0.034
"P49","Ni buena ni mala",0.202,0.421,0.247,0.13,0.194,0.247
"P49","Mala",0.233,0.091,0.025,0.198,0.151,0.172
"P49","Muy mala",0.395,0.108,0.059,0.539,0.494,0.306
"P49","No sabe",0.105,0.174,0.075,0.128,0.118,0.231
"P50","Siempre",0.336,0.386,0.344,0.243,0.298,0.286
"P50","Casi siempre",0.491,0.375,0.328,0.37,0.368,0.398
"P50","Casi nunca",0.104,0.191,0.256,0.148,0.244,0.225
"P50","Nunca, pero esta es una excepción",0.069,0.048,0.072,0.239,0.09,0.091
"P51","Si",0.619,0.528,0.55,0.469,0.557,0.48
"P51","No",0.381,0.472,0.45,0.531,0.443,0.52
