"var","categoria","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.039,0.543,0.255,0.011,0.391,0.359
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.027,0.331,0.008,0.019,0.042,0.046
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.023,0.035,0.625,0.067,0.032,0.059
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.016,0.044,0.449,0.015,0.024
"P12","En blanco",0.002,0.001,0.008,0.087,0.176,0.021
"P12","No sabe",0.011,0.017,0.023,0.013,0.1,0.266
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.671,0.037,0.014,0.14,0.103,0.124
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.137,0.024,0.032,0.071,0.088,0.068
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.024,0.565,0.224,0.011,0.432,0.348
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.031,0.307,0.025,0.025,0.009,0.046
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.041,0.679,0.012,0.044,0.074
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.003,0.015,0.608,0.043,0.034
"P15","En blanco",0.022,0.009,0.004,0.044,0.199,0.02
"P15","No sabe",0.068,0.014,0.007,0.089,0.082,0.286
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.769,0.039,0.027,0.216,0.175,0.192
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.085,0.045,0.032,0.068,0.121,0.063
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.017,0.541,0.228,0.023,0.436,0.351
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.03,0.325,0.017,0.015,0.006,0.042
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.029,0.036,0.665,0.093,0.021,0.043
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0,0.014,0.567,0.011,0.032
"P18","En blanco",0.011,0.003,0.006,0,0.153,0.019
"P18","No sabe",0.046,0.011,0.011,0.018,0.077,0.258
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.758,0.039,0.036,0.148,0.146,0.118
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.038,0.577,0.218,0.013,0.406,0.352
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.04,0.301,0.036,0.032,0.039,0.045
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.026,0.049,0.65,0.043,0.032,0.054
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.031,0.017,0.023,0.596,0.031,0.018
"P21","En blanco",0.025,0.006,0.005,0.142,0.258,0.05
"P21","No sabe",0.082,0.011,0.032,0.026,0.088,0.363
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.637,0.114,0.033,0.212,0.095,0.143
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.034,0.414,0.353,0.074,0.309,0.186
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.226,0.259,0.033,0.08,0.076,0.103
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.024,0.2,0.56,0.022,0.146,0.209
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.001,0.004,0.525,0.036,0.009
"P24","En blanco",0.014,0.003,0.001,0.069,0.247,0.035
"P24","No sabe",0.052,0.009,0.016,0.018,0.091,0.315
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.698,0.115,0.016,0.111,0.076,0.061
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.01,0.423,0.341,0.041,0.324,0.215
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.232,0.248,0.03,0.094,0.024,0.046
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.015,0.19,0.6,0.021,0.14,0.205
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.008,0.001,0.653,0.009,0.009
"P25","En blanco",0.011,0.004,0,0.025,0.321,0.034
"P25","No sabe",0.024,0.012,0.012,0.055,0.106,0.43
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.839,0.026,0.017,0.088,0.14,0.116
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.023,0.8,0.214,0.023,0.458,0.382
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.008,0.046,0.753,0.036,0.01,0.028
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.026,0.012,0.003,0.745,0.013,0.009
"P26","En blanco",0.037,0.038,0.001,0.047,0.317,0.013
"P26","No sabe",0.067,0.078,0.012,0.061,0.062,0.452
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.85,0.013,0.016,0.091,0.116,0.106
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.021,0.863,0.051,0.071,0.165,0.085
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.022,0.028,0.885,0.022,0.002,0.043
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.026,0.006,0.011,0.792,0.011,0.026
"P27","En blanco",0.027,0.023,0.012,0.006,0.609,0.03
"P27","No sabe",0.054,0.067,0.025,0.018,0.097,0.71
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.908,0.017,0.017,0.229,0.179,0.159
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.016,0.83,0.213,0.057,0.451,0.376
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.012,0.038,0.749,0.017,0.009,0.033
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.01,0.011,0.692,0.013,0.008
"P28","En blanco",0.02,0.043,0.005,0.003,0.303,0.007
"P28","No sabe",0.034,0.062,0.005,0.002,0.045,0.417
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.92,0.01,0.015,0.201,0.144,0.174
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.017,0.889,0.043,0.076,0.128,0.077
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.013,0.021,0.909,0.028,0.035,0.038
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.005,0.008,0.011,0.632,0.035,0.003
"P29","En blanco",0.016,0.015,0.003,0.04,0.601,0.019
"P29","No sabe",0.029,0.057,0.019,0.023,0.057,0.689
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.961,0.017,0.01,0.153,0.023,0.056
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.004,0.836,0.201,0.068,0.454,0.355
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.004,0.031,0.765,0.018,0.037,0.017
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.007,0,0.735,0.007,0.014
"P30","En blanco",0.01,0.05,0.005,0.005,0.441,0.003
"P30","No sabe",0.01,0.059,0.019,0.021,0.038,0.555
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.609,0.032,0.018,0.124,0.119,0.07
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.016,0.841,0.201,0.031,0.357,0.348
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.008,0.022,0.773,0.018,0.008,0.036
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.068,0.006,0.002,0.736,0.059,0.031
"P32","En blanco",0.123,0.037,0,0.002,0.441,0.028
"P32","No sabe",0.176,0.062,0.006,0.089,0.016,0.487
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.591,0.018,0.031,0.123,0.129,0.081
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.02,0.928,0.032,0.02,0.073,0.07
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.009,0.017,0.931,0.062,0.072,0.046
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.068,0.002,0,0.709,0.032,0.026
"P33","En blanco",0.138,0.011,0.002,0.038,0.664,0.037
"P33","No sabe",0.174,0.024,0.004,0.048,0.03,0.74
"P34","Axel Kicillof por Unión por la Patria",0.953,0.028,0.032,0.299,0.208,0.238
"P34","Nestor Grindetti por Juntos por el Cambio",0.02,0.831,0.238,0.028,0.441,0.323
"P34","Guillermo Britos por la Libertad Avanza",0.009,0.017,0.64,0.004,0,0.013
"P34","Al candidato del Frente de Izquierda",0.007,0.011,0,0.619,0.012,0.008
"P34","En blanco",0.001,0.035,0.035,0.003,0.291,0.04
"P34","No sabe",0.01,0.078,0.055,0.047,0.048,0.378
"P35","Axel Kicillof por Unión por la Patria",0.954,0.019,0.038,0.256,0.206,0.252
"P35","Diego Santilli por Juntos por el Cambio",0.017,0.922,0.162,0.097,0.217,0.255
"P35","Guillermo Britos por la Libertad Avanza",0.007,0.019,0.708,0.021,0.008,0.029
"P35","Al candidato del Frente de Izquierda",0.006,0.006,0.001,0.623,0.004,0.015
"P35","En blanco",0.002,0.008,0.035,0.003,0.527,0.048
"P35","No sabe",0.014,0.026,0.056,0,0.038,0.401
"P36","Sergio Massa por Unión por la Patria",0.852,0.023,0.038,0.022,0.082,0.117
"P36","Nestor Grindetti por Juntos por el Cambio",0.005,0.87,0.224,0.111,0.442,0.331
"P36","Guillermo Britos por la Libertad Avanza",0.009,0.017,0.678,0.014,0.019,0.047
"P36","Al candidato del Frente de Izquierda",0.029,0.008,0.001,0.791,0.006,0.014
"P36","En blanco",0.032,0.029,0.021,0,0.43,0.055
"P36","No sabe",0.073,0.053,0.038,0.062,0.021,0.436
"P37","Sergio Massa por Unión por la Patria",0.833,0.02,0.031,0.121,0.063,0.11
"P37","Diego Santilli por Juntos por el Cambio",0.01,0.91,0.188,0.041,0.209,0.238
"P37","Guillermo Britos por la Libertad Avanza",0.01,0.02,0.72,0.004,0.084,0.041
"P37","Al candidato del Frente de Izquierda",0.031,0.008,0.002,0.811,0.038,0.015
"P37","En blanco",0.048,0.012,0.019,0.003,0.553,0.064
"P37","No sabe",0.068,0.03,0.04,0.02,0.053,0.532
"P38","Victoria Tolosa Paz por Unión por la Patria",0.62,0.03,0.024,0.064,0.097,0.085
"P38","Nestor Grindetti por Juntos por el Cambio",0.007,0.843,0.227,0.087,0.43,0.364
"P38","Guillermo Britos por la Libertad Avanza",0.013,0.016,0.687,0.021,0.043,0.036
"P38","Al candidato del Frente de Izquierda",0.063,0.013,0.004,0.81,0.041,0.042
"P38","En blanco",0.152,0.038,0.014,0.009,0.343,0.064
"P38","No sabe",0.145,0.06,0.044,0.009,0.046,0.409
"P39","Victoria Tolosa Paz por Unión por la Patria",0.606,0.019,0.033,0.103,0.12,0.117
"P39","Diego Santilli por Juntos por el Cambio",0.019,0.923,0.177,0.068,0.225,0.265
"P39","Guillermo Britos por la Libertad Avanza",0.009,0.02,0.725,0.014,0,0.055
"P39","Al candidato del Frente de Izquierda",0.064,0.002,0,0.748,0.04,0.017
"P39","En blanco",0.149,0.009,0.03,0.055,0.562,0.06
"P39","No sabe",0.153,0.027,0.035,0.012,0.053,0.486
"P40","Lo votaría",0.893,0.064,0.063,0.254,0.233,0.26
"P40","Puede que lo vote",0.05,0.063,0.083,0.098,0.03,0.084
"P40","Nunca lo votaría",0.037,0.853,0.835,0.532,0.685,0.547
"P40","No sabe",0.02,0.02,0.019,0.116,0.052,0.109
"P41","La votaría",0.373,0.024,0.028,0.157,0.106,0.129
"P41","Puede que la vote",0.36,0.069,0.052,0.164,0.088,0.09
"P41","Nunca la votaría",0.179,0.878,0.9,0.584,0.759,0.653
"P41","No sabe",0.088,0.029,0.02,0.095,0.047,0.128
"P42","Lo votaría",0.058,0.553,0.242,0.048,0.431,0.311
"P42","Puede que lo vote",0.06,0.209,0.287,0.028,0.092,0.108
"P42","Nunca lo votaría",0.816,0.187,0.4,0.854,0.456,0.377
"P42","No sabe",0.066,0.051,0.071,0.07,0.021,0.204
"P43","Lo votaría",0.013,0.71,0.171,0.082,0.169,0.219
"P43","Puede que lo vote",0.051,0.217,0.345,0.011,0.286,0.224
"P43","Nunca lo votaría",0.894,0.045,0.442,0.881,0.504,0.401
"P43","No sabe",0.042,0.028,0.042,0.026,0.041,0.156
"P44","Lo votaría",0.011,0.132,0.491,0.034,0.045,0.019
"P44","Puede que lo vote",0.036,0.209,0.305,0.004,0.136,0.076
"P44","Nunca lo votaría",0.916,0.54,0.171,0.867,0.755,0.668
"P44","No sabe",0.037,0.119,0.033,0.095,0.064,0.237
"P45","Muy buena",0.751,0.02,0.096,0.267,0.154,0.168
"P45","Buena",0.109,0.041,0.058,0.076,0.041,0.075
"P45","Ni buena ni mala",0.126,0.144,0.048,0.277,0.195,0.179
"P45","Mala",0.009,0.141,0.119,0.075,0.101,0.117
"P45","Muy mala",0.005,0.647,0.674,0.285,0.475,0.399
"P45","No sabe",0,0.007,0.005,0.02,0.034,0.062
"P46","Muy buena",0.243,0.014,0.01,0.109,0.005,0.058
"P46","Buena",0.277,0.025,0.046,0.085,0.121,0.08
"P46","Ni buena ni mala",0.304,0.154,0.043,0.253,0.15,0.255
"P46","Mala",0.115,0.21,0.164,0.159,0.147,0.112
"P46","Muy mala",0.042,0.579,0.702,0.382,0.511,0.397
"P46","No sabe",0.019,0.018,0.035,0.012,0.066,0.098
"P47","Muy buena",0.029,0.266,0.129,0.075,0.286,0.162
"P47","Buena",0.048,0.32,0.226,0.068,0.158,0.149
"P47","Ni buena ni mala",0.215,0.204,0.256,0.204,0.259,0.253
"P47","Mala",0.294,0.044,0.064,0.173,0.062,0.117
"P47","Muy mala",0.347,0.112,0.22,0.456,0.17,0.098
"P47","No sabe",0.067,0.054,0.105,0.024,0.065,0.221
"P48","Muy buena",0.015,0.444,0.113,0.029,0.141,0.134
"P48","Buena",0.031,0.375,0.259,0.064,0.193,0.197
"P48","Ni buena ni mala",0.167,0.151,0.269,0.198,0.321,0.268
"P48","Mala",0.344,0.017,0.12,0.123,0.132,0.132
"P48","Muy mala",0.404,0.011,0.195,0.568,0.139,0.134
"P48","No sabe",0.039,0.002,0.044,0.018,0.074,0.135
"P49","Muy buena",0.018,0.059,0.257,0.02,0.047,0.02
"P49","Buena",0.022,0.118,0.307,0.022,0.026,0.048
"P49","Ni buena ni mala",0.175,0.435,0.284,0.134,0.407,0.242
"P49","Mala",0.23,0.087,0.019,0.117,0.123,0.203
"P49","Muy mala",0.45,0.116,0.054,0.649,0.27,0.132
"P49","No sabe",0.105,0.185,0.079,0.058,0.127,0.355
"P50","Siempre",0.327,0.402,0.338,0.258,0.265,0.289
"P50","Casi siempre",0.447,0.365,0.354,0.41,0.336,0.422
"P50","Casi nunca",0.144,0.188,0.244,0.183,0.319,0.135
"P50","Nunca, pero esta es una excepción",0.082,0.045,0.064,0.149,0.08,0.154
"P51","Si",0.581,0.52,0.562,0.433,0.557,0.486
"P51","No",0.419,0.48,0.438,0.567,0.443,0.514
