"var","categoria","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.485,0.055,0.333,0.047,0.068,0.22,0.227
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.109,0.458,0.353,0.257,0.076,0.026,0.055
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.026,0.339,0.05,0.59,0.055,0.074,0.032
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.073,0.004,0.046,0.001,0.738,0.078,0.026
"P33","En blanco",0.14,0.066,0.086,0.029,0.007,0.453,0.099
"P33","No sabe",0.167,0.078,0.132,0.076,0.056,0.149,0.561
"P34","Axel Kicillof por Unión por la Patria",0.849,0.046,0.551,0.055,0.14,0.324,0.425
"P34","Nestor Grindetti por Juntos por el Cambio",0.083,0.709,0.278,0.38,0.044,0.031,0.041
"P34","Guillermo Britos por la Libertad Avanza",0.018,0.178,0.047,0.459,0.008,0.007,0.014
"P34","Al candidato del Frente de Izquierda",0.014,0.007,0.01,0.001,0.716,0.051,0.004
"P34","En blanco",0.007,0.019,0.024,0.033,0.061,0.44,0.127
"P34","No sabe",0.029,0.041,0.09,0.072,0.031,0.147,0.389
"P35","Axel Kicillof por Unión por la Patria",0.843,0.054,0.562,0.05,0.149,0.349,0.391
"P35","Diego Santilli por Juntos por el Cambio",0.111,0.566,0.359,0.364,0.011,0.046,0.11
"P35","Guillermo Britos por la Libertad Avanza",0.016,0.26,0.041,0.455,0.012,0.008,0.02
"P35","Al candidato del Frente de Izquierda",0.008,0.005,0.008,0.001,0.735,0.029,0.018
"P35","En blanco",0.005,0.066,0.003,0.035,0.069,0.525,0.092
"P35","No sabe",0.017,0.049,0.027,0.095,0.024,0.043,0.369
"P36","Sergio Massa por Unión por la Patria",0.707,0.055,0.474,0.05,0.088,0.281,0.301
"P36","Nestor Grindetti por Juntos por el Cambio",0.094,0.692,0.292,0.379,0.023,0.083,0.081
"P36","Guillermo Britos por la Libertad Avanza",0.019,0.201,0.046,0.47,0.021,0.088,0.033
"P36","Al candidato del Frente de Izquierda",0.042,0.001,0.037,0.001,0.774,0.037,0.026
"P36","En blanco",0.051,0.017,0.06,0.03,0.062,0.448,0.089
"P36","No sabe",0.087,0.034,0.091,0.07,0.032,0.063,0.47
"P37","Sergio Massa por Unión por la Patria",0.693,0.053,0.471,0.035,0.079,0.218,0.331
"P37","Diego Santilli por Juntos por el Cambio",0.101,0.575,0.346,0.37,0.019,0.036,0.072
"P37","Guillermo Britos por la Libertad Avanza",0.017,0.25,0.043,0.488,0.095,0.025,0.027
"P37","Al candidato del Frente de Izquierda",0.042,0.005,0.037,0.002,0.775,0.157,0.026
"P37","En blanco",0.068,0.056,0.034,0.03,0.021,0.475,0.078
"P37","No sabe",0.079,0.061,0.069,0.075,0.011,0.089,0.466
"P38","Victoria Tolosa Paz por Unión por la Patria",0.506,0.048,0.369,0.035,0.092,0.241,0.241
"P38","Nestor Grindetti por Juntos por el Cambio",0.092,0.698,0.269,0.378,0.036,0.032,0.054
"P38","Guillermo Britos por la Libertad Avanza",0.025,0.192,0.057,0.49,0.071,0.009,0.048
"P38","Al candidato del Frente de Izquierda",0.078,0.013,0.049,0.007,0.722,0.216,0.033
"P38","En blanco",0.15,0.014,0.127,0.025,0.021,0.493,0.115
"P38","No sabe",0.149,0.035,0.129,0.065,0.058,0.009,0.509
"P39","Victoria Tolosa Paz por Unión por la Patria",0.494,0.047,0.375,0.048,0.059,0.177,0.276
"P39","Diego Santilli por Juntos por el Cambio",0.121,0.581,0.343,0.356,0.034,0.126,0.075
"P39","Guillermo Britos por la Libertad Avanza",0.019,0.252,0.051,0.478,0.024,0.009,0.046
"P39","Al candidato del Frente de Izquierda",0.073,0.001,0.043,0.001,0.804,0.059,0.043
"P39","En blanco",0.15,0.07,0.091,0.033,0.029,0.59,0.068
"P39","No sabe",0.143,0.049,0.097,0.084,0.05,0.039,0.492
"P40","Lo votaría",0.804,0.077,0.532,0.07,0.199,0.288,0.463
"P40","Puede que lo vote",0.032,0.069,0.096,0.067,0.116,0.167,0.035
"P40","Nunca lo votaría",0.14,0.839,0.352,0.844,0.596,0.374,0.338
"P40","No sabe",0.024,0.015,0.02,0.019,0.089,0.171,0.164
"P41","La votaría",0.33,0.042,0.212,0.052,0.094,0.14,0.196
"P41","Puede que la vote",0.316,0.074,0.254,0.045,0.151,0.05,0.172
"P41","Nunca la votaría",0.285,0.871,0.484,0.867,0.68,0.69,0.329
"P41","No sabe",0.069,0.013,0.05,0.036,0.075,0.12,0.303
"P42","Lo votaría",0.088,0.591,0.135,0.347,0.032,0,0.039
"P42","Puede que lo vote",0.063,0.189,0.206,0.218,0.055,0.136,0.101
"P42","Nunca lo votaría",0.795,0.182,0.596,0.35,0.882,0.75,0.536
"P42","No sabe",0.054,0.038,0.063,0.085,0.031,0.114,0.324
"P43","Lo votaría",0.099,0.46,0.263,0.3,0.017,0.009,0.069
"P43","Puede que lo vote",0.048,0.308,0.161,0.27,0.044,0.268,0.148
"P43","Nunca lo votaría",0.815,0.203,0.559,0.371,0.903,0.684,0.534
"P43","No sabe",0.038,0.029,0.017,0.059,0.036,0.039,0.249
"P44","Lo votaría",0.025,0.255,0.058,0.355,0.029,0.009,0.01
"P44","Puede que lo vote",0.028,0.265,0.163,0.203,0.071,0.116,0.031
"P44","Nunca lo votaría",0.897,0.41,0.711,0.368,0.839,0.855,0.625
"P44","No sabe",0.05,0.07,0.068,0.074,0.061,0.02,0.334
"P45","Muy buena",0.686,0.076,0.448,0.06,0.161,0.195,0.266
"P45","Buena",0.076,0.05,0.127,0.044,0.052,0.121,0.096
"P45","Ni buena ni mala",0.136,0.098,0.132,0.07,0.352,0.218,0.243
"P45","Mala",0.021,0.125,0.031,0.149,0.092,0.143,0.103
"P45","Muy mala",0.08,0.647,0.261,0.669,0.343,0.238,0.178
"P45","No sabe",0.001,0.004,0.001,0.008,0,0.085,0.114
"P46","Muy buena",0.219,0.031,0.102,0.006,0.044,0.121,0.163
"P46","Buena",0.216,0.041,0.233,0.047,0.088,0.123,0.105
"P46","Ni buena ni mala",0.298,0.07,0.262,0.088,0.312,0.252,0.292
"P46","Mala",0.15,0.186,0.105,0.179,0.131,0.155,0.064
"P46","Muy mala",0.106,0.649,0.282,0.656,0.409,0.186,0.158
"P46","No sabe",0.011,0.023,0.016,0.024,0.016,0.163,0.218
"P47","Muy buena",0.048,0.31,0.036,0.197,0,0.101,0.01
"P47","Buena",0.07,0.338,0.154,0.196,0.021,0.062,0.019
"P47","Ni buena ni mala",0.187,0.167,0.267,0.268,0.254,0.262,0.4
"P47","Mala",0.284,0.032,0.19,0.059,0.161,0.202,0.13
"P47","Muy mala",0.345,0.124,0.263,0.173,0.524,0.215,0.124
"P47","No sabe",0.066,0.029,0.09,0.107,0.04,0.158,0.317
"P48","Muy buena",0.076,0.267,0.15,0.215,0,0.106,0.042
"P48","Buena",0.051,0.343,0.188,0.275,0.025,0.056,0.077
"P48","Ni buena ni mala",0.13,0.243,0.176,0.242,0.248,0.222,0.356
"P48","Mala",0.295,0.056,0.242,0.088,0.075,0.346,0.174
"P48","Muy mala",0.406,0.072,0.226,0.149,0.628,0.098,0.15
"P48","No sabe",0.042,0.019,0.018,0.031,0.024,0.172,0.201
"P49","Muy buena",0.023,0.146,0.021,0.187,0.008,0.01,0.007
"P49","Buena",0.019,0.158,0.096,0.242,0.009,0.101,0.01
"P49","Ni buena ni mala",0.179,0.392,0.282,0.304,0.16,0.297,0.275
"P49","Mala",0.208,0.08,0.163,0.061,0.108,0.142,0.199
"P49","Muy mala",0.457,0.102,0.277,0.086,0.647,0.159,0.16
"P49","No sabe",0.114,0.122,0.161,0.12,0.068,0.291,0.349
"P50","Siempre",0.339,0.346,0.378,0.344,0.258,0.194,0.241
"P50","Casi siempre",0.431,0.364,0.416,0.367,0.377,0.357,0.436
"P50","Casi nunca",0.148,0.228,0.154,0.222,0.178,0.267,0.172
"P50","Nunca, pero esta es una excepción",0.082,0.062,0.052,0.067,0.187,0.182,0.151
"P51","Si",0.569,0.602,0.545,0.503,0.511,0.408,0.441
"P51","No",0.431,0.398,0.455,0.497,0.489,0.592,0.559
