"var","categoria","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.854,0.616,0.033,0.098,0.052,0.345,0.426,0.444
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.037,0.124,0.541,0.744,0.056,0.025,0.077,0.08
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.016,0.116,0.176,0.055,0.835,0.07,0.035,0.034
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.02,0.009,0.016,0.01,0.438,0.006,0.025
"P29","En blanco",0.022,0.062,0.066,0.02,0.015,0.047,0.377,0.075
"P29","No sabe",0.053,0.062,0.175,0.067,0.032,0.075,0.079,0.342
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.868,0.626,0.032,0.12,0.052,0.26,0.334,0.371
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.039,0.083,0.884,0.527,0.087,0.04,0.049,0.049
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.082,0.059,0.086,0.804,0.046,0.036,0.018
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.051,0,0.016,0.007,0.49,0.018,0.058
"P30","En blanco",0.02,0.08,0.002,0.107,0.006,0.044,0.477,0.081
"P30","No sabe",0.048,0.078,0.023,0.144,0.044,0.12,0.086,0.423
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.865,0.629,0.031,0.106,0.047,0.191,0.295,0.363
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.036,0.083,0.549,0.778,0.056,0.019,0.087,0.056
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.012,0.098,0.196,0.058,0.842,0.088,0.036,0.025
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.035,0.001,0.009,0.002,0.558,0.063,0.051
"P31","En blanco",0.022,0.066,0.093,0.005,0.014,0.061,0.442,0.072
"P31","No sabe",0.046,0.089,0.13,0.044,0.039,0.083,0.077,0.433
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.574,0.611,0.036,0.094,0.047,0.061,0.1,0.12
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.038,0.126,0.859,0.537,0.086,0.023,0.035,0.04
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.015,0.083,0.049,0.065,0.842,0.071,0.041,0.016
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.07,0.024,0.001,0.014,0.007,0.758,0.038,0.053
"P32","En blanco",0.121,0.045,0.03,0.122,0.006,0.018,0.597,0.126
"P32","No sabe",0.182,0.111,0.025,0.168,0.012,0.069,0.189,0.645
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.561,0.619,0.035,0.049,0.051,0.053,0.068,0.131
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.046,0.111,0.562,0.791,0.055,0.028,0.059,0.07
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.009,0.076,0.198,0.051,0.869,0.109,0.104,0.011
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.07,0.032,0.004,0.003,0,0.688,0.052,0.039
"P33","En blanco",0.137,0.064,0.072,0.048,0.011,0.051,0.595,0.119
"P33","No sabe",0.177,0.098,0.129,0.058,0.014,0.071,0.122,0.63
"P34","Axel Kicillof por Unión por la Patria",0.918,0.656,0.043,0.137,0.041,0.345,0.52,0.555
"P34","Nestor Grindetti por Juntos por el Cambio",0.031,0.163,0.853,0.582,0.115,0.032,0.036,0.019
"P34","Guillermo Britos por la Libertad Avanza",0.007,0.071,0.045,0.048,0.716,0.043,0.022,0.011
"P34","Al candidato del Frente de Izquierda",0.013,0.009,0.003,0.006,0.008,0.507,0.008,0.01
"P34","En blanco",0.009,0.042,0.012,0.072,0.054,0.028,0.276,0.062
"P34","No sabe",0.022,0.059,0.044,0.155,0.066,0.045,0.138,0.343
"P35","Axel Kicillof por Unión por la Patria",0.915,0.677,0.039,0.116,0.059,0.357,0.49,0.549
"P35","Diego Santilli por Juntos por el Cambio",0.035,0.151,0.717,0.77,0.102,0.024,0.169,0.105
"P35","Guillermo Britos por la Libertad Avanza",0.006,0.084,0.097,0.053,0.733,0.048,0,0.01
"P35","Al candidato del Frente de Izquierda",0.013,0.011,0.002,0,0.007,0.51,0.008,0.006
"P35","En blanco",0.01,0.042,0.069,0.005,0.037,0.053,0.259,0.066
"P35","No sabe",0.021,0.035,0.076,0.056,0.062,0.008,0.074,0.264
"P36","Sergio Massa por Unión por la Patria",0.85,0.593,0.038,0.086,0.054,0.145,0.196,0.249
"P36","Nestor Grindetti por Juntos por el Cambio",0.031,0.102,0.844,0.633,0.115,0.067,0.152,0.026
"P36","Guillermo Britos por la Libertad Avanza",0.004,0.088,0.06,0.055,0.747,0.097,0,0.026
"P36","Al candidato del Frente de Izquierda",0.019,0.058,0.001,0.01,0.008,0.667,0.029,0.051
"P36","En blanco",0.026,0.08,0.018,0.09,0.031,0.017,0.498,0.105
"P36","No sabe",0.07,0.079,0.039,0.126,0.045,0.007,0.125,0.543
"P37","Sergio Massa por Unión por la Patria",0.831,0.526,0.041,0.082,0.059,0.139,0.218,0.271
"P37","Diego Santilli por Juntos por el Cambio",0.037,0.125,0.713,0.77,0.107,0.027,0.085,0.089
"P37","Guillermo Britos por la Libertad Avanza",0.016,0.099,0.115,0.034,0.743,0.046,0,0.026
"P37","Al candidato del Frente de Izquierda",0.024,0.056,0.001,0.006,0.01,0.717,0.052,0.043
"P37","En blanco",0.031,0.101,0.057,0.019,0.031,0.012,0.518,0.126
"P37","No sabe",0.061,0.093,0.073,0.089,0.05,0.059,0.127,0.445
"P38","Victoria Tolosa Paz por Unión por la Patria",0.599,0.572,0.03,0.07,0.057,0.171,0.074,0.113
"P38","Nestor Grindetti por Juntos por el Cambio",0.041,0.079,0.861,0.607,0.093,0.037,0.104,0.025
"P38","Guillermo Britos por la Libertad Avanza",0.018,0.075,0.056,0.053,0.767,0.046,0.022,0.029
"P38","Al candidato del Frente de Izquierda",0.061,0.082,0.005,0.011,0.01,0.727,0.048,0.073
"P38","En blanco",0.134,0.098,0.013,0.124,0.025,0.014,0.577,0.189
"P38","No sabe",0.147,0.094,0.035,0.135,0.048,0.005,0.175,0.571
"P39","Victoria Tolosa Paz por Unión por la Patria",0.591,0.587,0.029,0.052,0.058,0.088,0.136,0.182
"P39","Diego Santilli por Juntos por el Cambio",0.039,0.138,0.712,0.78,0.113,0.101,0.11,0.095
"P39","Guillermo Britos por la Libertad Avanza",0.008,0.072,0.11,0.038,0.759,0.055,0,0.028
"P39","Al candidato del Frente de Izquierda",0.064,0.043,0.001,0.005,0.003,0.649,0.048,0.086
"P39","En blanco",0.143,0.088,0.071,0.038,0.028,0.096,0.592,0.113
"P39","No sabe",0.155,0.072,0.077,0.087,0.039,0.011,0.114,0.496
"P40","Lo votaría",0.894,0.584,0.064,0.134,0.068,0.342,0.45,0.591
"P40","Puede que lo vote",0.056,0.118,0.028,0.104,0.086,0.158,0.033,0.015
"P40","Nunca lo votaría",0.038,0.237,0.896,0.736,0.825,0.437,0.384,0.228
"P40","No sabe",0.012,0.061,0.012,0.026,0.021,0.063,0.133,0.166
"P41","La votaría",0.35,0.502,0.032,0.057,0.048,0.111,0.058,0.087
"P41","Puede que la vote",0.366,0.278,0.037,0.113,0.047,0.17,0.129,0.257
"P41","Nunca la votaría",0.189,0.198,0.922,0.796,0.878,0.67,0.648,0.388
"P41","No sabe",0.095,0.022,0.009,0.034,0.027,0.049,0.165,0.268
"P42","Lo votaría",0.05,0.117,0.693,0.252,0.183,0.053,0.04,0.012
"P42","Puede que lo vote",0.058,0.164,0.161,0.335,0.24,0.074,0.104,0.073
"P42","Nunca lo votaría",0.841,0.63,0.117,0.324,0.48,0.807,0.754,0.661
"P42","No sabe",0.051,0.089,0.029,0.089,0.097,0.066,0.102,0.254
"P43","Lo votaría",0.019,0.103,0.533,0.635,0.162,0.061,0.101,0.09
"P43","Puede que lo vote",0.04,0.195,0.311,0.225,0.262,0.104,0.177,0.041
"P43","Nunca lo votaría",0.901,0.646,0.114,0.115,0.532,0.815,0.685,0.699
"P43","No sabe",0.04,0.056,0.042,0.025,0.044,0.02,0.037,0.17
"P44","Lo votaría",0.01,0.054,0.148,0.104,0.544,0.043,0,0.011
"P44","Puede que lo vote",0.044,0.086,0.258,0.204,0.199,0.06,0.145,0.015
"P44","Nunca lo votaría",0.916,0.772,0.493,0.581,0.216,0.855,0.748,0.722
"P44","No sabe",0.03,0.088,0.101,0.111,0.041,0.042,0.107,0.252
"P45","Muy buena",0.722,0.503,0.047,0.055,0.127,0.256,0.437,0.474
"P45","Buena",0.104,0.188,0.032,0.09,0.028,0.13,0.039,0.044
"P45","Ni buena ni mala",0.147,0.131,0.071,0.162,0.07,0.284,0.229,0.227
"P45","Mala",0.007,0.03,0.129,0.114,0.144,0.079,0.125,0.05
"P45","Muy mala",0.019,0.132,0.715,0.575,0.625,0.251,0.103,0.12
"P45","No sabe",0.001,0.016,0.006,0.004,0.006,0,0.067,0.085
"P46","Muy buena",0.204,0.334,0.018,0.012,0.029,0.069,0.024,0.097
"P46","Buena",0.27,0.272,0.025,0.055,0.047,0.149,0.066,0.153
"P46","Ni buena ni mala",0.341,0.172,0.077,0.218,0.051,0.239,0.328,0.348
"P46","Mala",0.112,0.038,0.194,0.185,0.177,0.155,0.266,0.121
"P46","Muy mala",0.051,0.17,0.675,0.498,0.652,0.328,0.249,0.158
"P46","No sabe",0.022,0.014,0.011,0.032,0.044,0.06,0.067,0.123
"P47","Muy buena",0.023,0.059,0.366,0.124,0.094,0.052,0.005,0.006
"P47","Buena",0.035,0.174,0.368,0.238,0.13,0.054,0.125,0.017
"P47","Ni buena ni mala",0.234,0.214,0.15,0.327,0.289,0.151,0.307,0.226
"P47","Mala",0.304,0.227,0.031,0.071,0.065,0.2,0.123,0.192
"P47","Muy mala",0.327,0.281,0.062,0.129,0.285,0.512,0.354,0.271
"P47","No sabe",0.077,0.045,0.023,0.111,0.137,0.031,0.086,0.288
"P48","Muy buena",0.009,0.076,0.317,0.433,0.129,0.068,0.023,0.056
"P48","Buena",0.039,0.146,0.414,0.287,0.166,0.057,0.072,0.022
"P48","Ni buena ni mala",0.182,0.265,0.193,0.149,0.269,0.136,0.245,0.207
"P48","Mala",0.359,0.176,0.038,0.071,0.138,0.168,0.269,0.154
"P48","Muy mala",0.379,0.299,0.028,0.043,0.242,0.51,0.316,0.366
"P48","No sabe",0.032,0.038,0.01,0.017,0.056,0.061,0.075,0.195
"P49","Muy buena",0.006,0.054,0.083,0.065,0.278,0.032,0,0.011
"P49","Buena",0.035,0.052,0.124,0.099,0.3,0.095,0.026,0
"P49","Ni buena ni mala",0.183,0.287,0.426,0.368,0.21,0.078,0.267,0.291
"P49","Mala",0.234,0.164,0.104,0.071,0.04,0.141,0.149,0.144
"P49","Muy mala",0.422,0.329,0.101,0.174,0.091,0.537,0.438,0.308
"P49","No sabe",0.12,0.114,0.162,0.223,0.081,0.117,0.12,0.246
"P50","Siempre",0.342,0.262,0.374,0.367,0.355,0.252,0.16,0.301
"P50","Casi siempre",0.413,0.507,0.391,0.39,0.324,0.378,0.491,0.402
"P50","Casi nunca",0.158,0.154,0.186,0.19,0.256,0.158,0.291,0.136
"P50","Nunca, pero esta es una excepción",0.087,0.077,0.049,0.053,0.065,0.212,0.058,0.161
"P51","Si",0.549,0.629,0.534,0.521,0.591,0.521,0.371,0.483
"P51","No",0.451,0.371,0.466,0.479,0.409,0.479,0.629,0.517
