"var","categoria","Axel Kicillof por Unión por la Patria","Diego Santilli por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.06,0.814,0.011,0.138,0.164
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.005,0.004,0.828,0.026,0
"P28","En blanco",0.02,0.03,0.005,0,0.304,0.005
"P28","No sabe",0.048,0.054,0,0.065,0.065,0.416
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.899,0.011,0.018,0.083,0.018,0.068
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.019,0.731,0.041,0.011,0.118,0.115
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.022,0.113,0.916,0.016,0.216,0.199
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.01,0.001,0.791,0.01,0
"P29","En blanco",0.015,0.042,0.004,0.043,0.533,0.015
"P29","No sabe",0.035,0.093,0.02,0.056,0.105,0.603
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.87,0.028,0.012,0.082,0.028,0.091
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.007,0.806,0.163,0.011,0.383,0.325
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.01,0.067,0.82,0.018,0.201,0.173
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.005,0.001,0.784,0,0.004
"P30","En blanco",0.025,0.035,0,0.036,0.321,0.005
"P30","No sabe",0.066,0.059,0.004,0.069,0.067,0.402
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.857,0.02,0.014,0.076,0.015,0.079
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.012,0.738,0.027,0.05,0.047,0.103
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.022,0.118,0.936,0.004,0.181,0.202
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.011,0.004,0.815,0.002,0
"P31","En blanco",0.028,0.038,0.003,0.007,0.656,0.033
"P31","No sabe",0.058,0.075,0.016,0.048,0.099,0.583
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.556,0.037,0.012,0.096,0.099,0.1
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.013,0.802,0.149,0.053,0.341,0.332
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.018,0.055,0.836,0.004,0.129,0.171
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.082,0.005,0,0.813,0.039,0.005
"P32","En blanco",0.132,0.036,0.002,0.007,0.314,0.027
"P32","No sabe",0.199,0.065,0.001,0.027,0.078,0.365
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.537,0.036,0.007,0.041,0.092,0.103
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.024,0.739,0.033,0.062,0.067,0.106
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.011,0.12,0.95,0.011,0.222,0.202
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.079,0.005,0,0.777,0.039,0
"P33","En blanco",0.149,0.029,0.003,0.06,0.54,0.026
"P33","No sabe",0.2,0.071,0.007,0.049,0.04,0.563
"P34","Axel Kicillof por Unión por la Patria",0.97,0.016,0.009,0.016,0.026,0.08
"P34","Nestor Grindetti por Juntos por el Cambio",0.007,0.849,0.151,0.005,0.332,0.255
"P34","Guillermo Britos por la Libertad Avanza",0.004,0.029,0.806,0.007,0.039,0.048
"P34","Al candidato del Frente de Izquierda",0.003,0.004,0,0.936,0.005,0
"P34","En blanco",0.005,0.028,0.002,0,0.541,0.031
"P34","No sabe",0.011,0.074,0.032,0.036,0.057,0.586
"P36","Sergio Massa por Unión por la Patria",0.799,0.026,0.003,0.059,0.064,0.048
"P36","Nestor Grindetti por Juntos por el Cambio",0.009,0.868,0.127,0.01,0.324,0.283
"P36","Guillermo Britos por la Libertad Avanza",0.01,0.029,0.86,0.013,0.053,0.02
"P36","Al candidato del Frente de Izquierda",0.043,0.002,0,0.882,0.007,0
"P36","En blanco",0.048,0.026,0.005,0,0.509,0.027
"P36","No sabe",0.091,0.049,0.005,0.036,0.043,0.622
"P37","Sergio Massa por Unión por la Patria",0.773,0.031,0.006,0.071,0.053,0.064
"P37","Diego Santilli por Juntos por el Cambio",0.013,0.906,0.04,0.007,0.091,0.147
"P37","Guillermo Britos por la Libertad Avanza",0.01,0.028,0.944,0,0.057,0.018
"P37","Al candidato del Frente de Izquierda",0.051,0.004,0,0.886,0.008,0
"P37","En blanco",0.063,0.006,0.001,0,0.698,0.043
"P37","No sabe",0.09,0.025,0.009,0.036,0.093,0.728
"P38","Victoria Tolosa Paz por Unión por la Patria",0.574,0.025,0.009,0.023,0.12,0.089
"P38","Nestor Grindetti por Juntos por el Cambio",0.012,0.84,0.127,0.022,0.364,0.289
"P38","Guillermo Britos por la Libertad Avanza",0.01,0.044,0.851,0,0.087,0.012
"P38","Al candidato del Frente de Izquierda",0.08,0.006,0.002,0.904,0.05,0.017
"P38","En blanco",0.16,0.034,0.001,0,0.338,0.045
"P38","No sabe",0.164,0.051,0.01,0.051,0.041,0.548
"P39","Victoria Tolosa Paz por Unión por la Patria",0.567,0.027,0.015,0.011,0.12,0.118
"P39","Diego Santilli por Juntos por el Cambio",0.02,0.915,0.044,0.049,0.116,0.09
"P39","Guillermo Britos por la Libertad Avanza",0.008,0.032,0.926,0.028,0.059,0.016
"P39","Al candidato del Frente de Izquierda",0.076,0.001,0,0.804,0.042,0.003
"P39","En blanco",0.163,0.005,0.013,0.061,0.598,0.062
"P39","No sabe",0.166,0.02,0.002,0.047,0.065,0.711
"P40","Lo votaría",0.896,0.047,0.039,0.187,0.065,0.122
"P40","Puede que lo vote",0.057,0.05,0.102,0.124,0.072,0.04
"P40","Nunca lo votaría",0.019,0.887,0.849,0.607,0.798,0.656
"P40","No sabe",0.028,0.016,0.01,0.082,0.065,0.182
"P41","La votaría",0.373,0.02,0.012,0.127,0.045,0.106
"P41","Puede que la vote",0.333,0.079,0.056,0.135,0.068,0.04
"P41","Nunca la votaría",0.205,0.88,0.906,0.681,0.836,0.678
"P41","No sabe",0.089,0.021,0.026,0.057,0.051,0.176
"P42","Lo votaría",0.048,0.576,0.212,0.053,0.317,0.258
"P42","Puede que lo vote",0.056,0.219,0.294,0.03,0.157,0.092
"P42","Nunca lo votaría",0.835,0.16,0.417,0.857,0.464,0.328
"P42","No sabe",0.061,0.045,0.077,0.06,0.062,0.322
"P43","Lo votaría",0.015,0.699,0.098,0.057,0.018,0.118
"P43","Puede que lo vote",0.053,0.244,0.335,0.016,0.37,0.264
"P43","Nunca lo votaría",0.888,0.033,0.524,0.871,0.564,0.404
"P43","No sabe",0.044,0.024,0.043,0.056,0.048,0.214
"P44","Lo votaría",0.014,0.132,0.599,0.057,0.015,0.026
"P44","Puede que lo vote",0.038,0.251,0.227,0,0.213,0.1
"P44","Nunca lo votaría",0.903,0.511,0.169,0.846,0.653,0.541
"P44","No sabe",0.045,0.106,0.005,0.097,0.119,0.333
"P45","Muy buena",0.743,0.023,0.1,0.119,0.025,0.047
"P45","Buena",0.118,0.041,0.049,0.042,0.022,0.063
"P45","Ni buena ni mala",0.129,0.12,0.052,0.313,0.218,0.21
"P45","Mala",0.004,0.123,0.117,0.131,0.203,0.193
"P45","Muy mala",0.004,0.69,0.675,0.395,0.481,0.376
"P45","No sabe",0.002,0.003,0.007,0,0.051,0.111
"P46","Muy buena",0.226,0.017,0.006,0.067,0.007,0.052
"P46","Buena",0.272,0.024,0.036,0.08,0.05,0.102
"P46","Ni buena ni mala",0.301,0.133,0.044,0.265,0.196,0.192
"P46","Mala",0.113,0.202,0.165,0.114,0.165,0.125
"P46","Muy mala",0.055,0.613,0.717,0.447,0.517,0.41
"P46","No sabe",0.033,0.011,0.032,0.027,0.065,0.119
"P47","Muy buena",0.024,0.291,0.102,0.059,0.238,0.146
"P47","Buena",0.042,0.341,0.191,0.009,0.199,0.122
"P47","Ni buena ni mala",0.212,0.202,0.285,0.228,0.321,0.221
"P47","Mala",0.297,0.035,0.061,0.128,0.026,0.101
"P47","Muy mala",0.346,0.084,0.259,0.529,0.114,0.132
"P47","No sabe",0.079,0.047,0.102,0.047,0.102,0.278
"P48","Muy buena",0.011,0.427,0.094,0,0.072,0.081
"P48","Buena",0.028,0.41,0.204,0.064,0.148,0.186
"P48","Ni buena ni mala",0.171,0.141,0.288,0.232,0.456,0.328
"P48","Mala",0.329,0.011,0.149,0.117,0.153,0.124
"P48","Muy mala",0.409,0.007,0.231,0.563,0.105,0.1
"P48","No sabe",0.052,0.004,0.034,0.024,0.066,0.181
"P49","Muy buena",0.018,0.079,0.298,0,0.009,0.016
"P49","Buena",0.028,0.117,0.348,0.004,0.103,0.019
"P49","Ni buena ni mala",0.157,0.443,0.245,0.164,0.487,0.253
"P49","Mala",0.226,0.077,0.025,0.14,0.114,0.169
"P49","Muy mala",0.443,0.117,0.047,0.581,0.18,0.113
"P49","No sabe",0.128,0.167,0.037,0.111,0.107,0.43
"P50","Siempre",0.323,0.387,0.339,0.302,0.214,0.294
"P50","Casi siempre",0.44,0.359,0.364,0.39,0.374,0.417
"P50","Casi nunca",0.138,0.202,0.251,0.118,0.364,0.155
"P50","Nunca, pero esta es una excepción",0.099,0.052,0.046,0.19,0.048,0.134
"P51","Si",0.569,0.536,0.549,0.52,0.558,0.445
"P51","No",0.431,0.464,0.451,0.48,0.442,0.555
