"var","categoria","Horacio Rodríguez Larreta por Cambiemos","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales","Nicolás del Caño por la izquierda","Otro candidato"
"P23","Si",0.57,0.886,0.498,0.846,0.624
"P23","No",0.226,0.053,0.305,0.096,0.154
"P23","No sabe",0.204,0.061,0.197,0.058,0.222
"P24","El kirchnerismo",0.659,0.198,0.636,0.226,0.389
"P24","Cambiemos",0.093,0.328,0.097,0.273,0.179
"P24","Los medios de comunicación",0.082,0.344,0.033,0.38,0.187
"P24","Otros",0.07,0.057,0.12,0.037,0.097
"P24","No sabe",0.096,0.073,0.114,0.084,0.148
"P25","Sin deuda",0.306,0.352,0.247,0.329,0.292
"P25","Menos de 10%",0.188,0.183,0.155,0.214,0.138
"P25","Entre 10 y 20%",0.16,0.125,0.129,0.136,0.148
"P25","Entre 20 y 30%",0.112,0.054,0.125,0.1,0.131
"P25","Entre 30 y 40%",0.08,0.099,0.083,0.104,0.111
"P25","Mas del 40%",0.129,0.143,0.225,0.117,0.153
"P25","No sabe",0.025,0.044,0.036,0,0.027
"P26","Gran excedente habitual",0.01,0.003,0.004,0,0
"P26","Gran excedente excepcional",0.006,0.017,0.004,0,0.004
"P26","Pequeño excedente habitual",0.059,0.073,0.076,0.042,0.07
"P26","Pequeño excedente excepcional",0.059,0.077,0.056,0.071,0.057
"P26","Alcanza gastos familia",0.137,0.189,0.126,0.197,0.17
"P26","No alcanza gastos familia",0.158,0.124,0.169,0.158,0.183
"P26","Solo NBFamiliares",0.279,0.264,0.306,0.201,0.249
"P26","No alcanza NBFamiliares",0.282,0.24,0.254,0.323,0.261
"P26","No sabe",0.01,0.013,0.005,0.008,0.006
"P27","Muy buena",0.034,0.051,0.048,0.061,0.034
"P27","Buena",0.168,0.219,0.075,0.146,0.129
"P27","Ni buena ni mala",0.377,0.41,0.377,0.354,0.393
"P27","Mala",0.31,0.243,0.333,0.304,0.322
"P27","Muy mala",0.106,0.062,0.159,0.128,0.102
"P27","No sabe",0.005,0.015,0.008,0.007,0.02
"P28","Mejor",0.066,0.219,0.063,0.072,0.088
"P28","Igual",0.218,0.452,0.146,0.436,0.256
"P28","Peor",0.684,0.307,0.734,0.46,0.624
"P28","No sabe",0.032,0.022,0.057,0.032,0.032
"P29","Mejor",0.083,0.305,0.039,0.1,0.115
"P29","Igual",0.199,0.317,0.159,0.307,0.202
"P29","Peor",0.646,0.252,0.742,0.471,0.562
"P29","No sabe",0.072,0.126,0.06,0.122,0.121
"P30","Muy buena",0.039,0.033,0.08,0.071,0.048
"P30","Buena",0.054,0.16,0.014,0.052,0.048
"P30","Ni buena ni mala",0.098,0.326,0.016,0.162,0.123
"P30","Mala",0.242,0.325,0.193,0.364,0.311
"P30","Muy mala",0.566,0.139,0.697,0.335,0.462
"P30","No sabe",0.001,0.017,0,0.016,0.008
"P31","Muy buena",0.149,0.522,0.027,0.301,0.189
"P31","Buena",0.046,0.155,0.014,0.242,0.089
"P31","Ni buena ni mala",0.026,0.09,0.078,0.186,0.104
"P31","Mala",0.078,0.043,0.068,0.084,0.065
"P31","Muy mala",0.7,0.184,0.812,0.178,0.548
"P31","No sabe",0.001,0.006,0.001,0.009,0.005
"P32","Muy buena",0.045,0.229,0.011,0.027,0.035
"P32","Buena",0.11,0.363,0.025,0.141,0.095
"P32","Ni buena ni mala",0.08,0.187,0.086,0.349,0.225
"P32","Mala",0.184,0.07,0.132,0.251,0.187
"P32","Muy mala",0.58,0.149,0.745,0.232,0.449
"P32","No sabe",0.001,0.002,0.001,0,0.009
"P33","Muy buena",0.05,0.125,0.026,0.04,0.027
"P33","Buena",0.075,0.247,0.036,0.076,0.085
"P33","Ni buena ni mala",0.15,0.313,0.09,0.235,0.26
"P33","Mala",0.204,0.124,0.194,0.274,0.199
"P33","Muy mala",0.516,0.159,0.633,0.346,0.398
"P33","No sabe",0.005,0.032,0.021,0.029,0.031
"P34","Muy buena",0.126,0.401,0.033,0.281,0.154
"P34","Buena",0.083,0.233,0.047,0.199,0.101
"P34","Ni buena ni mala",0.062,0.127,0.065,0.16,0.139
"P34","Mala",0.108,0.044,0.115,0.119,0.111
"P34","Muy mala",0.619,0.191,0.737,0.212,0.473
"P34","No sabe",0.002,0.004,0.003,0.029,0.022
"P35","Muy buena",0.216,0.071,0.091,0.098,0.067
"P35","Buena",0.244,0.073,0.182,0.02,0.085
"P35","Ni buena ni mala",0.207,0.052,0.303,0.072,0.216
"P35","Mala",0.12,0.098,0.167,0.079,0.183
"P35","Muy mala",0.212,0.698,0.251,0.731,0.428
"P35","No sabe",0.001,0.008,0.006,0,0.021
"P36","Muy buena",0.27,0.072,0.099,0.059,0.06
"P36","Buena",0.356,0.075,0.178,0.093,0.188
"P36","Ni buena ni mala",0.146,0.164,0.333,0.117,0.298
"P36","Mala",0.069,0.212,0.181,0.238,0.163
"P36","Muy mala",0.154,0.451,0.192,0.489,0.248
"P36","No sabe",0.005,0.026,0.017,0.004,0.043
"P37","Muy buena",0.261,0.058,0.12,0.023,0.055
"P37","Buena",0.31,0.067,0.167,0.037,0.14
"P37","Ni buena ni mala",0.181,0.062,0.238,0.118,0.233
"P37","Mala",0.073,0.159,0.188,0.232,0.152
"P37","Muy mala",0.175,0.642,0.267,0.558,0.39
"P37","No sabe",0,0.012,0.02,0.032,0.03
"P38","Muy buena",0.081,0.033,0.514,0.059,0.041
"P38","Buena",0.188,0.081,0.21,0.065,0.091
"P38","Ni buena ni mala",0.363,0.161,0.142,0.071,0.274
"P38","Mala",0.129,0.096,0.025,0.182,0.139
"P38","Muy mala",0.209,0.551,0.092,0.568,0.396
"P38","No sabe",0.03,0.078,0.017,0.055,0.059
"P39","Muy buena",0.398,0.098,0.361,0.073,0.177
"P39","Buena",0.225,0.037,0.305,0,0.125
"P39","Ni buena ni mala",0.144,0.059,0.151,0.013,0.156
"P39","Mala",0.063,0.088,0.078,0.11,0.095
"P39","Muy mala",0.156,0.661,0.095,0.785,0.402
"P39","No sabe",0.014,0.057,0.01,0.019,0.045
"P40","Muy buena",0.02,0.107,0.023,0.123,0.039
"P40","Buena",0.137,0.269,0.076,0.08,0.113
"P40","Ni buena ni mala",0.271,0.348,0.167,0.25,0.244
"P40","Mala",0.324,0.155,0.297,0.247,0.304
"P40","Muy mala",0.229,0.088,0.405,0.274,0.261
"P40","No sabe",0.019,0.033,0.032,0.026,0.039
"P41","Muy buena",0.027,0.021,0.019,0,0.028
"P41","Buena",0.121,0.068,0.042,0.07,0.054
"P41","Ni buena ni mala",0.214,0.141,0.201,0.055,0.151
"P41","Mala",0.28,0.255,0.249,0.145,0.263
"P41","Muy mala",0.35,0.463,0.456,0.684,0.445
"P41","No sabe",0.008,0.052,0.033,0.046,0.059
