"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Cambiemos","Javier Milei por los liberales","Nicolás del Caño por la izquierda","Otro candidato"
"P12","No sabe",0.157,0.064,0.021,0,0.037
"P13","Lo votaría",0.233,0.208,0.283,0.489,0.412
"P13","Puede que lo vote",0.084,0.405,0.226,0,0.304
"P13","Nunca lo votaría",0.518,0.295,0.469,0.436,0.249
"P13","No sabe",0.165,0.092,0.022,0.075,0.035
"P14","La votaría",0.242,0.64,0.492,0.294,0.416
"P14","Puede que la vote",0.101,0.257,0.269,0.43,0.315
"P14","Nunca la votaría",0.56,0.065,0.22,0.136,0.24
"P14","No sabe",0.097,0.038,0.019,0.14,0.029
"P15","Lo votaría",0.116,0.168,0.611,0.071,0.077
"P15","Puede que lo vote",0.119,0.286,0.268,0.3,0.188
"P15","Nunca lo votaría",0.668,0.507,0.11,0.629,0.684
"P15","No sabe",0.097,0.039,0.011,0,0.051
"P16","Sí, lo votaría",0.028,0.822,0.401,0.029,0.11
"P16","Puede que lo vote",0.025,0.148,0.23,0.092,0.169
"P16","Nunca lo votaría",0.922,0.021,0.31,0.834,0.592
"P16","No sabe",0.025,0.009,0.059,0.045,0.129
"P17","Sí, la votaría",0.779,0.127,0.075,0.109,0.048
"P17","Puede que la vote",0.109,0.037,0.037,0.201,0.138
"P17","Nunca la votaría",0.107,0.831,0.859,0.604,0.717
"P17","No sabe",0.005,0.005,0.029,0.086,0.097
"P19","Horacio Rodríguez Larreta por Cambiemos",0.171,0.633,0.116,0.135,0.177
"P19","Alberto Fernández por el Frente de Todos",0.617,0.183,0.007,0.125,0.108
"P19","Javier Milei por los liberales",0.014,0.075,0.854,0.016,0.024
"P19","Nicolás del Caño por la izquierda",0.045,0.002,0.004,0.695,0.007
"P19","Otro candidato",0.153,0.107,0.019,0.029,0.684
"P20","Mauricio Macri presidente Javier Milei vice",0.045,0.756,0.634,0.038,0.145
"P20","Sergio Massa presidente Gerardo Morales vice",0.346,0.012,0.053,0.039,0.152
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.108,0.01,0.032,0.772,0.041
"P20","No sabe",0.501,0.222,0.281,0.151,0.662
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.021,0.875,0.226,0.038,0.1
"P21","Alberto Fernández presidente Sergio Massa vice",0.404,0.003,0.013,0.101,0.119
"P21","Javier Milei presidente José Luis Espert vice",0.016,0.011,0.662,0.17,0.084
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.072,0.095,0.083,0.13,0.268
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.469,0.002,0,0.129,0.044
"P21","Otros candidatos",0.018,0.014,0.016,0.432,0.385
"P22","Muy buena",0.15,0.056,0.019,0.066,0.042
"P22","Buena",0.423,0.005,0.013,0.128,0.072
"P22","Ni buena ni mala",0.258,0.018,0.061,0.218,0.135
"P22","Mala",0.112,0.169,0.147,0.336,0.235
"P22","Muy mala",0.05,0.748,0.76,0.21,0.475
"P22","No sabe",0.007,0.004,0,0.042,0.041
"P23","Si",0.88,0.512,0.521,0.794,0.602
"P23","No",0.052,0.238,0.3,0.076,0.191
"P23","No sabe",0.068,0.25,0.179,0.13,0.207
"P24","El kirchnerismo",0.126,0.733,0.652,0.447,0.484
"P24","Cambiemos",0.358,0.056,0.077,0.196,0.144
"P24","Los medios de comunicación",0.381,0.044,0.033,0.194,0.123
"P24","Otros",0.053,0.074,0.124,0.05,0.099
"P24","No sabe",0.082,0.093,0.114,0.113,0.15
"P25","Sin deuda",0.366,0.307,0.237,0.334,0.258
"P25","Menos de 10%",0.175,0.211,0.15,0.17,0.131
"P25","Entre 10 y 20%",0.116,0.154,0.115,0.172,0.196
"P25","Entre 20 y 30%",0.06,0.116,0.141,0.108,0.116
"P25","Entre 30 y 40%",0.084,0.087,0.085,0.086,0.13
"P25","Mas del 40%",0.156,0.102,0.236,0.13,0.144
"P25","No sabe",0.043,0.023,0.036,0,0.025
"P26","Gran excedente habitual",0.005,0.005,0.005,0,0.003
"P26","Gran excedente excepcional",0.018,0.002,0.002,0,0.004
"P26","Pequeño excedente habitual",0.083,0.044,0.071,0.037,0.073
"P26","Pequeño excedente excepcional",0.068,0.066,0.055,0.021,0.066
"P26","Alcanza gastos familia",0.215,0.139,0.125,0.155,0.113
"P26","No alcanza gastos familia",0.122,0.144,0.164,0.181,0.226
"P26","Solo NBFamiliares",0.253,0.276,0.308,0.352,0.247
"P26","No alcanza NBFamiliares",0.224,0.313,0.266,0.243,0.263
"P26","No sabe",0.012,0.011,0.004,0.011,0.005
"P27","Muy buena",0.048,0.029,0.046,0.05,0.043
"P27","Buena",0.242,0.121,0.078,0.191,0.12
"P27","Ni buena ni mala",0.405,0.387,0.365,0.344,0.388
"P27","Mala",0.223,0.337,0.348,0.359,0.321
"P27","Muy mala",0.072,0.112,0.155,0.056,0.104
"P27","No sabe",0.01,0.014,0.008,0,0.024
"P28","Mejor",0.212,0.047,0.059,0.084,0.078
"P28","Igual",0.516,0.119,0.145,0.42,0.207
"P28","Peor",0.246,0.805,0.739,0.488,0.681
"P28","No sabe",0.026,0.029,0.057,0.008,0.034
"P29","Mejor",0.323,0.024,0.039,0.107,0.087
"P29","Igual",0.355,0.148,0.159,0.297,0.163
"P29","Peor",0.201,0.768,0.743,0.471,0.612
"P29","No sabe",0.121,0.06,0.059,0.125,0.138
"P30","Muy buena",0.034,0.045,0.088,0.022,0.04
"P30","Buena",0.171,0.022,0.015,0.074,0.026
"P30","Ni buena ni mala",0.348,0.034,0.017,0.169,0.09
"P30","Mala",0.342,0.208,0.207,0.443,0.302
"P30","Muy mala",0.09,0.69,0.672,0.281,0.535
"P30","No sabe",0.015,0.001,0.001,0.011,0.007
"P31","Muy buena",0.647,0.009,0.021,0.062,0.06
"P31","Buena",0.182,0.017,0.014,0.243,0.055
"P31","Ni buena ni mala",0.09,0.017,0.072,0.185,0.13
"P31","Mala",0.021,0.07,0.072,0.179,0.116
"P31","Muy mala",0.055,0.887,0.82,0.317,0.632
"P31","No sabe",0.005,0,0.001,0.014,0.007
"P32","Muy buena",0.209,0.005,0.011,0.048,0.056
"P32","Buena",0.383,0.025,0.031,0.1,0.083
"P32","Ni buena ni mala",0.251,0.038,0.086,0.291,0.17
"P32","Mala",0.095,0.156,0.152,0.26,0.199
"P32","Muy mala",0.056,0.775,0.719,0.301,0.49
"P32","No sabe",0.006,0.001,0.001,0,0.002
"P33","Muy buena",0.118,0.02,0.028,0.095,0.04
"P33","Buena",0.257,0.012,0.039,0.079,0.091
"P33","Ni buena ni mala",0.362,0.085,0.091,0.191,0.219
"P33","Mala",0.136,0.199,0.209,0.31,0.206
"P33","Muy mala",0.09,0.678,0.613,0.313,0.428
"P33","No sabe",0.037,0.006,0.02,0.012,0.016
"P34","Muy buena",0.507,0.027,0.021,0.11,0.035
"P34","Buena",0.259,0.024,0.054,0.112,0.086
"P34","Ni buena ni mala",0.123,0.041,0.067,0.219,0.162
"P34","Mala",0.029,0.112,0.114,0.264,0.149
"P34","Muy mala",0.075,0.794,0.741,0.283,0.538
"P34","No sabe",0.007,0.002,0.003,0.012,0.03
"P35","Muy buena",0.037,0.348,0.061,0.032,0.027
"P35","Buena",0.022,0.343,0.168,0.05,0.086
"P35","Ni buena ni mala",0.041,0.192,0.318,0.142,0.275
"P35","Mala",0.12,0.041,0.201,0.103,0.218
"P35","Muy mala",0.771,0.074,0.247,0.636,0.379
"P35","No sabe",0.009,0.002,0.005,0.037,0.015
"P36","Muy buena",0.033,0.297,0.114,0.096,0.103
"P36","Buena",0.05,0.386,0.192,0.105,0.24
"P36","Ni buena ni mala",0.129,0.192,0.33,0.125,0.316
"P36","Mala",0.232,0.056,0.172,0.236,0.118
"P36","Muy mala",0.523,0.064,0.176,0.427,0.187
"P36","No sabe",0.033,0.005,0.016,0.011,0.036
"P37","Muy buena",0.024,0.3,0.121,0.059,0.087
"P37","Buena",0.017,0.385,0.179,0.094,0.154
"P37","Ni buena ni mala",0.057,0.195,0.242,0.113,0.266
"P37","Mala",0.174,0.048,0.187,0.282,0.149
"P37","Muy mala",0.719,0.071,0.251,0.452,0.301
"P37","No sabe",0.009,0.001,0.02,0,0.043
"P38","Muy buena",0.037,0.071,0.509,0.038,0.051
"P38","Buena",0.047,0.214,0.225,0.074,0.115
"P38","Ni buena ni mala",0.086,0.45,0.14,0.145,0.333
"P38","Mala",0.1,0.104,0.035,0.258,0.163
"P38","Muy mala",0.661,0.134,0.077,0.452,0.259
"P38","No sabe",0.069,0.027,0.014,0.033,0.079
"P39","Muy buena",0.016,0.578,0.337,0.045,0.162
"P39","Buena",0.02,0.24,0.309,0.042,0.158
"P39","Ni buena ni mala",0.049,0.102,0.177,0.088,0.219
"P39","Mala",0.096,0.032,0.072,0.195,0.119
"P39","Muy mala",0.779,0.022,0.095,0.63,0.288
"P39","No sabe",0.04,0.026,0.01,0,0.054
"P40","Muy buena",0.105,0.021,0.026,0.023,0.028
"P40","Buena",0.288,0.103,0.076,0.091,0.073
"P40","Ni buena ni mala",0.345,0.269,0.159,0.324,0.23
"P40","Mala",0.153,0.362,0.288,0.238,0.32
"P40","Muy mala",0.078,0.23,0.421,0.278,0.301
"P40","No sabe",0.031,0.015,0.03,0.046,0.048
"P41","Muy buena",0.02,0.035,0.023,0,0.015
"P41","Buena",0.055,0.119,0.049,0.094,0.076
"P41","Ni buena ni mala",0.104,0.256,0.184,0.115,0.179
"P41","Mala",0.197,0.315,0.244,0.332,0.319
"P41","Muy mala",0.576,0.266,0.463,0.437,0.354
"P41","No sabe",0.048,0.009,0.037,0.022,0.057
