"var","categoria","El kirchnerismo","Cambiemos","Los medios de comunicación","Otros","No sabe"
"P32","Mala",0.132,0.097,0.149,0.166,0.211
"P32","Muy mala",0.708,0.204,0.106,0.515,0.415
"P32","No sabe",0.002,0,0.001,0,0.017
"P33","Muy buena",0.022,0.117,0.101,0.057,0.049
"P33","Buena",0.055,0.196,0.251,0.082,0.04
"P33","Ni buena ni mala",0.096,0.311,0.328,0.163,0.314
"P33","Mala",0.211,0.149,0.137,0.24,0.138
"P33","Muy mala",0.606,0.192,0.15,0.426,0.445
"P33","No sabe",0.01,0.035,0.033,0.032,0.014
"P34","Muy buena",0.052,0.4,0.427,0.121,0.125
"P34","Buena",0.063,0.207,0.231,0.076,0.107
"P34","Ni buena ni mala",0.052,0.114,0.134,0.155,0.176
"P34","Mala",0.1,0.051,0.049,0.158,0.109
"P34","Muy mala",0.73,0.227,0.146,0.48,0.458
"P34","No sabe",0.003,0.001,0.013,0.01,0.025
"P35","Muy buena",0.169,0.068,0.061,0.09,0.051
"P35","Buena",0.239,0.045,0.042,0.132,0.107
"P35","Ni buena ni mala",0.245,0.072,0.055,0.214,0.266
"P35","Mala",0.147,0.09,0.104,0.169,0.197
"P35","Muy mala",0.194,0.72,0.737,0.371,0.354
"P35","No sabe",0.006,0.005,0.001,0.024,0.025
"P36","Muy buena",0.191,0.07,0.045,0.127,0.109
"P36","Buena",0.294,0.063,0.096,0.218,0.144
"P36","Ni buena ni mala",0.252,0.139,0.14,0.237,0.339
"P36","Mala",0.123,0.203,0.218,0.103,0.162
"P36","Muy mala",0.134,0.497,0.484,0.252,0.193
"P36","No sabe",0.006,0.028,0.017,0.063,0.053
"P37","Muy buena",0.187,0.051,0.055,0.147,0.078
"P37","Buena",0.276,0.046,0.04,0.152,0.143
"P37","Ni buena ni mala",0.231,0.076,0.069,0.144,0.238
"P37","Mala",0.112,0.139,0.148,0.187,0.229
"P37","Muy mala",0.188,0.679,0.678,0.335,0.271
"P37","No sabe",0.006,0.009,0.01,0.035,0.041
"P38","Muy buena",0.216,0.079,0.051,0.215,0.159
"P38","Buena",0.191,0.099,0.058,0.123,0.145
"P38","Ni buena ni mala",0.303,0.106,0.112,0.263,0.286
"P38","Mala",0.103,0.088,0.096,0.093,0.09
"P38","Muy mala",0.16,0.575,0.627,0.249,0.229
"P38","No sabe",0.027,0.053,0.056,0.057,0.091
"P39","Muy buena",0.405,0.079,0.052,0.261,0.207
"P39","Buena",0.245,0.084,0.042,0.174,0.145
"P39","Ni buena ni mala",0.149,0.047,0.041,0.185,0.192
"P39","Mala",0.064,0.092,0.099,0.052,0.128
"P39","Muy mala",0.116,0.665,0.746,0.277,0.261
"P39","No sabe",0.021,0.033,0.02,0.051,0.067
"P40","Muy buena",0.022,0.087,0.106,0.069,0.023
"P40","Buena",0.1,0.246,0.246,0.117,0.093
"P40","Ni buena ni mala",0.226,0.283,0.333,0.253,0.258
"P40","Mala",0.324,0.212,0.199,0.272,0.233
"P40","Muy mala",0.31,0.151,0.096,0.249,0.305
"P40","No sabe",0.018,0.021,0.02,0.04,0.088
"P41","Muy buena",0.025,0.011,0.015,0.043,0.045
"P41","Buena",0.094,0.056,0.042,0.079,0.061
"P41","Ni buena ni mala",0.212,0.111,0.105,0.144,0.236
"P41","Mala",0.28,0.214,0.267,0.275,0.241
"P41","Muy mala",0.369,0.571,0.526,0.427,0.334
"P41","No sabe",0.02,0.037,0.045,0.032,0.083
