"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.152,0.008,0.001,0.309,0.156,0.181,0.064,0.049
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.027,0.709,0.057,0.087,0.091,0.06,0.025,0.067
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.006,0.187,0.083,0.096,0.145,0.321,0.183,0.104
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.019,0.05,0.811,0,0.119,0.094,0.065,0.026
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.012,0.006,0.008,0.269,0,0.008,0,0.025
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.001,0.001,0.001,0,0.308,0.017,0.094,0.004
"P15","Otros",0.016,0.009,0.011,0.007,0.039,0.19,0.139,0.124
"P15","En blanco",0.002,0,0.001,0.012,0.075,0,0.325,0.079
"P15","No sabe",0.011,0.01,0.013,0,0.056,0.026,0.056,0.432
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.598,0.031,0.037,0.196,0.09,0.189,0.053,0.086
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.21,0.026,0.012,0.266,0.063,0.095,0.051,0.063
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.046,0.574,0.376,0.072,0.189,0.103,0.252,0.052
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.046,0.22,0.124,0.079,0.214,0.2,0.075,0.181
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.041,0.109,0.389,0.069,0.083,0.101,0.017,0.008
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.002,0.004,0.243,0.021,0.029,0.025,0.03
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.007,0.001,0.008,0.006,0.212,0,0.093,0.006
"P24","Otros",0.011,0.012,0.01,0.051,0.046,0.236,0,0.046
"P24","En blanco",0.005,0.007,0.025,0.018,0.065,0.011,0.354,0.081
"P24","No sabe",0.015,0.018,0.015,0,0.017,0.036,0.08,0.447
"P25","Totalmente seguro",0.687,0.652,0.68,0.545,0.353,0.512,0.421,0.225
"P25","Bastante seguro",0.149,0.221,0.142,0.244,0.203,0.242,0.135,0.096
"P25","Algo seguro",0.087,0.076,0.117,0.135,0.168,0.154,0.07,0.174
"P25","Para nada seguro",0.077,0.051,0.061,0.076,0.276,0.092,0.374,0.505
"P26","Tiene Decidido que va a ir a votar",0.929,0.913,0.896,0.751,0.669,0.884,0.732,0.854
"P26","Tiene dudas sobre si va a ir a  votar",0.058,0.069,0.083,0.204,0.161,0.104,0.192,0.11
"P26","Tiene Decidido que no va a ir a votar",0.013,0.018,0.021,0.045,0.17,0.012,0.076,0.036
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.944,0.016,0.011,0.158,0.035,0.149,0.058,0.066
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.02,0.731,0.061,0.174,0.379,0.425,0.137,0.173
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.011,0.123,0.869,0,0.054,0.064,0.04,0.012
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.004,0.003,0.001,0.555,0.019,0.006,0,0.005
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.001,0.003,0.015,0.041,0.426,0.006,0.02,0.02
"P32","Otros",0.005,0.048,0.027,0.023,0.007,0.302,0.108,0.06
"P32","En blanco",0.001,0.035,0.003,0.036,0.039,0.024,0.501,0.069
"P32","No sabe",0.014,0.041,0.013,0.013,0.041,0.024,0.136,0.595
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.897,0.062,0.059,0.572,0.264,0.239,0.106,0.078
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.016,0.889,0.629,0.038,0.297,0.341,0.277,0.187
"P33","En blanco",0.057,0.024,0.226,0.355,0.201,0.295,0.509,0.144
"P33","No sabe",0.03,0.025,0.086,0.035,0.238,0.125,0.108,0.591
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.12,0.861,0.138,0.187,0.249,0.216,0.194,0.214
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.066,0.094,0.797,0.027,0.231,0.22,0.106,0.007
"P34","En blanco",0.643,0.027,0.048,0.638,0.235,0.333,0.597,0.15
"P34","No sabe",0.171,0.018,0.017,0.148,0.285,0.231,0.103,0.629
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.929,0.07,0.06,0.445,0.069,0.245,0.108,0.088
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.018,0.691,0.446,0.045,0.43,0.469,0.288,0.273
"P35","En blanco",0.024,0.128,0.358,0.458,0.283,0.141,0.459,0.146
"P35","No sabe",0.029,0.111,0.136,0.052,0.218,0.145,0.145,0.493
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.143,0.61,0.095,0.186,0.348,0.474,0.339,0.131
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.058,0.206,0.823,0.028,0.21,0.118,0,0.103
"P36","En blanco",0.625,0.073,0.061,0.641,0.25,0.24,0.503,0.177
"P36","No sabe",0.174,0.111,0.021,0.145,0.192,0.168,0.158,0.589
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.93,0.08,0.064,0.503,0.286,0.227,0.165,0.139
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.024,0.417,0.876,0.046,0.332,0.298,0.101,0.05
"P37","En blanco",0.025,0.263,0.056,0.342,0.253,0.311,0.528,0.231
"P37","No sabe",0.021,0.24,0.004,0.109,0.129,0.164,0.206,0.58
"P45","Lo votaría",0.889,0.072,0.044,0.263,0.128,0.117,0.192,0.055
"P45","Puede que lo vote",0.043,0.121,0.128,0.255,0.142,0.165,0.081,0.115
"P45","Nunca lo votaría",0.045,0.79,0.794,0.369,0.638,0.649,0.51,0.464
"P45","No sabe",0.023,0.017,0.034,0.113,0.092,0.069,0.217,0.366
"P46","Lo votaría",0.55,0.038,0.046,0.597,0.02,0.189,0.131,0.074
"P46","Puede que lo vote",0.255,0.027,0.026,0.18,0.225,0.088,0.022,0.137
"P46","Nunca lo votaría",0.137,0.927,0.894,0.213,0.646,0.669,0.696,0.439
"P46","No sabe",0.058,0.008,0.034,0.01,0.109,0.054,0.151,0.35
"P47","Lo votaría",0.084,0.751,0.26,0.117,0.047,0.055,0.059,0.105
"P47","Puede que lo vote",0.043,0.086,0.395,0.095,0.267,0.403,0.14,0.254
"P47","Nunca lo votaría",0.856,0.152,0.313,0.764,0.514,0.492,0.65,0.393
"P47","No sabe",0.017,0.011,0.032,0.024,0.172,0.05,0.151,0.248
"P48","Lo votaría",0.03,0.548,0.181,0.161,0.236,0.421,0.275,0.162
"P48","Puede que lo vote",0.034,0.275,0.271,0.027,0.378,0.102,0.039,0.218
"P48","Nunca lo votaría",0.889,0.129,0.5,0.788,0.292,0.469,0.535,0.33
"P48","No sabe",0.047,0.048,0.048,0.024,0.094,0.008,0.151,0.29
"P49","Lo votaría",0.035,0.217,0.767,0.11,0.152,0.176,0.092,0.028
"P49","Puede que lo vote",0.023,0.289,0.163,0.036,0.19,0.2,0.026,0.093
"P49","Nunca lo votaría",0.924,0.442,0.07,0.83,0.477,0.603,0.714,0.557
"P49","No sabe",0.018,0.052,0,0.024,0.181,0.021,0.168,0.322
"P50","Lo votaría",0.079,0.026,0.115,0.477,0.088,0.039,0,0.007
"P50","Puede que lo vote",0.321,0.053,0.064,0.268,0.033,0.158,0.087,0.165
"P50","Nunca lo votaría",0.542,0.892,0.795,0.246,0.686,0.715,0.745,0.572
"P50","No sabe",0.058,0.029,0.026,0.009,0.193,0.088,0.168,0.256
"P51","Lo votaría",0.02,0.014,0.042,0.082,0.406,0.005,0,0.037
"P51","Puede que lo vote",0.153,0.131,0.111,0.183,0.313,0.131,0.024,0.205
"P51","Nunca lo votaría",0.765,0.789,0.789,0.715,0.147,0.785,0.784,0.516
"P51","No sabe",0.062,0.066,0.058,0.02,0.134,0.079,0.192,0.242
"P52","Si",0.545,0.498,0.513,0.482,0.575,0.409,0.463,0.474
"P52","No",0.455,0.502,0.487,0.518,0.425,0.591,0.537,0.526
