"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Ramon Rioseco","Mala",0.197,0.205,0.188,0.207,0.185,0.23,0.166,0.134,0.199,0.238,0.178,0.199,0.227,0.228,0.144,0.25,0.215,0.179
"Ramon Rioseco","Muy mala",0.13,0.145,0.116,0.107,0.152,0.122,0.098,0.107,0.116,0.165,0.119,0.087,0.027,0.41,0.063,0.176,0.162,0.1
"Ramon Rioseco","No sabe",0.031,0.009,0.053,0.065,0.031,0.005,0.039,0.056,0.032,0.011,0.027,0.028,0.029,0,0.012,0.035,0.046,0.016
"Karina Milei","Muy buena",0.168,0.182,0.155,0.162,0.188,0.148,0.149,0.222,0.173,0.125,0.196,0.114,0.105,0.291,0.062,0.269,0.154,0.183
"Karina Milei","Buena",0.153,0.142,0.163,0.148,0.159,0.127,0.182,0.171,0.165,0.124,0.143,0.211,0.129,0.167,0.067,0.228,0.13,0.174
"Karina Milei","Ni buena ni mala",0.268,0.328,0.209,0.287,0.24,0.276,0.325,0.265,0.286,0.247,0.293,0.264,0.169,0.26,0.177,0.347,0.273,0.263
"Karina Milei","Mala",0.145,0.133,0.157,0.097,0.162,0.166,0.102,0.147,0.151,0.135,0.175,0.17,0.104,0.097,0.216,0.069,0.149,0.141
"Karina Milei","Muy mala",0.244,0.191,0.296,0.282,0.244,0.261,0.167,0.167,0.214,0.337,0.177,0.226,0.489,0.185,0.457,0.07,0.273,0.216
"Karina Milei","No sabe",0.022,0.024,0.02,0.024,0.007,0.022,0.075,0.028,0.011,0.032,0.016,0.015,0.004,0,0.021,0.017,0.021,0.023
"Guillermo Francos","Muy buena",0.135,0.16,0.111,0.149,0.125,0.127,0.169,0.198,0.111,0.12,0.164,0.11,0.082,0.158,0.072,0.197,0.123,0.147
"Guillermo Francos","Buena",0.17,0.191,0.148,0.161,0.116,0.213,0.286,0.151,0.201,0.145,0.157,0.271,0.149,0.166,0.067,0.282,0.147,0.192
"Guillermo Francos","Ni buena ni mala",0.318,0.336,0.301,0.401,0.367,0.208,0.259,0.324,0.341,0.287,0.348,0.198,0.272,0.461,0.259,0.343,0.336,0.302
"Guillermo Francos","Mala",0.126,0.121,0.131,0.103,0.123,0.162,0.094,0.097,0.136,0.133,0.144,0.139,0.143,0.081,0.215,0.064,0.13,0.121
"Guillermo Francos","Muy mala",0.173,0.146,0.2,0.119,0.194,0.201,0.115,0.109,0.14,0.261,0.126,0.159,0.292,0.097,0.325,0.041,0.192,0.155
"Guillermo Francos","No sabe",0.078,0.046,0.109,0.067,0.075,0.089,0.077,0.121,0.071,0.054,0.061,0.123,0.062,0.037,0.062,0.073,0.072,0.083
"Juan Schiaretti","Muy buena",0.1,0.119,0.082,0.208,0.067,0.1,0.087,0.141,0.092,0.082,0.134,0.074,0.061,0.081,0.093,0.126,0.103,0.098
"Juan Schiaretti","Buena",0.194,0.205,0.183,0.169,0.212,0.174,0.196,0.129,0.259,0.161,0.18,0.256,0.176,0.212,0.09,0.266,0.156,0.231
"Juan Schiaretti","Ni buena ni mala",0.392,0.417,0.367,0.373,0.416,0.349,0.412,0.455,0.359,0.387,0.41,0.427,0.32,0.369,0.373,0.419,0.371,0.412
"Juan Schiaretti","Mala",0.161,0.134,0.186,0.115,0.155,0.21,0.142,0.116,0.162,0.19,0.15,0.119,0.252,0.17,0.215,0.125,0.173,0.148
"Juan Schiaretti","Muy mala",0.122,0.111,0.134,0.096,0.119,0.154,0.106,0.105,0.101,0.161,0.089,0.107,0.185,0.128,0.195,0.05,0.147,0.098
"Juan Schiaretti","No sabe",0.031,0.014,0.048,0.039,0.031,0.013,0.057,0.054,0.027,0.019,0.037,0.017,0.006,0.04,0.034,0.014,0.05,0.013
"Mauricio Macri","Muy buena",0.111,0.113,0.108,0.081,0.11,0.107,0.155,0.176,0.088,0.092,0.144,0.092,0.031,0.062,0.086,0.144,0.107,0.114
"Mauricio Macri","Buena",0.183,0.172,0.193,0.23,0.16,0.14,0.284,0.137,0.211,0.181,0.17,0.255,0.139,0.223,0.059,0.276,0.192,0.174
"Mauricio Macri","Ni buena ni mala",0.211,0.254,0.17,0.204,0.247,0.164,0.182,0.299,0.196,0.168,0.219,0.194,0.15,0.336,0.144,0.288,0.184,0.238
"Mauricio Macri","Mala",0.236,0.227,0.246,0.157,0.212,0.333,0.236,0.215,0.247,0.238,0.243,0.19,0.321,0.162,0.327,0.153,0.242,0.231
"Mauricio Macri","Muy mala",0.243,0.214,0.27,0.263,0.262,0.251,0.136,0.121,0.253,0.316,0.207,0.262,0.359,0.217,0.384,0.128,0.25,0.235
"Mauricio Macri","No sabe",0.016,0.02,0.013,0.065,0.009,0.005,0.007,0.052,0.005,0.005,0.017,0.007,0,0,0,0.011,0.025,0.008
"Sergio Massa","Muy buena",0.122,0.122,0.122,0.113,0.121,0.113,0.151,0.199,0.11,0.081,0.127,0.185,0.121,0,0.27,0.034,0.121,0.123
"Sergio Massa","Buena",0.171,0.136,0.206,0.252,0.151,0.17,0.152,0.118,0.218,0.152,0.16,0.205,0.293,0.09,0.313,0.082,0.183,0.16
"Sergio Massa","Ni buena ni mala",0.155,0.194,0.116,0.12,0.182,0.147,0.113,0.197,0.133,0.151,0.153,0.105,0.272,0.049,0.214,0.11,0.137,0.172
"Sergio Massa","Mala",0.22,0.236,0.204,0.205,0.195,0.223,0.316,0.229,0.209,0.226,0.241,0.208,0.14,0.219,0.141,0.269,0.213,0.227
"Sergio Massa","Muy mala",0.325,0.307,0.343,0.299,0.349,0.338,0.249,0.257,0.319,0.382,0.318,0.282,0.174,0.642,0.062,0.496,0.332,0.318
"Sergio Massa","No sabe",0.007,0.005,0.009,0.011,0.002,0.009,0.019,0,0.011,0.008,0.001,0.015,0,0,0,0.009,0.014,0
"Omar Gutierrez","Muy buena",0.08,0.104,0.058,0.114,0.07,0.076,0.085,0.167,0.075,0.024,0.099,0.146,0.047,0,0.112,0.056,0.08,0.081
"Omar Gutierrez","Buena",0.157,0.177,0.138,0.281,0.132,0.093,0.216,0.197,0.176,0.106,0.18,0.276,0.059,0.018,0.184,0.162,0.146,0.168
"Omar Gutierrez","Ni buena ni mala",0.237,0.222,0.252,0.22,0.204,0.276,0.299,0.233,0.194,0.295,0.217,0.23,0.262,0.202,0.271,0.208,0.218,0.256
"Omar Gutierrez","Mala",0.33,0.312,0.347,0.205,0.348,0.396,0.293,0.216,0.388,0.339,0.326,0.268,0.454,0.308,0.305,0.347,0.311,0.348
"Omar Gutierrez","Muy mala",0.177,0.169,0.184,0.095,0.238,0.158,0.095,0.152,0.151,0.226,0.168,0.078,0.178,0.431,0.118,0.212,0.214,0.141
"Omar Gutierrez","No sabe",0.019,0.016,0.021,0.085,0.008,0.001,0.012,0.035,0.016,0.01,0.01,0.002,0,0.041,0.01,0.015,0.031,0.006
"Marcos Koopmann","Muy buena",0.075,0.067,0.083,0.092,0.075,0.071,0.067,0.147,0.072,0.028,0.073,0.213,0.028,0.004,0.117,0.051,0.072,0.079
"Marcos Koopmann","Buena",0.135,0.145,0.124,0.269,0.111,0.084,0.153,0.151,0.159,0.093,0.135,0.291,0.036,0.015,0.144,0.151,0.115,0.153
"Marcos Koopmann","Ni buena ni mala",0.417,0.422,0.413,0.352,0.392,0.446,0.526,0.381,0.41,0.452,0.408,0.36,0.435,0.471,0.476,0.357,0.39,0.444
"Marcos Koopmann","Mala",0.184,0.19,0.179,0.091,0.188,0.25,0.156,0.15,0.185,0.208,0.206,0.067,0.3,0.166,0.147,0.208,0.197,0.171
"Marcos Koopmann","Muy mala",0.135,0.136,0.133,0.091,0.183,0.107,0.067,0.102,0.122,0.173,0.131,0.05,0.104,0.259,0.093,0.162,0.163,0.107
"Marcos Koopmann","No sabe",0.054,0.04,0.068,0.105,0.051,0.042,0.031,0.069,0.052,0.046,0.047,0.019,0.097,0.085,0.023,0.071,0.063,0.046
