"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P41","Puede que lo vote",0.25,0.037,0.038,0.228,0.098,0.102,0.066,0.057
"P41","Nunca lo votaría",0.149,0.922,0.897,0.368,0.695,0.658,0.822,0.629
"P41","No sabe",0.065,0.019,0.036,0.069,0.154,0.069,0.069,0.244
"P42","Lo votaría",0.087,0.659,0.37,0.173,0.294,0.39,0.544,0.305
"P42","Puede que lo vote",0.059,0.146,0.31,0.066,0.113,0.13,0.057,0.083
"P42","Nunca lo votaría",0.815,0.178,0.281,0.725,0.47,0.402,0.362,0.38
"P42","No sabe",0.039,0.017,0.039,0.036,0.123,0.078,0.037,0.232
"P43","Lo votaría",0.029,0.683,0.118,0.131,0.224,0.169,0.191,0.156
"P43","Puede que lo vote",0.08,0.26,0.301,0.067,0.303,0.218,0.233,0.215
"P43","Nunca lo votaría",0.849,0.049,0.542,0.735,0.382,0.504,0.529,0.393
"P43","No sabe",0.042,0.008,0.039,0.067,0.091,0.109,0.047,0.236
"P44","Lo votaría",0.026,0.168,0.724,0.122,0.108,0.115,0.072,0.11
"P44","Puede que lo vote",0.054,0.314,0.171,0.024,0.198,0.137,0.222,0.187
"P44","Nunca lo votaría",0.893,0.475,0.095,0.818,0.61,0.662,0.672,0.502
"P44","No sabe",0.027,0.043,0.01,0.036,0.084,0.086,0.034,0.201
"P45","Lo votaría",0.09,0.024,0.106,0.56,0.019,0.047,0.009,0.029
"P45","Puede que lo vote",0.331,0.086,0.055,0.163,0.114,0.134,0.097,0.068
"P45","Nunca lo votaría",0.508,0.858,0.808,0.265,0.795,0.742,0.865,0.635
"P45","No sabe",0.071,0.032,0.031,0.012,0.072,0.077,0.029,0.268
"P46","Lo votaría",0.052,0.03,0.036,0.146,0.635,0.072,0.022,0.067
"P46","Puede que lo vote",0.194,0.198,0.12,0.246,0.154,0.175,0.105,0.101
"P46","Nunca lo votaría",0.674,0.729,0.8,0.584,0.161,0.654,0.827,0.613
"P46","No sabe",0.08,0.043,0.044,0.024,0.05,0.099,0.046,0.219
"P57","Si",0.531,0.526,0.523,0.47,0.615,0.512,0.487,0.427
"P57","No",0.469,0.474,0.477,0.53,0.385,0.488,0.513,0.573
