"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.011,0.049,0.034
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.016,0.015,0.026,0.05
"P18","Otros",0.012,0.013,0.036,0.047
"P18","En blanco",0.007,0.014,0.039,0.023
"P18","No sabe",0.017,0.013,0.021,0.117
"P25","Totalmente seguro",0.7,0.746,0.725,0.603
"P25","Bastante seguro",0.154,0.115,0.136,0.126
"P25","Algo seguro",0.094,0.098,0.078,0.084
"P25","Para nada seguro",0.052,0.041,0.061,0.187
"P26","Tiene Decidido que va a ir a votar",0.924,0.906,0.895,0.872
"P26","Tiene dudas sobre si va a ir a votar",0.047,0.068,0.061,0.086
"P26","Tiene Decidido que no va a ir a votar",0.029,0.026,0.044,0.042
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.181,0.056,0.676,0.473
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.618,0.28,0.106,0.18
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.04,0.613,0.029,0.038
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.007,0.071,0.032
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.036,0.009,0.039,0.056
"P27","Otros",0.056,0.015,0.048,0.077
"P27","En blanco",0.017,0.005,0.023,0.016
"P27","No sabe",0.032,0.015,0.008,0.128
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.169,0.067,0.672,0.483
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.678,0.129,0.048,0.07
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.044,0.73,0.04,0.039
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.018,0.005,0.069,0.031
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.028,0.01,0.039,0.066
"P28","Otros",0.031,0.023,0.061,0.118
"P28","En blanco",0.009,0.014,0.044,0.027
"P28","No sabe",0.023,0.022,0.027,0.166
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.252,0.085,0.705,0.468
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.651,0.662,0.109,0.176
"P33","En blanco",0.05,0.172,0.167,0.055
"P33","No sabe",0.047,0.081,0.019,0.301
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.735,0.271,0.146,0.217
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.071,0.675,0.039,0.057
"P34","En blanco",0.124,0.033,0.75,0.114
"P34","No sabe",0.07,0.021,0.065,0.612
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.243,0.086,0.71,0.477
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.704,0.45,0.05,0.092
"P35","En blanco",0.028,0.341,0.199,0.051
"P35","No sabe",0.025,0.123,0.041,0.38
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.265,0.081,0.706,0.502
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.292,0.842,0.04,0.059
"P37","En blanco",0.26,0.053,0.22,0.055
"P37","No sabe",0.183,0.024,0.034,0.384
"P40","Lo votaría",0.209,0.073,0.661,0.457
"P40","Puede que lo vote",0.084,0.152,0.096,0.09
"P40","Nunca lo votaría",0.678,0.745,0.219,0.282
"P40","No sabe",0.029,0.03,0.024,0.171
"P41","Lo votaría",0.129,0.04,0.454,0.24
"P41","Puede que lo vote",0.07,0.059,0.214,0.159
"P41","Nunca lo votaría",0.781,0.863,0.269,0.424
"P41","No sabe",0.02,0.038,0.063,0.177
"P42","Lo votaría",0.587,0.374,0.14,0.163
"P42","Puede que lo vote",0.131,0.284,0.049,0.097
"P42","Nunca lo votaría",0.26,0.304,0.784,0.576
"P42","No sabe",0.022,0.038,0.027,0.164
"P43","Lo votaría",0.602,0.152,0.042,0.055
"P43","Puede que lo vote",0.245,0.307,0.063,0.159
"P43","Nunca lo votaría",0.133,0.507,0.865,0.612
"P43","No sabe",0.02,0.034,0.03,0.174
"P44","Lo votaría",0.146,0.648,0.03,0.025
"P44","Puede que lo vote",0.256,0.225,0.035,0.114
"P44","Nunca lo votaría",0.553,0.115,0.919,0.717
"P44","No sabe",0.045,0.012,0.016,0.144
"P45","Lo votaría",0.049,0.1,0.116,0.042
"P45","Puede que lo vote",0.11,0.091,0.272,0.207
"P45","Nunca lo votaría",0.802,0.771,0.565,0.585
"P45","No sabe",0.039,0.038,0.047,0.166
"P46","Lo votaría",0.075,0.043,0.066,0.078
"P46","Puede que lo vote",0.214,0.143,0.152,0.16
"P46","Nunca lo votaría",0.661,0.766,0.732,0.586
"P46","No sabe",0.05,0.048,0.05,0.176
"P57","Si",0.525,0.528,0.526,0.495
"P57","No",0.475,0.472,0.474,0.505
