"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.055,0.492,0.102,0.118
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.064,0.199,0.105,0.105
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.055,0.189,0.322,0.196
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.018,0.008,0.062,0.068
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.014,0.03,0.062
"P18","Otros",0.022,0.003,0.062,0.093
"P18","En blanco",0.007,0.006,0.086,0.022
"P18","No sabe",0.013,0.011,0.047,0.171
"P25","Totalmente seguro",0.716,0.737,0.707,0.513
"P25","Bastante seguro",0.158,0.139,0.079,0.105
"P25","Algo seguro",0.084,0.079,0.124,0.115
"P25","Para nada seguro",0.042,0.045,0.09,0.267
"P26","Tiene Decidido que va a ir a votar",0.925,0.926,0.851,0.799
"P26","Tiene dudas sobre si va a ir a votar",0.049,0.054,0.072,0.138
"P26","Tiene Decidido que no va a ir a votar",0.026,0.02,0.077,0.063
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.81,0.015,0.12,0.082
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.055,0.656,0.094,0.093
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.03,0.257,0.441,0.306
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.033,0.01,0.092,0.052
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.018,0.017,0.085,0.102
"P27","Otros",0.03,0.025,0.09,0.135
"P27","En blanco",0.009,0.009,0.056,0.01
"P27","No sabe",0.015,0.011,0.022,0.22
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.809,0.014,0.12,0.077
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.071,0.507,0.097,0.185
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.034,0.338,0.457,0.295
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.03,0.008,0.091,0.044
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.014,0.024,0.063,0.097
"P28","Otros",0.019,0.049,0.081,0.112
"P28","En blanco",0.006,0.027,0.054,0.005
"P28","No sabe",0.017,0.033,0.037,0.185
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.186,0.664,0.101,0.113
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.073,0.291,0.431,0.316
"P34","En blanco",0.555,0.02,0.416,0.07
"P34","No sabe",0.186,0.025,0.052,0.501
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.874,0.049,0.114,0.089
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.068,0.717,0.168,0.238
"P35","En blanco",0.038,0.155,0.65,0.094
"P35","No sabe",0.02,0.079,0.068,0.579
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.241,0.469,0.142,0.191
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.072,0.423,0.433,0.292
"P36","En blanco",0.52,0.061,0.366,0.06
"P36","No sabe",0.167,0.047,0.059,0.457
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.886,0.052,0.137,0.1
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.048,0.587,0.441,0.297
"P37","En blanco",0.043,0.215,0.375,0.073
"P37","No sabe",0.023,0.146,0.047,0.53
"P40","Lo votaría",0.808,0.037,0.107,0.07
"P40","Puede que lo vote",0.108,0.103,0.116,0.122
"P40","Nunca lo votaría",0.066,0.834,0.734,0.53
"P40","No sabe",0.018,0.026,0.043,0.278
"P41","Lo votaría",0.496,0.015,0.136,0.073
"P41","Puede que lo vote",0.233,0.032,0.093,0.105
"P41","Nunca lo votaría",0.205,0.932,0.726,0.601
"P41","No sabe",0.066,0.021,0.045,0.221
"P42","Lo votaría",0.111,0.647,0.115,0.106
"P42","Puede que lo vote",0.06,0.214,0.137,0.203
"P42","Nunca lo votaría",0.793,0.126,0.691,0.444
"P42","No sabe",0.036,0.013,0.057,0.247
"P43","Lo votaría",0.083,0.446,0.099,0.191
"P43","Puede que lo vote",0.094,0.32,0.112,0.163
"P43","Nunca lo votaría",0.787,0.211,0.74,0.447
"P43","No sabe",0.036,0.023,0.049,0.199
"P44","Lo votaría",0.059,0.346,0.439,0.246
"P44","Puede que lo vote",0.066,0.291,0.051,0.122
"P44","Nunca lo votaría",0.85,0.335,0.48,0.449
"P44","No sabe",0.025,0.028,0.03,0.183
"P45","Lo votaría",0.108,0.049,0.141,0.063
"P45","Puede que lo vote",0.307,0.069,0.114,0.099
"P45","Nunca lo votaría",0.517,0.859,0.693,0.645
"P45","No sabe",0.068,0.023,0.052,0.193
"P46","Lo votaría",0.071,0.041,0.114,0.089
"P46","Puede que lo vote",0.19,0.172,0.133,0.136
"P46","Nunca lo votaría",0.669,0.751,0.706,0.548
"P46","No sabe",0.07,0.036,0.047,0.227
"P57","Si",0.542,0.527,0.499,0.445
"P57","No",0.458,0.473,0.501,0.555
