"var","categoria","A Andrés Petrillo por Juntos por el Cambio","A Gabriel Katopodis por el Frente de Todos","Al candidato de los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.038,0.02,0.422,0,0.061
"P26","Solo como gobernador a José Luis Espert",0.011,0.004,0.083,0,0
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.02,0,0.24,0.006
"P26","No sabe",0.057,0.045,0.043,0.208,0.233
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.26,0.069,0.11,0.13,0.118
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.265,0.088,0.064,0.07,0.136
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.252,0.045,0.19,0.034,0.079
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.081,0.206,0.016,0,0.174
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.092,0.492,0.106,0.289,0.16
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.022,0.023,0.369,0.211,0.072
"P27","Solo como gobernador a José Luis Espert",0.02,0.008,0.122,0.025,0
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.027,0.023,0.241,0.076
"P27","No sabe",0.008,0.042,0,0,0.185
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.496,0.086,0.038,0.072,0.22
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.12,0.641,0.027,0.336,0.149
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.105,0.049,0.592,0.124,0.08
"P28","Solo como gobernador a José Luis Espert",0.143,0.031,0.16,0,0.064
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0.036,0.082,0.017,0.443,0.08
"P28","No sabe",0.1,0.111,0.166,0.025,0.407
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.71,0.108,0.131,0.034,0.234
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.1,0.745,0.019,0.372,0.183
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.069,0.044,0.556,0,0.076
"P29","Solo como gobernador a José Luis Espert",0.017,0.014,0.157,0,0.012
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0.016,0.017,0.012,0.473,0.031
"P29","No sabe",0.088,0.072,0.125,0.121,0.464
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.639,0.094,0.131,0,0.248
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.106,0.711,0.02,0.333,0.236
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.069,0.054,0.578,0,0.074
"P30","Solo como gobernador a José Luis Espert",0.094,0.04,0.172,0,0.046
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0.012,0.026,0,0.515,0.024
"P30","No sabe",0.08,0.075,0.099,0.152,0.372
"P31","Muy buena",0.226,0.072,0.023,0,0.093
"P31","Buena",0.216,0.075,0.069,0,0.064
"P31","Ni buena ni mala",0.361,0.295,0.361,0.257,0.301
"P31","Mala",0.043,0.128,0.11,0.089,0.045
"P31","Muy mala",0.02,0.136,0.091,0.238,0.058
"P31","No sabe",0.134,0.294,0.346,0.416,0.439
"P32","Muy buena",0.119,0.221,0,0,0.069
"P32","Buena",0.071,0.21,0.037,0.108,0.03
"P32","Ni buena ni mala",0.309,0.288,0.242,0.258,0.318
"P32","Mala",0.23,0.071,0.16,0.268,0.092
"P32","Muy mala",0.139,0.054,0.299,0,0.139
"P32","No sabe",0.132,0.156,0.262,0.366,0.352
"P33","Muy buena",0.128,0.084,0,0.2,0.013
"P33","Buena",0.269,0.052,0.022,0.052,0.04
"P33","Ni buena ni mala",0.274,0.298,0.394,0.16,0.237
"P33","Mala",0.113,0.128,0.095,0.091,0.112
"P33","Muy mala",0.06,0.181,0.216,0.102,0.145
"P33","No sabe",0.156,0.257,0.273,0.395,0.453
"P34","Muy buena",0.088,0.555,0,0.038,0.104
"P34","Buena",0.119,0.17,0.05,0.214,0.071
"P34","Ni buena ni mala",0.253,0.113,0.284,0.134,0.277
"P34","Mala",0.23,0.031,0.234,0.226,0.127
"P34","Muy mala",0.254,0.093,0.349,0.099,0.218
"P34","No sabe",0.056,0.038,0.083,0.289,0.203
"P35","Muy buena",0.24,0.116,0.08,0,0.034
"P35","Buena",0.19,0.081,0.149,0.217,0.107
"P35","Ni buena ni mala",0.328,0.251,0.284,0.254,0.302
"P35","Mala",0.087,0.186,0.108,0.184,0.055
"P35","Muy mala",0.084,0.237,0.21,0.106,0.175
"P35","No sabe",0.071,0.129,0.169,0.239,0.327
"P36","Muy buena",0.132,0.103,0.063,0,0.011
"P36","Buena",0.055,0.133,0.095,0,0.019
"P36","Ni buena ni mala",0.389,0.354,0.31,0.39,0.329
"P36","Mala",0.176,0.102,0.126,0.143,0.052
"P36","Muy mala",0.07,0.083,0.187,0,0.145
"P36","No sabe",0.178,0.225,0.219,0.467,0.444
"P37","Muy buena",0.089,0.178,0,0.207,0.04
"P37","Buena",0.053,0.158,0,0.038,0.057
"P37","Ni buena ni mala",0.384,0.346,0.334,0.289,0.238
"P37","Mala",0.174,0.094,0.166,0,0.033
"P37","Muy mala",0.077,0.051,0.258,0,0.17
"P37","No sabe",0.223,0.173,0.242,0.466,0.462
"P38","Muy buena",0.095,0.267,0.005,0,0.084
"P38","Buena",0.081,0.244,0.039,0.176,0.03
"P38","Ni buena ni mala",0.252,0.252,0.19,0.255,0.209
"P38","Mala",0.322,0.086,0.202,0.233,0.174
"P38","Muy mala",0.191,0.055,0.455,0.224,0.223
"P38","No sabe",0.059,0.096,0.109,0.112,0.28
"P39","Que continúe el intendente Fernando Moreira",0.093,0.254,0.005,0.106,0.109
"P39","Que continúe Fernando Moreira pero con mejoras",0.063,0.335,0.085,0.038,0.155
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.16,0.212,0.062,0.176,0.26
"P39","Que cambie el intendente Fernando Moreira",0.684,0.199,0.848,0.68,0.476
"P40","La seguridad",0.106,0.128,0.022,0,0.046
"P40","El tránsito",0.067,0.055,0.03,0,0.079
"P40","El arreglo de las calles",0.109,0.175,0.089,0.046,0.116
"P40","Los parques y espacios públicos",0.235,0.221,0.275,0.317,0.158
"P40","El sistema de salud",0.019,0.077,0.001,0.038,0.042
"P40","La limpieza de las calles",0.022,0.029,0.042,0,0.026
"P40","El deporte y la cultura",0.061,0.135,0.077,0.188,0.051
"P40","La luminaria",0.118,0.028,0.099,0.106,0.028
"P40","No sabe",0.263,0.152,0.365,0.305,0.454
"P41","La seguridad",0.649,0.457,0.556,0.535,0.635
"P41","El tránsito",0.035,0.089,0.058,0,0.018
"P41","El arreglo de las calles",0.093,0.09,0.109,0.141,0.028
"P41","Los parques y espacios públicos",0.043,0.027,0.037,0.038,0.052
"P41","El sistema de salud",0.05,0.09,0.085,0.104,0.025
"P41","La limpieza de las calles",0.032,0.056,0.016,0.11,0.022
"P41","El deporte y la cultura",0.026,0.038,0,0,0.067
"P41","La luminaria",0.004,0.003,0.014,0,0.022
"P41","No sabe",0.068,0.15,0.125,0.072,0.131
"P42","Agua corriente y cloacas",0.333,0.428,0.422,0.101,0.288
"P42","Energía eléctrica",0.236,0.134,0.123,0.263,0.175
"P42","Red de gas natural",0.06,0.037,0.03,0.05,0.04
"P42","Recolección de residuos",0.213,0.106,0.16,0.19,0.206
"P42","Ninguno",0.158,0.295,0.265,0.396,0.291
"P43","Los robos",0.37,0.327,0.216,0.042,0.38
"P43","El narcotráfico",0.339,0.286,0.375,0.501,0.306
"P43","La ausencia de patrulleros y personal policial",0.185,0.2,0.269,0.407,0.134
"P43","Otro",0.052,0.075,0.105,0.05,0.146
"P43","Ninguno",0.054,0.112,0.035,0,0.034
