"var","categoria","A Santiago López Medrano por Juntos por el Cambio","A Juan Esleiman por el Frente de Todos","Al candidato de los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P20","Nunca lo votaría",0.451,0.201,0.66,0.472,0.32
"P20","No sabe",0.194,0.221,0.242,0.104,0.353
"P21","Lo votaría",0.302,0.123,0.129,0.092,0.068
"P21","Puede que lo vote",0.24,0.129,0.117,0.09,0.08
"P21","Nunca lo votaría",0.245,0.453,0.464,0.602,0.471
"P21","No sabe",0.213,0.295,0.29,0.216,0.381
"P22","Lo votaría",0.174,0.598,0.047,0.335,0.425
"P22","Puede que lo vote",0.159,0.154,0.069,0.411,0.116
"P22","Nunca lo votaría",0.555,0.151,0.769,0.235,0.233
"P22","No sabe",0.112,0.097,0.115,0.019,0.226
"P23","Lo votaría",0.272,0.1,0.147,0.022,0.108
"P23","Puede que lo vote",0.314,0.154,0.133,0.241,0.073
"P23","Nunca lo votaría",0.222,0.55,0.496,0.631,0.425
"P23","No sabe",0.192,0.196,0.224,0.106,0.394
"P24","Lo votaría",0.066,0.204,0.051,0.124,0.036
"P24","Puede que lo vote",0.231,0.27,0.117,0.337,0.087
"P24","Nunca lo votaría",0.408,0.269,0.604,0.34,0.483
"P24","No sabe",0.295,0.257,0.228,0.199,0.394
"P25","Lo votaría",0.044,0.24,0.044,0.328,0.037
"P25","Puede que lo vote",0.132,0.212,0.028,0.169,0.132
"P25","Nunca lo votaría",0.552,0.321,0.594,0.318,0.397
"P25","No sabe",0.272,0.227,0.334,0.185,0.434
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.341,0.11,0.099,0.029,0.151
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.35,0.126,0.19,0.088,0.14
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.142,0.235,0.072,0.083,0.159
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.105,0.47,0.086,0.327,0.281
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.008,0.024,0.438,0.082,0.045
"P26","Solo como gobernador a José Luis Espert",0.01,0,0.076,0,0.007
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.002,0,0.309,0.004
"P26","No sabe",0.044,0.033,0.039,0.082,0.213
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.319,0.04,0.059,0,0.086
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.251,0.069,0.083,0.094,0.132
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.232,0.062,0.19,0.014,0.052
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.078,0.269,0.016,0.028,0.133
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.068,0.533,0.1,0.354,0.285
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.008,0.016,0.399,0.176,0.062
"P27","Solo como gobernador a José Luis Espert",0.016,0,0.129,0.01,0.014
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0.002,0.004,0.024,0.324,0.061
"P27","No sabe",0.026,0.007,0,0,0.175
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.458,0.085,0.015,0.173,0.176
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.148,0.686,0.039,0.409,0.278
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.123,0.051,0.56,0.088,0.057
"P28","Solo como gobernador a José Luis Espert",0.109,0.036,0.166,0,0.076
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0.046,0.076,0.044,0.244,0.066
"P28","No sabe",0.116,0.066,0.176,0.086,0.347
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.731,0.099,0.074,0.195,0.136
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.131,0.774,0.018,0.441,0.361
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.057,0.046,0.578,0.106,0.055
"P29","Solo como gobernador a José Luis Espert",0.014,0,0.164,0,0.034
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0.011,0.008,0.039,0.248,0.025
"P29","No sabe",0.056,0.073,0.127,0.01,0.389
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.651,0.101,0.067,0.018,0.165
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.098,0.733,0.019,0.363,0.435
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.072,0.039,0.622,0.144,0.046
"P30","Solo como gobernador a José Luis Espert",0.08,0.042,0.197,0,0.046
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0.011,0.006,0,0.444,0.021
"P30","No sabe",0.088,0.079,0.095,0.031,0.287
"P31","Muy buena",0.199,0.1,0.02,0.026,0.075
"P31","Buena",0.191,0.135,0.005,0.02,0.04
"P31","Ni buena ni mala",0.403,0.283,0.337,0.349,0.262
"P31","Mala",0.053,0.103,0.121,0.139,0.088
"P31","Muy mala",0.015,0.114,0.121,0.314,0.088
"P31","No sabe",0.139,0.265,0.396,0.152,0.447
"P32","Muy buena",0.098,0.22,0,0.032,0.16
"P32","Buena",0.05,0.205,0.029,0.413,0.086
"P32","Ni buena ni mala",0.35,0.298,0.26,0.14,0.252
"P32","Mala",0.237,0.069,0.136,0.255,0.068
"P32","Muy mala",0.165,0.052,0.267,0.07,0.097
"P32","No sabe",0.1,0.156,0.308,0.09,0.337
"P33","Muy buena",0.125,0.067,0.039,0.035,0.054
"P33","Buena",0.205,0.084,0.022,0.182,0.05
"P33","Ni buena ni mala",0.311,0.3,0.351,0.168,0.243
"P33","Mala",0.104,0.155,0.097,0.082,0.094
"P33","Muy mala",0.087,0.18,0.192,0.168,0.137
"P33","No sabe",0.168,0.214,0.299,0.365,0.422
"P34","Muy buena",0.102,0.501,0.01,0.258,0.321
"P34","Buena",0.073,0.175,0.055,0.327,0.124
"P34","Ni buena ni mala",0.26,0.14,0.22,0.162,0.207
"P34","Mala",0.188,0.073,0.271,0.13,0.061
"P34","Muy mala",0.329,0.065,0.366,0.073,0.118
"P34","No sabe",0.048,0.046,0.078,0.05,0.169
"P35","Muy buena",0.196,0.153,0.051,0,0.084
"P35","Buena",0.173,0.085,0.144,0.241,0.097
"P35","Ni buena ni mala",0.353,0.274,0.312,0.22,0.209
"P35","Mala",0.09,0.164,0.08,0.201,0.138
"P35","Muy mala",0.123,0.229,0.206,0.211,0.16
"P35","No sabe",0.065,0.095,0.207,0.127,0.312
"P36","Muy buena",0.078,0.161,0.031,0.053,0.043
"P36","Buena",0.081,0.113,0.095,0.19,0.038
"P36","Ni buena ni mala",0.418,0.377,0.303,0.247,0.287
"P36","Mala",0.187,0.091,0.12,0.172,0.059
"P36","Muy mala",0.077,0.073,0.206,0.037,0.126
"P36","No sabe",0.159,0.185,0.245,0.301,0.447
"P37","Muy buena",0.029,0.239,0.028,0.11,0.072
"P37","Buena",0.047,0.138,0.006,0.295,0.097
"P37","Ni buena ni mala",0.44,0.353,0.292,0.269,0.219
"P37","Mala",0.176,0.078,0.174,0.046,0.065
"P37","Muy mala",0.093,0.049,0.203,0.132,0.132
"P37","No sabe",0.215,0.143,0.297,0.148,0.415
"P38","Muy buena",0.054,0.265,0.005,0.033,0.229
"P38","Buena",0.038,0.261,0.039,0.426,0.101
"P38","Ni buena ni mala",0.287,0.241,0.19,0.177,0.205
"P38","Mala",0.307,0.111,0.269,0.11,0.083
"P38","Muy mala",0.24,0.045,0.382,0.201,0.144
"P38","No sabe",0.074,0.077,0.115,0.053,0.238
"P39","Que continúe el intendente Fernando Moreira",0.064,0.248,0.033,0.109,0.215
"P39","Que continúe Fernando Moreira pero con mejoras",0.039,0.363,0.08,0.426,0.198
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.165,0.226,0.068,0.041,0.244
"P39","Que cambie el intendente Fernando Moreira",0.732,0.163,0.819,0.424,0.343
"P40","La seguridad",0.071,0.173,0.022,0,0.071
"P40","El tránsito",0.037,0.065,0.03,0.244,0.06
"P40","El arreglo de las calles",0.098,0.192,0.097,0.028,0.147
"P40","Los parques y espacios públicos",0.279,0.185,0.251,0.23,0.188
"P40","El sistema de salud",0.005,0.104,0.001,0.047,0.039
"P40","La limpieza de las calles",0.023,0.016,0.036,0,0.05
"P40","El deporte y la cultura",0.073,0.099,0.041,0.27,0.119
"P40","La luminaria",0.088,0.04,0.112,0.066,0.035
"P40","No sabe",0.326,0.126,0.41,0.115,0.291
"P41","La seguridad",0.631,0.486,0.597,0.334,0.543
"P41","El tránsito",0.034,0.089,0.066,0.174,0.024
"P41","El arreglo de las calles",0.103,0.116,0.077,0.031,0.032
"P41","Los parques y espacios públicos",0.035,0.029,0.007,0.131,0.046
"P41","El sistema de salud",0.081,0.048,0.08,0.112,0.071
"P41","La limpieza de las calles",0.024,0.055,0.016,0.076,0.046
"P41","El deporte y la cultura",0.024,0.034,0.03,0,0.054
"P41","La luminaria",0.004,0.004,0,0,0.023
"P41","No sabe",0.064,0.139,0.127,0.142,0.161
"P42","Agua corriente y cloacas",0.351,0.415,0.409,0.069,0.391
"P42","Energía eléctrica",0.188,0.164,0.165,0.282,0.128
"P42","Red de gas natural",0.058,0.038,0.015,0.063,0.043
"P42","Recolección de residuos",0.208,0.116,0.127,0.268,0.151
"P42","Ninguno",0.195,0.267,0.284,0.318,0.287
"P43","Los robos",0.307,0.35,0.23,0.357,0.378
"P43","El narcotráfico",0.332,0.313,0.379,0.31,0.271
"P43","La ausencia de patrulleros y personal policial",0.249,0.14,0.21,0.139,0.216
"P43","Otro",0.056,0.095,0.139,0.048,0.076
"P43","Ninguno",0.056,0.102,0.042,0.146,0.059
