"var","categoria","A Santiago López Medrano por Juntos por el Cambio","A Gabriel Katopodis por el Frente de Todos","Al candidato de los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P25","Nunca lo votaría",0.592,0.334,0.556,0.468,0.366
"P25","No sabe",0.249,0.266,0.31,0.158,0.537
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.285,0.136,0.148,0.105,0.175
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.371,0.101,0.149,0.192,0.216
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.156,0.193,0.024,0.296,0.17
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.101,0.464,0.064,0.236,0.175
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.038,0.023,0.431,0,0.045
"P26","Solo como gobernador a José Luis Espert",0.003,0.004,0.093,0,0.003
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.007,0.047,0.085,0.007
"P26","No sabe",0.046,0.072,0.044,0.086,0.209
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.293,0.063,0.062,0.073,0.118
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.238,0.078,0.079,0.109,0.197
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.271,0.029,0.167,0.033,0.101
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.084,0.202,0.018,0.201,0.169
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.067,0.534,0.102,0.319,0.101
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.007,0.033,0.362,0.14,0.052
"P27","Solo como gobernador a José Luis Espert",0.001,0.008,0.116,0.009,0.031
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0.003,0.015,0.071,0.107,0.072
"P27","No sabe",0.036,0.038,0.023,0.009,0.159
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.481,0.103,0.079,0.1,0.174
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.105,0.641,0.046,0.326,0.185
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.119,0.045,0.516,0.054,0.114
"P28","Solo como gobernador a José Luis Espert",0.119,0.031,0.154,0.045,0.103
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0.033,0.061,0.075,0.422,0.031
"P28","No sabe",0.143,0.119,0.13,0.053,0.393
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.737,0.094,0.152,0.163,0.194
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.117,0.737,0.035,0.504,0.144
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.067,0.041,0.543,0.015,0.079
"P29","Solo como gobernador a José Luis Espert",0.009,0,0.131,0.014,0.084
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0.015,0.008,0.036,0.26,0.02
"P29","No sabe",0.055,0.12,0.103,0.044,0.479
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.659,0.082,0.097,0.162,0.239
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.103,0.741,0.037,0.433,0.17
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.078,0.043,0.522,0.115,0.089
"P30","Solo como gobernador a José Luis Espert",0.072,0.029,0.188,0,0.104
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0.012,0.013,0.066,0.227,0
"P30","No sabe",0.076,0.092,0.09,0.063,0.398
"P31","Muy buena",0.176,0.113,0.019,0.177,0.042
"P31","Buena",0.193,0.1,0.031,0.136,0.041
"P31","Ni buena ni mala",0.412,0.271,0.38,0.156,0.285
"P31","Mala",0.058,0.093,0.129,0.132,0.089
"P31","Muy mala",0.017,0.126,0.113,0.232,0.046
"P31","No sabe",0.144,0.297,0.328,0.167,0.497
"P32","Muy buena",0.051,0.28,0.01,0.043,0.037
"P32","Buena",0.065,0.207,0.072,0.042,0.034
"P32","Ni buena ni mala",0.323,0.277,0.24,0.387,0.303
"P32","Mala",0.255,0.049,0.168,0.227,0.072
"P32","Muy mala",0.19,0.037,0.236,0.099,0.132
"P32","No sabe",0.116,0.15,0.274,0.202,0.422
"P33","Muy buena",0.07,0.105,0.018,0.184,0.029
"P33","Buena",0.197,0.085,0.065,0.04,0.048
"P33","Ni buena ni mala",0.273,0.315,0.315,0.242,0.253
"P33","Mala",0.147,0.109,0.101,0.064,0.108
"P33","Muy mala",0.104,0.154,0.235,0.163,0.107
"P33","No sabe",0.209,0.232,0.266,0.307,0.455
"P34","Muy buena",0.086,0.585,0.013,0.172,0.042
"P34","Buena",0.049,0.182,0.098,0.202,0.118
"P34","Ni buena ni mala",0.284,0.118,0.214,0.065,0.294
"P34","Mala",0.21,0.033,0.254,0.216,0.107
"P34","Muy mala",0.322,0.036,0.327,0.328,0.206
"P34","No sabe",0.049,0.046,0.094,0.017,0.233
"P35","Muy buena",0.168,0.168,0.022,0.156,0.053
"P35","Buena",0.158,0.06,0.211,0.163,0.155
"P35","Ni buena ni mala",0.375,0.255,0.202,0.164,0.305
"P35","Mala",0.091,0.182,0.121,0.199,0.032
"P35","Muy mala",0.119,0.202,0.259,0.197,0.156
"P35","No sabe",0.089,0.133,0.185,0.121,0.299
"P36","Muy buena",0.078,0.148,0.026,0.049,0.027
"P36","Buena",0.058,0.108,0.122,0,0.075
"P36","Ni buena ni mala",0.378,0.383,0.299,0.38,0.273
"P36","Mala",0.199,0.059,0.169,0.14,0.065
"P36","Muy mala",0.079,0.079,0.207,0.066,0.12
"P36","No sabe",0.208,0.223,0.177,0.365,0.44
"P37","Muy buena",0.013,0.229,0.033,0.15,0.032
"P37","Buena",0.035,0.156,0.082,0.157,0.013
"P37","Ni buena ni mala",0.446,0.333,0.245,0.226,0.25
"P37","Mala",0.166,0.063,0.217,0.138,0.048
"P37","Muy mala",0.092,0.049,0.214,0.067,0.179
"P37","No sabe",0.248,0.17,0.209,0.262,0.478
"P38","Muy buena",0.04,0.338,0,0.082,0.035
"P38","Buena",0.049,0.248,0.112,0.15,0.032
"P38","Ni buena ni mala",0.247,0.248,0.137,0.23,0.289
"P38","Mala",0.321,0.053,0.275,0.321,0.132
"P38","Muy mala",0.272,0.036,0.356,0.11,0.189
"P38","No sabe",0.071,0.077,0.12,0.107,0.323
"P39","Que continúe el intendente Fernando Moreira",0.056,0.284,0,0.327,0.077
"P39","Que continúe Fernando Moreira pero con mejoras",0.05,0.342,0.133,0.15,0.157
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.158,0.244,0.059,0.082,0.231
"P39","Que cambie el intendente Fernando Moreira",0.736,0.13,0.808,0.441,0.535
"P40","La seguridad",0.067,0.151,0.023,0.109,0.052
"P40","El tránsito",0.031,0.068,0.071,0.086,0.067
"P40","El arreglo de las calles",0.119,0.206,0.036,0.059,0.084
"P40","Los parques y espacios públicos",0.251,0.186,0.258,0.202,0.248
"P40","El sistema de salud",0.009,0.086,0.035,0.045,0.011
"P40","La limpieza de las calles",0.029,0.019,0.037,0.067,0.029
"P40","El deporte y la cultura",0.058,0.13,0.104,0.076,0.066
"P40","La luminaria",0.106,0.018,0.064,0.16,0.075
"P40","No sabe",0.33,0.136,0.372,0.196,0.368
"P41","La seguridad",0.658,0.476,0.595,0.523,0.502
"P41","El tránsito",0.025,0.085,0.097,0,0.03
"P41","El arreglo de las calles",0.087,0.086,0.033,0.108,0.124
"P41","Los parques y espacios públicos",0.041,0.029,0.043,0.012,0.045
"P41","El sistema de salud",0.046,0.097,0.078,0.065,0.028
"P41","La limpieza de las calles",0.017,0.059,0.009,0.12,0.035
"P41","El deporte y la cultura",0.031,0.021,0.034,0.093,0.061
"P41","La luminaria",0.004,0.008,0,0.033,0.014
"P41","No sabe",0.091,0.139,0.111,0.046,0.161
"P42","Agua corriente y cloacas",0.371,0.392,0.412,0.214,0.354
"P42","Energía eléctrica",0.187,0.144,0.21,0.196,0.147
"P42","Red de gas natural",0.054,0.041,0,0.102,0.054
"P42","Recolección de residuos",0.21,0.116,0.145,0.165,0.181
"P42","Ninguno",0.178,0.307,0.233,0.323,0.264
"P43","Los robos",0.318,0.298,0.383,0.145,0.454
"P43","El narcotráfico",0.314,0.332,0.339,0.299,0.261
"P43","La ausencia de patrulleros y personal policial",0.229,0.189,0.145,0.229,0.201
"P43","Otro",0.078,0.086,0.096,0.117,0.059
"P43","Ninguno",0.061,0.095,0.037,0.21,0.025
