"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P17","A Fernando Moreira por el Frente de Todos",0.313,0.606,0.499,0.327,0.385,0.624,0.406,0.324,0.498
"P17","Al candidato de los liberales libertarios",0.151,0.082,0.155,0.171,0.178,0.011,0,0.236,0.117
"P17","Al candidato del Frente de Izquierda",0.026,0.007,0.014,0.013,0.066,0,0,0,0.024
"P17","No sabe",0.164,0.093,0.062,0.22,0.248,0.106,0.275,0.44,0.186
"P18","A Andrés Petrillo por Juntos por el Cambio",0.347,0.169,0.278,0.269,0.154,0.279,0.207,0.236,0.175
"P18","A Juan Esleiman por el Frente de Todos",0.276,0.622,0.397,0.336,0.304,0.324,0.302,0.15,0.351
"P18","Al candidato de los liberales libertarios",0.138,0.112,0.155,0.172,0.156,0.049,0.112,0,0.129
"P18","Al candidato del Frente de Izquierda",0.027,0.007,0.007,0.013,0.094,0.054,0,0,0.063
"P18","No sabe",0.212,0.09,0.163,0.21,0.292,0.294,0.379,0.614,0.282
"P19","Lo votaría",0.161,0.147,0.242,0.033,0.089,0.097,0.028,0,0.109
"P19","Puede que lo vote",0.143,0.163,0.102,0.307,0.115,0.075,0.316,0.386,0.107
"P19","Nunca lo votaría",0.441,0.404,0.459,0.353,0.578,0.688,0.266,0.175,0.458
"P19","No sabe",0.255,0.286,0.197,0.307,0.218,0.14,0.39,0.439,0.326
"P20","Lo votaría",0.173,0.221,0.222,0.152,0.414,0.456,0.213,0,0.352
"P20","Puede que lo vote",0.156,0.197,0.312,0.167,0.119,0.16,0.151,0.175,0.101
"P20","Nunca lo votaría",0.463,0.38,0.394,0.48,0.283,0.311,0.476,0.149,0.284
"P20","No sabe",0.208,0.202,0.072,0.201,0.184,0.073,0.16,0.676,0.263
"P21","Lo votaría",0.153,0.285,0.272,0.061,0.05,0.125,0.028,0,0.156
"P21","Puede que lo vote",0.183,0.013,0.237,0.287,0.05,0.163,0.316,0,0.117
"P21","Nunca lo votaría",0.423,0.536,0.375,0.387,0.575,0.556,0.449,0,0.457
"P21","No sabe",0.241,0.166,0.116,0.265,0.325,0.156,0.207,1,0.27
"P22","Lo votaría",0.343,0.516,0.422,0.277,0.491,0.605,0.248,0,0.405
"P22","Puede que lo vote",0.132,0.106,0.037,0.21,0.112,0.053,0.165,0.614,0.185
"P22","Nunca lo votaría",0.441,0.334,0.454,0.256,0.276,0.313,0.482,0.15,0.273
"P22","No sabe",0.084,0.044,0.087,0.257,0.121,0.029,0.105,0.236,0.137
"P23","Lo votaría",0.15,0.252,0.235,0.054,0.021,0,0.028,0,0.125
"P23","Puede que lo vote",0.213,0.126,0.167,0.09,0.06,0.266,0.263,0.15,0.124
"P23","Nunca lo votaría",0.399,0.566,0.421,0.486,0.687,0.676,0.489,0.411,0.552
"P23","No sabe",0.238,0.056,0.177,0.37,0.232,0.058,0.22,0.439,0.199
"P24","Lo votaría",0.079,0.222,0.092,0.102,0.088,0.17,0.292,0,0.146
"P24","Puede que lo vote",0.18,0.402,0.189,0.368,0.157,0.164,0.137,0,0.134
"P24","Nunca lo votaría",0.485,0.227,0.525,0.223,0.447,0.506,0.426,0,0.367
"P24","No sabe",0.256,0.149,0.194,0.307,0.308,0.16,0.145,1,0.353
"P25","Lo votaría",0.073,0.3,0.166,0.142,0.144,0.04,0.272,0,0.195
"P25","Puede que lo vote",0.133,0.173,0.095,0.214,0.154,0.213,0.152,0.236,0.109
"P25","Nunca lo votaría",0.527,0.353,0.563,0.405,0.46,0.547,0.454,0,0.269
"P25","No sabe",0.267,0.174,0.176,0.239,0.242,0.2,0.122,0.764,0.427
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.216,0.067,0.243,0.025,0.098,0.2,0.346,0.236,0.084
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.235,0.216,0.131,0.259,0.205,0.174,0.26,0.175,0.263
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.133,0.192,0.257,0.267,0.167,0.255,0.129,0,0.048
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.217,0.335,0.322,0.127,0.329,0.319,0.209,0.15,0.427
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.109,0.063,0.006,0.129,0.099,0.052,0,0,0.053
"P26","Solo como gobernador a José Luis Espert",0.022,0,0.006,0.012,0,0,0,0,0.034
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0.01,0.104,0,0.013,0.025,0,0,0,0.008
"P26","No sabe",0.058,0.023,0.035,0.168,0.077,0,0.056,0.439,0.083
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.146,0.048,0.149,0.119,0.038,0.194,0,0.236,0.09
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.178,0.173,0.099,0.131,0.067,0.124,0.028,0,0.095
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.128,0.177,0.233,0.071,0.141,0.029,0.179,0.15,0.098
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.099,0.072,0.219,0.192,0.151,0.073,0.017,0,0.069
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.256,0.397,0.248,0.165,0.318,0.463,0.389,0.614,0.471
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.086,0,0.026,0.129,0.174,0.052,0.112,0,0.078
"P27","Solo como gobernador a José Luis Espert",0.037,0.016,0.006,0.025,0,0,0,0,0.04
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0.026,0.104,0,0.168,0.025,0.045,0,0,0.025
"P27","No sabe",0.044,0.013,0.02,0,0.086,0.02,0.275,0,0.034
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.274,0.275,0.145,0.239,0.117,0.252,0.028,0,0.129
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.3,0.428,0.473,0.245,0.431,0.388,0.144,0.175,0.46
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.144,0.125,0.193,0.179,0.119,0.041,0.033,0,0.135
"P28","Solo como gobernador a José Luis Espert",0.094,0.036,0.028,0.054,0.064,0.029,0.179,0.386,0.084
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0.031,0.067,0.025,0.081,0.112,0.134,0.32,0,0.06
"P28","No sabe",0.157,0.069,0.136,0.202,0.157,0.156,0.296,0.439,0.132
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.369,0.368,0.3,0.243,0.207,0.251,0.179,0.15,0.254
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.306,0.452,0.468,0.358,0.56,0.521,0.352,0.175,0.494
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.136,0.069,0.129,0.171,0.09,0.052,0.033,0,0.079
"P29","Solo como gobernador a José Luis Espert",0.035,0.016,0.006,0,0.055,0.068,0.028,0.236,0.043
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0.016,0,0.014,0.013,0.035,0.034,0.112,0,0.008
"P29","No sabe",0.138,0.095,0.083,0.215,0.053,0.074,0.296,0.439,0.122
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.322,0.274,0.27,0.311,0.293,0.221,0,0.236,0.241
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.311,0.435,0.479,0.358,0.472,0.521,0.406,0.614,0.494
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.139,0.06,0.129,0.129,0.099,0.052,0.145,0,0.092
"P30","Solo como gobernador a José Luis Espert",0.076,0.016,0.005,0,0.074,0.068,0.289,0.15,0.047
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0.019,0.104,0,0.013,0.035,0.079,0,0,0.007
"P30","No sabe",0.133,0.111,0.117,0.189,0.027,0.059,0.16,0,0.119
"P31","Muy buena",0.14,0.097,0.079,0,0.074,0.053,0,0.175,0.044
"P31","Buena",0.099,0.18,0.176,0.266,0.115,0.073,0.028,0.236,0.062
"P31","Ni buena ni mala",0.375,0.229,0.392,0.275,0.204,0.351,0.071,0,0.27
"P31","Mala",0.077,0.095,0.075,0.113,0.132,0.138,0.105,0.15,0.145
"P31","Muy mala",0.073,0.16,0.062,0.075,0.126,0.082,0.21,0,0.127
"P31","No sabe",0.236,0.239,0.216,0.271,0.349,0.303,0.586,0.439,0.352
"P32","Muy buena",0.119,0.105,0.089,0.051,0.242,0.214,0.053,0,0.226
"P32","Buena",0.103,0.36,0.203,0.104,0.116,0.164,0.119,0,0.146
"P32","Ni buena ni mala",0.33,0.223,0.349,0.297,0.228,0.248,0.222,0.561,0.123
"P32","Mala",0.168,0.158,0.022,0.179,0.052,0.206,0,0,0.134
"P32","Muy mala",0.107,0.023,0.179,0.348,0.128,0.051,0.331,0,0.111
"P32","No sabe",0.173,0.131,0.158,0.021,0.234,0.117,0.275,0.439,0.26
"P33","Muy buena",0.065,0.153,0.033,0.077,0.088,0.053,0.129,0,0.024
"P33","Buena",0.118,0.249,0.208,0.042,0.047,0.15,0.028,0,0.066
"P33","Ni buena ni mala",0.324,0.241,0.411,0.225,0.29,0.372,0.329,0.561,0.164
"P33","Mala",0.129,0.102,0.07,0.034,0.133,0.072,0,0,0.202
"P33","Muy mala",0.132,0.118,0.066,0.519,0.163,0.172,0.198,0,0.161
"P33","No sabe",0.232,0.137,0.212,0.103,0.279,0.181,0.316,0.439,0.383
"P34","Muy buena",0.232,0.386,0.327,0.294,0.379,0.414,0.205,0,0.414
"P34","Buena",0.148,0.199,0.136,0.112,0.03,0.09,0.051,0.175,0.083
"P34","Ni buena ni mala",0.185,0.138,0.233,0.204,0.228,0.12,0.275,0.676,0.218
"P34","Mala",0.194,0.048,0.044,0,0.018,0.083,0.082,0.149,0.082
"P34","Muy mala",0.195,0.196,0.169,0.39,0.241,0.229,0.112,0,0.147
"P34","No sabe",0.046,0.033,0.091,0,0.104,0.064,0.275,0,0.056
"P35","Muy buena",0.121,0.155,0.25,0.096,0.133,0.083,0.099,0,0.124
"P35","Buena",0.127,0.202,0.125,0.081,0.102,0.105,0,0.411,0.081
"P35","Ni buena ni mala",0.324,0.34,0.313,0.152,0.248,0.217,0.394,0.15,0.221
"P35","Mala",0.137,0.059,0.167,0.251,0.127,0.238,0.123,0,0.103
"P35","Muy mala",0.153,0.162,0.038,0.369,0.199,0.189,0.183,0,0.297
"P35","No sabe",0.138,0.082,0.107,0.051,0.191,0.168,0.201,0.439,0.174
"P36","Muy buena",0.097,0.136,0.107,0.051,0,0.077,0.028,0,0.114
"P36","Buena",0.064,0.125,0.095,0.051,0.16,0.077,0.064,0.236,0.089
"P36","Ni buena ni mala",0.39,0.419,0.355,0.277,0.427,0.493,0.188,0.15,0.285
"P36","Mala",0.143,0.075,0.113,0.16,0.056,0.109,0.178,0,0.094
"P36","Muy mala",0.094,0.093,0.08,0.411,0.056,0.048,0.138,0,0.095
"P36","No sabe",0.212,0.152,0.25,0.05,0.301,0.196,0.404,0.614,0.323
"P37","Muy buena",0.104,0.121,0.094,0.062,0.036,0.02,0.343,0,0.176
"P37","Buena",0.046,0.273,0.06,0.06,0.247,0.154,0.135,0,0.145
"P37","Ni buena ni mala",0.383,0.325,0.372,0.361,0.414,0.352,0.061,0.386,0.268
"P37","Mala",0.148,0.11,0.062,0,0.033,0.226,0.023,0,0.085
"P37","Muy mala",0.086,0.039,0.12,0.344,0.045,0.028,0.219,0,0.066
"P37","No sabe",0.233,0.132,0.292,0.173,0.225,0.22,0.219,0.614,0.26
"P38","Muy buena",0.144,0.159,0.102,0.1,0.255,0.272,0.178,0,0.239
"P38","Buena",0.098,0.279,0.251,0.207,0.174,0.165,0.256,0,0.175
"P38","Ni buena ni mala",0.253,0.253,0.294,0.258,0.24,0.178,0.033,0.386,0.176
"P38","Mala",0.248,0.157,0.042,0.05,0.045,0.27,0.135,0,0.14
"P38","Muy mala",0.171,0.054,0.17,0.364,0.143,0.041,0.398,0,0.108
"P38","No sabe",0.086,0.098,0.141,0.021,0.143,0.074,0,0.614,0.162
"P39","Que continúe el intendente Fernando Moreira",0.119,0.184,0.135,0.112,0.355,0.267,0.219,0,0.199
"P39","Que continúe Fernando Moreira pero con mejoras",0.154,0.349,0.289,0.208,0.162,0.252,0.187,0.175,0.283
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.193,0.237,0.224,0.051,0.126,0.109,0.125,0.439,0.15
"P39","Que cambie el intendente Fernando Moreira",0.534,0.23,0.352,0.629,0.357,0.372,0.469,0.386,0.368
"P40","La seguridad",0.099,0.151,0.12,0.013,0.057,0.099,0,0.439,0.073
"P40","El tránsito",0.061,0.199,0.035,0,0.042,0.013,0,0,0.025
"P40","El arreglo de las calles",0.14,0.169,0.256,0.089,0.156,0.172,0.017,0,0.073
"P40","Los parques y espacios públicos",0.229,0.195,0.176,0.684,0.127,0.316,0.208,0,0.176
"P40","El sistema de salud",0.041,0,0.042,0,0.133,0.083,0.014,0,0.046
"P40","La limpieza de las calles",0.04,0.014,0.016,0,0.008,0.029,0.027,0,0.011
"P40","El deporte y la cultura",0.062,0.127,0.057,0.129,0.182,0.114,0.622,0,0.062
"P40","La luminaria",0.062,0.039,0.107,0.031,0.041,0.035,0.112,0.561,0.012
"P40","No sabe",0.266,0.106,0.191,0.054,0.254,0.139,0,0,0.522
"P42","Agua corriente y cloacas",0.488,0.117,0.302,0.112,0.371,0.298,0.384,0.44,0.136
"P42","Energía eléctrica",0.158,0.455,0.15,0.315,0.117,0.068,0,0,0.153
"P42","Red de gas natural",0.02,0.068,0.193,0.08,0.025,0.049,0.059,0.234,0.008
"P42","Recolección de residuos",0.117,0.226,0.182,0.339,0.062,0.328,0.437,0.14,0.173
"P42","Ninguno",0.217,0.134,0.173,0.154,0.425,0.257,0.12,0.186,0.53
"P43","Los robos",0.377,0.325,0.224,0.297,0.377,0.209,0.33,0,0.218
"P43","El narcotráfico",0.348,0.26,0.312,0.36,0.176,0.422,0.107,0.584,0.277
"P43","La ausencia de patrulleros y personal policial",0.184,0.277,0.307,0.203,0.319,0.169,0.232,0.233,0.059
"P43","Otro",0.054,0.124,0.092,0.069,0.036,0.056,0.252,0,0.203
"P43","Ninguno",0.037,0.014,0.065,0.071,0.092,0.144,0.079,0.183,0.243
