"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0.005,0.081,0.072,0.021,0.045
"P27","No sabe",0.058,0,0.07,0.03,0.055
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.204,0.287,0.237,0.195,0.209
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.391,0.314,0.289,0.302,0.354
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.155,0.163,0.086,0.14,0.104
"P28","Solo como gobernador a José Luis Espert",0.06,0.047,0.158,0.121,0.103
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0.044,0.07,0.102,0.055,0.069
"P28","No sabe",0.146,0.119,0.128,0.187,0.161
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.295,0.439,0.358,0.391,0.241
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.411,0.32,0.309,0.273,0.452
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.134,0.116,0.103,0.092,0.1
"P29","Solo como gobernador a José Luis Espert",0.026,0,0.045,0.064,0.054
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0.017,0.013,0.013,0.055,0.005
"P29","No sabe",0.117,0.112,0.172,0.125,0.148
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.287,0.344,0.341,0.328,0.217
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.412,0.31,0.309,0.317,0.438
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.152,0.115,0.086,0.101,0.093
"P30","Solo como gobernador a José Luis Espert",0.05,0.055,0.034,0.125,0.076
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0.019,0.044,0.072,0.03,0.008
"P30","No sabe",0.08,0.132,0.158,0.099,0.168
"P31","Muy buena",0.163,0.076,0.176,0.029,0.078
"P31","Buena",0.097,0.169,0.154,0.181,0.048
"P31","Ni buena ni mala",0.327,0.344,0.334,0.352,0.307
"P31","Mala",0.092,0.073,0.162,0.104,0.106
"P31","Muy mala",0.092,0.076,0.041,0.113,0.094
"P31","No sabe",0.229,0.262,0.133,0.221,0.367
"P32","Muy buena",0.203,0.039,0.028,0.057,0.159
"P32","Buena",0.118,0.216,0.132,0.143,0.109
"P32","Ni buena ni mala",0.28,0.254,0.53,0.298,0.268
"P32","Mala",0.109,0.177,0.103,0.239,0.115
"P32","Muy mala",0.103,0.182,0.046,0.172,0.107
"P32","No sabe",0.187,0.132,0.161,0.091,0.242
"P33","Muy buena",0.083,0.076,0.04,0.071,0.04
"P33","Buena",0.1,0.199,0.115,0.14,0.074
"P33","Ni buena ni mala",0.313,0.18,0.566,0.386,0.276
"P33","Mala",0.137,0.165,0.06,0.123,0.093
"P33","Muy mala",0.151,0.176,0.089,0.145,0.147
"P33","No sabe",0.216,0.204,0.13,0.135,0.37
"P34","Muy buena",0.285,0.211,0.228,0.212,0.39
"P34","Buena",0.131,0.139,0.286,0.137,0.086
"P34","Ni buena ni mala",0.171,0.172,0.251,0.266,0.203
"P34","Mala",0.177,0.217,0.025,0.106,0.054
"P34","Muy mala",0.177,0.207,0.182,0.248,0.194
"P34","No sabe",0.059,0.054,0.028,0.031,0.073
"P35","Muy buena",0.153,0.129,0.221,0.136,0.099
"P35","Buena",0.1,0.157,0.241,0.124,0.108
"P35","Ni buena ni mala",0.289,0.273,0.163,0.391,0.267
"P35","Mala",0.147,0.094,0.165,0.116,0.158
"P35","Muy mala",0.183,0.217,0.193,0.156,0.151
"P35","No sabe",0.128,0.13,0.017,0.077,0.217
"P36","Muy buena",0.11,0.145,0.107,0.085,0.039
"P36","Buena",0.092,0.054,0.141,0.078,0.086
"P36","Ni buena ni mala",0.382,0.363,0.37,0.368,0.342
"P36","Mala",0.104,0.156,0.148,0.21,0.09
"P36","Muy mala",0.111,0.16,0.099,0.075,0.063
"P36","No sabe",0.201,0.122,0.135,0.184,0.38
"P37","Muy buena",0.137,0.087,0.074,0.11,0.109
"P37","Buena",0.089,0.124,0.014,0.094,0.097
"P37","Ni buena ni mala",0.369,0.413,0.504,0.284,0.308
"P37","Mala",0.139,0.092,0.161,0.137,0.079
"P37","Muy mala",0.085,0.1,0.08,0.129,0.065
"P37","No sabe",0.181,0.184,0.167,0.246,0.342
"P38","Muy buena",0.196,0.088,0.046,0.103,0.221
"P38","Buena",0.132,0.183,0.165,0.138,0.164
"P38","Ni buena ni mala",0.21,0.324,0.456,0.254,0.18
"P38","Mala",0.205,0.17,0.113,0.222,0.156
"P38","Muy mala",0.157,0.175,0.132,0.243,0.111
"P38","No sabe",0.1,0.06,0.088,0.04,0.168
"P39","Que continúe el intendente Fernando Moreira",0.164,0.145,0.046,0.132,0.187
"P39","Que continúe Fernando Moreira pero con mejoras",0.186,0.24,0.249,0.141,0.227
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.206,0.159,0.318,0.157,0.159
"P39","Que cambie el intendente Fernando Moreira",0.444,0.456,0.387,0.57,0.427
"P40","La seguridad",0.116,0.095,0.088,0.036,0.113
"P40","El tránsito",0.058,0.101,0.041,0.026,0.038
"P40","El arreglo de las calles",0.157,0.08,0.208,0.152,0.128
"P40","Los parques y espacios públicos",0.252,0.224,0.278,0.21,0.199
"P40","El sistema de salud",0.068,0.006,0,0.031,0.056
"P40","La limpieza de las calles",0.025,0.027,0.022,0.01,0.048
"P40","El deporte y la cultura",0.091,0.086,0.087,0.176,0.082
"P40","La luminaria",0.009,0.086,0.063,0.086,0.084
