"var","categoria","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri","En juntos por el Cambio,a Mauricio D’alessandro","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa","En el frente de todos, a Leonardo Grosso","Al candidato de Javier Milei","Al Candidato de la izquierda","No sabe"
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.32,0.172,0.267,0.03,0.09,0.009,0.157,0,0.142
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.048,0.079,0.103,0.256,0.167,0.164,0,0,0.098
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0,0.182,0.039,0.432,0.482,0.706,0.045,0.262,0.121
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.021,0.039,0,0.024,0.029,0,0.528,0.399,0.023
"P27","Solo como gobernador a José Luis Espert",0,0.03,0.007,0.012,0,0,0.149,0.025,0.007
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.008,0.015,0.044,0.012,0.021,0,0.163,0.112
"P27","No sabe",0.02,0.037,0,0.047,0.089,0.008,0,0.12,0.209
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.521,0.396,0.338,0.072,0.131,0.178,0.029,0.03,0.242
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.058,0.133,0.249,0.618,0.465,0.675,0.018,0.234,0.116
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.149,0.158,0.138,0.046,0.105,0.009,0.612,0,0.049
"P28","Solo como gobernador a José Luis Espert",0.123,0.119,0.215,0.03,0.033,0.007,0.167,0,0.093
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0.02,0.045,0,0.085,0.058,0.089,0.03,0.558,0.088
"P28","No sabe",0.129,0.149,0.06,0.149,0.208,0.042,0.144,0.178,0.412
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.823,0.5,0.665,0.066,0.178,0.105,0.152,0,0.299
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.015,0.152,0.183,0.732,0.499,0.766,0.018,0.273,0.149
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.062,0.102,0.067,0.051,0.087,0.059,0.623,0,0.05
"P29","Solo como gobernador a José Luis Espert",0.017,0.033,0,0.015,0.015,0,0.175,0.03,0.017
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0.005,0.027,0,0.003,0.008,0.026,0,0.58,0.093
"P29","No sabe",0.078,0.186,0.085,0.133,0.213,0.044,0.032,0.117,0.392
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.774,0.504,0.584,0.05,0.17,0.112,0.133,0,0.24
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.009,0.168,0.171,0.718,0.447,0.793,0,0.247,0.159
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.043,0.089,0.089,0.049,0.101,0.01,0.639,0.192,0.141
"P30","Solo como gobernador a José Luis Espert",0.109,0.083,0.047,0.036,0.015,0,0.21,0,0.123
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0.006,0.02,0,0.026,0.007,0.037,0,0.409,0.058
"P30","No sabe",0.059,0.136,0.109,0.121,0.26,0.048,0.018,0.152,0.279
"P31","Muy buena",0.251,0.128,0.167,0.079,0.15,0.065,0.015,0,0.097
"P31","Buena",0.185,0.167,0.176,0.102,0.125,0.028,0,0,0.074
"P31","Ni buena ni mala",0.344,0.318,0.354,0.321,0.329,0.168,0.394,0.032,0.35
"P31","Mala",0.024,0.079,0.063,0.105,0.043,0.154,0.177,0.088,0.046
"P31","Muy mala",0,0.038,0,0.116,0.018,0.311,0.108,0.429,0.079
"P31","No sabe",0.196,0.27,0.24,0.277,0.335,0.274,0.306,0.451,0.354
"P32","Muy buena",0.062,0.09,0.033,0.23,0.146,0.271,0,0.193,0.087
"P32","Buena",0.064,0.05,0.011,0.212,0.209,0.171,0.006,0.12,0.04
"P32","Ni buena ni mala",0.347,0.308,0.312,0.293,0.254,0.181,0.209,0.359,0.38
"P32","Mala",0.183,0.153,0.284,0.071,0.128,0.071,0.256,0.119,0.068
"P32","Muy mala",0.203,0.158,0.132,0.06,0.071,0.065,0.264,0,0.125
"P32","No sabe",0.141,0.241,0.228,0.134,0.192,0.241,0.265,0.209,0.3
"P33","Muy buena",0.08,0.108,0.057,0.09,0.049,0.028,0.018,0.267,0.068
"P33","Buena",0.167,0.269,0.137,0.066,0.077,0.047,0.01,0,0.049
"P33","Ni buena ni mala",0.32,0.266,0.338,0.337,0.273,0.22,0.223,0.149,0.288
"P33","Mala",0.173,0.025,0.115,0.125,0.148,0.158,0.153,0.231,0.067
"P33","Muy mala",0.096,0.076,0.039,0.13,0.137,0.425,0.254,0.032,0.154
"P33","No sabe",0.164,0.256,0.314,0.252,0.316,0.122,0.342,0.321,0.374
"P34","Muy buena",0.041,0.093,0.035,0.592,0.28,0.46,0.039,0.246,0.063
"P34","Buena",0.042,0.138,0.093,0.149,0.195,0.178,0.064,0.178,0.089
"P34","Ni buena ni mala",0.265,0.191,0.263,0.097,0.233,0.229,0.276,0.082,0.351
"P34","Mala",0.229,0.218,0.251,0.035,0.076,0.049,0.241,0.14,0.088
"P34","Muy mala",0.342,0.231,0.287,0.073,0.165,0.04,0.316,0.265,0.266
"P34","No sabe",0.081,0.129,0.071,0.054,0.051,0.044,0.064,0.089,0.143
"P35","Muy buena",0.165,0.117,0.453,0.112,0.147,0.144,0.077,0,0.04
"P35","Buena",0.182,0.141,0.255,0.06,0.141,0.201,0.144,0,0.111
"P35","Ni buena ni mala",0.358,0.322,0.223,0.268,0.357,0.075,0.204,0.36,0.373
"P35","Mala",0.062,0.128,0,0.216,0.103,0.116,0.103,0.081,0.039
"P35","Muy mala",0.148,0.127,0.069,0.205,0.13,0.297,0.237,0.16,0.205
"P35","No sabe",0.085,0.165,0,0.139,0.122,0.167,0.235,0.399,0.232
"P36","Muy buena",0.055,0.072,0.098,0.109,0.223,0.023,0.063,0.051,0.046
"P36","Buena",0.023,0.081,0.08,0.13,0.062,0.137,0.082,0,0.029
"P36","Ni buena ni mala",0.405,0.438,0.374,0.356,0.331,0.386,0.145,0.366,0.339
"P36","Mala",0.255,0.075,0.14,0.094,0.072,0.082,0.199,0.069,0.08
"P36","Muy mala",0.108,0.096,0.024,0.084,0.039,0.123,0.242,0,0.123
"P36","No sabe",0.154,0.238,0.284,0.227,0.273,0.249,0.269,0.514,0.383
"P37","Muy buena",0,0.102,0,0.103,0.126,0.695,0,0.263,0
"P37","Buena",0.033,0.027,0.039,0.175,0.063,0.15,0.019,0.032,0.095
"P37","Ni buena ni mala",0.361,0.424,0.359,0.367,0.392,0.115,0.181,0.457,0.274
"P37","Mala",0.216,0.147,0.21,0.091,0.064,0,0.166,0,0.032
"P37","Muy mala",0.162,0.063,0.052,0.07,0.057,0,0.266,0,0.218
"P37","No sabe",0.228,0.237,0.34,0.194,0.298,0.04,0.368,0.248,0.381
"P38","Muy buena",0.009,0.069,0,0.298,0.25,0.337,0,0.072,0.031
"P38","Buena",0.01,0.077,0.012,0.254,0.19,0.235,0.043,0.247,0.045
"P38","Ni buena ni mala",0.224,0.278,0.199,0.221,0.228,0.25,0.166,0.102,0.377
"P38","Mala",0.314,0.272,0.507,0.057,0.07,0.098,0.226,0.36,0.178
"P38","Muy mala",0.317,0.189,0.125,0.062,0.205,0.04,0.381,0.089,0.223
"P38","No sabe",0.126,0.115,0.157,0.108,0.057,0.04,0.184,0.13,0.146
"P39","Que continúe el intendente Fernando Moreira",0.042,0.129,0.021,0.279,0.191,0.156,0.035,0.305,0.038
"P39","Que continúe Fernando Moreira pero con mejoras",0.01,0.051,0.061,0.345,0.38,0.278,0.052,0.467,0.149
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.178,0.176,0.093,0.217,0.128,0.317,0.114,0.075,0.206
"P39","Que cambie el intendente Fernando Moreira",0.77,0.644,0.825,0.159,0.301,0.249,0.799,0.153,0.607
"P40","La seguridad",0.055,0.12,0.02,0.137,0.118,0.082,0.043,0,0.042
"P40","El tránsito",0.015,0.022,0.051,0.073,0.164,0.056,0.033,0,0.074
"P40","El arreglo de las calles",0.076,0.129,0.06,0.197,0.157,0.125,0.052,0.042,0.145
"P40","Los parques y espacios públicos",0.361,0.223,0.27,0.231,0.134,0.164,0.195,0.084,0.164
"P40","El sistema de salud",0,0.009,0,0.048,0.113,0.18,0.001,0.224,0.055
"P40","La limpieza de las calles",0.048,0.017,0.037,0.024,0.024,0.008,0.039,0.088,0.023
"P40","El deporte y la cultura",0.07,0.114,0,0.122,0.04,0.178,0.058,0.183,0.068
"P40","La luminaria",0.085,0.108,0.109,0.014,0.088,0.056,0.079,0.264,0.025
"P40","No sabe",0.29,0.258,0.453,0.154,0.162,0.151,0.5,0.115,0.404
"P41","La seguridad",0.589,0.596,0.676,0.468,0.7,0.41,0.613,0.197,0.586
"P41","El tránsito",0.03,0.055,0.013,0.092,0.086,0.073,0.028,0,0.012
"P41","El arreglo de las calles",0.145,0.076,0.144,0.081,0.088,0.104,0.012,0,0.078
"P41","Los parques y espacios públicos",0,0.05,0.04,0.058,0.01,0,0.047,0.032,0.012
"P41","El sistema de salud",0.068,0.047,0.014,0.088,0.059,0.084,0.101,0.039,0.041
"P41","La limpieza de las calles",0.061,0.037,0,0.069,0.04,0,0,0.053,0
"P41","El deporte y la cultura",0.053,0.034,0,0.02,0,0.073,0,0.255,0.092
"P41","La luminaria",0,0.039,0,0,0,0.022,0,0,0
"P41","No sabe",0.054,0.066,0.113,0.124,0.017,0.234,0.199,0.424,0.179
"P42","Agua corriente y cloacas",0.437,0.448,0.461,0.366,0.326,0.336,0.246,0.22,0.403
"P42","Energía eléctrica",0.125,0.168,0.152,0.173,0.219,0.084,0.27,0.12,0.114
"P42","Red de gas natural",0.052,0.058,0.075,0.041,0.036,0,0,0.038,0.079
"P42","Recolección de residuos",0.211,0.183,0.176,0.109,0.169,0.152,0.154,0.302,0.184
"P42","Ninguno",0.175,0.143,0.136,0.311,0.25,0.428,0.33,0.32,0.22
"P43","Los robos",0.259,0.37,0.31,0.304,0.388,0.221,0.311,0.032,0.567
"P43","El narcotráfico",0.384,0.347,0.351,0.286,0.319,0.369,0.321,0.267,0.227
"P43","La ausencia de patrulleros y personal policial",0.293,0.185,0.297,0.206,0.087,0.152,0.253,0.127,0.081
"P43","Otro",0.039,0.054,0.042,0.085,0.143,0.047,0.092,0.481,0.106
"P43","Ninguno",0.025,0.044,0,0.119,0.063,0.211,0.023,0.093,0.019
