"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P23","Agua corriente y cloacas",0.415,0.491,0.326,0.351,0.495
"P23","Energía eléctrica",0.161,0.088,0.255,0.048,0.133
"P23","Red de gas natural",0.086,0.082,0.101,0.059,0.031
"P23","Recolección de residuos",0.138,0.129,0.16,0.277,0.051
"P23","Ninguno",0.2,0.21,0.158,0.265,0.29
"P24","Los robos",0.282,0.246,0.432,0.164,0.133
"P24","El narcotráfico",0.235,0.324,0.254,0.138,0.256
"P24","La ausencia de patrulleros y personal policial",0.133,0.173,0.163,0.287,0.276
"P24","Otro",0.17,0.158,0.137,0.4,0.24
"P24","Ninguno",0.18,0.099,0.014,0.011,0.095
"P25","Frente de Todos y el peronismo",0.726,0.104,0.108,0.408,0.357
"P25","Cambiemos",0.092,0.585,0.112,0.072,0.175
"P25","Liberales Libertarios",0.055,0.118,0.697,0.182,0.189
"P25","Izquierda",0.018,0.045,0,0.305,0.017
"P25","No sabe",0.109,0.148,0.083,0.033,0.262
"P27","A Alberto Fernández",0.21,0.335,0,0.033,0.489
"P27","A Sergio Massa",0.233,0.418,0,0.025,0.096
"P27","A algún candidato del peronismo",0.213,0.181,0.19,0.054,0.162
"P27","A algún candidato del kirchnerismo",0.344,0.066,0.81,0.888,0.253
"P28","A Alberto Fernández",0.09,0.324,0,0.088,0.306
"P28","A Sergio Massa",0.171,0.149,0.031,0.025,0.086
"P28","A algún candidato del peronismo",0.196,0.225,0.162,0,0.314
"P28","A Cristina Fernández de Kirchner",0.543,0.302,0.807,0.887,0.294
"P29","A Horacio Rodriguez Larreta",0.37,0.342,0.055,0.446,0.431
"P29","A Mauricio Macri",0.124,0.345,0.697,0,0.121
"P29","A Patricia Bullrich",0.293,0.25,0.023,0.554,0.39
"P29","A Facundo Manes",0.196,0.041,0.012,0,0.058
"P29","A Gerardo Morales",0.017,0.022,0.213,0,0
"P30","Seguro lo votaria",0.247,0.24,0.375,0.379,0.061
"P30","Quizás lo votaría",0.253,0.388,0.249,0,0.493
"P30","Nunca lo votaría",0.5,0.372,0.376,0.621,0.446
"P31","Muy buena",0.157,0.041,0.014,0,0.082
"P31","Buena",0.246,0.057,0.002,0.117,0.147
"P31","Ni buena ni mala",0.294,0.101,0.135,0.27,0.196
"P31","Mala",0.185,0.121,0.049,0.397,0.218
"P31","Muy mala",0.118,0.666,0.757,0.216,0.33
"P31","No sabe",0,0.014,0.043,0,0.027
"P32","Muy buena",0.083,0.249,0.083,0.022,0.076
"P32","Buena",0.091,0.276,0.191,0.165,0.093
"P32","Ni buena ni mala",0.125,0.183,0.313,0.052,0.16
"P32","Mala",0.168,0.083,0.198,0.057,0.299
"P32","Muy mala",0.533,0.201,0.215,0.704,0.302
"P32","No sabe",0,0.008,0,0,0.07
"P33","Muy buena",0.514,0.137,0.027,0.576,0.285
"P33","Buena",0.099,0.032,0.008,0.096,0.034
"P33","Ni buena ni mala",0.063,0.091,0.068,0.09,0.149
"P33","Mala",0.095,0.037,0.042,0.059,0.071
"P33","Muy mala",0.211,0.688,0.855,0.179,0.45
"P33","No sabe",0.018,0.015,0,0,0.011
"P34","Muy buena",0.093,0.253,0.011,0.184,0.037
"P34","Buena",0.152,0.329,0.188,0.037,0.173
"P34","Ni buena ni mala",0.158,0.164,0.275,0.103,0.313
"P34","Mala",0.155,0.091,0.176,0.148,0.13
"P34","Muy mala",0.439,0.151,0.343,0.528,0.256
"P34","No sabe",0.003,0.012,0.007,0,0.091
"P35","Muy buena",0.161,0.077,0.002,0,0.114
"P35","Buena",0.426,0.097,0.084,0.097,0.155
"P35","Ni buena ni mala",0.217,0.096,0.097,0.32,0.263
"P35","Mala",0.103,0.172,0.102,0.121,0.162
"P35","Muy mala",0.087,0.553,0.715,0.462,0.291
"P35","No sabe",0.006,0.005,0,0,0.015
"P36","Muy buena",0.051,0.445,0.167,0.029,0.123
"P36","Buena",0.142,0.211,0.232,0.025,0.153
"P36","Ni buena ni mala",0.108,0.136,0.219,0.244,0.1
"P36","Mala",0.142,0.044,0.138,0.108,0.236
"P36","Muy mala",0.529,0.159,0.226,0.594,0.296
"P36","No sabe",0.028,0.005,0.018,0,0.092
"P37","Muy buena",0.047,0.195,0.443,0,0.116
"P37","Buena",0.063,0.193,0.183,0.185,0.039
"P37","Ni buena ni mala",0.141,0.327,0.261,0.024,0.253
"P37","Mala",0.135,0.113,0,0.059,0.16
"P37","Muy mala",0.569,0.125,0.113,0.732,0.297
"P37","No sabe",0.045,0.047,0,0,0.135
