"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P31","Muy buena",0.115,0.053,0.045,0,0.105
"P31","Buena",0.223,0.045,0.064,0.139,0.08
"P31","Ni buena ni mala",0.309,0.055,0.108,0.309,0.188
"P31","Mala",0.186,0.121,0.074,0.168,0.238
"P31","Muy mala",0.166,0.714,0.658,0.384,0.356
"P31","No sabe",0.001,0.012,0.051,0,0.033
"P32","Muy buena",0.067,0.26,0.18,0.04,0.043
"P32","Buena",0.1,0.305,0.142,0.07,0.153
"P32","Ni buena ni mala",0.129,0.187,0.26,0.073,0.244
"P32","Mala",0.17,0.101,0.199,0.31,0.127
"P32","Muy mala",0.532,0.138,0.219,0.507,0.354
"P32","No sabe",0.002,0.009,0,0,0.079
"P33","Muy buena",0.509,0.069,0.132,0.295,0.249
"P33","Buena",0.077,0.052,0.021,0.025,0.023
"P33","Ni buena ni mala",0.087,0.055,0.06,0.314,0.11
"P33","Mala",0.096,0.046,0.028,0.081,0.018
"P33","Muy mala",0.228,0.767,0.751,0.285,0.532
"P33","No sabe",0.003,0.011,0.008,0,0.068
"P34","Muy buena",0.072,0.28,0.036,0.133,0.085
"P34","Buena",0.159,0.305,0.186,0.236,0.231
"P34","Ni buena ni mala",0.178,0.227,0.218,0.049,0.207
"P34","Mala",0.179,0.045,0.206,0.129,0.1
"P34","Muy mala",0.408,0.132,0.354,0.453,0.256
"P34","No sabe",0.004,0.011,0,0,0.121
"P35","Muy buena",0.145,0.061,0.017,0.1,0.114
"P35","Buena",0.382,0.089,0.069,0.178,0.122
"P35","Ni buena ni mala",0.21,0.075,0.173,0.057,0.303
"P35","Mala",0.133,0.184,0.08,0.133,0.081
"P35","Muy mala",0.121,0.587,0.659,0.532,0.375
"P35","No sabe",0.009,0.004,0.002,0,0.005
"P36","Muy buena",0.081,0.413,0.293,0.084,0.121
"P36","Buena",0.117,0.282,0.151,0.126,0.157
"P36","Ni buena ni mala",0.111,0.138,0.174,0.196,0.173
"P36","Mala",0.163,0.051,0.142,0.069,0.124
"P36","Muy mala",0.497,0.11,0.237,0.525,0.321
"P36","No sabe",0.031,0.006,0.003,0,0.104
"P37","Muy buena",0.063,0.156,0.47,0.162,0.158
"P37","Buena",0.06,0.215,0.14,0.112,0.124
"P37","Ni buena ni mala",0.179,0.374,0.208,0.022,0.172
"P37","Mala",0.105,0.139,0.045,0.081,0.132
"P37","Muy mala",0.536,0.094,0.109,0.623,0.269
"P37","No sabe",0.057,0.022,0.028,0,0.145
