"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P22","Wado de Pedro por el Frente de Todos",0.021,0.005,0.658,0.12,0.003,0.187,0.019
"P22","Daniel Scioli por el Frente de Todos",0.007,0.002,0.067,0.416,0.017,0.048,0.042
"P22","Javier Milei por los liberales libertarios",0.048,0.025,0.001,0,0.774,0.038,0.025
"P22","Al candidato del Frente de Izquierda",0,0.004,0.028,0.013,0,0.381,0.029
"P22","No sabe",0.031,0.019,0.03,0.041,0.046,0.12,0.409
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.557,0.026,0.006,0.001,0.005,0,0.037
"P23","Patricia Bullrich por Juntos por el Cambio",0.062,0.808,0.007,0.005,0.051,0,0.055
"P23","María Eugenia Vidal por Juntos por el Cambio",0.171,0.088,0.022,0.005,0.03,0.027,0.042
"P23","Facundo Manes por Juntos por el Cambio",0.089,0.032,0.011,0.019,0.019,0.115,0.075
"P23","Sergio Massa por el Frente de Todos",0.036,0.014,0.145,0.297,0.046,0.084,0.22
"P23","Wado de Pedro por el Frente de Todos",0.013,0.004,0.674,0.094,0.005,0.148,0.037
"P23","Daniel Scioli por el Frente de Todos",0.019,0.002,0.07,0.523,0.004,0.003,0.044
"P23","Javier Milei por los liberales libertarios",0.035,0.018,0,0.002,0.82,0.038,0.018
"P23","Al candidato del Frente de Izquierda",0,0,0.038,0.014,0.001,0.462,0.002
"P23","No sabe",0.018,0.008,0.027,0.04,0.019,0.123,0.47
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.521,0.023,0.004,0.003,0.016,0.02,0.042
"P24","Patricia Bullrich por Juntos por el Cambio",0.085,0.832,0.008,0.004,0.056,0,0.04
"P24","María Eugenia Vidal por Juntos por el Cambio",0.149,0.074,0.014,0.011,0.03,0.027,0.041
"P24","Facundo Manes por Juntos por el Cambio",0.1,0.04,0.014,0.017,0.013,0.092,0.093
"P24","Sergio Massa por el Frente de Todos",0.037,0.005,0.155,0.337,0.032,0.085,0.199
"P24","Wado de Pedro por el Frente de Todos",0.001,0,0.711,0.2,0.012,0.147,0.035
"P24","Alberto Fernández por el Frente de Todos",0.028,0.009,0.052,0.315,0.023,0.03,0.117
"P24","Javier Milei por los liberales libertarios",0.053,0.013,0.004,0.002,0.793,0.049,0.018
"P24","Al candidato del Frente de Izquierda",0,0,0.022,0.009,0.002,0.393,0.013
"P24","No sabe",0.026,0.004,0.016,0.102,0.023,0.157,0.402
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.545,0.038,0.005,0.004,0.014,0.053,0.045
"P25","Patricia Bullrich por Juntos por el Cambio",0.099,0.706,0.013,0.004,0.034,0.031,0.043
"P25","Facundo Manes por Juntos por el Cambio",0.083,0.207,0.008,0.006,0.039,0.039,0.09
"P25","Sergio Massa por el Frente de Todos",0.052,0.014,0.141,0.291,0.013,0.032,0.193
"P25","Wado de Pedro por el Frente de Todos",0.013,0.002,0.66,0.147,0.043,0.064,0.057
"P25","Daniel Scioli por el Frente de Todos",0.018,0.003,0.134,0.462,0.02,0.173,0.08
"P25","Javier Milei por los liberales libertario",0.149,0.016,0.005,0.046,0.394,0.078,0.041
"P25","Al candidato del Frente de Izquierda",0.021,0.005,0.003,0.015,0.439,0.292,0.006
"P25","No sabe",0.02,0.009,0.031,0.025,0.004,0.238,0.445
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.724,0.05,0.014,0.006,0.01,0.016,0.008
"P26","Patricia Bulrich por Juntos por el Cambio",0.101,0.877,0.022,0.029,0.046,0.003,0.053
"P26","Alberto Fernández por el Frente de Todos",0.048,0.011,0.171,0.249,0.013,0.051,0.154
"P26","Sergio Massa por el Frente de Todos",0.039,0.006,0.523,0.508,0.032,0.092,0.164
"P26","Javier Milei por los liberales libertarios",0.055,0.039,0.025,0.01,0.833,0.021,0.029
"P26","Al candidato del Frente de Izquierda",0.02,0.005,0.084,0.061,0.008,0.687,0.003
"P26","No sabe",0.013,0.012,0.161,0.137,0.058,0.13,0.589
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.787,0.034,0.018,0.018,0.005,0.006,0.029
"P27","Patricia Bullrich por Juntos por el Cambio",0.062,0.924,0.011,0.005,0.029,0.005,0.028
"P27","Wado de Pedro por el Frente de Todos",0.003,0.001,0.716,0.217,0.005,0.025,0.033
"P27","Sergio Massa por el Frente de Todos",0.065,0.01,0.199,0.596,0.021,0.074,0.226
"P27","Javier Milei por los liberales libertarios",0.052,0.022,0.001,0.003,0.923,0.017,0.013
"P27","Al candidato del Frente de Izquierda",0.002,0.002,0.03,0.017,0.001,0.749,0.014
"P27","No sabe",0.029,0.007,0.025,0.144,0.016,0.124,0.657
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.688,0.179,0.013,0.005,0.016,0.006,0.042
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.163,0.737,0.014,0.012,0.028,0.014,0.028
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.064,0.016,0.187,0.466,0.023,0.077,0.202
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.04,0.006,0.704,0.349,0.001,0.008,0.057
"P29","Javier Milei presidente y su candidato a vice",0.016,0.019,0.003,0.015,0.913,0.072,0.029
"P29","A los candidatos de la izquierda",0,0.001,0.013,0.012,0.003,0.683,0.024
"P29","No sabe",0.029,0.042,0.066,0.141,0.016,0.14,0.618
"P30","Alberto Fernández por el Frente de Todos",0.092,0.033,0.636,0.656,0.025,0.179,0.237
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.804,0.447,0.042,0.02,0.027,0.016,0.038
"P30","Javier Milei por los liberales libertarios",0.047,0.265,0.018,0.041,0.865,0.045,0.017
"P30","Al candidato del Frente de Izquierda",0.018,0.013,0.081,0.056,0.012,0.684,0.033
"P30","No sabe",0.039,0.242,0.223,0.227,0.071,0.076,0.675
"P31","Sergio Massa por el Frente de Todos",0.062,0.015,0.676,0.723,0.042,0.211,0.283
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.85,0.489,0.033,0.028,0.008,0.022,0.069
"P31","Javier Milei por los liberales libertarios",0.052,0.27,0.027,0.006,0.882,0.045,0.024
"P31","Al candidato del Frente de Izquierda",0.009,0.019,0.075,0.048,0.014,0.583,0.023
"P31","No sabe",0.027,0.207,0.189,0.195,0.054,0.139,0.601
"P32","Wado de Pedro por el Frente de Todos",0.021,0.01,0.921,0.64,0.029,0.186,0.153
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.903,0.511,0.005,0.027,0.026,0.048,0.074
"P32","Javier Milei por los liberales libertarios",0.032,0.274,0.004,0.019,0.887,0.026,0.013
"P32","Al candidato del Frente de Izquierda",0.014,0.012,0.019,0.022,0.005,0.6,0.021
"P32","No sabe",0.03,0.193,0.051,0.292,0.053,0.14,0.739
"P33","Daniel Scioli por el Frente de Todos",0.051,0.015,0.738,0.888,0.022,0.181,0.164
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.874,0.54,0.034,0.021,0.017,0.009,0.058
"P33","Javier Milei por los liberales libertarios",0.021,0.271,0.006,0.003,0.905,0.03,0.012
"P33","Al candidato del Frente de Izquierda",0.014,0.013,0.069,0.013,0.002,0.661,0.019
"P33","No sabe",0.04,0.161,0.153,0.075,0.054,0.119,0.747
"P34","Sergio Massa por el Frente de Todos",0.114,0.012,0.724,0.751,0.035,0.289,0.271
"P34","Patricia Bullrich por Juntos por el Cambio",0.603,0.902,0.014,0.026,0.079,0,0.062
"P34","Javier Milei por los liberales libertarios",0.116,0.053,0.015,0.005,0.84,0.052,0.02
"P34","Al candidato del Frente de Izquierda",0.034,0.001,0.075,0.041,0.003,0.566,0.02
"P34","No sabe",0.133,0.032,0.172,0.177,0.043,0.093,0.627
"P35","Alberto Fernández por el Frente de Todos",0.091,0.009,0.697,0.713,0.029,0.31,0.268
"P35","Patricia Bullrich por Juntos por el Cambio",0.601,0.939,0.009,0.002,0.077,0,0.053
"P35","Javier Milei por los liberales libertarios",0.113,0.026,0.052,0.024,0.839,0.051,0.01
"P35","Al candidato del Frente de Izquierda",0.079,0.001,0.085,0.06,0.019,0.619,0.037
"P35","No sabe",0.116,0.025,0.157,0.201,0.036,0.02,0.632
"P36","Wado de Pedro por el Frente de Todos",0.043,0.008,0.901,0.659,0.025,0.212,0.134
"P36","Patricia Bullrich por Juntos por el Cambio",0.613,0.942,0.005,0.004,0.068,0.015,0.072
"P36","Javier Milei por los liberales libertarios",0.154,0.033,0.028,0.015,0.84,0.047,0.015
"P36","Al candidato del Frente de Izquierda",0.057,0,0.015,0.043,0.021,0.642,0.021
"P36","No sabe",0.133,0.017,0.051,0.279,0.046,0.084,0.758
"P37","Daniel Scioli por el Frente de Todos",0.093,0.009,0.782,0.834,0.03,0.2,0.181
"P37","Patricia Bullrich por Juntos por el Cambio",0.6,0.941,0.018,0.004,0.068,0.015,0.059
"P37","Javier Milei por los liberales libertarios",0.14,0.029,0.029,0.023,0.846,0.047,0.015
"P37","Al candidato del Frente de Izquierda",0.053,0,0.043,0.005,0.001,0.629,0.025
"P37","No sabe",0.114,0.021,0.128,0.134,0.055,0.109,0.72
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.731,0.427,0.143,0.109,0.013,0.097,0.076
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.148,0.112,0.546,0.597,0.031,0.146,0.319
"P38","Javier Milei presidente y su candidato a vice",0.043,0.244,0.011,0.023,0.892,0.052,0.023
"P38","A los candidatos de la izquierda",0.041,0.005,0.075,0.052,0.01,0.614,0.03
"P38","No sabe",0.037,0.212,0.225,0.219,0.054,0.091,0.552
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.633,0.809,0.051,0.016,0.051,0.03,0.069
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.098,0.047,0.625,0.683,0.024,0.087,0.302
"P39","Javier Milei presidente y su candidato a vice",0.073,0.064,0.006,0.004,0.875,0.059,0.004
"P39","A los candidatos de la izquierda",0.039,0,0.077,0.045,0.013,0.654,0.017
"P39","No sabe",0.157,0.08,0.241,0.252,0.037,0.17,0.608
"P40","Sergio Massa por el Frente de Todos",0.069,0.058,0.835,0.828,0.072,0.47,0.329
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.876,0.708,0.017,0.019,0.326,0.107,0.1
"P40","No sabe",0.055,0.234,0.148,0.153,0.602,0.423,0.571
"P41","Alberto Fernández por el Frente de Todos",0.056,0.047,0.768,0.694,0.079,0.332,0.315
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.928,0.744,0.031,0.041,0.333,0.117,0.14
"P41","No sabe",0.016,0.209,0.201,0.265,0.588,0.551,0.545
"P42","Sergio Massa por el Frente de Todos",0.09,0.01,0.834,0.81,0.091,0.499,0.345
"P42","Patricia Bullrich por Juntos por el Cambio",0.702,0.946,0.034,0.02,0.567,0.048,0.109
"P42","No sabe",0.208,0.044,0.132,0.17,0.342,0.453,0.546
"P43","Alberto Fernández por el Frente de Todos",0.06,0.013,0.796,0.774,0.083,0.442,0.305
"P43","Patricia Bullrich por Juntos por el Cambio",0.692,0.958,0.039,0.004,0.601,0.009,0.085
"P43","No sabe",0.248,0.029,0.165,0.222,0.316,0.549,0.61
"P44","Wado de Pedro por el Frente de Todos",0.021,0.023,0.956,0.692,0.043,0.326,0.174
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.912,0.786,0.016,0.031,0.382,0.098,0.147
"P44","No sabe",0.067,0.191,0.028,0.277,0.575,0.576,0.679
"P45","Daniel Scioli por el Frente de Todos",0.024,0.025,0.842,0.885,0.061,0.259,0.213
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.944,0.772,0.016,0.004,0.358,0.136,0.106
"P45","No sabe",0.032,0.203,0.142,0.111,0.581,0.605,0.681
"P46","Wado de Pedro por el Frente de Todos",0.03,0.007,0.939,0.698,0.071,0.308,0.212
"P46","Patricia Bullrich por Juntos por el Cambio",0.705,0.946,0.018,0.021,0.587,0.131,0.088
"P46","No sabe",0.265,0.047,0.043,0.281,0.342,0.561,0.7
"P47","Daniel Scioli por el Frente de Todos",0.059,0.002,0.856,0.907,0.073,0.313,0.223
"P47","Patricia Bullrich por Juntos por el Cambio",0.713,0.975,0.02,0.013,0.614,0.106,0.081
"P47","No sabe",0.228,0.023,0.124,0.08,0.313,0.581,0.696
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.834,0.478,0.184,0.176,0.033,0.225,0.136
"P48","Javier Milei por los liberales libertarios",0.102,0.393,0.046,0.034,0.856,0.074,0.045
"P48","No sabe",0.064,0.129,0.77,0.79,0.111,0.701,0.819
"P49","Patricia Bullrich por Juntos por el Cambio",0.677,0.859,0.067,0.032,0.069,0.105,0.147
"P49","Javier Milei por los liberales libertarios",0.141,0.09,0.05,0.061,0.843,0.106,0.028
"P49","No sabe",0.182,0.051,0.883,0.907,0.088,0.789,0.825
"P50","Alberto Fernández por el Frente de Todos",0.167,0.158,0.747,0.672,0.025,0.376,0.248
"P50","Javier Milei por los liberales libertarios",0.459,0.49,0.035,0.04,0.9,0.086,0.066
"P50","No sabe",0.374,0.352,0.218,0.288,0.075,0.538,0.686
"P51","Sergio Massa por el Frente de Todos",0.122,0.033,0.841,0.81,0.022,0.504,0.353
"P51","Javier Milei por los liberales libertarios",0.547,0.599,0.008,0.02,0.9,0.08,0.044
"P51","No sabe",0.331,0.368,0.151,0.17,0.078,0.416,0.603
"P52","Muy buena",0.022,0.004,0.121,0.203,0.018,0.212,0.029
"P52","Buena",0.048,0.091,0.242,0.291,0.108,0.052,0.15
"P52","Ni buena ni mala",0.072,0.062,0.376,0.277,0.108,0.197,0.334
"P52","Mala",0.108,0.078,0.193,0.131,0.059,0.188,0.152
"P52","Muy mala",0.748,0.759,0.068,0.097,0.698,0.33,0.293
"P52","No sabe",0.002,0.006,0,0.001,0.009,0.021,0.042
"P53","Muy buena",0.017,0.005,0.704,0.61,0.037,0.238,0.26
"P53","Buena",0.004,0.015,0.12,0.16,0.021,0.093,0.125
"P53","Ni buena ni mala",0.03,0.012,0.092,0.136,0.058,0.087,0.177
"P53","Mala",0.103,0.048,0.068,0.065,0.063,0.156,0.075
"P53","Muy mala",0.846,0.919,0.016,0.028,0.82,0.426,0.336
"P53","No sabe",0,0.001,0,0.001,0.001,0,0.027
"P54","Muy buena",0.174,0.438,0.084,0.098,0.093,0.125,0.062
"P54","Buena",0.237,0.268,0.021,0.017,0.155,0.042,0.058
"P54","Ni buena ni mala",0.269,0.13,0.012,0.02,0.209,0.017,0.157
"P54","Mala",0.09,0.049,0.081,0.144,0.182,0.125,0.24
"P54","Muy mala",0.224,0.112,0.802,0.72,0.357,0.668,0.456
"P54","No sabe",0.006,0.003,0,0.001,0.004,0.023,0.027
"P55","Muy buena",0.377,0.205,0.002,0.008,0.05,0.077,0.109
"P55","Buena",0.426,0.362,0.007,0.033,0.106,0.015,0.093
"P55","Ni buena ni mala",0.141,0.265,0.061,0.091,0.305,0.074,0.259
"P55","Mala",0.017,0.095,0.199,0.232,0.216,0.239,0.165
"P55","Muy mala",0.039,0.072,0.731,0.617,0.312,0.572,0.341
"P55","No sabe",0,0.001,0,0.019,0.011,0.023,0.033
"P56","Muy buena",0.064,0.033,0.094,0.191,0.022,0.051,0.067
"P56","Buena",0.116,0.037,0.299,0.391,0.042,0.068,0.188
"P56","Ni buena ni mala",0.124,0.086,0.386,0.233,0.139,0.316,0.31
"P56","Mala",0.11,0.14,0.153,0.081,0.137,0.247,0.106
"P56","Muy mala",0.577,0.702,0.068,0.104,0.647,0.318,0.259
"P56","No sabe",0.009,0.002,0,0,0.013,0,0.07
"P57","Muy buena",0.237,0.647,0.022,0.038,0.208,0.104,0.052
"P57","Buena",0.255,0.198,0.065,0.048,0.212,0,0.059
"P57","Ni buena ni mala",0.259,0.042,0.098,0.056,0.209,0.114,0.226
"P57","Mala",0.116,0.032,0.066,0.118,0.142,0.247,0.193
"P57","Muy mala",0.133,0.08,0.743,0.737,0.22,0.535,0.41
"P57","No sabe",0,0.001,0.006,0.003,0.009,0,0.06
"P58","Muy buena",0.068,0.12,0.007,0.025,0.671,0.046,0.009
"P58","Buena",0.178,0.24,0.006,0.008,0.174,0.038,0.034
"P58","Ni buena ni mala",0.353,0.373,0.023,0.106,0.077,0.238,0.193
"P58","Mala",0.226,0.143,0.1,0.143,0.015,0.043,0.234
"P58","Muy mala",0.166,0.11,0.845,0.701,0.059,0.623,0.419
"P58","No sabe",0.009,0.014,0.019,0.017,0.004,0.012,0.111
"P59","Muy buena",0.004,0.012,0.51,0.198,0.092,0.023,0.041
"P59","Buena",0.04,0.032,0.285,0.303,0.057,0.121,0.132
"P59","Ni buena ni mala",0.205,0.139,0.064,0.223,0.135,0.135,0.298
"P59","Mala",0.204,0.162,0.025,0.062,0.153,0.085,0.189
"P59","Muy mala",0.52,0.621,0.114,0.177,0.462,0.533,0.21
"P59","No sabe",0.027,0.034,0.002,0.037,0.101,0.103,0.13
"P60","Muy buena",0.003,0.003,0.147,0.413,0.041,0.02,0.106
"P60","Buena",0.047,0.009,0.426,0.396,0.052,0.074,0.153
"P60","Ni buena ni mala",0.134,0.054,0.353,0.179,0.087,0.41,0.303
"P60","Mala",0.201,0.156,0.052,0.008,0.189,0.177,0.141
"P60","Muy mala",0.611,0.765,0.021,0.004,0.621,0.319,0.238
"P60","No sabe",0.004,0.013,0.001,0,0.01,0,0.059
"P61","Muy buena",0.323,0.227,0.02,0.06,0.086,0.093,0.046
"P61","Buena",0.25,0.348,0.058,0.041,0.149,0.034,0.052
"P61","Ni buena ni mala",0.227,0.229,0.062,0.037,0.232,0.117,0.254
"P61","Mala",0.089,0.087,0.119,0.119,0.172,0.156,0.179
"P61","Muy mala",0.104,0.109,0.726,0.729,0.361,0.6,0.427
"P61","No sabe",0.007,0,0.015,0.014,0,0,0.042
"P62","Muy buena",0.207,0.092,0.006,0.046,0.095,0.047,0.078
"P62","Buena",0.235,0.245,0.078,0.111,0.144,0.056,0.179
"P62","Ni buena ni mala",0.407,0.352,0.313,0.324,0.342,0.422,0.331
"P62","Mala",0.099,0.145,0.302,0.195,0.115,0.162,0.148
"P62","Muy mala",0.036,0.148,0.255,0.288,0.237,0.279,0.167
"P62","No sabe",0.016,0.018,0.046,0.036,0.067,0.034,0.097
"P63","Siempre",0.354,0.318,0.307,0.363,0.32,0.205,0.289
"P63","Casi siempre",0.466,0.421,0.383,0.377,0.335,0.386,0.489
"P63","Casi nunca",0.136,0.195,0.217,0.199,0.18,0.326,0.117
"P63","Nunca, pero esta es una excepción",0.044,0.066,0.093,0.061,0.165,0.083,0.105
"P64","Si",0.677,0.616,0.614,0.665,0.577,0.536,0.615
"P64","No",0.323,0.384,0.386,0.335,0.423,0.464,0.385
