"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.187,0.544,0.046
"P48","Javier Milei por los liberales libertarios",0.067,0.403,0.444
"P48","No sabe",0.746,0.053,0.51
"P49","Patricia Bullrich por Juntos por el Cambio",0.073,0.678,0.181
"P49","Javier Milei por los liberales libertarios",0.063,0.252,0.381
"P49","No sabe",0.864,0.07,0.438
"P50","Alberto Fernández por el Frente de Todos",0.753,0.134,0.122
"P50","Javier Milei por los liberales libertarios",0.051,0.576,0.462
"P50","No sabe",0.196,0.29,0.416
"P51","Sergio Massa por el Frente de Todos",0.843,0.051,0.162
"P51","Javier Milei por los liberales libertarios",0.042,0.652,0.476
"P51","No sabe",0.115,0.297,0.362
"P52","Muy buena",0.154,0.012,0.046
"P52","Buena",0.264,0.093,0.102
"P52","Ni buena ni mala",0.339,0.065,0.178
"P52","Mala",0.161,0.076,0.114
"P52","Muy mala",0.082,0.75,0.539
"P52","No sabe",0,0.004,0.021
"P53","Muy buena",0.67,0.007,0.125
"P53","Buena",0.128,0.012,0.07
"P53","Ni buena ni mala",0.11,0.023,0.091
"P53","Mala",0.056,0.055,0.098
"P53","Muy mala",0.035,0.902,0.608
"P53","No sabe",0.001,0.001,0.008
"P54","Muy buena",0.09,0.326,0.128
"P54","Buena",0.016,0.264,0.1
"P54","Ni buena ni mala",0.012,0.171,0.167
"P54","Mala",0.104,0.08,0.179
"P54","Muy mala",0.777,0.156,0.412
"P54","No sabe",0.001,0.003,0.014
"P55","Muy buena",0.006,0.248,0.042
"P55","Buena",0.008,0.376,0.072
"P55","Ni buena ni mala",0.06,0.259,0.252
"P55","Mala",0.221,0.074,0.218
"P55","Muy mala",0.702,0.043,0.39
"P55","No sabe",0.003,0,0.026
"P56","Muy buena",0.144,0.027,0.051
"P56","Buena",0.323,0.066,0.092
