"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos","Javier Milei presidente y su candidato a vice","A los candidatos de la izquierda","No sabe"
"P13","Lo votaría",0.056,0.024,0.474,0.198,0.037,0.149,0.063
"P13","Puede que lo vote",0.15,0.092,0.317,0.473,0.069,0.236,0.184
"P13","Nunca lo votaría",0.747,0.846,0.128,0.155,0.816,0.442,0.478
"P13","No sabe",0.047,0.038,0.081,0.174,0.078,0.173,0.275
"P14","Lo votaría",0.025,0.019,0.275,0.196,0.015,0.044,0.067
"P14","Puede que lo vote",0.036,0.029,0.325,0.385,0.041,0.324,0.117
"P14","Nunca lo votaría",0.929,0.936,0.294,0.279,0.882,0.573,0.576
"P14","No sabe",0.01,0.016,0.106,0.14,0.062,0.059,0.24
"P15","Lo votaría",0.458,0.163,0.08,0.044,0.019,0.007,0.042
"P15","Puede que lo vote",0.304,0.474,0.16,0.056,0.211,0.101,0.129
"P15","Nunca lo votaría",0.217,0.3,0.717,0.859,0.701,0.862,0.675
"P15","No sabe",0.021,0.063,0.043,0.041,0.069,0.03,0.154
"P16","Lo votaría",0.168,0.092,0.073,0.049,0.045,0.078,0.046
"P16","Puede que lo vote",0.328,0.315,0.185,0.101,0.195,0.134,0.152
"P16","Nunca lo votaría",0.368,0.491,0.581,0.732,0.681,0.683,0.566
"P16","No sabe",0.136,0.102,0.161,0.118,0.079,0.105,0.236
"P17","La votaría",0.343,0.761,0.069,0.039,0.178,0.05,0.087
"P17","Puede que la vote",0.283,0.135,0.038,0.014,0.328,0.146,0.086
"P17","Nunca la votaría",0.327,0.077,0.851,0.919,0.428,0.717,0.642
"P17","No sabe",0.047,0.027,0.042,0.028,0.066,0.087,0.185
"P18","Lo votaría",0.186,0.146,0.023,0.026,0.727,0.042,0.039
"P18","Puede que lo vote",0.289,0.345,0.093,0.024,0.156,0.114,0.12
"P18","Nunca lo votaría",0.477,0.432,0.851,0.931,0.105,0.756,0.678
"P18","No sabe",0.048,0.077,0.033,0.019,0.012,0.088,0.163
"P19","La votaría",0.222,0.216,0.078,0.044,0.127,0.052,0.05
"P19","Puede que la vote",0.301,0.388,0.074,0.031,0.208,0.127,0.098
"P19","Nunca la votaría",0.418,0.304,0.817,0.893,0.609,0.789,0.702
"P19","No sabe",0.059,0.092,0.031,0.032,0.056,0.032,0.15
"P20","Lo votaría",0.06,0.025,0.151,0.492,0.026,0.135,0.083
"P20","Puede que lo vote",0.065,0.065,0.307,0.344,0.045,0.319,0.14
"P20","Nunca lo votaría",0.782,0.843,0.426,0.119,0.833,0.406,0.558
"P20","No sabe",0.093,0.067,0.116,0.045,0.096,0.14,0.219
"P21","Lo votaría",0.046,0.016,0.254,0.338,0.031,0.036,0.104
"P21","Puede que lo vote",0.05,0.01,0.42,0.454,0.062,0.342,0.156
"P21","Nunca lo votaría",0.854,0.939,0.232,0.143,0.871,0.485,0.549
"P21","No sabe",0.05,0.035,0.094,0.065,0.036,0.137,0.191
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.445,0.036,0.019,0.009,0.003,0.007,0.019
"P22","Patricia Bullrich por Juntos por el Cambio",0.331,0.826,0.028,0.008,0.064,0.006,0.093
"P22","Facundo Manes por Juntos por el Cambio",0.102,0.052,0.032,0.016,0.026,0.055,0.087
"P22","Alberto Fernández por el Frente de Todos",0.013,0.012,0.131,0.092,0.016,0.096,0.102
"P22","Sergio Massa por el Frente de Todos",0.008,0.007,0.424,0.076,0.029,0.07,0.081
"P22","Wado de Pedro por el Frente de Todos",0.017,0.008,0.094,0.572,0.014,0.197,0.08
"P22","Daniel Scioli por el Frente de Todos",0.012,0.01,0.2,0.177,0.012,0.007,0.121
"P22","Javier Milei por los liberales libertarios",0.026,0.03,0.006,0.008,0.801,0.019,0.021
"P22","Al candidato del Frente de Izquierda",0,0.004,0.017,0.006,0,0.452,0.006
"P22","No sabe",0.046,0.015,0.049,0.036,0.035,0.091,0.39
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.426,0.036,0.028,0.006,0.005,0.007,0.026
"P23","Patricia Bullrich por Juntos por el Cambio",0.277,0.775,0.02,0.012,0.045,0,0.088
"P23","María Eugenia Vidal por Juntos por el Cambio",0.134,0.1,0.032,0.023,0.016,0.028,0.04
"P23","Facundo Manes por Juntos por el Cambio",0.074,0.037,0.014,0.017,0.019,0.078,0.087
"P23","Sergio Massa por el Frente de Todos",0.017,0.008,0.514,0.11,0.03,0.032,0.082
"P23","Wado de Pedro por el Frente de Todos",0.007,0.007,0.087,0.593,0.016,0.215,0.069
"P23","Daniel Scioli por el Frente de Todos",0.013,0.01,0.232,0.186,0.005,0.012,0.168
"P23","Javier Milei por los liberales libertarios",0.031,0.019,0.004,0.007,0.839,0.01,0.033
"P23","Al candidato del Frente de Izquierda",0,0,0.021,0.017,0.001,0.476,0.017
"P23","No sabe",0.021,0.008,0.048,0.029,0.024,0.142,0.39
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.408,0.036,0.026,0.009,0,0.029,0.016
"P24","Patricia Bullrich por Juntos por el Cambio",0.295,0.785,0.018,0.025,0.053,0,0.098
"P24","María Eugenia Vidal por Juntos por el Cambio",0.128,0.094,0.015,0.023,0.028,0.028,0.018
"P24","Facundo Manes por Juntos por el Cambio",0.081,0.042,0.025,0.011,0.015,0.061,0.11
"P24","Sergio Massa por el Frente de Todos",0.013,0.006,0.545,0.107,0.016,0.039,0.102
"P24","Wado de Pedro por el Frente de Todos",0.018,0.007,0.103,0.647,0.015,0.19,0.097
"P24","Alberto Fernández por el Frente de Todos",0.019,0.006,0.183,0.129,0.031,0.034,0.12
"P24","Javier Milei por los liberales libertarios",0.026,0.021,0.008,0.004,0.824,0.019,0.018
"P24","Al candidato del Frente de Izquierda",0,0,0.03,0.006,0.002,0.437,0.001
"P24","No sabe",0.012,0.003,0.047,0.039,0.016,0.163,0.42
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.416,0.047,0.018,0.009,0.013,0.033,0.044
"P25","Patricia Bullrich por Juntos por el Cambio",0.161,0.74,0.023,0.026,0.038,0.037,0.069
"P25","Facundo Manes por Juntos por el Cambio",0.242,0.125,0.015,0.011,0.039,0.028,0.094
"P25","Sergio Massa por el Frente de Todos",0.024,0.008,0.497,0.079,0.011,0.098,0.068
"P25","Wado de Pedro por el Frente de Todos",0.013,0.012,0.165,0.569,0.03,0.059,0.101
"P25","Daniel Scioli por el Frente de Todos",0.004,0.007,0.219,0.254,0.013,0.171,0.179
"P25","Javier Milei por los liberales libertario",0.098,0.047,0.012,0.026,0.39,0.041,0.046
"P25","Al candidato del Frente de Izquierda",0.015,0.006,0.004,0.004,0.454,0.321,0.017
"P25","No sabe",0.027,0.008,0.047,0.022,0.012,0.212,0.382
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.518,0.089,0.024,0.032,0.003,0.019,0.026
"P26","Patricia Bulrich por Juntos por el Cambio",0.325,0.816,0.069,0.034,0.047,0.005,0.096
"P26","Alberto Fernández por el Frente de Todos",0.037,0.015,0.208,0.189,0.018,0.045,0.111
"P26","Sergio Massa por el Frente de Todos",0.013,0.008,0.59,0.487,0.023,0.036,0.126
"P26","Javier Milei por los liberales libertarios",0.036,0.048,0.035,0.027,0.825,0.025,0.041
"P26","Al candidato del Frente de Izquierda",0.024,0.005,0.024,0.082,0.011,0.751,0.027
"P26","No sabe",0.047,0.019,0.05,0.149,0.073,0.119,0.573
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.56,0.074,0.022,0.034,0.001,0,0.038
"P27","Patricia Bullrich por Juntos por el Cambio",0.326,0.866,0.02,0.009,0.034,0.012,0.084
"P27","Wado de Pedro por el Frente de Todos",0.009,0.007,0.151,0.645,0.006,0.064,0.099
"P27","Sergio Massa por el Frente de Todos",0.01,0.016,0.706,0.216,0.021,0.038,0.118
"P27","Javier Milei por los liberales libertarios",0.042,0.03,0.023,0.018,0.896,0.039,0.041
"P27","Al candidato del Frente de Izquierda",0.007,0.001,0.001,0.028,0.012,0.743,0.019
"P27","No sabe",0.046,0.006,0.077,0.05,0.03,0.104,0.601
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.572,0.081,0.055,0.026,0.008,0,0.027
"P28","Patricia Bullrich por Juntos por el Cambio",0.347,0.859,0.032,0.009,0.023,0.007,0.094
"P28","Wado de Pedro por el Frente de Todos",0.015,0.01,0.226,0.659,0.002,0.063,0.089
"P28","Daniel Scioli por el Frente de Todos",0.005,0.007,0.46,0.266,0.009,0.051,0.154
"P28","Javier Milei por los liberales libertarios",0.026,0.028,0.039,0.002,0.932,0.019,0.031
"P28","Al candidato del Frente de Izquierda",0.001,0.002,0.022,0.002,0.012,0.78,0.043
"P28","No sabe",0.034,0.013,0.166,0.036,0.014,0.08,0.562
"P30","Alberto Fernández por el Frente de Todos",0.037,0.044,0.632,0.648,0.023,0.151,0.191
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.727,0.461,0.074,0.025,0.016,0.005,0.08
"P30","Javier Milei por los liberales libertarios",0.135,0.253,0.041,0.02,0.872,0.021,0.034
"P30","Al candidato del Frente de Izquierda",0.018,0.018,0.044,0.079,0.013,0.753,0.021
"P30","No sabe",0.083,0.224,0.209,0.228,0.076,0.07,0.674
"P31","Sergio Massa por el Frente de Todos",0.022,0.015,0.777,0.682,0.017,0.249,0.18
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.759,0.509,0.079,0.034,0.006,0.016,0.08
"P31","Javier Milei por los liberales libertarios",0.123,0.274,0.014,0.011,0.895,0.02,0.041
"P31","Al candidato del Frente de Izquierda",0.012,0.022,0.02,0.075,0.018,0.645,0.025
"P31","No sabe",0.084,0.18,0.11,0.198,0.064,0.07,0.674
"P32","Wado de Pedro por el Frente de Todos",0.028,0.007,0.589,0.915,0.011,0.241,0.109
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.759,0.546,0.09,0.015,0.02,0.033,0.09
"P32","Javier Milei por los liberales libertarios",0.11,0.261,0.031,0.007,0.89,0.021,0.039
"P32","Al candidato del Frente de Izquierda",0.014,0.021,0.047,0.005,0.008,0.591,0.004
"P32","No sabe",0.089,0.165,0.243,0.058,0.071,0.114,0.758
"P33","Daniel Scioli por el Frente de Todos",0.016,0.018,0.681,0.809,0.018,0.221,0.225
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.755,0.57,0.092,0.024,0.009,0.008,0.071
"P33","Javier Milei por los liberales libertarios",0.115,0.252,0.017,0.005,0.904,0.012,0.046
"P33","Al candidato del Frente de Izquierda",0.019,0.018,0.042,0.034,0.007,0.759,0.006
"P33","No sabe",0.095,0.142,0.168,0.128,0.062,0,0.652
"P34","Sergio Massa por el Frente de Todos",0.044,0.018,0.801,0.739,0.02,0.246,0.18
"P34","Patricia Bullrich por Juntos por el Cambio",0.692,0.902,0.069,0.009,0.072,0.009,0.105
"P34","Javier Milei por los liberales libertarios",0.096,0.054,0.01,0.013,0.853,0.017,0.037
"P34","Al candidato del Frente de Izquierda",0.022,0.004,0.024,0.062,0.006,0.728,0.025
"P34","No sabe",0.146,0.022,0.096,0.177,0.049,0,0.653
"P35","Alberto Fernández por el Frente de Todos",0.027,0.022,0.683,0.704,0.037,0.286,0.224
"P35","Patricia Bullrich por Juntos por el Cambio",0.724,0.931,0.037,0.005,0.071,0.008,0.098
"P35","Javier Milei por los liberales libertarios",0.088,0.028,0.04,0.029,0.843,0.017,0.057
"P35","Al candidato del Frente de Izquierda",0.041,0.004,0.062,0.098,0.015,0.678,0.036
"P35","No sabe",0.12,0.015,0.178,0.164,0.034,0.011,0.585
"P36","Wado de Pedro por el Frente de Todos",0.011,0.013,0.591,0.897,0.011,0.274,0.135
"P36","Patricia Bullrich por Juntos por el Cambio",0.735,0.938,0.049,0.001,0.061,0.008,0.112
"P36","Javier Milei por los liberales libertarios",0.092,0.033,0.039,0.024,0.841,0.017,0.062
"P36","Al candidato del Frente de Izquierda",0.04,0.004,0.049,0.015,0.024,0.67,0.026
"P36","No sabe",0.122,0.012,0.272,0.063,0.063,0.031,0.665
"P37","Daniel Scioli por el Frente de Todos",0.021,0.018,0.697,0.822,0.026,0.233,0.221
"P37","Patricia Bullrich por Juntos por el Cambio",0.734,0.929,0.048,0.001,0.066,0.009,0.123
"P37","Javier Milei por los liberales libertarios",0.081,0.038,0.035,0.032,0.843,0.017,0.05
"P37","Al candidato del Frente de Izquierda",0.033,0.005,0.03,0.026,0.005,0.722,0.017
"P37","No sabe",0.131,0.01,0.19,0.119,0.06,0.019,0.589
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.667,0.434,0.108,0.15,0.014,0.094,0.097
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.112,0.114,0.765,0.524,0.029,0.071,0.137
"P38","Javier Milei presidente y su candidato a vice",0.102,0.24,0.022,0.024,0.897,0.018,0.036
"P38","A los candidatos de la izquierda",0.033,0.012,0.007,0.083,0.009,0.803,0.024
"P38","No sabe",0.086,0.2,0.098,0.219,0.051,0.014,0.706
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.619,0.852,0.048,0.055,0.044,0.024,0.103
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.054,0.041,0.81,0.629,0.016,0.046,0.133
"P39","Javier Milei presidente y su candidato a vice",0.098,0.048,0.013,0.003,0.878,0.012,0.032
"P39","A los candidatos de la izquierda",0.024,0.004,0.015,0.087,0.009,0.82,0.023
"P39","No sabe",0.205,0.055,0.114,0.226,0.053,0.098,0.709
"P40","Sergio Massa por el Frente de Todos",0.024,0.066,0.88,0.846,0.05,0.469,0.245
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.845,0.721,0.047,0.011,0.331,0.093,0.106
"P40","No sabe",0.131,0.213,0.073,0.143,0.619,0.438,0.649
"P41","Alberto Fernández por el Frente de Todos",0.037,0.052,0.702,0.767,0.061,0.353,0.27
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.861,0.757,0.118,0.027,0.344,0.098,0.103
"P41","No sabe",0.102,0.191,0.18,0.206,0.595,0.549,0.627
"P42","Sergio Massa por el Frente de Todos",0.023,0.023,0.849,0.833,0.073,0.493,0.277
"P42","Patricia Bullrich por Juntos por el Cambio",0.793,0.95,0.06,0.022,0.572,0.015,0.147
"P42","No sabe",0.184,0.027,0.091,0.145,0.355,0.492,0.576
"P43","Alberto Fernández por el Frente de Todos",0.026,0.022,0.756,0.808,0.07,0.493,0.255
"P43","Patricia Bullrich por Juntos por el Cambio",0.781,0.956,0.05,0.022,0.603,0.015,0.135
"P43","No sabe",0.193,0.022,0.194,0.17,0.327,0.492,0.61
"P44","Wado de Pedro por el Frente de Todos",0.013,0.039,0.654,0.917,0.039,0.389,0.184
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.882,0.782,0.101,0.02,0.379,0.11,0.129
"P44","No sabe",0.105,0.179,0.245,0.063,0.582,0.501,0.687
"P45","Daniel Scioli por el Frente de Todos",0.01,0.041,0.709,0.883,0.064,0.33,0.285
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.886,0.774,0.076,0.006,0.357,0.102,0.123
"P45","No sabe",0.104,0.185,0.215,0.111,0.579,0.568,0.592
"P46","Wado de Pedro por el Frente de Todos",0.025,0.017,0.639,0.928,0.044,0.413,0.231
"P46","Patricia Bullrich por Juntos por el Cambio",0.771,0.947,0.057,0.015,0.6,0.103,0.136
"P46","No sabe",0.204,0.036,0.304,0.057,0.356,0.484,0.633
"P47","Daniel Scioli por el Frente de Todos",0.012,0.021,0.754,0.889,0.062,0.369,0.34
"P47","Patricia Bullrich por Juntos por el Cambio",0.807,0.956,0.053,0.015,0.631,0.098,0.117
"P47","No sabe",0.181,0.023,0.193,0.096,0.307,0.533,0.543
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.651,0.524,0.204,0.186,0.02,0.224,0.133
"P48","Javier Milei por los liberales libertarios",0.283,0.346,0.072,0.008,0.872,0.013,0.112
"P48","No sabe",0.066,0.13,0.724,0.806,0.108,0.763,0.755
"P49","Patricia Bullrich por Juntos por el Cambio",0.669,0.89,0.099,0.032,0.062,0.106,0.158
"P49","Javier Milei por los liberales libertarios",0.156,0.076,0.094,0.036,0.854,0.043,0.059
"P49","No sabe",0.175,0.034,0.807,0.932,0.084,0.851,0.783
"P50","Alberto Fernández por el Frente de Todos",0.166,0.156,0.672,0.741,0.02,0.432,0.229
"P50","Javier Milei por los liberales libertarios",0.448,0.518,0.052,0.025,0.901,0.034,0.112
"P50","No sabe",0.386,0.326,0.276,0.234,0.079,0.534,0.659
"P51","Sergio Massa por el Frente de Todos",0.066,0.044,0.836,0.84,0.027,0.517,0.266
"P51","Javier Milei por los liberales libertarios",0.548,0.617,0.026,0.015,0.915,0.026,0.072
"P51","No sabe",0.386,0.339,0.138,0.145,0.058,0.457,0.662
"P52","Muy buena",0.018,0.001,0.158,0.141,0.01,0.236,0.086
"P52","Buena",0.07,0.089,0.279,0.268,0.103,0.062,0.109
"P52","Ni buena ni mala",0.094,0.052,0.381,0.345,0.086,0.235,0.228
"P52","Mala",0.09,0.076,0.12,0.177,0.051,0.171,0.223
"P52","Muy mala",0.725,0.776,0.057,0.065,0.742,0.272,0.328
"P52","No sabe",0.003,0.006,0.005,0.004,0.008,0.024,0.026
"P53","Muy buena",0.014,0.01,0.496,0.738,0.032,0.22,0.303
"P53","Buena",0.008,0.021,0.153,0.126,0.016,0.126,0.092
"P53","Ni buena ni mala",0.024,0.008,0.178,0.096,0.06,0.114,0.095
"P53","Mala",0.084,0.041,0.104,0.025,0.054,0.178,0.143
"P53","Muy mala",0.87,0.919,0.069,0.014,0.838,0.362,0.341
"P53","No sabe",0,0.001,0,0.001,0,0,0.026
"P54","Muy buena",0.307,0.419,0.084,0.108,0.088,0.114,0.048
"P54","Buena",0.216,0.288,0.015,0.024,0.157,0.043,0.054
"P54","Ni buena ni mala",0.217,0.138,0.068,0.009,0.207,0.02,0.097
"P54","Mala",0.079,0.031,0.153,0.09,0.182,0.086,0.265
"P54","Muy mala",0.18,0.12,0.677,0.768,0.363,0.711,0.51
"P54","No sabe",0.001,0.004,0.003,0.001,0.003,0.026,0.026
"P55","Muy buena",0.413,0.176,0.048,0.01,0.038,0.099,0.033
"P55","Buena",0.362,0.376,0.063,0.005,0.109,0.007,0.091
"P55","Ni buena ni mala",0.189,0.263,0.118,0.051,0.314,0.057,0.214
"P55","Mala",0.02,0.092,0.194,0.222,0.217,0.236,0.211
"P55","Muy mala",0.012,0.091,0.575,0.711,0.313,0.575,0.4
"P55","No sabe",0.004,0.002,0.002,0.001,0.009,0.026,0.051
"P56","Muy buena",0.035,0.039,0.301,0.058,0.013,0.024,0.028
"P56","Buena",0.091,0.035,0.377,0.348,0.047,0.007,0.12
"P56","Ni buena ni mala",0.157,0.072,0.205,0.376,0.123,0.346,0.329
"P56","Mala",0.141,0.129,0.045,0.153,0.142,0.267,0.139
"P56","Muy mala",0.576,0.723,0.072,0.062,0.663,0.356,0.319
"P56","No sabe",0,0.002,0,0.003,0.012,0,0.065
"P57","Muy buena",0.318,0.677,0.048,0.027,0.206,0.099,0.04
"P57","Buena",0.242,0.19,0.054,0.062,0.218,0,0.071
"P57","Ni buena ni mala",0.176,0.037,0.099,0.088,0.215,0.101,0.209
"P57","Mala",0.103,0.028,0.167,0.057,0.133,0.183,0.187
"P57","Muy mala",0.161,0.067,0.632,0.758,0.22,0.617,0.438
"P57","No sabe",0,0.001,0,0.008,0.008,0,0.055
"P58","Muy buena",0.11,0.116,0.013,0.012,0.682,0.018,0.032
"P58","Buena",0.243,0.223,0.023,0.007,0.179,0.014,0.012
"P58","Ni buena ni mala",0.301,0.389,0.121,0.03,0.077,0.202,0.228
"P58","Mala",0.191,0.141,0.149,0.083,0.009,0.056,0.272
"P58","Muy mala",0.143,0.115,0.68,0.849,0.05,0.71,0.355
"P58","No sabe",0.012,0.016,0.014,0.019,0.003,0,0.101
"P59","Muy buena",0.006,0.01,0.147,0.489,0.091,0.097,0.082
"P59","Buena",0.073,0.025,0.288,0.307,0.047,0.139,0.079
"P59","Ni buena ni mala",0.211,0.128,0.267,0.067,0.121,0.162,0.249
"P59","Mala",0.192,0.149,0.098,0.009,0.162,0.049,0.201
"P59","Muy mala",0.481,0.662,0.157,0.125,0.494,0.457,0.218
"P59","No sabe",0.037,0.026,0.043,0.003,0.085,0.096,0.171
"P60","Muy buena",0.006,0.003,0.259,0.255,0.045,0.024,0.106
"P60","Buena",0.028,0.019,0.321,0.443,0.039,0.095,0.19
"P60","Ni buena ni mala",0.126,0.058,0.338,0.255,0.072,0.405,0.231
"P60","Mala",0.175,0.139,0.021,0.034,0.201,0.14,0.223
"P60","Muy mala",0.66,0.768,0.057,0.009,0.634,0.336,0.207
"P60","No sabe",0.005,0.013,0.004,0.004,0.009,0,0.043
"P61","Muy buena",0.268,0.252,0.069,0.025,0.076,0.107,0.031
"P61","Buena",0.275,0.344,0.056,0.062,0.151,0.013,0.061
"P61","Ni buena ni mala",0.229,0.23,0.101,0.05,0.223,0.12,0.199
"P61","Mala",0.082,0.085,0.175,0.098,0.172,0.066,0.176
"P61","Muy mala",0.14,0.089,0.594,0.751,0.378,0.694,0.481
"P61","No sabe",0.006,0,0.005,0.014,0,0,0.052
"P62","Muy buena",0.175,0.095,0.06,0.01,0.091,0.045,0.057
"P62","Buena",0.244,0.243,0.119,0.087,0.157,0.041,0.124
"P62","Ni buena ni mala",0.375,0.356,0.304,0.329,0.347,0.423,0.337
"P62","Mala",0.135,0.127,0.275,0.244,0.112,0.146,0.157
"P62","Muy mala",0.04,0.157,0.206,0.299,0.246,0.3,0.193
"P62","No sabe",0.031,0.022,0.036,0.031,0.047,0.045,0.132
"P63","Siempre",0.299,0.326,0.381,0.342,0.315,0.135,0.276
"P63","Casi siempre",0.461,0.428,0.469,0.35,0.341,0.404,0.356
"P63","Casi nunca",0.175,0.188,0.119,0.223,0.174,0.372,0.217
"P63","Nunca, pero esta es una excepción",0.065,0.058,0.031,0.085,0.17,0.089,0.151
"P64","Si",0.62,0.615,0.689,0.629,0.592,0.53,0.583
"P64","No",0.38,0.385,0.311,0.371,0.408,0.47,0.417
