"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bulrich por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P12","A Patricia Bullrich",0.21,0.876,0.295,0.121,0.553,0,0.174
"P12","A Facundo Manes",0.045,0.013,0.141,0.524,0.163,0.33,0.163
"P12","A Gerardo Morales",0.045,0.018,0.182,0.012,0.048,0.042,0.229
"P13","Lo votaría",0.116,0.042,0.205,0.375,0.054,0.112,0.04
"P13","Puede que lo vote",0.094,0.106,0.331,0.452,0.075,0.19,0.192
"P13","Nunca lo votaría",0.717,0.815,0.247,0.073,0.819,0.557,0.47
"P13","No sabe",0.073,0.037,0.217,0.1,0.052,0.141,0.298
"P14","Lo votaría",0.041,0.015,0.502,0.165,0.021,0.067,0.031
"P14","Puede que lo vote",0.06,0.039,0.234,0.395,0.06,0.205,0.122
"P14","Nunca lo votaría",0.879,0.924,0.144,0.315,0.874,0.629,0.615
"P14","No sabe",0.02,0.022,0.12,0.125,0.045,0.099,0.232
"P15","Lo votaría",0.561,0.177,0.102,0.041,0.039,0.067,0.03
"P15","Puede que lo vote",0.265,0.465,0.136,0.096,0.208,0.057,0.131
"P15","Nunca lo votaría",0.127,0.305,0.698,0.816,0.693,0.857,0.684
"P15","No sabe",0.047,0.053,0.064,0.047,0.06,0.019,0.155
"P16","Lo votaría",0.199,0.102,0.018,0.053,0.047,0.074,0.047
"P16","Puede que lo vote",0.323,0.313,0.129,0.15,0.208,0.109,0.127
"P16","Nunca lo votaría",0.321,0.496,0.644,0.649,0.662,0.69,0.622
"P16","No sabe",0.157,0.089,0.209,0.148,0.083,0.127,0.204
"P17","La votaría",0.291,0.734,0.034,0.034,0.188,0.09,0.051
"P17","Puede que la vote",0.308,0.144,0.087,0.029,0.293,0.086,0.121
"P17","Nunca la votaría",0.327,0.102,0.775,0.891,0.472,0.793,0.637
"P17","No sabe",0.074,0.02,0.104,0.046,0.047,0.031,0.191
"P18","Lo votaría",0.156,0.17,0.031,0.028,0.696,0.083,0.087
"P18","Puede que lo vote",0.268,0.316,0.1,0.05,0.153,0.089,0.137
"P18","Nunca lo votaría",0.49,0.442,0.764,0.9,0.143,0.809,0.64
"P18","No sabe",0.086,0.072,0.105,0.022,0.008,0.019,0.136
"P19","La votaría",0.27,0.217,0.057,0.025,0.127,0.091,0.053
"P19","Puede que la vote",0.264,0.376,0.085,0.052,0.213,0.089,0.091
"P19","Nunca la votaría",0.398,0.326,0.76,0.883,0.602,0.785,0.684
"P19","No sabe",0.068,0.081,0.098,0.04,0.058,0.035,0.172
"P20","Lo votaría",0.05,0.034,0.172,0.321,0.035,0.276,0.148
"P20","Puede que lo vote",0.064,0.08,0.214,0.309,0.063,0.265,0.161
"P20","Nunca lo votaría",0.766,0.829,0.422,0.278,0.828,0.403,0.458
"P20","No sabe",0.12,0.057,0.192,0.092,0.074,0.056,0.233
"P21","Lo votaría",0.064,0.025,0.289,0.292,0.025,0.07,0.124
"P21","Puede que lo vote",0.052,0.039,0.292,0.416,0.062,0.384,0.218
"P21","Nunca lo votaría",0.843,0.909,0.309,0.208,0.873,0.445,0.471
"P21","No sabe",0.041,0.027,0.11,0.084,0.04,0.101,0.187
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.622,0.032,0.029,0.008,0.006,0.044,0.034
"P22","Patricia Bullrich por Juntos por el Cambio",0.161,0.827,0.015,0.009,0.076,0.033,0.027
"P22","Facundo Manes por Juntos por el Cambio",0.082,0.042,0.053,0.029,0.041,0.054,0.061
"P22","Alberto Fernández por el Frente de Todos",0.032,0.01,0.37,0.052,0.009,0.044,0.031
"P22","Sergio Massa por el Frente de Todos",0.015,0.031,0.093,0.314,0.035,0.024,0.041
"P22","Wado de Pedro por el Frente de Todos",0.027,0.006,0.186,0.346,0.016,0.344,0.181
"P22","Daniel Scioli por el Frente de Todos",0.009,0.001,0.173,0.165,0.016,0.074,0.119
"P22","Javier Milei por los liberales libertarios",0.021,0.032,0.011,0.019,0.771,0.026,0.101
"P22","Al candidato del Frente de Izquierda",0,0.004,0.005,0.01,0.006,0.305,0.018
"P22","No sabe",0.031,0.015,0.065,0.048,0.024,0.052,0.387
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.587,0.035,0.022,0.005,0.008,0.041,0.043
"P23","Patricia Bullrich por Juntos por el Cambio",0.116,0.778,0.014,0.005,0.065,0.006,0.043
"P23","María Eugenia Vidal por Juntos por el Cambio",0.152,0.081,0.074,0.017,0.034,0.036,0.028
"P23","Facundo Manes por Juntos por el Cambio",0.062,0.027,0.048,0.017,0.026,0.054,0.063
"P23","Sergio Massa por el Frente de Todos",0.015,0.031,0.193,0.366,0.032,0.029,0.034
"P23","Wado de Pedro por el Frente de Todos",0.016,0.005,0.176,0.354,0.024,0.32,0.172
"P23","Daniel Scioli por el Frente de Todos",0.008,0.008,0.296,0.173,0.006,0.092,0.131
"P23","Javier Milei por los liberales libertarios",0.028,0.027,0.014,0.028,0.781,0.037,0.091
"P23","Al candidato del Frente de Izquierda",0,0.001,0.023,0.015,0.001,0.336,0
"P23","No sabe",0.016,0.007,0.14,0.02,0.023,0.049,0.395
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.591,0.026,0.005,0.002,0.018,0.079,0.05
"P24","Patricia Bullrich por Juntos por el Cambio",0.112,0.81,0.013,0.005,0.07,0.006,0.039
"P24","María Eugenia Vidal por Juntos por el Cambio",0.144,0.071,0.035,0.009,0.033,0.034,0.042
"P24","Facundo Manes por Juntos por el Cambio",0.078,0.026,0.04,0.022,0.019,0.047,0.071
"P24","Sergio Massa por el Frente de Todos",0.01,0.025,0.073,0.434,0.035,0.012,0.038
"P24","Wado de Pedro por el Frente de Todos",0.007,0.004,0.211,0.4,0.03,0.357,0.197
"P24","Alberto Fernández por el Frente de Todos",0.011,0.011,0.55,0.06,0.006,0.04,0.06
"P24","Javier Milei por los liberales libertarios",0.028,0.024,0.011,0.021,0.765,0.04,0.092
"P24","Al candidato del Frente de Izquierda",0,0.001,0.017,0.005,0.007,0.291,0
"P24","No sabe",0.019,0.002,0.045,0.042,0.017,0.094,0.411
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.583,0.038,0.034,0.003,0.02,0.1,0.031
"P25","Patricia Bullrich por Juntos por el Cambio",0.162,0.701,0.018,0.004,0.039,0.009,0.016
"P25","Facundo Manes por Juntos por el Cambio",0.071,0.173,0.069,0.002,0.065,0.027,0.064
"P25","Sergio Massa por el Frente de Todos",0.013,0.032,0.142,0.364,0.003,0.012,0.041
"P25","Wado de Pedro por el Frente de Todos",0.006,0.017,0.235,0.383,0.064,0.153,0.163
"P25","Daniel Scioli por el Frente de Todos",0.007,0.004,0.305,0.204,0.013,0.323,0.119
"P25","Javier Milei por los liberales libertario",0.133,0.019,0.062,0.01,0.349,0.052,0.175
"P25","Al candidato del Frente de Izquierda",0.016,0.009,0.019,0.015,0.442,0.179,0.012
"P25","No sabe",0.009,0.007,0.116,0.015,0.005,0.145,0.379
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.823,0.037,0.049,0.009,0.017,0.055,0.02
"P27","Patricia Bullrich por Juntos por el Cambio",0.115,0.892,0.035,0.007,0.031,0.01,0.022
"P27","Wado de Pedro por el Frente de Todos",0.006,0.009,0.427,0.363,0.022,0.199,0.184
"P27","Sergio Massa por el Frente de Todos",0.001,0.029,0.277,0.589,0.007,0.048,0.04
"P27","Javier Milei por los liberales libertarios",0.037,0.022,0.01,0.018,0.908,0.03,0.088
"P27","Al candidato del Frente de Izquierda",0.005,0.001,0.023,0.007,0.005,0.592,0.012
"P27","No sabe",0.013,0.01,0.179,0.007,0.01,0.066,0.634
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.807,0.044,0.061,0.024,0.03,0.045,0.011
"P28","Patricia Bullrich por Juntos por el Cambio",0.127,0.868,0.033,0.008,0.049,0.028,0.024
"P28","Wado de Pedro por el Frente de Todos",0.022,0.013,0.308,0.46,0.02,0.266,0.196
"P28","Daniel Scioli por el Frente de Todos",0.007,0.014,0.35,0.35,0.006,0.151,0.13
"P28","Javier Milei por los liberales libertarios",0.023,0.038,0.032,0.038,0.876,0.033,0.095
"P28","Al candidato del Frente de Izquierda",0.005,0,0.02,0.017,0.003,0.47,0.034
"P28","No sabe",0.009,0.023,0.196,0.103,0.016,0.007,0.51
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.681,0.166,0.057,0.01,0.023,0.063,0.049
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.195,0.695,0.04,0.01,0.05,0.02,0.033
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.031,0.034,0.315,0.418,0.022,0.061,0.05
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.052,0.022,0.372,0.447,0.022,0.273,0.194
"P29","Javier Milei presidente y su candidato a vice",0.005,0.039,0.046,0.028,0.856,0.05,0.124
"P29","A los candidatos de la izquierda",0.006,0.001,0.017,0.006,0.004,0.471,0.029
"P29","No sabe",0.03,0.043,0.153,0.081,0.023,0.062,0.521
"P30","Alberto Fernández por el Frente de Todos",0.04,0.05,0.871,0.631,0.027,0.165,0.144
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.789,0.425,0.032,0.057,0.052,0.088,0.043
"P30","Javier Milei por los liberales libertarios",0.078,0.266,0.031,0.046,0.815,0.044,0.138
"P30","Al candidato del Frente de Izquierda",0.021,0.013,0.008,0.057,0.015,0.616,0.036
"P30","No sabe",0.072,0.246,0.058,0.209,0.091,0.087,0.639
"P31","Sergio Massa por el Frente de Todos",0.049,0.036,0.617,0.838,0.035,0.199,0.14
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.841,0.488,0.055,0.032,0.032,0.09,0.043
"P31","Javier Milei por los liberales libertarios",0.056,0.268,0.017,0.026,0.853,0.036,0.162
"P31","Al candidato del Frente de Izquierda",0.017,0.014,0.083,0.017,0.006,0.593,0.022
"P31","No sabe",0.037,0.194,0.228,0.087,0.074,0.082,0.633
"P32","Wado de Pedro por el Frente de Todos",0.069,0.02,0.55,0.763,0.043,0.419,0.257
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.827,0.5,0.052,0.053,0.048,0.077,0.066
"P32","Javier Milei por los liberales libertarios",0.049,0.27,0.042,0.033,0.848,0.017,0.12
"P32","Al candidato del Frente de Izquierda",0.016,0.011,0.032,0.015,0.003,0.397,0.029
"P32","No sabe",0.039,0.199,0.324,0.136,0.058,0.09,0.528
"P33","Daniel Scioli por el Frente de Todos",0.049,0.039,0.661,0.77,0.04,0.317,0.258
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.856,0.526,0.02,0.051,0.034,0.079,0.046
"P33","Javier Milei por los liberales libertarios",0.05,0.262,0.034,0.024,0.87,0.037,0.123
"P33","Al candidato del Frente de Izquierda",0.012,0.013,0.023,0.029,0.003,0.528,0.03
"P33","No sabe",0.033,0.16,0.262,0.126,0.053,0.039,0.543
"P34","Sergio Massa por el Frente de Todos",0.091,0.039,0.67,0.863,0.038,0.211,0.147
"P34","Patricia Bullrich por Juntos por el Cambio",0.648,0.873,0.042,0.031,0.076,0.081,0.043
"P34","Javier Milei por los liberales libertarios",0.079,0.057,0.007,0.008,0.841,0.038,0.158
"P34","Al candidato del Frente de Izquierda",0.033,0.001,0.039,0.014,0.002,0.6,0.025
"P34","No sabe",0.149,0.03,0.242,0.084,0.043,0.07,0.627
"P35","Alberto Fernández por el Frente de Todos",0.062,0.026,0.916,0.717,0.031,0.239,0.15
"P35","Patricia Bullrich por Juntos por el Cambio",0.668,0.89,0.015,0.014,0.097,0.073,0.039
"P35","Javier Milei por los liberales libertarios",0.099,0.035,0.004,0.048,0.821,0.047,0.159
"P35","Al candidato del Frente de Izquierda",0.063,0.008,0.019,0.08,0.001,0.564,0.044
"P35","No sabe",0.108,0.041,0.046,0.141,0.05,0.077,0.608
"P36","Wado de Pedro por el Frente de Todos",0.056,0.029,0.585,0.729,0.043,0.401,0.289
"P36","Patricia Bullrich por Juntos por el Cambio",0.661,0.893,0.041,0.016,0.088,0.074,0.049
"P36","Javier Milei por los liberales libertarios",0.105,0.046,0.034,0.051,0.806,0.034,0.153
"P36","Al candidato del Frente de Izquierda",0.057,0,0.022,0.034,0.019,0.43,0.028
"P36","No sabe",0.121,0.032,0.318,0.17,0.044,0.061,0.481
"P37","Daniel Scioli por el Frente de Todos",0.087,0.025,0.658,0.793,0.046,0.359,0.267
"P37","Patricia Bullrich por Juntos por el Cambio",0.653,0.887,0.03,0.015,0.088,0.085,0.061
"P37","Javier Milei por los liberales libertarios",0.103,0.057,0.033,0.047,0.802,0.041,0.121
"P37","Al candidato del Frente de Izquierda",0.054,0,0.02,0.03,0,0.445,0.025
"P37","No sabe",0.103,0.031,0.259,0.115,0.064,0.07,0.526
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.748,0.412,0.163,0.088,0.032,0.196,0.084
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.093,0.13,0.513,0.723,0.047,0.102,0.143
"P38","Javier Milei presidente y su candidato a vice",0.062,0.244,0.052,0.033,0.849,0,0.117
"P38","A los candidatos de la izquierda",0.037,0.005,0.041,0.049,0.004,0.591,0.036
"P38","No sabe",0.06,0.209,0.231,0.107,0.068,0.111,0.62
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.687,0.78,0.075,0.018,0.067,0.061,0.071
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.055,0.069,0.586,0.79,0.035,0.134,0.121
"P39","Javier Milei presidente y su candidato a vice",0.073,0.078,0.017,0.02,0.836,0,0.107
"P39","A los candidatos de la izquierda",0.034,0.002,0.027,0.051,0.004,0.603,0.035
"P39","No sabe",0.151,0.071,0.295,0.121,0.058,0.202,0.666
"P40","Sergio Massa por el Frente de Todos",0.03,0.076,0.716,0.944,0.068,0.466,0.236
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.901,0.706,0.038,0.016,0.331,0.11,0.112
"P40","No sabe",0.069,0.218,0.246,0.04,0.601,0.424,0.652
"P41","Alberto Fernández por el Frente de Todos",0.022,0.051,0.86,0.762,0.071,0.355,0.234
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.941,0.737,0.041,0.048,0.34,0.132,0.143
"P41","No sabe",0.037,0.212,0.099,0.19,0.589,0.513,0.623
"P42","Sergio Massa por el Frente de Todos",0.045,0.032,0.712,0.922,0.078,0.506,0.275
"P42","Patricia Bullrich por Juntos por el Cambio",0.771,0.923,0.091,0.03,0.548,0.056,0.166
"P42","No sabe",0.184,0.045,0.197,0.048,0.374,0.438,0.559
"P43","Alberto Fernández por el Frente de Todos",0.021,0.028,0.896,0.777,0.077,0.511,0.277
"P43","Patricia Bullrich por Juntos por el Cambio",0.762,0.935,0.022,0.027,0.585,0.049,0.159
"P43","No sabe",0.217,0.037,0.082,0.196,0.338,0.44,0.564
"P44","Wado de Pedro por el Frente de Todos",0.013,0.033,0.659,0.779,0.069,0.526,0.362
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.902,0.77,0.058,0.062,0.372,0.134,0.124
"P44","No sabe",0.085,0.197,0.283,0.159,0.559,0.34,0.514
"P45","Daniel Scioli por el Frente de Todos",0.019,0.047,0.746,0.816,0.076,0.478,0.331
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.949,0.755,0.037,0.042,0.358,0.107,0.106
"P45","No sabe",0.032,0.198,0.217,0.142,0.566,0.415,0.563
"P46","Wado de Pedro por el Frente de Todos",0.024,0.027,0.64,0.799,0.059,0.582,0.372
"P46","Patricia Bullrich por Juntos por el Cambio",0.758,0.921,0.05,0.022,0.574,0.129,0.16
"P46","No sabe",0.218,0.052,0.31,0.179,0.367,0.289,0.468
"P47","Daniel Scioli por el Frente de Todos",0.053,0.032,0.793,0.86,0.056,0.498,0.365
"P47","Patricia Bullrich por Juntos por el Cambio",0.75,0.945,0.03,0.022,0.608,0.095,0.163
"P47","No sabe",0.197,0.023,0.177,0.118,0.336,0.407,0.472
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.791,0.48,0.157,0.218,0.038,0.208,0.097
"P48","Javier Milei por los liberales libertarios",0.16,0.37,0.049,0.058,0.834,0.027,0.178
"P48","No sabe",0.049,0.15,0.794,0.724,0.128,0.765,0.725
"P49","Patricia Bullrich por Juntos por el Cambio",0.702,0.835,0.081,0.067,0.06,0.148,0.089
"P49","Javier Milei por los liberales libertarios",0.134,0.092,0.038,0.091,0.827,0.027,0.146
"P49","No sabe",0.164,0.073,0.881,0.842,0.113,0.825,0.765
"P50","Alberto Fernández por el Frente de Todos",0.176,0.154,0.772,0.73,0.036,0.473,0.244
"P50","Javier Milei por los liberales libertarios",0.46,0.498,0.007,0.064,0.862,0.013,0.208
"P50","No sabe",0.364,0.348,0.221,0.206,0.102,0.514,0.548
"P51","Sergio Massa por el Frente de Todos",0.104,0.046,0.771,0.903,0.039,0.532,0.289
"P51","Javier Milei por los liberales libertarios",0.558,0.599,0.027,0.018,0.875,0.039,0.181
"P51","No sabe",0.338,0.355,0.202,0.079,0.086,0.429,0.53
"P52","Muy buena",0.013,0.016,0.328,0.094,0.013,0.225,0.038
"P52","Buena",0.093,0.079,0.388,0.285,0.114,0.059,0.073
"P52","Ni buena ni mala",0.063,0.064,0.206,0.386,0.097,0.252,0.295
"P52","Mala",0.073,0.09,0.036,0.177,0.055,0.131,0.219
"P52","Muy mala",0.755,0.745,0.034,0.054,0.714,0.319,0.353
"P52","No sabe",0.003,0.006,0.008,0.004,0.007,0.014,0.022
"P53","Muy buena",0.014,0.014,0.587,0.594,0.05,0.41,0.407
"P53","Buena",0.004,0.021,0.187,0.148,0.02,0.106,0.053
"P53","Ni buena ni mala",0.029,0.023,0.154,0.127,0.052,0.093,0.082
"P53","Mala",0.071,0.056,0.026,0.08,0.062,0.111,0.09
"P53","Muy mala",0.882,0.885,0.046,0.051,0.815,0.28,0.348
"P53","No sabe",0,0.001,0,0,0.001,0,0.02
"P54","Muy buena",0.195,0.416,0.16,0.051,0.11,0.208,0.067
"P54","Buena",0.284,0.277,0.019,0.018,0.135,0.04,0.036
"P54","Ni buena ni mala",0.232,0.137,0.046,0.037,0.222,0.017,0.071
"P54","Mala",0.082,0.054,0.165,0.113,0.183,0.099,0.172
"P54","Muy mala",0.202,0.112,0.61,0.781,0.346,0.62,0.634
"P54","No sabe",0.005,0.004,0,0,0.004,0.016,0.02
"P55","Muy buena",0.357,0.202,0.005,0.005,0.063,0.079,0.07
"P55","Buena",0.437,0.36,0.03,0.035,0.097,0.02,0.052
"P55","Ni buena ni mala",0.166,0.267,0.072,0.127,0.283,0.037,0.173
"P55","Mala",0.016,0.09,0.231,0.22,0.217,0.248,0.167
"P55","Muy mala",0.024,0.08,0.637,0.611,0.328,0.59,0.516
"P55","No sabe",0,0.001,0.025,0.002,0.012,0.026,0.022
"P56","Muy buena",0.031,0.031,0.1,0.213,0.025,0.028,0.017
"P56","Buena",0.101,0.054,0.343,0.389,0.052,0.094,0.097
"P56","Ni buena ni mala",0.119,0.093,0.348,0.297,0.126,0.265,0.33
"P56","Mala",0.142,0.131,0.069,0.064,0.129,0.332,0.194
"P56","Muy mala",0.607,0.689,0.104,0.034,0.663,0.281,0.319
"P56","No sabe",0,0.002,0.036,0.003,0.005,0,0.043
"P57","Muy buena",0.245,0.635,0.079,0.037,0.222,0.084,0.021
"P57","Buena",0.234,0.205,0.06,0.058,0.214,0.038,0.059
"P57","Ni buena ni mala",0.233,0.052,0.135,0.105,0.2,0.088,0.138
"P57","Mala",0.118,0.028,0.103,0.098,0.135,0.153,0.19
"P57","Muy mala",0.17,0.079,0.611,0.695,0.219,0.628,0.561
"P57","No sabe",0,0.001,0.012,0.007,0.01,0.009,0.031
"P58","Muy buena",0.058,0.126,0.031,0.012,0.657,0.052,0.113
"P58","Buena",0.205,0.233,0.007,0.016,0.166,0.005,0.049
"P58","Ni buena ni mala",0.321,0.373,0.074,0.095,0.068,0.138,0.146
"P58","Mala",0.239,0.132,0.126,0.098,0.022,0.099,0.209
"P58","Muy mala",0.177,0.117,0.678,0.764,0.08,0.697,0.446
"P58","No sabe",0,0.019,0.084,0.015,0.007,0.009,0.037
"P59","Muy buena",0.005,0.019,0.238,0.322,0.116,0.164,0.185
"P59","Buena",0.056,0.032,0.253,0.291,0.041,0.276,0.148
"P59","Ni buena ni mala",0.177,0.152,0.143,0.155,0.133,0.152,0.194
"P59","Mala",0.207,0.161,0.076,0.045,0.145,0.035,0.162
"P59","Muy mala",0.528,0.605,0.159,0.15,0.488,0.318,0.245
"P59","No sabe",0.027,0.031,0.131,0.037,0.077,0.055,0.066
"P60","Muy buena",0.011,0.01,0.24,0.248,0.052,0.157,0.103
"P60","Buena",0.047,0.025,0.426,0.373,0.041,0.131,0.236
"P60","Ni buena ni mala",0.093,0.065,0.227,0.31,0.09,0.348,0.245
"P60","Mala",0.196,0.161,0.023,0.038,0.175,0.138,0.139
"P60","Muy mala",0.653,0.725,0.067,0.028,0.631,0.226,0.249
"P60","No sabe",0,0.014,0.017,0.003,0.011,0,0.028
"P61","Muy buena",0.291,0.223,0.075,0.029,0.098,0.086,0.054
"P61","Buena",0.281,0.356,0.056,0.046,0.14,0.005,0.051
"P61","Ni buena ni mala",0.214,0.225,0.101,0.09,0.229,0.096,0.142
"P61","Mala",0.096,0.084,0.057,0.147,0.167,0.123,0.176
"P61","Muy mala",0.114,0.11,0.667,0.685,0.366,0.69,0.542
"P61","No sabe",0.004,0.002,0.044,0.003,0,0,0.035
"P62","Muy buena",0.173,0.092,0.018,0.044,0.079,0.07,0.08
"P62","Buena",0.312,0.245,0.098,0.093,0.14,0.059,0.101
"P62","Ni buena ni mala",0.39,0.35,0.341,0.331,0.371,0.332,0.288
"P62","Mala",0.082,0.149,0.201,0.235,0.126,0.234,0.193
"P62","Muy mala",0.027,0.146,0.259,0.252,0.244,0.272,0.238
"P62","No sabe",0.016,0.018,0.083,0.045,0.04,0.033,0.1
"P63","Siempre",0.297,0.338,0.369,0.298,0.319,0.271,0.322
"P63","Casi siempre",0.503,0.417,0.312,0.46,0.337,0.364,0.333
"P63","Casi nunca",0.144,0.187,0.228,0.176,0.185,0.28,0.2
"P63","Nunca, pero esta es una excepción",0.056,0.058,0.091,0.066,0.159,0.085,0.145
"P64","Si",0.667,0.615,0.568,0.656,0.615,0.648,0.53
"P64","No",0.333,0.385,0.432,0.344,0.385,0.352,0.47
