"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Daniel Scioli","Mala",0.13,0.137,0.122,0.104,0.11,0.132,0.187,0.144,0.121,0.126,0.128,0.133,0.088,0.151,0.126
"Daniel Scioli","Muy mala",0.441,0.452,0.429,0.484,0.444,0.432,0.411,0.404,0.454,0.461,0.43,0.463,0.137,0.691,0.441
"Daniel Scioli","No sabe",0.011,0.013,0.009,0,0.016,0.007,0.015,0.019,0.009,0.006,0.012,0.009,0.012,0.005,0
"Facundo Manes","Muy buena",0.08,0.092,0.068,0.06,0.079,0.093,0.081,0.094,0.067,0.085,0.071,0.099,0.048,0.098,0.093
"Facundo Manes","Buena",0.166,0.193,0.138,0.187,0.129,0.138,0.265,0.142,0.182,0.169,0.155,0.189,0.105,0.216,0.304
"Facundo Manes","Ni buena ni mala",0.345,0.31,0.382,0.22,0.333,0.422,0.367,0.349,0.343,0.345,0.352,0.333,0.336,0.364,0.235
"Facundo Manes","Mala",0.168,0.143,0.194,0.231,0.165,0.162,0.133,0.119,0.18,0.202,0.17,0.164,0.222,0.141,0.199
"Facundo Manes","Muy mala",0.199,0.222,0.175,0.27,0.238,0.159,0.114,0.236,0.177,0.19,0.209,0.177,0.235,0.163,0.07
"Facundo Manes","No sabe",0.042,0.04,0.043,0.032,0.056,0.026,0.04,0.06,0.051,0.009,0.043,0.038,0.054,0.018,0.099
"Sergio Massa","Muy buena",0.068,0.062,0.075,0.053,0.066,0.08,0.069,0.09,0.068,0.046,0.07,0.065,0.122,0.03,0.075
"Sergio Massa","Buena",0.15,0.14,0.16,0.101,0.141,0.168,0.181,0.149,0.147,0.154,0.143,0.162,0.283,0.064,0.245
"Sergio Massa","Ni buena ni mala",0.195,0.169,0.221,0.21,0.205,0.189,0.169,0.192,0.214,0.168,0.209,0.164,0.291,0.097,0.223
"Sergio Massa","Mala",0.132,0.151,0.112,0.133,0.147,0.111,0.127,0.127,0.121,0.153,0.13,0.136,0.126,0.14,0.082
"Sergio Massa","Muy mala",0.446,0.474,0.418,0.503,0.421,0.45,0.45,0.421,0.444,0.477,0.436,0.468,0.177,0.666,0.375
"Sergio Massa","No sabe",0.009,0.004,0.014,0,0.02,0.002,0.004,0.021,0.006,0.002,0.012,0.005,0.001,0.003,0
"Alberto Fernandez","Muy buena",0.064,0.05,0.079,0.073,0.058,0.072,0.06,0.075,0.069,0.045,0.068,0.056,0.139,0.012,0.023
"Alberto Fernandez","Buena",0.146,0.149,0.143,0.095,0.166,0.146,0.143,0.174,0.14,0.125,0.138,0.163,0.228,0.09,0.088
"Alberto Fernandez","Ni buena ni mala",0.178,0.16,0.198,0.185,0.172,0.161,0.211,0.182,0.172,0.184,0.181,0.172,0.298,0.061,0.23
"Alberto Fernandez","Mala",0.112,0.122,0.102,0.147,0.106,0.108,0.101,0.121,0.108,0.108,0.108,0.121,0.144,0.081,0.142
"Alberto Fernandez","Muy mala",0.492,0.512,0.47,0.5,0.488,0.507,0.471,0.441,0.501,0.532,0.499,0.477,0.187,0.751,0.506
"Alberto Fernandez","No sabe",0.008,0.007,0.008,0,0.01,0.006,0.014,0.007,0.01,0.006,0.006,0.011,0.004,0.005,0.011
