"var","categoria","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P47","Patricia Bullrich por Juntos por el Cambio",0.918,0.63,0.04
"P47","No sabe",0.03,0.261,0.298
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.617,0.07,0.142
"P48","Javier Milei por los liberales libertarios",0.296,0.865,0.022
"P48","No sabe",0.087,0.065,0.836
"P50","Alberto Fernández por el Frente de Todos",0.204,0.048,0.561
"P50","Javier Milei por los liberales libertarios",0.454,0.918,0.027
"P50","No sabe",0.342,0.034,0.412
"P51","Sergio Massa por el Frente de Todos",0.086,0.078,0.656
"P51","Javier Milei por los liberales libertarios",0.566,0.884,0.027
"P51","No sabe",0.348,0.038,0.317
"P52","Muy buena",0.014,0.035,0.124
"P52","Buena",0.09,0.118,0.211
"P52","Ni buena ni mala",0.065,0.098,0.324
"P52","Mala",0.086,0.051,0.169
"P52","Muy mala",0.74,0.693,0.159
"P52","No sabe",0.005,0.005,0.013
"P53","Muy buena",0.021,0.04,0.539
"P53","Buena",0.022,0.041,0.112
"P53","Ni buena ni mala",0.021,0.063,0.113
"P53","Mala",0.061,0.058,0.079
"P53","Muy mala",0.874,0.797,0.152
"P53","No sabe",0.001,0.001,0.005
"P54","Muy buena",0.381,0.109,0.092
"P54","Buena",0.268,0.176,0.017
"P54","Ni buena ni mala",0.148,0.206,0.053
"P54","Mala",0.049,0.165,0.146
"P54","Muy mala",0.151,0.341,0.684
"P54","No sabe",0.003,0.003,0.008
"P55","Muy buena",0.239,0.079,0.032
"P55","Buena",0.364,0.12,0.053
"P55","Ni buena ni mala",0.246,0.302,0.096
"P55","Mala",0.075,0.203,0.207
"P55","Muy mala",0.074,0.287,0.599
"P55","No sabe",0.002,0.009,0.013
"P56","Muy buena",0.051,0.032,0.105
"P56","Buena",0.062,0.063,0.276
"P56","Ni buena ni mala",0.1,0.164,0.294
"P56","Mala",0.125,0.139,0.133
"P56","Muy mala",0.661,0.588,0.179
"P56","No sabe",0.001,0.014,0.013
"P57","Muy buena",0.579,0.222,0.027
"P57","Buena",0.226,0.202,0.044
"P57","Ni buena ni mala",0.093,0.181,0.118
"P57","Mala",0.034,0.159,0.123
"P57","Muy mala",0.067,0.228,0.673
"P57","No sabe",0.001,0.008,0.015
"P58","Muy buena",0.11,0.579,0.026
"P58","Buena",0.209,0.199,0.017
"P58","Ni buena ni mala",0.385,0.114,0.084
"P58","Mala",0.153,0.048,0.135
"P58","Muy mala",0.127,0.05,0.708
"P58","No sabe",0.016,0.01,0.03
"P59","Muy buena",0.012,0.102,0.265
"P59","Buena",0.03,0.073,0.242
"P59","Ni buena ni mala",0.149,0.162,0.158
"P59","Mala",0.171,0.148,0.077
"P59","Muy mala",0.608,0.415,0.213
"P59","No sabe",0.03,0.1,0.045
"P60","Muy buena",0.018,0.057,0.193
"P60","Buena",0.029,0.047,0.327
"P60","Ni buena ni mala",0.073,0.112,0.277
"P60","Mala",0.167,0.173,0.072
"P60","Muy mala",0.704,0.599,0.12
"P60","No sabe",0.009,0.012,0.011
"P61","Muy buena",0.281,0.086,0.028
"P61","Buena",0.316,0.147,0.068
"P61","Ni buena ni mala",0.217,0.238,0.1
"P61","Mala",0.088,0.166,0.13
"P61","Muy mala",0.095,0.363,0.656
"P61","No sabe",0.003,0,0.018
"P62","Muy buena",0.135,0.062,0.043
"P62","Buena",0.258,0.161,0.089
"P62","Ni buena ni mala",0.351,0.358,0.333
"P62","Mala",0.12,0.154,0.217
"P62","Muy mala",0.118,0.202,0.268
"P62","No sabe",0.018,0.063,0.05
"P63","Siempre",0.339,0.324,0.301
"P63","Casi siempre",0.425,0.371,0.393
"P63","Casi nunca",0.187,0.16,0.208
"P63","Nunca, pero esta es una excepción",0.049,0.145,0.098
"P64","Si",0.613,0.625,0.615
"P64","No",0.387,0.375,0.385
