"var","categoria","Daniel Scioli por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P17","Nunca la votaría",0.899,0.169,0.529
"P17","No sabe",0.037,0.023,0.094
"P18","Lo votaría",0.031,0.251,0.32
"P18","Puede que lo vote",0.052,0.312,0.163
"P18","Nunca lo votaría",0.899,0.382,0.436
"P18","No sabe",0.018,0.055,0.081
"P19","La votaría",0.016,0.223,0.081
"P19","Puede que la vote",0.066,0.388,0.124
"P19","Nunca la votaría",0.892,0.326,0.709
"P19","No sabe",0.026,0.063,0.086
"P20","Lo votaría",0.354,0.035,0.05
"P20","Puede que lo vote",0.344,0.065,0.101
"P20","Nunca lo votaría",0.225,0.834,0.748
"P20","No sabe",0.077,0.066,0.101
"P21","Lo votaría",0.363,0.015,0.015
"P21","Puede que lo vote",0.459,0.037,0.112
"P21","Nunca lo votaría",0.105,0.928,0.783
"P21","No sabe",0.073,0.02,0.09
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.158,0.003
"P22","Patricia Bullrich por Juntos por el Cambio",0.022,0.534,0.216
"P22","Facundo Manes por Juntos por el Cambio",0.013,0.07,0.057
"P22","Alberto Fernández por el Frente de Todos",0.102,0.007,0.034
"P22","Sergio Massa por el Frente de Todos",0.193,0.012,0.073
"P22","Wado de Pedro por el Frente de Todos",0.368,0.007,0.082
"P22","Daniel Scioli por el Frente de Todos",0.216,0.003,0.04
"P22","Javier Milei por los liberales libertarios",0.021,0.175,0.323
"P22","Al candidato del Frente de Izquierda",0.012,0.004,0.038
"P22","No sabe",0.048,0.03,0.134
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.001,0.143,0.02
"P23","Patricia Bullrich por Juntos por el Cambio",0.013,0.503,0.2
"P23","María Eugenia Vidal por Juntos por el Cambio",0.013,0.09,0.019
"P23","Facundo Manes por Juntos por el Cambio",0.02,0.063,0.048
"P23","Sergio Massa por el Frente de Todos",0.239,0.016,0.091
"P23","Wado de Pedro por el Frente de Todos",0.38,0.006,0.084
"P23","Daniel Scioli por el Frente de Todos",0.241,0.001,0.03
"P23","Javier Milei por los liberales libertarios",0.023,0.159,0.353
"P23","Al candidato del Frente de Izquierda",0.026,0,0.035
"P23","No sabe",0.044,0.019,0.12
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.003,0.136,0.013
"P24","Patricia Bullrich por Juntos por el Cambio",0.02,0.503,0.212
"P24","María Eugenia Vidal por Juntos por el Cambio",0.002,0.091,0.025
"P24","Facundo Manes por Juntos por el Cambio",0.019,0.06,0.052
"P24","Sergio Massa por el Frente de Todos",0.263,0.01,0.087
"P24","Wado de Pedro por el Frente de Todos",0.435,0.003,0.085
"P24","Alberto Fernández por el Frente de Todos",0.147,0.005,0.046
"P24","Javier Milei por los liberales libertarios",0.027,0.167,0.338
"P24","Al candidato del Frente de Izquierda",0.022,0,0.03
"P24","No sabe",0.062,0.025,0.112
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.149,0.035
"P25","Patricia Bullrich por Juntos por el Cambio",0.016,0.438,0.159
"P25","Facundo Manes por Juntos por el Cambio",0.006,0.155,0.081
"P25","Sergio Massa por el Frente de Todos",0.212,0.017,0.071
"P25","Wado de Pedro por el Frente de Todos",0.382,0.015,0.079
"P25","Daniel Scioli por el Frente de Todos",0.28,0.007,0.06
"P25","Javier Milei por los liberales libertario",0.034,0.127,0.215
"P25","Al candidato del Frente de Izquierda",0.024,0.072,0.184
"P25","No sabe",0.039,0.02,0.116
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.214,0.01
"P26","Patricia Bulrich por Juntos por el Cambio",0.043,0.545,0.192
"P26","Alberto Fernández por el Frente de Todos",0.188,0.007,0.058
"P26","Sergio Massa por el Frente de Todos",0.523,0.022,0.096
"P26","Javier Milei por los liberales libertarios",0.045,0.168,0.357
"P26","Al candidato del Frente de Izquierda",0.073,0.013,0.067
"P26","No sabe",0.122,0.031,0.22
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.21,0.016
"P27","Patricia Bullrich por Juntos por el Cambio",0.025,0.564,0.191
"P27","Wado de Pedro por el Frente de Todos",0.424,0.006,0.086
"P27","Sergio Massa por el Frente de Todos",0.376,0.016,0.091
"P27","Javier Milei por los liberales libertarios",0.039,0.174,0.383
"P27","Al candidato del Frente de Izquierda",0.044,0.013,0.054
"P27","No sabe",0.076,0.017,0.179
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.221,0.01
"P28","Patricia Bullrich por Juntos por el Cambio",0.022,0.556,0.196
"P28","Wado de Pedro por el Frente de Todos",0.447,0.007,0.08
"P28","Daniel Scioli por el Frente de Todos",0.398,0.001,0.053
"P28","Javier Milei por los liberales libertarios",0.039,0.181,0.393
"P28","Al candidato del Frente de Izquierda",0.028,0.011,0.069
"P28","No sabe",0.059,0.023,0.199
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.004,0.279,0.044
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.032,0.476,0.153
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.299,0.026,0.096
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.504,0.003,0.067
"P29","Javier Milei presidente y su candidato a vice",0.04,0.178,0.387
"P29","A los candidatos de la izquierda",0.032,0.008,0.058
"P29","No sabe",0.089,0.03,0.195
"P30","Alberto Fernández por el Frente de Todos",0.666,0.025,0.104
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.531,0.023
"P30","Javier Milei por los liberales libertarios",0.056,0.315,0.446
"P30","Al candidato del Frente de Izquierda",0.066,0.017,0.073
"P30","No sabe",0.191,0.112,0.354
"P31","Sergio Massa por el Frente de Todos",0.73,0.021,0.106
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.571,0.03
"P31","Javier Milei por los liberales libertarios",0.051,0.307,0.455
"P31","Al candidato del Frente de Izquierda",0.063,0.017,0.068
"P31","No sabe",0.144,0.084,0.341
"P32","Wado de Pedro por el Frente de Todos",0.774,0.008,0.107
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.592,0.034
"P32","Javier Milei por los liberales libertarios",0.045,0.314,0.447
"P32","Al candidato del Frente de Izquierda",0.03,0.014,0.059
"P32","No sabe",0.131,0.072,0.353
"P33","Daniel Scioli por el Frente de Todos",0.838,0.004,0.068
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.618,0.014
"P33","Javier Milei por los liberales libertarios",0.037,0.307,0.455
"P33","Al candidato del Frente de Izquierda",0.037,0.016,0.08
"P33","No sabe",0.071,0.055,0.383
"P34","Sergio Massa por el Frente de Todos",0.757,0.035,0.102
"P34","Patricia Bullrich por Juntos por el Cambio",0.031,0.706,0.194
"P34","Javier Milei por los liberales libertarios",0.03,0.197,0.377
"P34","Al candidato del Frente de Izquierda",0.059,0.014,0.061
"P34","No sabe",0.123,0.048,0.266
"P35","Alberto Fernández por el Frente de Todos",0.715,0.018,0.109
"P35","Patricia Bullrich por Juntos por el Cambio",0.022,0.723,0.2
"P35","Javier Milei por los liberales libertarios",0.046,0.194,0.367
"P35","Al candidato del Frente de Izquierda",0.075,0.015,0.082
"P35","No sabe",0.142,0.05,0.242
"P36","Wado de Pedro por el Frente de Todos",0.744,0.01,0.094
"P36","Patricia Bullrich por Juntos por el Cambio",0.027,0.728,0.217
"P36","Javier Milei por los liberales libertarios",0.041,0.193,0.362
"P36","Al candidato del Frente de Izquierda",0.043,0.021,0.066
"P36","No sabe",0.145,0.048,0.261
"P37","Daniel Scioli por el Frente de Todos",0.823,0.018,0.072
"P37","Patricia Bullrich por Juntos por el Cambio",0.022,0.722,0.221
"P37","Javier Milei por los liberales libertarios",0.035,0.199,0.357
"P37","Al candidato del Frente de Izquierda",0.031,0.015,0.074
"P37","No sabe",0.089,0.046,0.276
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.111,0.496,0.032
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.593,0.099,0.124
"P38","Javier Milei presidente y su candidato a vice",0.054,0.3,0.433
"P38","A los candidatos de la izquierda",0.07,0.017,0.078
"P38","No sabe",0.172,0.088,0.333
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.033,0.653,0.166
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.674,0.044,0.108
"P39","Javier Milei presidente y su candidato a vice",0.027,0.221,0.366
"P39","A los candidatos de la izquierda",0.07,0.017,0.07
"P39","No sabe",0.196,0.065,0.29
"P40","Sergio Massa por el Frente de Todos",0.858,0.042,0.164
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.888,0.042
"P40","No sabe",0.127,0.07,0.794
"P41","Alberto Fernández por el Frente de Todos",0.778,0.038,0.129
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.927,0.051
"P41","No sabe",0.184,0.035,0.82
"P42","Sergio Massa por el Frente de Todos",0.854,0.039,0.151
"P42","Patricia Bullrich por Juntos por el Cambio",0.051,0.89,0.346
"P42","No sabe",0.095,0.071,0.503
"P43","Alberto Fernández por el Frente de Todos",0.807,0.022,0.146
"P43","Patricia Bullrich por Juntos por el Cambio",0.038,0.895,0.37
"P43","No sabe",0.155,0.083,0.484
"P44","Wado de Pedro por el Frente de Todos",0.838,0.012,0.109
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.955,0.071
"P44","No sabe",0.13,0.033,0.82
"P46","Wado de Pedro por el Frente de Todos",0.837,0.022,0.1
"P46","Patricia Bullrich por Juntos por el Cambio",0.035,0.909,0.342
"P46","No sabe",0.128,0.069,0.558
"P47","Daniel Scioli por el Frente de Todos",0.921,0.024,0.067
"P47","Patricia Bullrich por Juntos por el Cambio",0.032,0.905,0.394
"P47","No sabe",0.047,0.071,0.539
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.193,0.559,0.029
"P48","Javier Milei por los liberales libertarios",0.072,0.399,0.461
"P48","No sabe",0.735,0.042,0.51
"P49","Patricia Bullrich por Juntos por el Cambio",0.061,0.698,0.187
"P49","Javier Milei por los liberales libertarios",0.079,0.243,0.384
"P49","No sabe",0.86,0.059,0.429
"P50","Alberto Fernández por el Frente de Todos",0.726,0.133,0.128
"P50","Javier Milei por los liberales libertarios",0.066,0.578,0.463
"P50","No sabe",0.208,0.289,0.409
"P51","Sergio Massa por el Frente de Todos",0.84,0.049,0.142
"P51","Javier Milei por los liberales libertarios",0.052,0.667,0.464
"P51","No sabe",0.108,0.284,0.394
"P52","Muy buena",0.166,0.01,0.032
"P52","Buena",0.261,0.085,0.11
"P52","Ni buena ni mala",0.336,0.062,0.175
"P52","Mala",0.143,0.08,0.124
"P52","Muy mala",0.089,0.76,0.541
"P52","No sabe",0.005,0.003,0.018
"P53","Muy buena",0.629,0.006,0.146
"P53","Buena",0.144,0.012,0.05
"P53","Ni buena ni mala",0.113,0.017,0.093
"P53","Mala",0.063,0.062,0.081
"P53","Muy mala",0.051,0.902,0.622
"P53","No sabe",0,0.001,0.008
"P54","Muy buena",0.103,0.327,0.12
"P54","Buena",0.024,0.259,0.107
"P54","Ni buena ni mala",0.026,0.179,0.146
"P54","Mala",0.123,0.076,0.164
"P54","Muy mala",0.723,0.156,0.449
"P54","No sabe",0.001,0.003,0.014
"P55","Muy buena",0.005,0.25,0.048
"P55","Buena",0.016,0.385,0.063
"P55","Ni buena ni mala",0.094,0.257,0.225
"P55","Mala",0.223,0.07,0.216
"P55","Muy mala",0.655,0.036,0.428
"P55","No sabe",0.007,0.002,0.02
"P56","Muy buena",0.148,0.031,0.036
"P56","Buena",0.334,0.064,0.074
"P56","Ni buena ni mala",0.321,0.102,0.19
"P56","Mala",0.1,0.145,0.146
"P56","Muy mala",0.089,0.655,0.534
"P56","No sabe",0.008,0.003,0.02
"P57","Muy buena",0.041,0.506,0.178
"P57","Buena",0.06,0.218,0.136
"P57","Ni buena ni mala",0.086,0.119,0.171
"P57","Mala",0.097,0.063,0.155
"P57","Muy mala",0.709,0.094,0.339
"P57","No sabe",0.007,0,0.021
"P58","Muy buena",0.027,0.194,0.344
"P58","Buena",0.016,0.234,0.097
"P58","Ni buena ni mala",0.073,0.329,0.147
"P58","Mala",0.124,0.121,0.118
"P58","Muy mala",0.741,0.109,0.263
"P58","No sabe",0.019,0.013,0.031
"P59","Muy buena",0.326,0.027,0.091
"P59","Buena",0.302,0.034,0.072
"P59","Ni buena ni mala",0.156,0.157,0.152
"P59","Mala",0.045,0.185,0.134
"P59","Muy mala",0.134,0.551,0.473
"P59","No sabe",0.037,0.046,0.078
"P60","Muy buena",0.273,0.01,0.038
"P60","Buena",0.429,0.018,0.058
"P60","Ni buena ni mala",0.252,0.077,0.199
"P60","Mala",0.017,0.19,0.163
"P60","Muy mala",0.027,0.695,0.521
"P60","No sabe",0.002,0.01,0.021
"P61","Muy buena",0.031,0.264,0.052
"P61","Buena",0.06,0.312,0.105
"P61","Ni buena ni mala",0.056,0.219,0.236
"P61","Mala",0.126,0.104,0.148
"P61","Muy mala",0.713,0.099,0.448
"P61","No sabe",0.014,0.002,0.011
"P62","Muy buena",0.032,0.129,0.063
"P62","Buena",0.088,0.264,0.111
"P62","Ni buena ni mala",0.31,0.377,0.338
"P62","Mala",0.242,0.124,0.152
"P62","Muy mala",0.279,0.079,0.282
"P62","No sabe",0.049,0.027,0.054
"P63","Siempre",0.323,0.331,0.302
"P63","Casi siempre",0.403,0.439,0.338
"P63","Casi nunca",0.195,0.162,0.221
"P63","Nunca, pero esta es una excepción",0.079,0.068,0.139
"P64","Si",0.655,0.612,0.584
"P64","No",0.345,0.388,0.416
