"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P23","Sergio Massa por el Frente de Todos",0.291,0.004,0.012,0.098,0.151
"P23","Wado de Pedro por el Frente de Todos",0.352,0.005,0.029,0.281,0.165
"P23","Daniel Scioli por el Frente de Todos",0.228,0.003,0.003,0.064,0.133
"P23","Javier Milei por los liberales libertarios",0.002,0.035,0.805,0.032,0.021
"P23","Al candidato del Frente de Izquierda",0.023,0,0.005,0.244,0.002
"P23","No sabe",0.056,0.008,0.011,0.07,0.273
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.119,0.034,0.068,0.085
"P24","Patricia Bullrich por Juntos por el Cambio",0.011,0.68,0.046,0,0.05
"P24","María Eugenia Vidal por Juntos por el Cambio",0.011,0.104,0.027,0.048,0.029
"P24","Facundo Manes por Juntos por el Cambio",0.011,0.05,0.037,0.08,0.1
"P24","Sergio Massa por el Frente de Todos",0.284,0.001,0.012,0.101,0.166
"P24","Wado de Pedro por el Frente de Todos",0.388,0.003,0.027,0.297,0.207
"P24","Alberto Fernández por el Frente de Todos",0.232,0.003,0.003,0.019,0.041
"P24","Javier Milei por los liberales libertarios",0.005,0.033,0.791,0.056,0.025
"P24","Al candidato del Frente de Izquierda",0.012,0.001,0,0.23,0.004
"P24","No sabe",0.042,0.006,0.023,0.101,0.293
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.149,0.045,0.105,0.061
"P25","Patricia Bullrich por Juntos por el Cambio",0.016,0.579,0.05,0.018,0.025
"P25","Facundo Manes por Juntos por el Cambio",0.003,0.19,0.023,0.02,0.104
"P25","Sergio Massa por el Frente de Todos",0.257,0.006,0.021,0.048,0.115
"P25","Wado de Pedro por el Frente de Todos",0.364,0.007,0.032,0.258,0.191
"P25","Daniel Scioli por el Frente de Todos",0.26,0.006,0.017,0.175,0.144
"P25","Javier Milei por los liberales libertario",0.028,0.043,0.399,0.039,0.078
"P25","Al candidato del Frente de Izquierda",0.015,0.011,0.402,0.18,0.013
"P25","No sabe",0.047,0.009,0.011,0.157,0.269
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.195,0.046,0.104,0.076
"P26","Patricia Bulrich por Juntos por el Cambio",0.026,0.711,0.044,0.035,0.08
"P26","Alberto Fernández por el Frente de Todos",0.292,0.004,0.002,0.026,0.028
"P26","Sergio Massa por el Frente de Todos",0.517,0.008,0.043,0.254,0.19
"P26","Javier Milei por los liberales libertarios",0.024,0.057,0.764,0.004,0.071
"P26","Al candidato del Frente de Izquierda",0.047,0.011,0.011,0.486,0.028
"P26","No sabe",0.07,0.014,0.09,0.091,0.527
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.194,0.052,0.103,0.083
"P27","Patricia Bullrich por Juntos por el Cambio",0.009,0.734,0.043,0.003,0.066
"P27","Wado de Pedro por el Frente de Todos",0.406,0.003,0.028,0.269,0.182
"P27","Sergio Massa por el Frente de Todos",0.407,0.005,0.027,0.168,0.169
"P27","Javier Milei por los liberales libertarios",0.019,0.051,0.834,0.046,0.052
"P27","Al candidato del Frente de Izquierda",0.046,0.002,0.007,0.334,0.014
"P27","No sabe",0.084,0.011,0.009,0.077,0.434
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.184,0.055,0.138,0.086
"P28","Patricia Bullrich por Juntos por el Cambio",0.01,0.746,0.033,0.003,0.048
"P28","Wado de Pedro por el Frente de Todos",0.433,0.004,0.039,0.233,0.182
"P28","Daniel Scioli por el Frente de Todos",0.356,0.001,0.014,0.131,0.187
"P28","Javier Milei por los liberales libertarios",0.024,0.05,0.846,0.067,0.056
"P28","Al candidato del Frente de Izquierda",0.042,0,0.008,0.368,0.005
"P28","No sabe",0.099,0.015,0.005,0.06,0.436
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.014,0.28,0.054,0.09,0.112
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.019,0.627,0.03,0.017,0.024
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.335,0.014,0.024,0.134,0.163
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.479,0.003,0.024,0.294,0.208
"P29","Javier Milei presidente y su candidato a vice",0.03,0.044,0.838,0.055,0.051
"P29","A los candidatos de la izquierda",0.033,0.001,0.002,0.346,0.002
"P29","No sabe",0.09,0.031,0.028,0.064,0.44
"P30","Alberto Fernández por el Frente de Todos",0.839,0.024,0.005,0.101,0.057
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.54,0.059,0.112,0.13
"P30","Javier Milei por los liberales libertarios",0.018,0.242,0.879,0.032,0.011
"P30","Al candidato del Frente de Izquierda",0.029,0.012,0.012,0.635,0.017
"P30","No sabe",0.083,0.182,0.045,0.12,0.785
"P31","Sergio Massa por el Frente de Todos",0.791,0.007,0.029,0.213,0.207
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.586,0.053,0.132,0.111
"P31","Javier Milei por los liberales libertarios",0.005,0.25,0.885,0.036,0.017
"P31","Al candidato del Frente de Izquierda",0.046,0.014,0.004,0.499,0.019
"P31","No sabe",0.117,0.143,0.029,0.12,0.646
"P32","Wado de Pedro por el Frente de Todos",0.777,0.005,0.03,0.374,0.243
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.04,0.597,0.059,0.128,0.125
"P32","Javier Milei por los liberales libertarios",0.014,0.252,0.871,0.034,0.01
"P32","Al candidato del Frente de Izquierda",0.018,0.01,0.007,0.391,0.009
"P32","No sabe",0.151,0.136,0.033,0.073,0.613
"P33","Daniel Scioli por el Frente de Todos",0.812,0.009,0.027,0.296,0.252
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.04,0.624,0.058,0.099,0.104
"P33","Javier Milei por los liberales libertarios",0.012,0.24,0.878,0.004,0.009
"P33","Al candidato del Frente de Izquierda",0.02,0.01,0.013,0.526,0.01
"P33","No sabe",0.116,0.117,0.024,0.075,0.625
"P34","Sergio Massa por el Frente de Todos",0.835,0.011,0.047,0.253,0.199
"P34","Patricia Bullrich por Juntos por el Cambio",0.021,0.937,0.02,0.047,0.034
"P34","Javier Milei por los liberales libertarios",0.002,0.035,0.918,0.034,0.018
"P34","Al candidato del Frente de Izquierda",0.024,0,0.002,0.608,0.005
"P34","No sabe",0.118,0.017,0.013,0.058,0.744
"P36","Wado de Pedro por el Frente de Todos",0.793,0.003,0.023,0.33,0.223
"P36","Patricia Bullrich por Juntos por el Cambio",0.013,0.966,0.023,0,0.047
"P36","Javier Milei por los liberales libertarios",0.019,0.02,0.933,0.041,0.009
"P36","Al candidato del Frente de Izquierda",0.019,0.006,0.012,0.554,0.004
"P36","No sabe",0.156,0.005,0.009,0.075,0.717
"P37","Daniel Scioli por el Frente de Todos",0.834,0.004,0.028,0.317,0.243
"P37","Patricia Bullrich por Juntos por el Cambio",0.008,0.951,0.046,0,0.046
"P37","Javier Milei por los liberales libertarios",0.019,0.03,0.913,0.054,0.013
"P37","Al candidato del Frente de Izquierda",0.016,0,0.001,0.571,0.009
"P37","No sabe",0.123,0.015,0.012,0.058,0.689
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.156,0.495,0.061,0.104,0.102
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.662,0.112,0.026,0.2,0.192
"P38","Javier Milei presidente y su candidato a vice",0.017,0.22,0.883,0.025,0.006
"P38","A los candidatos de la izquierda",0.035,0.01,0.005,0.616,0.013
"P38","No sabe",0.13,0.163,0.025,0.055,0.687
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.049,0.826,0.054,0,0.057
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.735,0.047,0.027,0.191,0.183
"P39","Javier Milei presidente y su candidato a vice",0.004,0.067,0.887,0,0.016
"P39","A los candidatos de la izquierda",0.037,0,0.004,0.68,0.008
"P39","No sabe",0.175,0.06,0.028,0.129,0.736
"P40","Sergio Massa por el Frente de Todos",0.898,0.043,0.076,0.46,0.309
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.762,0.356,0.126,0.149
"P40","No sabe",0.087,0.195,0.568,0.414,0.542
"P41","Alberto Fernández por el Frente de Todos",0.9,0.032,0.062,0.304,0.139
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.799,0.383,0.134,0.166
"P41","No sabe",0.069,0.169,0.555,0.562,0.695
"P42","Sergio Massa por el Frente de Todos",0.9,0.01,0.078,0.499,0.317
"P42","Patricia Bullrich por Juntos por el Cambio",0.019,0.96,0.567,0.022,0.101
"P42","No sabe",0.081,0.03,0.355,0.479,0.582
"P43","Alberto Fernández por el Frente de Todos",0.941,0.005,0.077,0.337,0.176
"P43","Patricia Bullrich por Juntos por el Cambio",0.005,0.971,0.597,0.017,0.082
"P43","No sabe",0.054,0.024,0.326,0.646,0.742
"P44","Wado de Pedro por el Frente de Todos",0.83,0.019,0.043,0.466,0.297
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.822,0.408,0.12,0.16
"P44","No sabe",0.137,0.159,0.549,0.414,0.543
"P45","Daniel Scioli por el Frente de Todos",0.851,0.019,0.073,0.435,0.327
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.813,0.385,0.111,0.147
"P45","No sabe",0.122,0.168,0.542,0.454,0.526
"P46","Wado de Pedro por el Frente de Todos",0.799,0.008,0.068,0.577,0.33
"P46","Patricia Bullrich por Juntos por el Cambio",0.017,0.958,0.581,0.071,0.072
"P46","No sabe",0.184,0.034,0.351,0.352,0.598
"P47","Daniel Scioli por el Frente de Todos",0.892,0.005,0.075,0.471,0.364
"P47","Patricia Bullrich por Juntos por el Cambio",0.007,0.978,0.613,0.053,0.066
"P47","No sabe",0.101,0.017,0.312,0.476,0.57
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.203,0.55,0.064,0.211,0.162
"P48","Javier Milei por los liberales libertarios",0.031,0.355,0.858,0.007,0.046
"P48","No sabe",0.766,0.095,0.078,0.782,0.792
"P49","Patricia Bullrich por Juntos por el Cambio",0.065,0.882,0.045,0.052,0.087
"P49","Javier Milei por los liberales libertarios",0.043,0.085,0.905,0.029,0.038
"P49","No sabe",0.892,0.033,0.05,0.919,0.875
"P50","Alberto Fernández por el Frente de Todos",0.863,0.152,0.013,0.327,0.182
"P50","Javier Milei por los liberales libertarios",0.012,0.507,0.938,0.022,0.07
"P50","No sabe",0.125,0.341,0.049,0.651,0.748
"P51","Sergio Massa por el Frente de Todos",0.925,0.038,0.026,0.473,0.326
"P51","Javier Milei por los liberales libertarios",0.003,0.617,0.925,0.015,0.06
"P51","No sabe",0.072,0.345,0.049,0.512,0.614
"P52","Muy buena",0.201,0.002,0.025,0.108,0.02
"P52","Buena",0.342,0.08,0.116,0.021,0.055
"P52","Ni buena ni mala",0.334,0.059,0.088,0.218,0.331
"P52","Mala",0.095,0.075,0.071,0.283,0.235
"P52","Muy mala",0.025,0.78,0.692,0.344,0.338
"P52","No sabe",0.003,0.004,0.008,0.026,0.021
"P53","Muy buena",0.642,0.003,0.025,0.422,0.36
"P53","Buena",0.146,0.01,0.038,0.132,0.062
"P53","Ni buena ni mala",0.123,0.01,0.066,0.053,0.132
"P53","Mala",0.058,0.047,0.076,0.131,0.102
"P53","Muy mala",0.03,0.929,0.794,0.262,0.328
"P53","No sabe",0.001,0.001,0.001,0,0.016
"P54","Muy buena",0.087,0.405,0.081,0.129,0.068
"P54","Buena",0.005,0.293,0.155,0.024,0.032
"P54","Ni buena ni mala",0.026,0.144,0.219,0.027,0.134
"P54","Mala",0.117,0.041,0.185,0.141,0.194
"P54","Muy mala",0.764,0.113,0.356,0.664,0.554
"P54","No sabe",0.001,0.004,0.004,0.015,0.018
"P55","Muy buena",0.004,0.262,0.052,0.055,0.062
"P55","Buena",0.02,0.366,0.115,0.071,0.117
"P55","Ni buena ni mala",0.07,0.24,0.32,0.049,0.194
"P55","Mala",0.242,0.071,0.216,0.184,0.144
"P55","Muy mala",0.656,0.059,0.285,0.626,0.463
"P55","No sabe",0.008,0.002,0.012,0.015,0.02
"P56","Muy buena",0.174,0.033,0.014,0.054,0.055
"P56","Buena",0.377,0.048,0.058,0.134,0.143
"P56","Ni buena ni mala",0.324,0.09,0.171,0.253,0.246
"P56","Mala",0.061,0.128,0.143,0.257,0.205
"P56","Muy mala",0.054,0.7,0.601,0.302,0.323
"P56","No sabe",0.01,0.001,0.013,0,0.028
"P57","Muy buena",0.042,0.606,0.185,0.047,0.014
"P57","Buena",0.068,0.224,0.221,0,0.027
"P57","Ni buena ni mala",0.1,0.056,0.223,0.064,0.223
"P57","Mala",0.086,0.034,0.167,0.121,0.19
"P57","Muy mala",0.694,0.079,0.195,0.768,0.52
"P57","No sabe",0.01,0.001,0.009,0,0.026
"P58","Muy buena",0.012,0.133,0.649,0.003,0.022
"P58","Buena",0.004,0.226,0.212,0.004,0.017
"P58","Ni buena ni mala",0.07,0.377,0.085,0.109,0.168
"P58","Mala",0.107,0.139,0.03,0.059,0.262
"P58","Muy mala",0.777,0.109,0.021,0.825,0.483
"P58","No sabe",0.03,0.016,0.003,0,0.048
"P59","Muy buena",0.312,0.01,0.105,0.183,0.175
"P59","Buena",0.301,0.031,0.057,0.252,0.115
"P59","Ni buena ni mala",0.12,0.143,0.159,0.157,0.251
"P59","Mala",0.052,0.155,0.16,0.074,0.165
"P59","Muy mala",0.162,0.631,0.422,0.334,0.229
"P59","No sabe",0.053,0.03,0.097,0,0.065
"P60","Muy buena",0.257,0.004,0.051,0.072,0.138
"P60","Buena",0.417,0.012,0.044,0.261,0.173
"P60","Ni buena ni mala",0.275,0.064,0.108,0.261,0.282
"P60","Mala",0.025,0.167,0.187,0.161,0.124
"P60","Muy mala",0.019,0.742,0.6,0.245,0.257
"P60","No sabe",0.007,0.011,0.01,0,0.026
"P61","Muy buena",0.031,0.272,0.084,0.058,0.046
"P61","Buena",0.053,0.336,0.144,0.046,0.071
"P61","Ni buena ni mala",0.061,0.22,0.248,0.019,0.212
"P61","Mala",0.127,0.083,0.167,0.118,0.164
"P61","Muy mala",0.715,0.087,0.357,0.753,0.474
"P61","No sabe",0.013,0.002,0,0.006,0.033
"P62","Muy buena",0.029,0.119,0.088,0.051,0.071
"P62","Buena",0.093,0.252,0.154,0.054,0.136
"P62","Ni buena ni mala",0.339,0.36,0.358,0.304,0.315
"P62","Mala",0.237,0.131,0.122,0.23,0.185
"P62","Muy mala",0.257,0.119,0.216,0.326,0.227
"P62","No sabe",0.045,0.019,0.062,0.035,0.066
"P63","Siempre",0.319,0.34,0.301,0.267,0.317
"P63","Casi siempre",0.381,0.42,0.377,0.452,0.392
"P63","Casi nunca",0.211,0.188,0.166,0.215,0.178
"P63","Nunca, pero esta es una excepción",0.089,0.052,0.156,0.066,0.113
"P64","Si",0.621,0.609,0.614,0.635,0.624
"P64","No",0.379,0.391,0.386,0.365,0.376
