"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P28","Al candidato del Frente de Izquierda",0.026,0.008,0.06
"P28","No sabe",0.036,0.011,0.163
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.271,0.11,0.02
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.446,0.275,0.082
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.091,0.03,0.24
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.114,0.005,0.367
"P29","Javier Milei presidente y su candidato a vice",0.013,0.545,0.054
"P29","A los candidatos de la izquierda",0.023,0.001,0.058
"P29","No sabe",0.042,0.034,0.179
"P30","Alberto Fernández por el Frente de Todos",0.189,0.024,0.458
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.595,0.121,0.029
"P30","Javier Milei por los liberales libertarios",0.045,0.767,0.054
"P30","Al candidato del Frente de Izquierda",0.038,0,0.096
"P30","No sabe",0.133,0.088,0.363
"P31","Sergio Massa por el Frente de Todos",0.189,0.039,0.499
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.656,0.114,0.029
"P31","Javier Milei por los liberales libertarios",0.043,0.773,0.046
"P31","Al candidato del Frente de Izquierda",0.03,0.007,0.088
"P31","No sabe",0.082,0.067,0.338
"P32","Wado de Pedro por el Frente de Todos",0.182,0.021,0.548
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.69,0.119,0.03
"P32","Javier Milei por los liberales libertarios",0.033,0.778,0.047
"P32","Al candidato del Frente de Izquierda",0.024,0.008,0.057
"P32","No sabe",0.071,0.074,0.318
"P33","Daniel Scioli por el Frente de Todos",0.188,0.039,0.55
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.708,0.125,0.029
"P33","Javier Milei por los liberales libertarios",0.029,0.763,0.05
"P33","Al candidato del Frente de Izquierda",0.025,0.007,0.076
"P33","No sabe",0.05,0.066,0.295
"P34","Sergio Massa por el Frente de Todos",0.209,0.039,0.512
"P34","Patricia Bullrich por Juntos por el Cambio",0.656,0.375,0.1
"P34","Javier Milei por los liberales libertarios",0.03,0.571,0.036
"P34","Al candidato del Frente de Izquierda",0.039,0.001,0.079
"P34","No sabe",0.066,0.014,0.273
"P35","Alberto Fernández por el Frente de Todos",0.176,0.025,0.494
"P35","Patricia Bullrich por Juntos por el Cambio",0.665,0.401,0.085
"P35","Javier Milei por los liberales libertarios",0.045,0.553,0.04
"P35","Al candidato del Frente de Izquierda",0.039,0.001,0.107
"P35","No sabe",0.075,0.02,0.274
"P36","Wado de Pedro por el Frente de Todos",0.184,0.017,0.525
"P36","Patricia Bullrich por Juntos por el Cambio",0.671,0.405,0.098
"P36","Javier Milei por los liberales libertarios",0.038,0.545,0.038
"P36","Al candidato del Frente de Izquierda",0.04,0.009,0.068
"P36","No sabe",0.067,0.024,0.271
"P37","Daniel Scioli por el Frente de Todos",0.191,0.036,0.552
"P37","Patricia Bullrich por Juntos por el Cambio",0.658,0.406,0.098
"P37","Javier Milei por los liberales libertarios",0.053,0.544,0.034
"P37","Al candidato del Frente de Izquierda",0.035,0.001,0.069
"P37","No sabe",0.063,0.013,0.247
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.633,0.102,0.068
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.22,0.075,0.438
"P38","Javier Milei presidente y su candidato a vice",0.033,0.733,0.055
"P38","A los candidatos de la izquierda",0.03,0.012,0.091
"P38","No sabe",0.084,0.078,0.348
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.642,0.342,0.074
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.199,0.048,0.461
"P39","Javier Milei presidente y su candidato a vice",0.032,0.574,0.041
"P39","A los candidatos de la izquierda",0.042,0.005,0.092
"P39","No sabe",0.085,0.031,0.332
"P40","Sergio Massa por el Frente de Todos",0.229,0.095,0.591
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.72,0.463,0.047
"P40","No sabe",0.051,0.442,0.362
"P41","Alberto Fernández por el Frente de Todos",0.195,0.083,0.524
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.759,0.503,0.048
"P41","No sabe",0.046,0.414,0.428
"P42","Sergio Massa por el Frente de Todos",0.217,0.076,0.601
"P42","Patricia Bullrich por Juntos por el Cambio",0.695,0.741,0.097
"P42","No sabe",0.088,0.183,0.302
"P43","Alberto Fernández por el Frente de Todos",0.21,0.061,0.555
"P43","Patricia Bullrich por Juntos por el Cambio",0.685,0.763,0.101
"P43","No sabe",0.105,0.176,0.344
"P44","Wado de Pedro por el Frente de Todos",0.192,0.065,0.571
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.762,0.526,0.055
"P44","No sabe",0.046,0.409,0.374
"P45","Daniel Scioli por el Frente de Todos",0.208,0.072,0.587
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.763,0.508,0.043
"P45","No sabe",0.029,0.42,0.37
"P46","Wado de Pedro por el Frente de Todos",0.201,0.064,0.569
"P46","Patricia Bullrich por Juntos por el Cambio",0.7,0.738,0.1
"P46","No sabe",0.099,0.198,0.331
"P47","Daniel Scioli por el Frente de Todos",0.224,0.063,0.596
"P47","Patricia Bullrich por Juntos por el Cambio",0.691,0.775,0.1
"P47","No sabe",0.085,0.162,0.304
"P49","Patricia Bullrich por Juntos por el Cambio",0.744,0.332,0.078
"P49","Javier Milei por los liberales libertarios",0.056,0.639,0.039
"P49","No sabe",0.2,0.029,0.883
"P50","Alberto Fernández por el Frente de Todos",0.261,0.113,0.515
"P50","Javier Milei por los liberales libertarios",0.341,0.836,0.063
"P50","No sabe",0.398,0.051,0.422
"P51","Sergio Massa por el Frente de Todos",0.262,0.033,0.586
"P51","Javier Milei por los liberales libertarios",0.402,0.887,0.063
"P51","No sabe",0.336,0.08,0.351
"P52","Muy buena",0.06,0.008,0.113
"P52","Buena",0.082,0.125,0.211
"P52","Ni buena ni mala",0.124,0.091,0.29
"P52","Mala",0.104,0.056,0.163
"P52","Muy mala",0.626,0.715,0.21
"P52","No sabe",0.004,0.005,0.013
"P53","Muy buena",0.116,0.017,0.506
"P53","Buena",0.046,0.026,0.106
"P53","Ni buena ni mala",0.049,0.038,0.107
"P53","Mala",0.08,0.043,0.078
"P53","Muy mala",0.708,0.875,0.197
"P53","No sabe",0.001,0.001,0.006
"P54","Muy buena",0.332,0.182,0.111
"P54","Buena",0.219,0.217,0.027
"P54","Ni buena ni mala",0.13,0.189,0.064
"P54","Mala",0.071,0.122,0.145
"P54","Muy mala",0.246,0.286,0.644
"P54","No sabe",0.002,0.004,0.009
"P55","Muy buena",0.258,0.094,0.028
"P55","Buena",0.359,0.187,0.036
"P55","Ni buena ni mala",0.18,0.303,0.127
"P55","Mala",0.09,0.176,0.198
"P55","Muy mala",0.11,0.233,0.597
"P55","No sabe",0.003,0.007,0.014
"P56","Muy buena",0.056,0.031,0.108
"P56","Buena",0.123,0.049,0.25
"P56","Ni buena ni mala",0.149,0.134,0.278
"P56","Mala",0.142,0.123,0.131
"P56","Muy mala",0.529,0.652,0.219
"P56","No sabe",0.001,0.011,0.014
"P57","Muy buena",0.417,0.372,0.075
"P57","Buena",0.186,0.228,0.05
"P57","Ni buena ni mala",0.121,0.133,0.119
"P57","Mala",0.071,0.106,0.117
"P57","Muy mala",0.204,0.155,0.624
"P57","No sabe",0.001,0.006,0.015
"P58","Muy buena",0.049,0.512,0.031
"P58","Buena",0.144,0.232,0.032
"P58","Ni buena ni mala",0.333,0.163,0.124
"P58","Mala",0.185,0.04,0.137
"P58","Muy mala",0.275,0.047,0.639
"P58","No sabe",0.014,0.006,0.037
"P59","Muy buena",0.072,0.072,0.238
"P59","Buena",0.084,0.046,0.224
"P59","Ni buena ni mala",0.169,0.132,0.164
"P59","Mala",0.146,0.147,0.097
"P59","Muy mala",0.496,0.524,0.231
"P59","No sabe",0.033,0.079,0.046
"P60","Muy buena",0.068,0.027,0.179
"P60","Buena",0.101,0.028,0.297
"P60","Ni buena ni mala",0.124,0.082,0.264
"P60","Mala",0.147,0.17,0.084
"P60","Muy mala",0.555,0.678,0.164
"P60","No sabe",0.005,0.015,0.012
"P61","Muy buena",0.286,0.105,0.035
"P61","Buena",0.274,0.222,0.063
"P61","Ni buena ni mala",0.161,0.248,0.125
"P61","Mala",0.096,0.151,0.123
"P61","Muy mala",0.18,0.274,0.635
"P61","No sabe",0.003,0,0.019
"P62","Muy buena",0.137,0.083,0.034
"P62","Buena",0.224,0.192,0.101
"P62","Ni buena ni mala",0.385,0.331,0.326
"P62","Mala",0.127,0.147,0.216
"P62","Muy mala",0.102,0.203,0.27
"P62","No sabe",0.025,0.044,0.053
"P63","Siempre",0.329,0.327,0.307
"P63","Casi siempre",0.452,0.371,0.382
"P63","Casi nunca",0.163,0.178,0.218
"P63","Nunca, pero esta es una excepción",0.056,0.124,0.093
"P64","Si",0.622,0.615,0.614
"P64","No",0.378,0.385,0.386
