"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P26","Alberto Fernández por el Frente de Todos",0.189,0.005,0.069
"P26","Sergio Massa por el Frente de Todos",0.53,0.009,0.119
"P26","Javier Milei por los liberales libertarios",0.032,0.233,0.315
"P26","Al candidato del Frente de Izquierda",0.076,0.01,0.101
"P26","No sabe",0.13,0.038,0.274
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.132,0.098
"P27","Patricia Bullrich por Juntos por el Cambio",0.012,0.581,0.038
"P27","Wado de Pedro por el Frente de Todos",0.439,0.01,0.088
"P27","Sergio Massa por el Frente de Todos",0.37,0.007,0.129
"P27","Javier Milei por los liberales libertarios",0.041,0.252,0.3
"P27","Al candidato del Frente de Izquierda",0.04,0.008,0.095
"P27","No sabe",0.076,0.01,0.252
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.129,0.101
"P28","Patricia Bullrich por Juntos por el Cambio",0.002,0.584,0.034
"P28","Wado de Pedro por el Frente de Todos",0.454,0.007,0.107
"P28","Daniel Scioli por el Frente de Todos",0.394,0.004,0.057
"P28","Javier Milei por los liberales libertarios",0.045,0.255,0.317
"P28","Al candidato del Frente de Izquierda",0.033,0.007,0.099
"P28","No sabe",0.056,0.014,0.285
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.005,0.206,0.113
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.016,0.491,0.028
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.306,0.014,0.128
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.501,0.006,0.088
"P29","Javier Milei presidente y su candidato a vice",0.037,0.254,0.301
"P29","A los candidatos de la izquierda",0.034,0.006,0.079
"P29","No sabe",0.101,0.023,0.263
"P30","Alberto Fernández por el Frente de Todos",0.671,0.02,0.114
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.393,0.115
"P30","Javier Milei por los liberales libertarios",0.044,0.42,0.293
"P30","Al candidato del Frente de Izquierda",0.07,0.012,0.103
"P30","No sabe",0.188,0.155,0.375
"P31","Sergio Massa por el Frente de Todos",0.722,0.009,0.151
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.431,0.118
"P31","Javier Milei por los liberales libertarios",0.027,0.427,0.296
"P31","Al candidato del Frente de Izquierda",0.063,0.014,0.1
"P31","No sabe",0.168,0.119,0.335
"P32","Wado de Pedro por el Frente de Todos",0.763,0.004,0.156
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.443,0.132
"P32","Javier Milei por los liberales libertarios",0.031,0.427,0.281
"P32","Al candidato del Frente de Izquierda",0.036,0.012,0.074
"P32","No sabe",0.143,0.114,0.357
"P33","Daniel Scioli por el Frente de Todos",0.83,0.008,0.078
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.468,0.111
"P33","Javier Milei por los liberales libertarios",0.031,0.41,0.291
"P33","Al candidato del Frente de Izquierda",0.041,0.015,0.103
"P33","No sabe",0.076,0.099,0.417
"P34","Sergio Massa por el Frente de Todos",0.757,0.011,0.151
"P34","Patricia Bullrich por Juntos por el Cambio",0.017,0.694,0.036
"P34","Javier Milei por los liberales libertarios",0.024,0.269,0.317
"P34","Al candidato del Frente de Izquierda",0.058,0.007,0.104
"P34","No sabe",0.144,0.019,0.392
"P35","Alberto Fernández por el Frente de Todos",0.717,0.004,0.133
"P35","Patricia Bullrich por Juntos por el Cambio",0.005,0.716,0.03
"P35","Javier Milei por los liberales libertarios",0.047,0.255,0.317
"P35","Al candidato del Frente de Izquierda",0.077,0.006,0.127
"P35","No sabe",0.154,0.019,0.393
"P36","Wado de Pedro por el Frente de Todos",0.737,0.004,0.148
"P36","Patricia Bullrich por Juntos por el Cambio",0.008,0.729,0.044
"P36","Javier Milei por los liberales libertarios",0.045,0.246,0.309
"P36","Al candidato del Frente de Izquierda",0.049,0.011,0.099
"P36","No sabe",0.161,0.01,0.4
"P37","Daniel Scioli por el Frente de Todos",0.836,0.003,0.084
"P37","Patricia Bullrich por Juntos por el Cambio",0.003,0.731,0.029
"P37","Javier Milei por los liberales libertarios",0.038,0.252,0.315
"P37","Al candidato del Frente de Izquierda",0.039,0.006,0.111
"P37","No sabe",0.084,0.008,0.461
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.112,0.376,0.128
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.591,0.089,0.147
"P38","Javier Milei presidente y su candidato a vice",0.042,0.397,0.286
"P38","A los candidatos de la izquierda",0.071,0.012,0.096
"P38","No sabe",0.184,0.126,0.343
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.018,0.645,0.029
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.67,0.034,0.134
"P39","Javier Milei presidente y su candidato a vice",0.032,0.271,0.315
"P39","A los candidatos de la izquierda",0.078,0.008,0.106
"P39","No sabe",0.202,0.042,0.416
"P40","Sergio Massa por el Frente de Todos",0.851,0.038,0.202
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.695,0.139
"P40","No sabe",0.122,0.267,0.659
"P41","Alberto Fernández por el Frente de Todos",0.773,0.035,0.147
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.728,0.142
"P41","No sabe",0.176,0.237,0.711
"P42","Sergio Massa por el Frente de Todos",0.869,0.012,0.207
"P42","Patricia Bullrich por Juntos por el Cambio",0.024,0.949,0.042
"P42","No sabe",0.107,0.039,0.751
"P43","Alberto Fernández por el Frente de Todos",0.825,0.007,0.165
"P43","Patricia Bullrich por Juntos por el Cambio",0.018,0.967,0.027
"P43","No sabe",0.157,0.026,0.808
"P44","Wado de Pedro por el Frente de Todos",0.816,0.019,0.161
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.762,0.125
"P44","No sabe",0.137,0.219,0.714
"P45","Daniel Scioli por el Frente de Todos",0.911,0.021,0.076
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.745,0.142
"P45","No sabe",0.059,0.234,0.782
"P46","Wado de Pedro por el Frente de Todos",0.835,0.006,0.166
"P46","Patricia Bullrich por Juntos por el Cambio",0.012,0.963,0.026
"P46","No sabe",0.153,0.031,0.808
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.205,0.417,0.129
"P48","Javier Milei por los liberales libertarios",0.062,0.502,0.259
"P48","No sabe",0.733,0.081,0.612
"P49","Patricia Bullrich por Juntos por el Cambio",0.057,0.666,0.055
"P49","Javier Milei por los liberales libertarios",0.08,0.301,0.311
"P49","No sabe",0.863,0.033,0.634
"P50","Alberto Fernández por el Frente de Todos",0.74,0.117,0.119
"P50","Javier Milei por los liberales libertarios",0.065,0.621,0.323
"P50","No sabe",0.195,0.262,0.558
"P51","Sergio Massa por el Frente de Todos",0.838,0.029,0.203
"P51","Javier Milei por los liberales libertarios",0.038,0.707,0.32
"P51","No sabe",0.124,0.264,0.477
"P52","Muy buena",0.152,0.006,0.068
"P52","Buena",0.269,0.089,0.091
"P52","Ni buena ni mala",0.345,0.045,0.244
"P52","Mala",0.151,0.069,0.158
"P52","Muy mala",0.079,0.787,0.415
"P52","No sabe",0.004,0.004,0.024
"P53","Muy buena",0.629,0.003,0.192
"P53","Buena",0.129,0.01,0.091
"P53","Ni buena ni mala",0.127,0.012,0.115
"P53","Mala",0.069,0.049,0.112
"P53","Muy mala",0.046,0.925,0.478
"P53","No sabe",0,0.001,0.012
"P54","Muy buena",0.087,0.331,0.05
"P54","Buena",0.009,0.266,0.051
"P54","Ni buena ni mala",0.023,0.171,0.163
"P54","Mala",0.125,0.081,0.188
"P54","Muy mala",0.753,0.149,0.53
"P54","No sabe",0.003,0.002,0.018
"P55","Muy buena",0.004,0.212,0.061
"P55","Buena",0.026,0.306,0.108
"P55","Ni buena ni mala",0.094,0.259,0.211
"P55","Mala",0.232,0.122,0.134
"P55","Muy mala",0.643,0.1,0.447
"P55","No sabe",0.001,0.001,0.039
"P56","Muy buena",0.146,0.028,0.046
"P56","Buena",0.338,0.046,0.104
"P56","Ni buena ni mala",0.327,0.093,0.234
"P56","Mala",0.112,0.137,0.15
"P56","Muy mala",0.062,0.695,0.445
"P56","No sabe",0.015,0.001,0.021
"P57","Muy buena",0.028,0.523,0.024
"P57","Buena",0.05,0.245,0.054
"P57","Ni buena ni mala",0.104,0.09,0.238
"P57","Mala",0.102,0.049,0.222
"P57","Muy mala",0.711,0.089,0.436
"P57","No sabe",0.005,0.004,0.026
"P58","Muy buena",0.027,0.268,0.238
"P58","Buena",0.007,0.222,0.086
"P58","Ni buena ni mala",0.071,0.31,0.123
"P58","Mala",0.123,0.105,0.157
"P58","Muy mala",0.747,0.083,0.363
"P58","No sabe",0.025,0.012,0.033
"P59","Muy buena",0.32,0.034,0.098
"P59","Buena",0.285,0.037,0.097
"P59","Ni buena ni mala",0.159,0.143,0.182
"P59","Mala",0.053,0.163,0.159
"P59","Muy mala",0.133,0.586,0.369
"P59","No sabe",0.05,0.037,0.095
"P60","Muy buena",0.271,0.008,0.048
"P60","Buena",0.424,0.008,0.091
"P60","Ni buena ni mala",0.27,0.064,0.251
"P60","Mala",0.024,0.182,0.166
"P60","Muy mala",0.011,0.726,0.417
"P60","No sabe",0,0.012,0.027
"P61","Muy buena",0.024,0.232,0.054
"P61","Buena",0.054,0.291,0.081
"P61","Ni buena ni mala",0.066,0.231,0.207
"P61","Mala",0.135,0.112,0.133
"P61","Muy mala",0.713,0.132,0.501
"P61","No sabe",0.008,0.002,0.024
"P62","Muy buena",0.033,0.115,0.069
"P62","Buena",0.092,0.238,0.104
"P62","Ni buena ni mala",0.329,0.364,0.327
"P62","Mala",0.243,0.126,0.152
"P62","Muy mala",0.251,0.14,0.261
"P62","No sabe",0.052,0.017,0.087
"P63","Siempre",0.319,0.341,0.268
"P63","Casi siempre",0.413,0.397,0.384
"P63","Casi nunca",0.181,0.191,0.198
"P63","Nunca, pero esta es una excepción",0.087,0.071,0.15
"P64","Si",0.631,0.608,0.618
"P64","No",0.369,0.392,0.382
