"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.824,0.014,0.172,0.016,0.002,0,0.013,0.002,0,0.019
"P22","Patricia Bullrich por Juntos por el Cambio",0.066,0.901,0.388,0.043,0.018,0.002,0,0.024,0.009,0.022
"P22","Facundo Manes por Juntos por el Cambio",0.035,0.01,0.159,0.711,0.022,0.009,0.006,0.01,0.017,0.021
"P22","Alberto Fernández por el Frente de Todos",0.015,0.005,0.113,0.144,0.138,0.024,0.134,0.012,0.091,0.134
"P22","Sergio Massa por el Frente de Todos",0.006,0.003,0.014,0.015,0.681,0.017,0.051,0.006,0,0.033
"P22","Wado de Pedro por el Frente de Todos",0,0.007,0.015,0.006,0.02,0.874,0.077,0.001,0.066,0.014
"P22","Daniel Scioli por el Frente de Todos",0.016,0.006,0.003,0.003,0.052,0.04,0.646,0.006,0,0.013
"P22","Javier Milei por los liberales libertarios",0.019,0.03,0.081,0.025,0,0.002,0,0.916,0.004,0.035
"P22","Al candidato del Frente de Izquierda",0,0.009,0.012,0.008,0.001,0.007,0.007,0.001,0.744,0.009
"P22","No sabe",0.019,0.015,0.043,0.029,0.066,0.025,0.066,0.022,0.069,0.7
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.835,0.014,0.067,0.018,0.009,0,0,0.015,0.055,0.009
"P24","Patricia Bullrich por Juntos por el Cambio",0.039,0.923,0.115,0.05,0.009,0.014,0.002,0.029,0.003,0.02
"P24","María Eugenia Vidal por Juntos por el Cambio",0.033,0.017,0.644,0.026,0.002,0.004,0.014,0.025,0,0.016
"P24","Facundo Manes por Juntos por el Cambio",0.017,0.009,0.063,0.739,0,0,0.006,0.002,0,0.017
"P24","Sergio Massa por el Frente de Todos",0.004,0,0.005,0.009,0.794,0.025,0.15,0.002,0.027,0.028
"P24","Wado de Pedro por el Frente de Todos",0.001,0.005,0.009,0.011,0.036,0.913,0.188,0.001,0.052,0.025
"P24","Alberto Fernández por el Frente de Todos",0.012,0.005,0.057,0.067,0.144,0.022,0.445,0.006,0.078,0.119
"P24","Javier Milei por los liberales libertarios",0.036,0.023,0.033,0.042,0.001,0.002,0.007,0.898,0.007,0.022
"P24","Al candidato del Frente de Izquierda",0.002,0.001,0,0.005,0,0.001,0.007,0.008,0.721,0.017
"P24","No sabe",0.021,0.003,0.007,0.033,0.005,0.019,0.181,0.014,0.057,0.727
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.642,0.017,0.188,0.214,0.022,0,0.004,0.019,0.037,0.039
"P25","Patricia Bullrich por Juntos por el Cambio",0.047,0.74,0.374,0.027,0.005,0.016,0.004,0.02,0.009,0.02
"P25","Facundo Manes por Juntos por el Cambio",0.027,0.189,0.191,0.421,0.012,0.004,0.002,0.028,0.008,0.015
"P25","Sergio Massa por el Frente de Todos",0.007,0,0.041,0.114,0.643,0.017,0.098,0.002,0.042,0.068
"P25","Wado de Pedro por el Frente de Todos",0,0.006,0.032,0.072,0.196,0.755,0.076,0.008,0.098,0.039
"P25","Daniel Scioli por el Frente de Todos",0.016,0.004,0.045,0.013,0.067,0.193,0.702,0.014,0.067,0.055
"P25","Javier Milei por los liberales libertario",0.209,0.027,0.087,0.055,0.038,0.001,0.078,0.352,0.033,0.056
"P25","Al candidato del Frente de Izquierda",0.012,0.006,0.01,0.033,0.003,0.003,0.016,0.548,0.32,0.01
"P25","No sabe",0.04,0.011,0.032,0.051,0.014,0.011,0.02,0.009,0.386,0.698
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.74,0.051,0.267,0.173,0.015,0.014,0.01,0.016,0,0.021
"P26","Patricia Bulrich por Juntos por el Cambio",0.11,0.858,0.356,0.188,0.079,0.01,0.026,0.037,0.008,0.024
"P26","Alberto Fernández por el Frente de Todos",0.025,0.006,0.116,0.12,0.175,0.131,0.329,0.007,0.095,0.163
"P26","Sergio Massa por el Frente de Todos",0.01,0.004,0.05,0.077,0.608,0.486,0.354,0.026,0.114,0.042
"P26","Javier Milei por los liberales libertarios",0.02,0.056,0.115,0.14,0.064,0.039,0.015,0.84,0.01,0.059
"P26","Al candidato del Frente de Izquierda",0.026,0.001,0.032,0.077,0.015,0.136,0.058,0.01,0.773,0.033
"P26","No sabe",0.069,0.024,0.064,0.225,0.044,0.184,0.208,0.064,0,0.658
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.802,0.029,0.359,0.27,0.025,0.004,0.009,0.009,0,0.01
"P27","Patricia Bullrich por Juntos por el Cambio",0.095,0.9,0.321,0.17,0.022,0.014,0.017,0.03,0.01,0.026
"P27","Wado de Pedro por el Frente de Todos",0.005,0.003,0.028,0.047,0.091,0.731,0.326,0.011,0.167,0.056
"P27","Sergio Massa por el Frente de Todos",0.003,0.001,0.093,0.084,0.757,0.112,0.43,0.003,0.044,0.086
"P27","Javier Milei por los liberales libertarios",0.024,0.046,0.13,0.081,0.041,0.027,0.017,0.924,0.01,0.065
"P27","Al candidato del Frente de Izquierda",0,0.001,0.013,0.082,0.008,0.074,0.008,0.009,0.69,0.052
"P27","No sabe",0.071,0.02,0.056,0.266,0.056,0.038,0.193,0.014,0.079,0.705
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.828,0.03,0.331,0.259,0.039,0.011,0.025,0.021,0,0.027
"P28","Patricia Bullrich por Juntos por el Cambio",0.089,0.889,0.391,0.211,0.034,0.007,0.005,0.025,0.005,0.028
"P28","Wado de Pedro por el Frente de Todos",0.013,0.005,0.058,0.046,0.219,0.814,0.131,0,0.249,0.058
"P28","Daniel Scioli por el Frente de Todos",0.002,0.003,0.01,0.06,0.35,0.089,0.769,0.001,0.074,0.067
"P28","Javier Milei por los liberales libertarios",0.013,0.047,0.112,0.102,0.095,0.009,0.011,0.935,0.01,0.053
"P28","Al candidato del Frente de Izquierda",0,0,0.016,0.102,0.027,0.038,0.001,0.007,0.653,0.056
"P28","No sabe",0.055,0.026,0.082,0.22,0.236,0.032,0.058,0.011,0.009,0.711
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.77,0.158,0.314,0.249,0.021,0.007,0.02,0.021,0,0.04
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.108,0.736,0.389,0.21,0.016,0.011,0.027,0.021,0.005,0.026
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.05,0.011,0.072,0.046,0.626,0.086,0.347,0.003,0.119,0.088
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.014,0.008,0.068,0.073,0.174,0.757,0.361,0.006,0.125,0.068
"P29","Javier Milei presidente y su candidato a vice",0.014,0.043,0.06,0.104,0.062,0.026,0.013,0.927,0.011,0.073
"P29","A los candidatos de la izquierda",0.003,0,0.015,0.061,0.01,0.051,0.004,0.002,0.655,0.063
"P29","No sabe",0.041,0.044,0.082,0.257,0.091,0.062,0.228,0.02,0.085,0.642
"P30","Alberto Fernández por el Frente de Todos",0.047,0.028,0.154,0.088,0.609,0.573,0.652,0,0.152,0.236
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.832,0.404,0.625,0.416,0.058,0.029,0.017,0.02,0.005,0.035
"P30","Javier Milei por los liberales libertarios",0.037,0.295,0.118,0.108,0.054,0.033,0.03,0.917,0.048,0.018
"P30","Al candidato del Frente de Izquierda",0.01,0.015,0.029,0.077,0.042,0.103,0.045,0.015,0.795,0.047
"P30","No sabe",0.074,0.258,0.074,0.311,0.237,0.262,0.256,0.048,0,0.664
"P31","Sergio Massa por el Frente de Todos",0.016,0.011,0.088,0.059,0.83,0.641,0.617,0.02,0.196,0.13
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.882,0.466,0.675,0.421,0.037,0.01,0.034,0.004,0.016,0.041
"P31","Javier Milei por los liberales libertarios",0.048,0.301,0.129,0.102,0.031,0.039,0.018,0.935,0.006,0.032
"P31","Al candidato del Frente de Izquierda",0.01,0.011,0.032,0.112,0.025,0.085,0.042,0.005,0.756,0.064
"P31","No sabe",0.044,0.211,0.076,0.306,0.077,0.225,0.289,0.036,0.026,0.733
"P32","Wado de Pedro por el Frente de Todos",0.008,0.004,0.083,0.102,0.558,0.92,0.637,0.011,0.209,0.103
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.934,0.48,0.643,0.422,0.072,0.004,0.017,0.022,0.036,0.053
"P32","Javier Milei por los liberales libertarios",0.03,0.303,0.129,0.112,0.035,0.014,0.02,0.929,0.018,0.025
"P32","Al candidato del Frente de Izquierda",0.002,0.01,0.045,0.05,0.036,0.01,0.029,0.008,0.708,0.038
"P32","No sabe",0.026,0.203,0.1,0.314,0.299,0.052,0.297,0.03,0.029,0.781
"P33","Daniel Scioli por el Frente de Todos",0.049,0.01,0.056,0.106,0.643,0.739,0.9,0.001,0.227,0.1
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.879,0.506,0.665,0.458,0.05,0.012,0.025,0.015,0,0.047
"P33","Javier Milei por los liberales libertarios",0.033,0.295,0.136,0.088,0.037,0.011,0.005,0.95,0.006,0.023
"P33","Al candidato del Frente de Izquierda",0.007,0.014,0.012,0.067,0.039,0.069,0.012,0.008,0.749,0.05
"P33","No sabe",0.032,0.175,0.131,0.281,0.231,0.169,0.058,0.026,0.018,0.78
"P34","Sergio Massa por el Frente de Todos",0.09,0.006,0.073,0.152,0.861,0.688,0.648,0.011,0.23,0.114
"P34","Patricia Bullrich por Juntos por el Cambio",0.57,0.89,0.651,0.436,0.024,0.019,0.034,0.063,0,0.061
"P34","Javier Milei por los liberales libertarios",0.085,0.069,0.117,0.104,0.006,0.023,0.009,0.912,0.006,0.039
"P34","Al candidato del Frente de Izquierda",0.031,0.001,0.028,0.072,0.002,0.093,0.049,0,0.752,0.053
"P34","No sabe",0.224,0.034,0.131,0.236,0.107,0.177,0.26,0.014,0.012,0.733
"P35","Alberto Fernández por el Frente de Todos",0.037,0.006,0.062,0.126,0.711,0.658,0.711,0.003,0.274,0.236
"P35","Patricia Bullrich por Juntos por el Cambio",0.594,0.927,0.643,0.423,0.013,0.013,0.011,0.063,0,0.044
"P35","Javier Milei por los liberales libertarios",0.12,0.039,0.124,0.102,0.023,0.044,0.008,0.909,0.051,0.037
"P35","Al candidato del Frente de Izquierda",0.07,0,0.064,0.098,0.055,0.12,0.046,0.01,0.665,0.067
"P35","No sabe",0.179,0.028,0.107,0.251,0.198,0.165,0.224,0.015,0.01,0.616
"P36","Wado de Pedro por el Frente de Todos",0.004,0.007,0.084,0.115,0.561,0.887,0.683,0.001,0.289,0.08
"P36","Patricia Bullrich por Juntos por el Cambio",0.605,0.933,0.649,0.407,0.018,0.006,0.015,0.054,0,0.08
"P36","Javier Milei por los liberales libertarios",0.124,0.039,0.15,0.149,0.051,0.035,0.012,0.891,0.045,0.032
"P36","Al candidato del Frente de Izquierda",0.069,0.001,0.007,0.098,0.058,0.03,0.03,0.021,0.65,0.046
"P36","No sabe",0.198,0.02,0.11,0.231,0.312,0.042,0.26,0.033,0.016,0.762
"P37","Daniel Scioli por el Frente de Todos",0.062,0.002,0.066,0.113,0.665,0.785,0.837,0.001,0.334,0.092
"P37","Patricia Bullrich por Juntos por el Cambio",0.58,0.933,0.636,0.408,0.018,0.021,0.011,0.06,0,0.074
"P37","Javier Milei por los liberales libertarios",0.124,0.044,0.182,0.145,0.032,0.016,0.025,0.904,0.006,0.023
"P37","Al candidato del Frente de Izquierda",0.058,0,0.012,0.085,0.038,0.052,0.013,0,0.648,0.052
"P37","No sabe",0.176,0.021,0.104,0.249,0.247,0.126,0.114,0.035,0.012,0.759
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.797,0.4,0.519,0.366,0.083,0.116,0.137,0.003,0.223,0.069
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.102,0.102,0.168,0.259,0.768,0.497,0.492,0.018,0.019,0.092
"P38","Javier Milei presidente y su candidato a vice",0.037,0.272,0.121,0.121,0.036,0.022,0.013,0.942,0.006,0.05
"P38","A los candidatos de la izquierda",0.023,0.004,0.048,0.073,0.016,0.104,0.05,0.003,0.734,0.082
"P38","No sabe",0.041,0.222,0.144,0.181,0.097,0.261,0.308,0.034,0.018,0.707
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.594,0.8,0.669,0.4,0.029,0.044,0.017,0.04,0.098,0.067
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.085,0.038,0.082,0.193,0.793,0.566,0.617,0.006,0.041,0.075
"P39","Javier Milei presidente y su candidato a vice",0.077,0.085,0.076,0.116,0.011,0.013,0.007,0.933,0.012,0.021
"P39","A los candidatos de la izquierda",0.045,0,0.011,0.097,0.024,0.102,0.047,0,0.738,0.065
"P39","No sabe",0.199,0.077,0.162,0.194,0.143,0.275,0.312,0.021,0.111,0.772
"P40","Sergio Massa por el Frente de Todos",0.014,0.045,0.123,0.197,0.932,0.8,0.719,0.038,0.525,0.203
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.863,0.704,0.713,0.53,0.024,0.02,0.036,0.327,0,0.117
"P40","No sabe",0.123,0.251,0.164,0.273,0.044,0.18,0.245,0.635,0.475,0.68
"P41","Alberto Fernández por el Frente de Todos",0.032,0.032,0.109,0.162,0.73,0.694,0.669,0.057,0.531,0.291
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.931,0.745,0.727,0.537,0.061,0.035,0.057,0.335,0.017,0.118
"P41","No sabe",0.037,0.223,0.164,0.301,0.209,0.271,0.274,0.608,0.452,0.591
"P42","Sergio Massa por el Frente de Todos",0.019,0.01,0.051,0.254,0.906,0.8,0.716,0.057,0.515,0.236
"P42","Patricia Bullrich por Juntos por el Cambio",0.672,0.946,0.856,0.464,0.021,0.038,0.03,0.579,0,0.136
"P42","No sabe",0.309,0.044,0.093,0.282,0.073,0.162,0.254,0.364,0.485,0.628
"P43","Alberto Fernández por el Frente de Todos",0.078,0.008,0.061,0.162,0.736,0.746,0.752,0.068,0.546,0.268
"P43","Patricia Bullrich por Juntos por el Cambio",0.631,0.969,0.825,0.485,0.022,0.038,0.015,0.608,0.007,0.082
"P43","No sabe",0.291,0.023,0.114,0.353,0.242,0.216,0.233,0.324,0.447,0.65
"P44","Wado de Pedro por el Frente de Todos",0.011,0.013,0.077,0.175,0.647,0.897,0.713,0.031,0.332,0.185
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.915,0.783,0.791,0.505,0.066,0.019,0.021,0.383,0.024,0.132
"P44","No sabe",0.074,0.204,0.132,0.32,0.287,0.084,0.266,0.586,0.644,0.683
"P45","Daniel Scioli por el Frente de Todos",0.004,0.016,0.092,0.14,0.691,0.814,0.89,0.041,0.432,0.244
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.902,0.758,0.782,0.55,0.06,0.016,0.007,0.361,0.011,0.132
"P45","No sabe",0.094,0.226,0.126,0.31,0.249,0.17,0.103,0.598,0.557,0.624
"P46","Wado de Pedro por el Frente de Todos",0.027,0.012,0.03,0.169,0.62,0.912,0.727,0.047,0.359,0.188
"P46","Patricia Bullrich por Juntos por el Cambio",0.653,0.945,0.84,0.483,0.025,0.025,0.03,0.608,0.013,0.135
"P46","No sabe",0.32,0.043,0.13,0.348,0.355,0.063,0.243,0.345,0.628,0.677
"P47","Daniel Scioli por el Frente de Todos",0.021,0.011,0.048,0.163,0.747,0.827,0.92,0.048,0.457,0.227
"P47","Patricia Bullrich por Juntos por el Cambio",0.665,0.966,0.841,0.477,0.024,0.025,0.016,0.639,0.007,0.13
"P47","No sabe",0.314,0.023,0.111,0.36,0.229,0.148,0.064,0.313,0.536,0.643
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.831,0.462,0.601,0.418,0.221,0.164,0.151,0.01,0.256,0.129
"P48","Javier Milei por los liberales libertarios",0.064,0.394,0.321,0.224,0.045,0.04,0.052,0.913,0.063,0.071
"P48","No sabe",0.105,0.144,0.078,0.358,0.734,0.796,0.797,0.077,0.681,0.8
"P49","Patricia Bullrich por Juntos por el Cambio",0.576,0.849,0.706,0.529,0.106,0.059,0.026,0.034,0,0.137
"P49","Javier Milei por los liberales libertarios",0.152,0.102,0.204,0.069,0.079,0.038,0.062,0.91,0.122,0.026
"P49","No sabe",0.272,0.049,0.09,0.402,0.815,0.903,0.912,0.056,0.878,0.837
"P50","Alberto Fernández por el Frente de Todos",0.136,0.154,0.061,0.212,0.706,0.685,0.691,0.009,0.353,0.291
"P50","Javier Milei por los liberales libertarios",0.463,0.498,0.473,0.367,0.023,0.046,0.05,0.938,0.086,0.096
"P50","No sabe",0.401,0.348,0.466,0.421,0.271,0.269,0.259,0.053,0.561,0.613
"P51","Sergio Massa por el Frente de Todos",0.076,0.022,0.104,0.265,0.901,0.806,0.721,0.001,0.437,0.306
"P51","Javier Milei por los liberales libertarios",0.531,0.624,0.491,0.379,0.004,0.02,0.023,0.942,0.074,0.068
"P51","No sabe",0.393,0.354,0.405,0.356,0.095,0.174,0.256,0.057,0.489,0.626
"P52","Muy buena",0.014,0.006,0.004,0.045,0.211,0.119,0.17,0.002,0.193,0.056
"P52","Buena",0.012,0.101,0.107,0.129,0.282,0.209,0.289,0.105,0.033,0.104
"P52","Ni buena ni mala",0.107,0.05,0.096,0.144,0.34,0.391,0.283,0.084,0.263,0.266
"P52","Mala",0.095,0.079,0.059,0.168,0.137,0.177,0.155,0.051,0.219,0.179
"P52","Muy mala",0.772,0.758,0.725,0.514,0.028,0.104,0.103,0.75,0.255,0.322
"P52","No sabe",0,0.006,0.009,0,0.002,0,0,0.008,0.037,0.073
"P53","Muy buena",0.017,0.006,0.013,0.079,0.455,0.784,0.694,0.013,0.059,0.248
"P53","Buena",0.005,0.016,0.041,0.039,0.186,0.099,0.127,0.016,0.175,0.098
"P53","Ni buena ni mala",0.071,0.01,0.034,0.088,0.199,0.078,0.107,0.053,0.118,0.066
"P53","Mala",0.054,0.052,0.084,0.122,0.109,0.019,0.038,0.063,0.241,0.149
"P53","Muy mala",0.853,0.915,0.828,0.672,0.051,0.02,0.032,0.854,0.407,0.399
"P53","No sabe",0,0.001,0,0,0,0,0.002,0.001,0,0.04
"P54","Muy buena",0.211,0.419,0.374,0.148,0.083,0.1,0.069,0.085,0,0.113
"P54","Buena",0.244,0.284,0.26,0.073,0.018,0.02,0.006,0.161,0.034,0.035
"P54","Ni buena ni mala",0.249,0.127,0.195,0.239,0.092,0.012,0.013,0.205,0,0.072
