"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P07","3",0.052,0.033,0.039,0.029,0.041,0.052,0.016,0.028,0.047,0.034
"P07","4",0.03,0.022,0.022,0.061,0.033,0.016,0.007,0.012,0.007,0.021
"P07","5",0.123,0.14,0.094,0.19,0.109,0.057,0.061,0.136,0.118,0.135
"P07","6",0.014,0.026,0.02,0.043,0.014,0.006,0.025,0.044,0.077,0.034
"P07","7",0.04,0.05,0.067,0.042,0.018,0.007,0.013,0.037,0,0.017
"P07","8",0.024,0.052,0.032,0.032,0.023,0.003,0.016,0.055,0,0.02
"P07","9",0.368,0.418,0.471,0.266,0.279,0.112,0.401,0.438,0.133,0.359
"P09","Del Frente de Todos y el peronismo",0.077,0.025,0.109,0.067,0.767,0.865,0.744,0.023,0.262,0.233
"P09","De Juntos por el cambio",0.725,0.762,0.559,0.404,0.011,0.029,0.063,0.069,0.008,0.064
"P09","De los Liberales libertarios",0.06,0.13,0.14,0.127,0.032,0.021,0.033,0.769,0.079,0.058
"P09","De la Izquierda",0.03,0.013,0.02,0.074,0.028,0.02,0.026,0.029,0.59,0.055
"P09","No sabe",0.108,0.07,0.172,0.328,0.162,0.065,0.134,0.11,0.061,0.59
"P10","A Alberto Fernández",0.4,0.416,0.108,0.119,0.1,0.038,0.377,0.095,0.206,0.104
"P10","A Sergio Massa",0.251,0.073,0.259,0.199,0.49,0.09,0.149,0.307,0.02,0.04
"P10","A algún candidato del peronismo",0.273,0.363,0.245,0.553,0.155,0.11,0.228,0.523,0.624,0.423
"P10","A algún candidato del kirchnerismo",0.076,0.148,0.388,0.129,0.255,0.762,0.246,0.075,0.15,0.433
"P11","A Alberto Fernández",0.147,0.317,0.351,0,0.024,0.013,0.32,0,0.206,0.06
"P11","A Sergio Massa",0.251,0.06,0,0.318,0.366,0.025,0.063,0.307,0,0.058
"P11","A algún candidato del peronismo",0.501,0.324,0.245,0.419,0.129,0.066,0.121,0.452,0.417,0.193
"P11","A Cristina Fernández de Kirchner",0.101,0.299,0.404,0.263,0.481,0.896,0.496,0.241,0.377,0.689
"P12","A Horacio Rodriguez Larreta",0.773,0.076,0.407,0.227,0.054,0.346,0.505,0.347,0,0.46
"P12","A Patricia Bullrich",0.135,0.898,0.462,0.178,0,0.127,0.255,0.594,0,0.178
"P12","A Facundo Manes",0.038,0.007,0.086,0.443,0.801,0.487,0.22,0.033,0,0.113
"P12","A Gerardo Morales",0.054,0.019,0.045,0.152,0.145,0.04,0.02,0.026,1,0.249
"P13","Lo votaría",0.133,0.017,0.104,0.044,0.528,0.177,0.237,0.025,0.011,0.057
"P13","Puede que lo vote",0.055,0.108,0.118,0.187,0.341,0.426,0.336,0.064,0.099,0.156
"P13","Nunca lo votaría",0.736,0.84,0.664,0.691,0.042,0.215,0.21,0.842,0.653,0.43
"P13","No sabe",0.076,0.035,0.114,0.078,0.089,0.182,0.217,0.069,0.237,0.357
"P14","Lo votaría",0.062,0.015,0.014,0.011,0.212,0.109,0.516,0.024,0.086,0.052
"P14","Puede que lo vote",0.032,0.018,0.107,0.096,0.355,0.379,0.248,0.038,0.179,0.095
"P14","Nunca lo votaría",0.879,0.948,0.805,0.839,0.282,0.341,0.14,0.897,0.651,0.528
"P14","No sabe",0.027,0.019,0.074,0.054,0.151,0.171,0.096,0.041,0.084,0.325
"P15","Lo votaría",0.62,0.168,0.277,0.145,0.049,0.017,0.094,0.028,0.022,0.01
"P15","Puede que lo vote",0.252,0.442,0.348,0.4,0.081,0.065,0.157,0.181,0.023,0.089
"P15","Nunca lo votaría",0.103,0.339,0.233,0.386,0.784,0.902,0.684,0.715,0.917,0.659
"P15","No sabe",0.025,0.051,0.142,0.069,0.086,0.016,0.065,0.076,0.038,0.242
"P16","Lo votaría",0.183,0.086,0.133,0.523,0.037,0.019,0.038,0.038,0.042,0.002
"P16","Puede que lo vote",0.306,0.286,0.314,0.304,0.18,0.08,0.121,0.19,0.088,0.116
"P16","Nunca lo votaría",0.374,0.542,0.269,0.12,0.579,0.827,0.621,0.68,0.662,0.535
"P16","No sabe",0.137,0.086,0.284,0.053,0.204,0.074,0.22,0.092,0.208,0.347
"P17","La votaría",0.24,0.773,0.363,0.195,0.014,0.015,0.055,0.155,0.091,0.011
"P17","Puede que la vote",0.322,0.127,0.298,0.286,0.046,0.014,0.098,0.294,0.084,0.071
"P17","Nunca la votaría",0.387,0.081,0.163,0.48,0.857,0.948,0.754,0.483,0.817,0.633
"P17","No sabe",0.051,0.019,0.176,0.039,0.083,0.023,0.093,0.068,0.008,0.285
"P18","Lo votaría",0.134,0.19,0.208,0.057,0.004,0.019,0.057,0.784,0.003,0.035
"P18","Puede que lo vote",0.27,0.335,0.251,0.18,0.072,0.045,0.118,0.125,0.189,0.141
"P18","Nunca lo votaría",0.544,0.415,0.378,0.708,0.864,0.932,0.671,0.068,0.784,0.576
"P18","No sabe",0.052,0.06,0.163,0.055,0.06,0.004,0.154,0.023,0.024,0.248
"P19","La votaría",0.202,0.175,0.6,0.071,0.037,0.024,0.073,0.104,0.003,0.016
"P19","Puede que la vote",0.31,0.411,0.156,0.258,0.063,0.025,0.066,0.186,0.092,0.092
"P19","Nunca la votaría",0.418,0.336,0.143,0.588,0.822,0.907,0.703,0.647,0.905,0.659
"P19","No sabe",0.07,0.078,0.101,0.083,0.078,0.044,0.158,0.063,0,0.233
"P20","Lo votaría",0.038,0.031,0.092,0.011,0.117,0.565,0.069,0.022,0.081,0.032
"P20","Puede que lo vote",0.084,0.057,0.052,0.186,0.305,0.309,0.262,0.027,0.166,0.153
"P20","Nunca lo votaría",0.802,0.863,0.64,0.707,0.413,0.114,0.421,0.848,0.594,0.447
"P20","No sabe",0.076,0.049,0.216,0.096,0.165,0.012,0.248,0.103,0.159,0.368
"P21","Lo votaría",0.04,0.014,0.09,0.038,0.221,0.275,0.383,0.018,0.027,0.077
"P21","Puede que lo vote",0.094,0.027,0.081,0.07,0.388,0.486,0.303,0.048,0.199,0.172
"P21","Nunca lo votaría",0.841,0.933,0.7,0.809,0.273,0.179,0.243,0.889,0.611,0.443
"P21","No sabe",0.025,0.026,0.129,0.083,0.118,0.06,0.071,0.045,0.163,0.308
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.758,0.018,0.172,0.036,0.003,0,0.031,0.01,0,0.018
"P22","Patricia Bullrich por Juntos por el Cambio",0.058,0.898,0.395,0.053,0.015,0.004,0.012,0.027,0.006,0.008
"P22","Facundo Manes por Juntos por el Cambio",0.051,0.01,0.108,0.766,0.018,0.012,0.011,0.012,0.012,0.007
"P22","Alberto Fernández por el Frente de Todos",0.008,0.005,0.073,0.039,0.092,0.022,0.428,0.007,0.107,0.048
"P22","Sergio Massa por el Frente de Todos",0.006,0.005,0.015,0.004,0.629,0.027,0.104,0.006,0,0.035
"P22","Wado de Pedro por el Frente de Todos",0.003,0.014,0.008,0,0.03,0.772,0.053,0.002,0.018,0.032
"P22","Daniel Scioli por el Frente de Todos",0.014,0.002,0.027,0.013,0.133,0.127,0.308,0.007,0.021,0.085
"P22","Javier Milei por los liberales libertarios",0.031,0.031,0.134,0.019,0.001,0.002,0.005,0.913,0.059,0.034
"P22","Al candidato del Frente de Izquierda",0.034,0.003,0.008,0.002,0.006,0.009,0.005,0,0.732,0.016
"P22","No sabe",0.037,0.014,0.06,0.068,0.073,0.025,0.043,0.016,0.045,0.717
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.823,0.013,0.049,0.034,0.003,0.001,0.012,0.015,0.007,0.016
"P23","Patricia Bullrich por Juntos por el Cambio",0.041,0.906,0.077,0.056,0.001,0.009,0.014,0.027,0.005,0.006
"P23","María Eugenia Vidal por Juntos por el Cambio",0.047,0.027,0.689,0.09,0.003,0.003,0.041,0.009,0,0.004
"P23","Facundo Manes por Juntos por el Cambio",0.009,0.008,0.02,0.75,0.003,0.003,0.034,0.008,0.008,0.013
"P23","Sergio Massa por el Frente de Todos",0.011,0.004,0.004,0,0.799,0.027,0.19,0.001,0,0.005
"P23","Wado de Pedro por el Frente de Todos",0,0.007,0.009,0,0.03,0.814,0.035,0.001,0.006,0.023
"P23","Daniel Scioli por el Frente de Todos",0,0.001,0.023,0.013,0.121,0.113,0.474,0.003,0.026,0.147
"P23","Javier Milei por los liberales libertarios",0.04,0.025,0.097,0.012,0.004,0.002,0.015,0.923,0.068,0.028
"P23","Al candidato del Frente de Izquierda",0.017,0,0,0,0.007,0.009,0.025,0.001,0.8,0.014
"P23","No sabe",0.012,0.009,0.032,0.045,0.029,0.019,0.16,0.012,0.08,0.744
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.643,0.016,0.2,0.264,0.004,0.004,0.038,0.009,0,0.029
"P25","Patricia Bullrich por Juntos por el Cambio",0.026,0.751,0.354,0.034,0.001,0.003,0.019,0.018,0.014,0.007
"P25","Facundo Manes por Juntos por el Cambio",0.031,0.191,0.224,0.456,0.007,0.001,0.003,0.013,0.005,0.009
"P25","Sergio Massa por el Frente de Todos",0.003,0,0.014,0.155,0.642,0.019,0.135,0.001,0.022,0.054
"P25","Wado de Pedro por el Frente de Todos",0,0.004,0.037,0.025,0.182,0.707,0.093,0.012,0.016,0.032
"P25","Daniel Scioli por el Frente de Todos",0.016,0.001,0.024,0.004,0.133,0.256,0.414,0.01,0.023,0.21
"P25","Javier Milei por los liberales libertario",0.227,0.022,0.09,0.014,0.002,0.002,0.151,0.363,0,0.058
"P25","Al candidato del Frente de Izquierda",0.02,0.003,0.008,0,0.007,0.002,0.018,0.564,0.42,0.009
"P25","No sabe",0.034,0.012,0.049,0.048,0.022,0.006,0.129,0.01,0.5,0.592
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.736,0.048,0.287,0.213,0.01,0.005,0.015,0.016,0,0.026
"P26","Patricia Bulrich por Juntos por el Cambio",0.081,0.863,0.354,0.177,0.066,0.007,0.038,0.035,0.016,0.007
"P26","Alberto Fernández por el Frente de Todos",0.005,0.005,0.062,0.097,0.067,0.139,0.667,0.006,0.081,0.055
"P26","Sergio Massa por el Frente de Todos",0.004,0.003,0.028,0.099,0.73,0.485,0.134,0.019,0.047,0.094
"P26","Javier Milei por los liberales libertarios",0.044,0.059,0.129,0.101,0.071,0.043,0.015,0.847,0.074,0.044
"P26","Al candidato del Frente de Izquierda",0.051,0.001,0.034,0.065,0.006,0.135,0.028,0.011,0.782,0.064
"P26","No sabe",0.079,0.021,0.106,0.248,0.05,0.186,0.103,0.066,0,0.71
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.745,0.036,0.366,0.257,0.009,0.008,0.05,0.016,0,0.017
"P27","Patricia Bullrich por Juntos por el Cambio",0.085,0.888,0.321,0.212,0.015,0.008,0.023,0.027,0.012,0.011
"P27","Wado de Pedro por el Frente de Todos",0.003,0.002,0.021,0.02,0.083,0.729,0.259,0.015,0.109,0.054
"P27","Sergio Massa por el Frente de Todos",0.005,0.001,0.092,0.106,0.795,0.119,0.382,0.004,0.023,0.107
"P27","Javier Milei por los liberales libertarios",0.061,0.056,0.136,0.072,0.049,0.021,0.02,0.912,0,0.08
"P27","Al candidato del Frente de Izquierda",0.02,0.001,0.018,0.048,0.002,0.071,0.023,0.011,0.769,0.046
"P27","No sabe",0.081,0.016,0.046,0.285,0.047,0.044,0.243,0.015,0.087,0.685
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.786,0.039,0.324,0.267,0.04,0.001,0.044,0.032,0,0.038
"P28","Patricia Bullrich por Juntos por el Cambio",0.081,0.885,0.371,0.241,0.012,0.001,0.032,0.018,0,0.014
"P28","Wado de Pedro por el Frente de Todos",0.009,0.005,0.043,0.054,0.236,0.755,0.114,0.004,0.176,0.033
"P28","Daniel Scioli por el Frente de Todos",0.005,0.002,0.027,0.049,0.402,0.166,0.543,0.001,0.052,0.17
"P28","Javier Milei por los liberales libertarios",0.046,0.05,0.128,0.065,0.066,0.017,0.068,0.925,0.025,0.065
"P28","Al candidato del Frente de Izquierda",0.009,0,0.018,0.075,0.028,0.034,0.015,0.009,0.674,0.072
"P28","No sabe",0.064,0.019,0.089,0.249,0.216,0.026,0.184,0.011,0.073,0.608
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.778,0.162,0.323,0.251,0.016,0.016,0.035,0.018,0,0.022
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.115,0.716,0.395,0.215,0.013,0.01,0.018,0.024,0,0.009
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.047,0.01,0.038,0.075,0.651,0.091,0.334,0.006,0.2,0.084
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.021,0.017,0.072,0.043,0.166,0.741,0.305,0.003,0.054,0.091
"P29","Javier Milei presidente y su candidato a vice",0,0.048,0.117,0.074,0.032,0.023,0.095,0.935,0.021,0.047
"P29","A los candidatos de la izquierda",0.013,0,0.016,0.044,0.011,0.041,0.015,0.003,0.72,0.071
"P29","No sabe",0.026,0.047,0.039,0.298,0.111,0.078,0.198,0.011,0.005,0.676
"P30","Alberto Fernández por el Frente de Todos",0.016,0.032,0.129,0.054,0.626,0.568,0.765,0.005,0.104,0.176
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.85,0.398,0.623,0.453,0.049,0.027,0.015,0.023,0.006,0.018
"P30","Javier Milei por los liberales libertarios",0.064,0.291,0.132,0.105,0.018,0.027,0.103,0.907,0.007,0.064
"P30","Al candidato del Frente de Izquierda",0.011,0.013,0.037,0.075,0.046,0.1,0.009,0.015,0.847,0.081
"P30","No sabe",0.059,0.266,0.079,0.313,0.261,0.278,0.108,0.05,0.036,0.661
"P31","Sergio Massa por el Frente de Todos",0.035,0.017,0.049,0.051,0.882,0.643,0.578,0.006,0.033,0.146
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.884,0.454,0.681,0.411,0.019,0.008,0.088,0.014,0.02,0.029
"P31","Javier Milei por los liberales libertarios",0.035,0.303,0.177,0.077,0.011,0.029,0.064,0.939,0.009,0.047
"P31","Al candidato del Frente de Izquierda",0.011,0.013,0.039,0.106,0.008,0.081,0.064,0.007,0.921,0.047
"P31","No sabe",0.035,0.213,0.054,0.355,0.08,0.239,0.206,0.034,0.017,0.731
"P32","Wado de Pedro por el Frente de Todos",0.039,0.012,0.047,0.102,0.611,0.92,0.486,0.004,0.047,0.126
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.915,0.474,0.691,0.411,0.058,0.003,0.066,0.023,0.068,0.038
"P32","Javier Milei por los liberales libertarios",0.014,0.309,0.139,0.067,0.013,0.008,0.072,0.932,0.015,0.06
"P32","Al candidato del Frente de Izquierda",0.011,0.007,0.06,0.056,0.037,0.01,0.029,0.008,0.835,0.032
"P32","No sabe",0.021,0.198,0.063,0.364,0.281,0.059,0.347,0.033,0.035,0.744
"P33","Daniel Scioli por el Frente de Todos",0.06,0.016,0.049,0.079,0.717,0.765,0.67,0.004,0.094,0.203
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.914,0.499,0.666,0.476,0.04,0.006,0.051,0.016,0,0.032
"P33","Javier Milei por los liberales libertarios",0.005,0.299,0.179,0.058,0.013,0.007,0.051,0.942,0.009,0.067
"P33","Al candidato del Frente de Izquierda",0.018,0.013,0.018,0.063,0.036,0.06,0.017,0.008,0.866,0.057
"P33","No sabe",0.003,0.173,0.088,0.324,0.194,0.162,0.211,0.03,0.031,0.641
"P34","Sergio Massa por el Frente de Todos",0.093,0.013,0.025,0.149,0.879,0.696,0.626,0.006,0.062,0.154
"P34","Patricia Bullrich por Juntos por el Cambio",0.587,0.886,0.671,0.378,0.009,0.017,0.057,0.059,0.009,0.038
"P34","Javier Milei por los liberales libertarios",0.074,0.066,0.181,0.103,0.007,0.02,0.009,0.915,0.024,0.046
"P34","Al candidato del Frente de Izquierda",0.023,0.001,0.018,0.074,0.004,0.082,0.04,0.007,0.886,0.074
"P34","No sabe",0.223,0.034,0.105,0.296,0.101,0.185,0.268,0.013,0.019,0.688
"P35","Alberto Fernández por el Frente de Todos",0.018,0.011,0.057,0.065,0.696,0.654,0.877,0.007,0.176,0.168
"P35","Patricia Bullrich por Juntos por el Cambio",0.621,0.921,0.694,0.365,0.003,0.008,0.017,0.059,0.009,0.033
"P35","Javier Milei por los liberales libertarios",0.114,0.04,0.113,0.168,0.025,0.037,0.008,0.899,0.007,0.075
"P35","Al candidato del Frente de Izquierda",0.063,0,0.057,0.102,0.057,0.114,0.016,0.017,0.777,0.092
"P35","No sabe",0.184,0.028,0.079,0.3,0.219,0.187,0.082,0.018,0.031,0.632
"P36","Wado de Pedro por el Frente de Todos",0.01,0.013,0.052,0.111,0.6,0.899,0.537,0.008,0.207,0.103
"P36","Patricia Bullrich por Juntos por el Cambio",0.608,0.934,0.685,0.384,0.007,0.004,0.036,0.043,0.033,0.046
"P36","Javier Milei por los liberales libertarios",0.114,0.034,0.174,0.141,0.046,0.03,0.045,0.889,0,0.076
"P36","Al candidato del Frente de Izquierda",0.071,0,0.015,0.093,0.055,0.023,0.021,0.028,0.76,0.06
"P36","No sabe",0.197,0.019,0.074,0.271,0.292,0.044,0.361,0.032,0,0.715
"P37","Daniel Scioli por el Frente de Todos",0.074,0.011,0.054,0.067,0.711,0.808,0.643,0.01,0.192,0.203
"P37","Patricia Bullrich por Juntos por el Cambio",0.596,0.935,0.687,0.398,0.003,0.017,0.03,0.037,0.009,0.038
"P37","Javier Milei por los liberales libertarios",0.106,0.033,0.168,0.168,0.017,0.012,0.069,0.913,0,0.082
"P37","Al candidato del Frente de Izquierda",0.056,0,0.013,0.068,0.038,0.043,0.019,0.008,0.776,0.058
"P37","No sabe",0.168,0.021,0.078,0.299,0.231,0.12,0.239,0.032,0.023,0.619
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.79,0.399,0.58,0.353,0.118,0.096,0.153,0.022,0.115,0.038
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.117,0.104,0.146,0.22,0.739,0.507,0.515,0.017,0,0.112
"P38","Javier Milei presidente y su candidato a vice",0.028,0.274,0.147,0.11,0.019,0.016,0.082,0.92,0.01,0.053
"P38","A los candidatos de la izquierda",0.029,0.004,0.067,0.071,0.021,0.104,0.03,0.004,0.848,0.077
"P38","No sabe",0.036,0.219,0.06,0.246,0.103,0.277,0.22,0.037,0.027,0.72
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.61,0.802,0.695,0.409,0.022,0.022,0.06,0.035,0,0.034
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.101,0.039,0.045,0.16,0.797,0.581,0.617,0.009,0,0.08
"P39","Javier Milei presidente y su candidato a vice",0.054,0.084,0.125,0.095,0.006,0.007,0.029,0.921,0.041,0.068
"P39","A los candidatos de la izquierda",0.033,0.001,0.024,0.076,0.026,0.101,0.024,0.012,0.817,0.085
"P39","No sabe",0.202,0.074,0.111,0.26,0.149,0.289,0.27,0.023,0.142,0.733
"P40","Sergio Massa por el Frente de Todos",0.038,0.052,0.046,0.16,0.936,0.79,0.72,0.034,0.429,0.294
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.877,0.69,0.797,0.518,0.009,0.018,0.009,0.351,0.025,0.112
"P40","No sabe",0.085,0.258,0.157,0.322,0.055,0.192,0.271,0.615,0.546,0.594
"P41","Alberto Fernández por el Frente de Todos",0.031,0.04,0.03,0.105,0.704,0.689,0.834,0.054,0.394,0.308
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.953,0.73,0.796,0.521,0.049,0.03,0.04,0.361,0.02,0.123
"P41","No sabe",0.016,0.23,0.174,0.374,0.247,0.281,0.126,0.585,0.586,0.569
"P42","Sergio Massa por el Frente de Todos",0.044,0.009,0.026,0.194,0.923,0.799,0.662,0.056,0.443,0.323
"P42","Patricia Bullrich por Juntos por el Cambio",0.693,0.949,0.873,0.503,0.012,0.032,0.082,0.57,0,0.053
"P42","No sabe",0.263,0.042,0.101,0.303,0.065,0.169,0.256,0.374,0.557,0.624
"P43","Alberto Fernández por el Frente de Todos",0.073,0.008,0.026,0.108,0.732,0.741,0.85,0.064,0.451,0.328
"P43","Patricia Bullrich por Juntos por el Cambio",0.682,0.971,0.814,0.498,0.007,0.029,0.019,0.604,0.009,0.054
"P43","No sabe",0.245,0.021,0.16,0.394,0.261,0.23,0.131,0.332,0.54,0.618
"P44","Wado de Pedro por el Frente de Todos",0.026,0.02,0.023,0.128,0.675,0.919,0.598,0.038,0.311,0.197
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.915,0.766,0.831,0.511,0.054,0.012,0.048,0.394,0.055,0.139
"P44","No sabe",0.059,0.214,0.146,0.361,0.271,0.069,0.354,0.568,0.634,0.664
"P45","Daniel Scioli por el Frente de Todos",0.015,0.023,0.017,0.132,0.736,0.838,0.749,0.048,0.433,0.312
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.918,0.744,0.818,0.525,0.035,0.007,0.031,0.379,0.012,0.157
"P45","No sabe",0.067,0.233,0.165,0.343,0.229,0.155,0.22,0.573,0.555,0.531
"P46","Wado de Pedro por el Frente de Todos",0.036,0.011,0.018,0.145,0.651,0.925,0.631,0.037,0.338,0.261
"P46","Patricia Bullrich por Juntos por el Cambio",0.704,0.947,0.857,0.481,0.01,0.019,0.032,0.595,0.044,0.095
"P46","No sabe",0.26,0.042,0.125,0.374,0.339,0.056,0.337,0.368,0.618,0.644
"P47","Daniel Scioli por el Frente de Todos",0.033,0.009,0.019,0.128,0.777,0.835,0.842,0.043,0.478,0.414
"P47","Patricia Bullrich por Juntos por el Cambio",0.666,0.969,0.896,0.469,0.013,0.019,0.005,0.627,0.009,0.093
"P47","No sabe",0.301,0.022,0.085,0.403,0.21,0.146,0.153,0.33,0.513,0.493
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.783,0.449,0.658,0.434,0.21,0.162,0.191,0.038,0.212,0.115
"P48","Javier Milei por los liberales libertarios",0.092,0.412,0.269,0.166,0.055,0.037,0.061,0.889,0,0.067
"P48","No sabe",0.125,0.139,0.073,0.4,0.735,0.801,0.748,0.073,0.788,0.818
"P49","Patricia Bullrich por Juntos por el Cambio",0.604,0.848,0.712,0.493,0.084,0.042,0.071,0.037,0,0.108
"P49","Javier Milei por los liberales libertarios",0.159,0.105,0.18,0.078,0.078,0.036,0.074,0.897,0.065,0.06
"P49","No sabe",0.237,0.047,0.108,0.429,0.838,0.922,0.855,0.066,0.935,0.832
"P50","Alberto Fernández por el Frente de Todos",0.163,0.154,0.091,0.134,0.704,0.672,0.807,0.012,0.286,0.313
"P50","Javier Milei por los liberales libertarios",0.475,0.502,0.452,0.354,0.026,0.042,0.05,0.92,0.053,0.121
"P50","No sabe",0.362,0.344,0.457,0.512,0.27,0.286,0.143,0.068,0.661,0.566
"P51","Sergio Massa por el Frente de Todos",0.095,0.022,0.105,0.217,0.89,0.802,0.788,0.012,0.426,0.32
"P51","Javier Milei por los liberales libertarios",0.547,0.627,0.48,0.363,0.015,0.011,0.006,0.935,0.009,0.071
"P51","No sabe",0.358,0.351,0.415,0.42,0.095,0.187,0.206,0.053,0.565,0.609
"P52","Muy buena",0.037,0.007,0.004,0.032,0.136,0.111,0.39,0.005,0.146,0.041
"P52","Buena",0.045,0.093,0.016,0.121,0.26,0.219,0.373,0.118,0.029,0.12
"P52","Ni buena ni mala",0.106,0.058,0.091,0.154,0.388,0.394,0.136,0.072,0.281,0.278
"P52","Mala",0.094,0.073,0.092,0.173,0.195,0.168,0.072,0.047,0.173,0.195
"P52","Muy mala",0.718,0.763,0.788,0.52,0.02,0.108,0.029,0.75,0.298,0.312
"P52","No sabe",0,0.006,0.009,0,0.001,0,0,0.008,0.073,0.054
"P53","Muy buena",0.025,0.003,0.017,0.09,0.492,0.76,0.624,0.019,0.041,0.339
"P53","Buena",0.014,0.016,0.003,0.018,0.168,0.111,0.19,0.021,0.163,0.083
"P53","Ni buena ni mala",0.062,0.012,0.018,0.07,0.172,0.101,0.15,0.056,0.111,0.051
"P53","Mala",0.077,0.046,0.113,0.157,0.127,0.017,0.013,0.053,0.203,0.139
"P53","Muy mala",0.822,0.922,0.849,0.665,0.041,0.011,0.02,0.85,0.482,0.354
"P53","No sabe",0,0.001,0,0,0,0,0.003,0.001,0,0.034
"P54","Muy buena",0.186,0.438,0.327,0.111,0.084,0.083,0.09,0.087,0.031,0.083
"P54","Buena",0.261,0.283,0.334,0.11,0.007,0.016,0.021,0.14,0.04,0
"P54","Ni buena ni mala",0.262,0.109,0.157,0.266,0.09,0.011,0.028,0.224,0,0.074
