"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos","Javier Milei presidente y su candidato a vice","A los candidatos de la izquierda","No sabe"
"P25","Sergio Massa por el Frente de Todos",0.042,0.273,0.004,0.041,0.037
"P25","Wado de Pedro por el Frente de Todos",0.048,0.315,0.023,0.261,0.192
"P25","Daniel Scioli por el Frente de Todos",0.069,0.187,0.027,0.111,0.14
"P25","Javier Milei por los liberales libertario",0.059,0.047,0.319,0.035,0.034
"P25","Al candidato del Frente de Izquierda",0.005,0.002,0.315,0.227,0.011
"P25","No sabe",0.029,0.012,0.011,0.144,0.227
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.304,0.036,0.024,0.072,0.03
"P26","Patricia Bulrich por Juntos por el Cambio",0.466,0.139,0.257,0.028,0.294
"P26","Alberto Fernández por el Frente de Todos",0.056,0.167,0.017,0.067,0.099
"P26","Sergio Massa por el Frente de Todos",0.069,0.538,0.024,0.185,0.105
"P26","Javier Milei por los liberales libertarios",0.026,0.035,0.625,0.014,0.067
"P26","Al candidato del Frente de Izquierda",0.038,0.019,0,0.551,0.027
"P26","No sabe",0.041,0.066,0.053,0.083,0.378
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.328,0.045,0.01,0.079,0.018
"P27","Patricia Bullrich por Juntos por el Cambio",0.462,0.109,0.269,0.038,0.312
"P27","Wado de Pedro por el Frente de Todos",0.061,0.328,0.02,0.281,0.211
"P27","Sergio Massa por el Frente de Todos",0.073,0.435,0.008,0.056,0.067
"P27","Javier Milei por los liberales libertarios",0.023,0.027,0.674,0.018,0.053
"P27","Al candidato del Frente de Izquierda",0.018,0.006,0.006,0.446,0.02
"P27","No sabe",0.035,0.05,0.013,0.082,0.319
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.309,0.059,0.017,0.082,0.02
"P28","Patricia Bullrich por Juntos por el Cambio",0.48,0.119,0.255,0.026,0.297
"P28","Wado de Pedro por el Frente de Todos",0.098,0.354,0.007,0.244,0.192
"P28","Daniel Scioli por el Frente de Todos",0.058,0.304,0.011,0.135,0.147
"P28","Javier Milei por los liberales libertarios",0.011,0.025,0.694,0.039,0.056
"P28","Al candidato del Frente de Izquierda",0.014,0.02,0.007,0.417,0.016
"P28","No sabe",0.03,0.119,0.009,0.057,0.272
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.354,0.056,0.051,0.084,0.057
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.411,0.102,0.211,0.053,0.236
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.057,0.383,0.011,0.018,0.064
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.113,0.371,0.016,0.297,0.205
"P29","Javier Milei presidente y su candidato a vice",0.012,0.023,0.694,0.037,0.053
"P29","A los candidatos de la izquierda",0.011,0.008,0.002,0.461,0.002
"P29","No sabe",0.042,0.057,0.015,0.05,0.383
"P30","Alberto Fernández por el Frente de Todos",0.174,0.621,0.024,0.117,0.184
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.647,0.128,0.044,0.083,0.094
"P30","Javier Milei por los liberales libertarios",0.048,0.041,0.879,0.023,0.072
"P30","Al candidato del Frente de Izquierda",0.023,0.026,0.008,0.708,0.014
"P30","No sabe",0.108,0.184,0.045,0.069,0.636
"P31","Sergio Massa por el Frente de Todos",0.154,0.742,0.025,0.141,0.113
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.734,0.127,0.035,0.084,0.085
"P31","Javier Milei por los liberales libertarios",0.034,0.038,0.903,0.032,0.076
"P31","Al candidato del Frente de Izquierda",0.016,0.015,0.005,0.656,0.032
"P31","No sabe",0.062,0.078,0.032,0.087,0.694
"P32","Wado de Pedro por el Frente de Todos",0.17,0.627,0.019,0.358,0.235
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.748,0.156,0.03,0.097,0.073
"P32","Javier Milei por los liberales libertarios",0.025,0.035,0.918,0.031,0.062
"P32","Al candidato del Frente de Izquierda",0.014,0.016,0.005,0.454,0.012
"P32","No sabe",0.043,0.166,0.028,0.06,0.618
"P33","Daniel Scioli por el Frente de Todos",0.159,0.696,0.03,0.242,0.215
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.764,0.135,0.034,0.079,0.088
"P33","Javier Milei por los liberales libertarios",0.022,0.036,0.906,0.031,0.071
"P33","Al candidato del Frente de Izquierda",0.015,0.019,0.011,0.599,0.011
"P33","No sabe",0.04,0.114,0.019,0.049,0.615
"P34","Sergio Massa por el Frente de Todos",0.171,0.772,0.029,0.167,0.115
"P34","Patricia Bullrich por Juntos por el Cambio",0.681,0.142,0.268,0.095,0.29
"P34","Javier Milei por los liberales libertarios",0.035,0.027,0.693,0.028,0.038
"P34","Al candidato del Frente de Izquierda",0.024,0.003,0,0.681,0.013
"P34","No sabe",0.089,0.056,0.01,0.029,0.544
"P35","Alberto Fernández por el Frente de Todos",0.17,0.681,0.017,0.18,0.177
"P35","Patricia Bullrich por Juntos por el Cambio",0.696,0.148,0.288,0.068,0.285
"P35","Javier Milei por los liberales libertarios",0.05,0.021,0.686,0.022,0.026
"P35","Al candidato del Frente de Izquierda",0.025,0.045,0.006,0.694,0.016
"P35","No sabe",0.059,0.105,0.003,0.036,0.496
"P36","Wado de Pedro por el Frente de Todos",0.176,0.619,0.015,0.303,0.228
"P36","Patricia Bullrich por Juntos por el Cambio",0.696,0.16,0.279,0.102,0.294
"P36","Javier Milei por los liberales libertarios",0.049,0.032,0.684,0.022,0.017
"P36","Al candidato del Frente de Izquierda",0.013,0.028,0.008,0.528,0.02
"P36","No sabe",0.066,0.161,0.014,0.045,0.441
"P37","Daniel Scioli por el Frente de Todos",0.189,0.681,0.022,0.259,0.225
"P37","Patricia Bullrich por Juntos por el Cambio",0.69,0.161,0.273,0.094,0.296
"P37","Javier Milei por los liberales libertarios",0.047,0.025,0.692,0.02,0.009
"P37","Al candidato del Frente de Izquierda",0.011,0.015,0,0.592,0.007
"P37","No sabe",0.063,0.118,0.013,0.035,0.463
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.733,0.125,0.217,0.08,0.218
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.126,0.814,0.022,0.055,0.032
"P39","Javier Milei presidente y su candidato a vice",0.019,0.012,0.741,0.02,0.013
"P39","A los candidatos de la izquierda",0.019,0.001,0.006,0.823,0.004
"P39","No sabe",0.103,0.048,0.014,0.022,0.733
"P40","Sergio Massa por el Frente de Todos",0.164,0.819,0.065,0.391,0.223
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.795,0.126,0.415,0.148,0.151
"P40","No sabe",0.041,0.055,0.52,0.461,0.626
"P41","Alberto Fernández por el Frente de Todos",0.137,0.681,0.088,0.372,0.22
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.818,0.162,0.432,0.142,0.188
"P41","No sabe",0.045,0.157,0.48,0.486,0.592
"P42","Sergio Massa por el Frente de Todos",0.158,0.8,0.06,0.432,0.208
"P42","Patricia Bullrich por Juntos por el Cambio",0.755,0.158,0.676,0.124,0.343
"P42","No sabe",0.087,0.042,0.264,0.444,0.449
"P43","Alberto Fernández por el Frente de Todos",0.162,0.71,0.062,0.431,0.222
"P43","Patricia Bullrich por Juntos por el Cambio",0.743,0.156,0.711,0.101,0.338
"P43","No sabe",0.095,0.134,0.227,0.468,0.44
"P44","Wado de Pedro por el Frente de Todos",0.161,0.664,0.045,0.454,0.271
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.803,0.17,0.472,0.138,0.209
"P44","No sabe",0.036,0.166,0.483,0.408,0.52
"P45","Daniel Scioli por el Frente de Todos",0.144,0.709,0.064,0.423,0.288
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.816,0.151,0.451,0.128,0.186
"P45","No sabe",0.04,0.14,0.485,0.449,0.526
"P46","Wado de Pedro por el Frente de Todos",0.158,0.647,0.055,0.542,0.28
"P46","Patricia Bullrich por Juntos por el Cambio",0.747,0.162,0.693,0.121,0.323
"P46","No sabe",0.095,0.191,0.252,0.337,0.397
"P47","Daniel Scioli por el Frente de Todos",0.149,0.726,0.052,0.481,0.315
"P47","Patricia Bullrich por Juntos por el Cambio",0.747,0.163,0.732,0.122,0.324
"P47","No sabe",0.104,0.111,0.216,0.397,0.361
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.759,0.248,0.037,0.18,0.132
"P48","Javier Milei por los liberales libertarios",0.131,0.09,0.881,0.079,0.131
"P48","No sabe",0.11,0.662,0.082,0.741,0.737
"P49","Patricia Bullrich por Juntos por el Cambio",0.762,0.175,0.231,0.101,0.301
"P49","Javier Milei por los liberales libertarios",0.051,0.087,0.711,0.066,0.037
"P49","No sabe",0.187,0.738,0.058,0.833,0.662
"P50","Alberto Fernández por el Frente de Todos",0.222,0.689,0.044,0.427,0.266
"P50","Javier Milei por los liberales libertarios",0.387,0.086,0.902,0.086,0.151
"P50","No sabe",0.391,0.225,0.054,0.487,0.583
"P51","Sergio Massa por el Frente de Todos",0.176,0.785,0.02,0.507,0.227
"P51","Javier Milei por los liberales libertarios",0.48,0.1,0.936,0.06,0.137
"P51","No sabe",0.344,0.115,0.044,0.433,0.636
"P52","Muy buena",0.052,0.121,0.017,0.122,0.053
"P52","Buena",0.094,0.285,0.116,0.039,0.091
"P52","Ni buena ni mala",0.074,0.329,0.067,0.301,0.237
"P52","Mala",0.103,0.111,0.065,0.188,0.175
"P52","Muy mala",0.671,0.153,0.73,0.325,0.425
"P52","No sabe",0.006,0.001,0.005,0.025,0.019
"P53","Muy buena",0.092,0.526,0.014,0.36,0.315
"P53","Buena",0.032,0.12,0.033,0.112,0.056
"P53","Ni buena ni mala",0.017,0.118,0.054,0.08,0.085
"P53","Mala",0.062,0.057,0.049,0.12,0.105
"P53","Muy mala",0.796,0.178,0.85,0.328,0.426
"P53","No sabe",0.001,0.001,0,0,0.013
"P54","Muy buena",0.345,0.133,0.161,0.165,0.162
"P54","Buena",0.244,0.045,0.193,0.036,0.102
"P54","Ni buena ni mala",0.144,0.063,0.21,0.037,0.074
"P54","Mala",0.053,0.121,0.143,0.084,0.162
"P54","Muy mala",0.211,0.636,0.291,0.662,0.485
"P54","No sabe",0.003,0.002,0.002,0.016,0.015
"P55","Muy buena",0.279,0.071,0.067,0.059,0.052
"P55","Buena",0.407,0.078,0.132,0.034,0.125
"P55","Ni buena ni mala",0.159,0.135,0.331,0.068,0.178
"P55","Mala",0.052,0.202,0.19,0.257,0.169
"P55","Muy mala",0.1,0.513,0.272,0.562,0.45
"P55","No sabe",0.003,0.001,0.008,0.02,0.026
"P56","Muy buena",0.051,0.175,0.018,0,0.031
"P56","Buena",0.116,0.354,0.031,0.099,0.092
"P56","Ni buena ni mala",0.116,0.288,0.14,0.228,0.238
"P56","Mala",0.12,0.075,0.118,0.344,0.191
"P56","Muy mala",0.597,0.106,0.683,0.329,0.413
"P56","No sabe",0,0.002,0.01,0,0.035
"P57","Muy buena",0.451,0.117,0.32,0.073,0.221
"P57","Buena",0.212,0.077,0.221,0.064,0.066
"P57","Ni buena ni mala",0.139,0.077,0.154,0.035,0.151
"P57","Mala",0.062,0.119,0.115,0.159,0.086
"P57","Muy mala",0.136,0.6,0.184,0.669,0.453
"P57","No sabe",0,0.01,0.006,0,0.023
"P58","Muy buena",0.056,0.049,0.573,0.031,0.031
"P58","Buena",0.182,0.034,0.235,0.025,0.06
"P58","Ni buena ni mala",0.358,0.112,0.125,0.147,0.228
"P58","Mala",0.166,0.143,0.033,0.045,0.179
"P58","Muy mala",0.221,0.638,0.032,0.739,0.454
"P58","No sabe",0.017,0.024,0.002,0.013,0.048
"P59","Muy buena",0.041,0.24,0.08,0.201,0.183
"P59","Buena",0.066,0.267,0.051,0.234,0.088
"P59","Ni buena ni mala",0.158,0.15,0.134,0.15,0.194
"P59","Mala",0.179,0.091,0.133,0.045,0.126
"P59","Muy mala",0.536,0.217,0.514,0.312,0.342
"P59","No sabe",0.02,0.035,0.088,0.058,0.067
"P60","Muy buena",0.049,0.212,0.031,0.079,0.105
"P60","Buena",0.07,0.327,0.045,0.195,0.172
"P60","Ni buena ni mala",0.099,0.269,0.082,0.257,0.206
"P60","Mala",0.159,0.059,0.166,0.174,0.127
"P60","Muy mala",0.621,0.125,0.66,0.292,0.369
"P60","No sabe",0.002,0.008,0.016,0.003,0.021
"P61","Muy buena",0.309,0.073,0.081,0.077,0.063
"P61","Buena",0.3,0.087,0.196,0.04,0.14
"P61","Ni buena ni mala",0.191,0.096,0.25,0.074,0.18
"P61","Mala",0.079,0.145,0.157,0.052,0.123
"P61","Muy mala",0.119,0.591,0.316,0.757,0.461
"P61","No sabe",0.002,0.008,0,0,0.033
"P62","Muy buena",0.142,0.064,0.072,0.051,0.04
"P62","Buena",0.288,0.121,0.159,0.075,0.098
"P62","Ni buena ni mala",0.38,0.342,0.334,0.318,0.328
"P62","Mala",0.109,0.24,0.159,0.204,0.146
"P62","Muy mala",0.065,0.195,0.231,0.324,0.306
"P62","No sabe",0.016,0.038,0.045,0.028,0.082
"P63","Siempre",0.317,0.334,0.322,0.22,0.327
"P63","Casi siempre",0.452,0.419,0.368,0.455,0.329
"P63","Casi nunca",0.17,0.189,0.171,0.24,0.23
"P63","Nunca, pero esta es una excepción",0.061,0.058,0.139,0.085,0.114
"P64","Si",0.628,0.646,0.615,0.514,0.591
"P64","No",0.372,0.354,0.385,0.486,0.409
